4k3/1p1n1p1p/4p3/r7/6p1/4P3/PP3PPP/2Rb1BK1 w - -,f1d3 d1a4 d3e4 a4c6 e4c6 b7c6 c1c6 a5a2 h2h3 g4h3,-523
r1bq1rk1/pp1n1ppp/3ppn2/3p4/3P4/2P1PN2/PP1N1PPP/R2QKB1R w KQ -,f1e2 d8e7 e1h1 e6e5 a2a4 e5e4 f3e1 d7b8 a4a5 c8e6,14
8/6k1/8/3b4/8/2p5/p1B5/K7 w - -,c2b3 g7f6 b3a2 d5e4 a2b3 f6e5 a1a2 e5f4 a2a3 f4e3,Mate
r1b1k2r/p1pp1pbp/1np3p1/4P1B1/1qP5/5N2/PP2QPPP/R3KB1R w KQkq -,f3d2 b4b2 a1b1 b2e5 e2e5 g7e5 f1d3 c8a6 e1h1 e8h8,-202
2Q5/k7/8/8/8/8/4K3/8 w - -,f3d2 b4b2 a1b1 b2e5 e2e5 g7e5 f1d3 c8a6 e1h1 e8h8,Mate
8/6k1/7p/8/6K1/8/8/8 w - -,,0
2rq1rk1/1p1bppbp/p2p1np1/4n3/3NP1P1/1BN1BP2/PPPQ3P/2KR3R w - -,h2h4 h7h5 g4h5 f6h5 h1g1 e7e6 f3f4 e5c4 b3c4 c8c4,108
3Q4/8/2K1r3/5k2/8/8/8/8 w - -,c6d5 e6e5 d5d4 e5e4 d4d3 e4e5 d8c8 f5f6 d3d4 e5e2,735
4k3/1p3p1p/4p3/r3n3/6p1/4P3/PP3PPP/3R1BK1 w - -,a2a4 a5c5 d1d4 c5c1 d4b4 c1a1 b2b3 a1b1 b4b5 f7f6,187
4k3/1p3p1p/4p3/2r1n3/P5p1/4P3/1P3PPP/3R1BK1 w - -,d1d4 c5c1 d4b4 c1a1 b2b3 a1b1 b4b5 f7f6 f2f3 g4f3,176
rnb1k2r/ppp1ppbp/6p1/3q4/4N3/5N1P/PPPP1PP1/R1BQK2R w KQkq -,d1e2 b8c6 e4c3 d5e6 c3b5 e8d8 e2e6 c8e6 b5c3 c6b4,-82
8/8/2K5/4k3/4r3/4Q3/8/8 w - -,e3c5 e5f4 c6d6 e4e3 c5c4 e3e4 c4c1 f4f3 d6d5 e4e8,1094
8/8/2K5/2Q5/4rk2/8/8/8 w - -,c5f2 f4e5 f2c5 e5f4 c6d6 e4e2 c5d4 e2e4 d4c3 e4e3,1150
rnb1kb1r/ppq1pppp/8/8/3P4/5N2/P2B1PPP/R2QKB1R w KQkq -,a1c1 b8c6 d4d5 g7g6 d5c6 f8g7 f1b5 e8h8 c6b7 c7b7,393
r1bqkb1r/ppp1pppp/5n2/3p4/2Pn4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,d1d4 e7e6 c4d5 e6d5 e2e4 d5e4 d4d8 e8d8 f3g5 c8e6,717
r3k1nr/ppp2ppp/2n5/3q4/3P4/2PB1b2/P4PPP/R1BQ1RK1 w kq -,d1d2 f3g2 f1e1 g8e7 c1a3 g2f3 a3e7 c6e7 e1e5 d5d7,-236
