r1bq1rk1/1ppnppbp/p2p1np1/8/2PPP1P1/2N1B3/PP2BP1P/R2QK1NR w KQ -,g4g5 f6e8 a2a4 c7c5 g1f3 f7f5 e4f5 g6f5 d4c5 f5f4,75
rn1qkb1r/pp3ppp/2p1pnb1/3pN3/3P4/3BP3/PPP2PPP/RNBQ1RK1 w kq -,e5g6 h7g6 c2c4 f8d6 g2g3 d8d7 d1e2 c6c5 b1d2 c5d4,19
8/5p2/2k5/6B1/8/8/6K1/4R3 w - -,b2b3 b8d7 b1d2 d7e5 d4e5 f6d7 c1b2 g6d3 c2d3 d8b6,Mate
r1bqk1nr/pppp2pp/2nb4/1B2pp2/8/1P2P3/PBPP1PPP/RN1QK1NR w KQkq -,b1a3 d6a3 b2a3 d7d6 d2d4 c8d7 g1e2 g8f6 c2c4 e5e4,54
r2qkb1r/pp3ppp/2n1pn2/3p4/Q2P2b1/2PB1N2/PP3PPP/RNB1K2R w KQkq -,a4d1 f8d6 h2h3 g4h5 e1h1 f6e4 b1d2 f7f5 d3e2 e8h8,-89
r1bqkbnr/pp1p1ppp/2n1p3/2p5/8/2P3P1/PP1PPPBP/RNBQK1NR w KQkq -,d2d3 d7d5 g1f3 f8e7 e1h1 g8f6 b1d2 b7b5 d3d4 a7a5,-19
r1bq1rk1/ppp1bppp/2np4/3Bp3/4P3/3P1N2/PPP2PPP/R1BQK2R w KQ -,e1h1 a7a5 a2a4 c8e6 d5e6 f7e6 c2c3 d8d7 f1e1 a8d8,33
rnbqk2r/pp2ppb1/3p3p/2p5/3P1P1p/2P5/PP1NBPPP/RN1QK2R w KQkq -,d4d5 b8d7 a2a4 d7f6 d2c4 e8h8 e1h1 e7e6 d5e6 c8e6,62
rnbqkb1r/pp3ppp/4p3/2ppP3/3P4/3B1N2/PPPn1PPP/R1BQK2R w KQkq -,c1d2 c5c4 d3e2 b7b5 c2c3 b8c6 h2h4 a7a5 h4h5 h7h6,74
rnbq1rk1/pp3ppp/2pbpn2/3pN3/3P1B2/4P3/PPPN1PPP/R2QKB1R w KQ -,c2c3 c6c5 f1d3 d8c7 h2h4 b8d7 d2f3 f6e4 e1h1 b7b6,43
2r5/qb2kpp1/pN2p3/P7/1p2P3/3B1P2/1P3KPr/R7 w - -,a1d1 c8c5 d1a1 a7b8 b6c4 c5g5 a1g1 b8a7 c4e3 a7d4,-1382
rnbqk2r/pp2bppp/3p1n2/2pP4/2P5/5N2/PP3PPP/RNBQKB1R w KQkq -,f1d3 b8d7 b1c3 f6g4 e1h1 e8h8 c1f4 g4e5 f3e5 d7e5,104
rn1qk2r/pb1pbppp/1p2pn2/2p5/3P1B2/3BPN2/PPP2PPP/RN1Q1RK1 w kq -,c2c4 c5d4 f3d4 a7a6 b1c3 d7d6 f4g3 b8d7 d3e2 a8c8,35
8/B2k4/8/8/8/8/8/4KN2 w - -,e1d2 d7c6 a7d4 c6b7 d2d3 b7a8 f1e3 a8b8 d4c3 b8c8,15414
rnbqkbnr/pp1ppp2/7p/2p3p1/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq -,d2d4 d7d6 d4c5 g5g4 f3h4 d6c5 d1c2 b8c6 g2g3 g8f6,154
rnbq1rk1/pp2bppp/3p1n2/2pP4/2P5/5N1P/PP3PP1/RNBQKB1R w KQ -,b1c3 c8f5 f1d3 f5d3 d1d3 b8d7 c1f4 f8e8 e1h1 d7f8,137
rn1qkbnr/pp3ppp/2p1p3/3p1b2/3P4/5NP1/PPPNPP1P/R1BQKB1R w KQkq -,c2c3 h7h6 f1g2 g8f6 f3e5 f8e7 d2f3 e8h8 e1h1 b8d7,-39
8/8/2k5/5N2/2KB4/8/8/8 w - -,f5e3 c6d6 c4b5 d6c7 d4e5 c7b7 b5c5 b7a7 c5c6 a7a8,9605
r1bqkb1r/pp1n1ppp/2n1p3/3pP3/3p1B2/2N2N2/PPP1BPPP/R2QK2R w KQkq -,c3a4 b7b5 c2c3 b5a4 e2b5 d8b6 d1a4 d7b8 e1h1 c8d7,-322
rnbq1rk1/ppp1bppp/3p1n2/3Pp3/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQ -,e2e4 b8a6 h2h3 c7c6 c1e3 c6d5 c4d5 c8d7 f3d2 h7h6,91
8/1k6/8/5N2/2K5/4B3/8/8 w - -,e3f4 b7b6 c4d5 b6b7 f4c1 b7c7 f5g3 c7b6 c1f4 b6b7,15265
8/3k4/5Q2/3N4/4K3/8/8/8 w - -,e3c5 b7b8 c4d5 b8c7 c5g1 c7b7 d5d6 b7b8 d6c5 b8b7,Mate
r1bqkbnr/pp2ppp1/2n4p/3p4/3P4/2PB4/PP3PPP/RNBQK1NR w KQkq -,c1f4 g8f6 b1d2 d8b6 d1b3 g7g6 h2h3 c8f5 b3b6 a7b6,75
r1bqk2r/pppn1ppp/5n2/4p3/1bP5/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,f1e2 b4c3 b2c3 e8h8 f3d2 d8e7 d1c2 b7b6 a2a4 d7c5,-144
8/2k5/3N4/3K4/5B2/8/8/8 w - -,d6c4 c7b7 f4e5 b7a8 d5c6 a8a7 c4b6 a7a6 c6c5 a6b7,9605
