3r2k1/1p6/2p3pp/R4p2/R3pP2/4Pn2/1P3PKP/5r2 w - -,c3e2 a5a4 b3a2 c6c5 d2d3 g8f6 c2c3 d4c3 b2c3 f8e7,Mate
r2Rr1k1/ppp2ppp/5n2/6B1/8/1PP2b2/2P2PPP/R5K1 w - -,d8a8 e8a8 g5f6 f3g2 f6g7 g2e4 g7e5 e4c2 b3b4 c7c5,-15
2kr2r1/pbp1bp1p/1p3n2/1B1PB3/8/2N2P2/PPP3PP/2KRR3 w - -,e5c7 c8c7 e1e7 c7c8 e7f7 f6d5 c3d5 d8d5 b5f1 h7h6,544
rn2kbnr/pb3ppp/1ppqp3/8/2BP4/2N5/PPP2PPP/R1BQK1NR w KQkq -,g1f3 g8f6 e1h1 b8d7 f3g5 b6b5 c4b3 h7h6 g5e4 d6c7,68
6k1/5pp1/4b2n/8/4R1P1/3B1P2/7P/6K1 w - -,g1f2 g8f8 f2g3 e6d7 e4e5 g7g6 e5a5 d7e6 a5a4 h6g8,492
1N6/8/2P4k/5P2/8/7p/5P1K/8 w - -,g1f2 g8f8 f2g3 e6d7 e4e5 g7g6 e5a5 d7e6 a5a4 h6g8,Mate
3b4/p7/8/1P6/1p1kp3/1P6/P3K3/5N2 w - -,b5b6 d8b6 f1e3 b6c7 e3c4 c7f4 e2f2 d4c3 f2e1 f4c7,-535
2r2rk1/pp1n1pbp/1q1p2p1/2pPp2n/2B1P3/1NP1BQ1P/PP3PP1/R4RK1 w - -,f1e1 f7f5 e4f5 f8f5 f3d1 h5f4 b3d2 c8f8 d2e4 b6c7,110
8/7k/p7/P2b2KP/8/2B5/5P2/8 w - -,f2f4 h7g8 h5h6 g8h7 f4f5 d5g2 c3b4 g2f1 b4d2 f1b5,1196
r1bqkbnr/pppp1ppp/2n1p3/8/3PPP2/6P1/PPP4P/RNBQKBNR w KQkq -,c2c3 d7d5 b1d2 d5e4 d2e4 g8f6 f1g2 f8e7 d1e2 e8h8,84
r3k2r/1p1bbppp/p1n1p3/4q3/Q5P1/2N1B2P/PPP1BP2/2KR3R w kq -,h3h4 a8c8 g4g5 e5c7 a2a3 e8h8 a4e4 c6a5 e3f4 c7c6,84
r3r1k1/1p2p1bp/p1p2pp1/PnNP4/1P1P1B2/1Qn2qP1/2P2P1P/R3R1K1 w - -,f4d2 f3d5 b3d5 c6d5 d2c3 b5c3 e1e3 c3b5 e3e6 f6f5,-380
3r2k1/1n3pbp/p5p1/1p1p4/8/1P2BN2/P4PPP/4R1K1 w - -,e3b6 d8c8 e1d1 c8c2 g2g4 c2a2 d1d5 g7f8 b6e3 a2b2,-54
r1bq1rk1/bpp1n1p1/p4n1p/3p4/3P4/2NBBN1P/PP3PP1/R2QR1K1 w - -,e3f4 c7c6 d1b3 f6h5 f4h2 f8f3 g2f3 a7d4 a1d1 d4f6,86
r5k1/ppp2ppp/5n2/6B1/8/1PP2b2/2P2PPP/R5K1 w - -,g5f6 f3g2 f6g7 g2e4 g7e5 e4c2 b3b4 c7c5 f2f3 a8e8,-16
2rq1rk1/pp1n1pbp/3p2p1/2pPp2n/2B1P3/1NP1BQ1P/PP3PP1/1R3RK1 w - -,b3d2 d8e7 b1e1 f7f5 e4f5 f8f5 f3d1 h5f4 e3f4 f5f4,93
r1bqkbnr/ppp2ppp/2n1p3/3p4/3PPP2/2P3P1/PP5P/RNBQKBNR w KQkq -,b1d2 d5e4 d2e4 g8f6 e4f6 g7f6 f1g2 c6e7 g1h3 h7h5,74
r2qkbnr/pp3ppp/2n5/3Np3/8/5Q2/PPPP1PPP/R1B1K1NR w KQkq -,g1e2 d8d7 e1h1 a8d8 d5e3 g8h6 c2c3 d7d3 a2a4 e5e4,71
r3r2k/1p2p1bp/p1P2pp1/PnN5/1P1P1B2/1Qn2qP1/2P2P1P/R3R1K1 w - -,b3c4 f3c6 f4d2 c3d5 c4d3 f6f5 c2c4 b5d4 c4d5 c6d5,-221
1N6/8/2P5/5P1k/8/7K/5P2/8 w - -,b3c4 f3c6 f4d2 c3d5 c4d3 f6f5 c2c4 b5d4 c4d5 c6d5,Mate
r1bqkbnr/ppp2ppp/2n1p3/8/3PpP2/2P3P1/PP1N3P/R1BQKBNR w KQkq -,d2e4 g8f6 f1g2 f8e7 c1d2 a8b8 e4f6 e7f6 d1e2 e8h8,74
