8/8/8/8/KQ6/8/8/q1k5 w - -,,0
r1bqk2r/1p2bppp/p1nppn2/2p5/P1B1P3/3PBN2/1PP2PPP/RN1Q1RK1 w kq -,b1d2 f6g4 c2c3 g4e3 f2e3 c6a5 c4a2 e8h8 e4e5 d6d5,-31
r1b1kbnr/pppp1ppp/3q4/3N4/8/5P2/PPP1PP1P/R1BQKB1R w KQkq -,c1f4 d6c6 d5c7 e8d8 c7a8 b7b6 e2e4 c6a8 f1b5 f8b4,812
r2qkbnr/pp2pppp/2np4/2p5/3PP3/2N2b1P/PPP2PP1/R1BQKB1R w KQkq -,c3e2 f3e2 f1e2 c5d4 c2c3 d4d3 d1d3 g7g6 e1h1 f8g7,-776
rnbqkb1r/pppp1p1p/5n2/6p1/3PPp2/2N5/PPP3PP/R1BQKBNR w KQkq -,e4e5 f6g8 h2h4 d7d6 d1e2 d6e5 e2e5 d8e7 c3d5 e7e5,325
rnbq3r/ppppnkpp/8/8/1b2P3/2N5/PB3PPP/R2QK1NR w KQ -,d1c2 b8a6 g1f3 d7d6 e1h1 f7f8 a1d1 a6c5 c3d5 b4a5,-310
r2qk2r/ppp2ppp/2n1b3/3np3/1b6/2NP1NP1/PP2PPBP/R1BQK2R w KQkq -,e1f1 b4e7 c1d2 f7f5 h2h4 h7h6 c3d5 e6d5 d2c3 d8d6,-78
rnbqkbnr/pp3ppp/4p3/2p5/2Pp4/1P3NP1/P2PPP1P/RNBQKB1R w KQkq -,b1a3 b8c6 f1g2 f8d6 e2e3 g8f6 e1h1 e8h8 e3d4 c5d4,-75
5r1k/8/4PK2/8/8/8/8/6R1 w - -,b1a3 b8c6 f1g2 f8d6 e2e3 g8f6 e1h1 e8h8 e3d4 c5d4,Mate
r1bqkbnr/pp3ppp/2n1p3/2p5/2Pp4/1P2PNP1/P2P1P1P/RNBQKB1R w KQkq -,b1a3 e6e5 d2d3 f8d6 f1g2 g8f6 e1h1 e8h8 e3d4 c5d4,-70
rnbqkbnr/pp3ppp/8/3pN3/3pP3/8/PPPP1PPP/R1BQKB1R w KQkq -,f1b5 c8d7 d1e2 f8d6 e5d7 b8d7 e1h1 a7a6 e4e5 d6c7,-492
