rn1qkb1r/pb3ppp/1p2pn2/2ppN3/3P4/2P1P3/PP1N1PPP/R1BQKB1R w KQkq -,f1b5 f6d7 d1f3 d8f6 f3g3 a7a6 b5a4 b6b5 a4c2 d7e5,73
8/6k1/5r2/5K2/8/3Q4/8/8 w - -,f1d3 f8e7 e1h1 e8h8 b2b3 b8d7 e5d7 d8d7 c1b2 f6e4,Mate
r4rk1/p1qnbppp/1p2p3/3b4/3N4/P1N1P3/1P2QPPP/2RR2K1 w - -,c3d5 c7d6 d5c7 a8c8 d4b5 d6e5 d1d7 e7f6 c1d1 f8d8,700
r2qkbnr/ppp2pp1/3p3p/4n2b/2B1P3/2N2N1P/PPP2PP1/R1BQK2R w KQkq -,f3e5 d6e5 d1h5 d8d7 e1h1 e8a8 f1d1 f8b4 d1d7 d8d7,1035
8/8/pp1P4/8/3k4/7P/r7/5K2 w - -,h3h4 d4e3 d6d7 a2d2 f1g1 b6b5 g1f1 d2d7 f1g2 b5b4,-5624
rnbqkbnr/ppp2ppp/4p3/8/2P5/3B4/PP3PPP/RNBQK1NR w KQkq -,d1e2 b8c6 b1c3 c6d4 e2e3 g8f6 g1e2 c7c5 e1h1 f8d6,-108
r1bqkb1r/ppp2ppp/1nn5/8/2PN4/2N5/PP3PPP/R1BQKB1R w KQkq -,d1e2 f8e7 d4c6 b7c6 e2c2 c8e6 f1e2 d8d7 e1h1 e6f5,75
r2qnrk1/p2p1ppp/1p2p3/2P5/2n1P3/P1P3N1/5PPP/R1BQ1RK1 w - -,c5b6 a7b6 d1d4 d8c8 f1d1 d7d6 a3a4 c8c6 g3f1 a8a4,-56
r1bqkb1r/pp3ppp/2n1pn2/3p4/4P3/2NQ4/PPP2PPP/R1B1KBNR w KQkq -,g1f3 c6b4 d3e2 d5d4 c3b1 a7a6 a2a3 d8a5 c2c3 d4d3,-106
r2qkb1r/pppnpp1p/5np1/3p4/3P4/2N1P3/PPP2PPP/R1BQK1NR w KQkq -,d1e2 c7c5 g1f3 a8c8 e1h1 f8g7 a2a4 a7a6 c1d2 e7e6,-77
rnbqk2r/pppp2pp/4pn2/5p2/2P5/2bP1NP1/PP2PP1P/R1BQKB1R w KQkq -,b2c3 b7b6 a2a4 b8c6 f1g2 c8b7 f3d4 c6a5 f2f3 e8h8,2
rnbqk2r/pppp2pp/4pn2/5p2/1bP5/3P1NP1/PP2PP1P/RNBQKB1R w KQkq -,b1d2 b4e7 f1g2 b8c6 e1h1 e8h8 a2a3 a7a5 d2b1 d7d6,42
rnbq1rk1/ppp2pbp/8/4N3/2BP1ppP/2n5/PPP3P1/R1BQ1RK1 w - -,e5c6 c3d1 c6d8 g7d4 g1h1 f8d8 c1f4 d1f2 h1h2 c8e6,-578
rn1qk2r/pp2bppp/2p1pn2/3p4/5P2/3P2P1/PPP2PBP/RNBQ1RK1 w kq -,b1d2 a7a5 d2f3 e8h8 a2a4 c6c5 f1e1 b8c6 b2b3 d8c7,63
rnbq1rk1/ppp2p1p/8/4b3/2BP2pP/2P2p2/P1P3P1/R1B1QRK1 w - -,e1e4 e5g7 h4h5 d8d6 c1f4 d6c6 e4c6 b8c6 h5h6 g7f6,-319
