rn1qkbnr/pbp2pp1/1p1pp2p/8/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,d2d4 a7a6 d1e2 f8e7 f1d1 b6b5 c4b3 b8d7 e4e5 d6d5,86
rn1qkb1r/pbp2pp1/1p1ppn1p/8/2BPP3/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,d1e2 a7a6 f1e1 b6b5 c4b3 c7c5 d4d5 e6e5 a2a4 c5c4,92
rnb2r1k/pp3ppn/4p3/3pP1Q1/3p4/2N4N/PPP2PP1/R3K2R w KQ -,d1e2 a7a6 f1e1 b6b5 c4b3 c7c5 d4d5 e6e5 a2a4 c5c4,Mate
2r1b1k1/1p3rb1/p2p2Kp/n1pPp3/P1P1Pp2/2R2P1P/NPQN2B1/2B1R3 w - -,d1e2 a7a6 f1e1 b6b5 c4b3 c7c5 d4d5 e6e5 a2a4 c5c4,Mate
8/5k1K/5PRP/8/8/8/8/r7 w - -,,0
8/1KP1k3/8/R7/8/8/8/1r6 w - -,b7c8 b1b6 a5a7 e7f6 a7b7 b6c6 c8b8 f6g5 b7b5 g5f4,9605
r3r1k1/pp3ppp/2pb1p2/8/3P3n/2P1B3/PP2QPBq/R3RK2 w - -,e2h5 h2g2 f1e2 g2e4 e1h1 h4g2 e2f1 g2e3 f2e3 e4d3,-686
r3r1k1/pp3ppp/2pb4/5p2/3P2Qn/2P1B3/PP3PBq/R3RK2 w - -,g4h4 h2h4 e3d2 e8e4 e1e4 f5e4 a1e1 f7f5 c3c4 f5f4,-614
8/2P1k3/2K5/R7/8/8/8/2r5 w - -,c6b7 e7d7 a5d5 d7e6 d5d2 c1b1 b7c8 e6f6 c8d7 b1b7,9605
rnbq1rk1/pp2bppp/2p2n2/3p2N1/8/2NB4/PPPP1PPP/R1BQ1RK1 w - -,h2h3 h7h6 g5f3 c6c5 f1e1 c8d7 d3f1 d5d4 c3e2 b8c6,-65
r2q1rk1/1b2bppp/p1np1n2/1pp1p3/4P3/2PP1N2/PPB2PPP/R1BQRNK1 w - -,f1g3 d8c7 g3f5 e7d8 a2a4 c6e7 f5g3 a8c8 c2b1 e7g6,41
r3r1k1/pp3ppp/2pb4/5p2/3P4/2P1B2Q/PP3Pnq/R3RK2 w - -,h3h2 g2e3 e1e3 d6h2 e3e8 a8e8 a1e1 e8e1 f1e1 h2c7,-570
r3r1k1/pp3ppp/2pb4/5p1q/3P4/2P1B3/PP3PQ1/R3RK2 w - -,e3d2 f5f4 f2f3 h5b5 f1g1 b5b2 a2a4 b2c2 e1e2 e8e2,-482
