7B/8/8/5K2/p1k5/1p6/8/8 w - -,c3b3 c5d4 h4g6 e4f5 g6f4 f5d7 b3a3 d4e4 a3b4 e4f3,Mate
7Q/2pk2p1/8/1p1q4/1P5p/2PKP3/P7/RNB3r1 w - -,e4e5 f6e8 d2d4 c8g4 h2h3 g4f3 d1f3 b8d7 c3e2 f7f6,Mate
r1b1k1nr/ppp2ppp/8/q2pP3/1b6/2N1BN2/PPP1Q1PP/2KR1B1R w kq -,d1d5 c8d7 d5a5 b4a5 c3e4 e8a8 e3a7 g8e7 e4c5 a5b6,697
r6r/1q3kpp/p3pn2/1pp5/3P1b2/B6R/P1P2PP1/3QRK2 w - -,d4c5 a8d8 d1f3 b7f3 h3f3 f4c7 e1b1 f7g6 c2c4 h7h5,-381
r1bB1rk1/p4pbp/1p1n2p1/2pP4/8/1PN2N1P/P2nBPP1/2RR2K1 w - -,d8e7 g7c3 e7d6 d2f3 e2f3 c3d4 d6f8 g8f8 d5d6 a8b8,194
r2qkbnr/pp3ppp/2n1b3/2ppp3/8/1P1P2P1/PBPNPPBP/R2QK1NR w KQkq -,g1f3 f7f6 e1h1 g8h6 e2e3 f8e7 c2c4 d5d4 e3d4 c5d4,-60
Q2bk1r1/1r1q1p1p/p4B2/2p1p3/8/1P1P3P/P1P2PP1/4RRK1 w - -,g1f3 f7f6 e1h1 g8h6 e2e3 f8e7 c2c4 d5d4 e3d4 c5d4,Mate
r1q1k2r/3pbppp/p3p3/2p5/3Bn3/8/PPP1BPPP/R2Q1RK1 w kq -,e2f3 c5d4 f3e4 d7d5 e4d3 g7g6 d1e2 e8h8 f2f4 c8c7,-133
3r1rk1/1b1qbppp/1p2p3/p2nP3/3P1P2/2N1B3/PP2B1PP/R2Q1RK1 w - -,c3d5 b7d5 e2f3 d5c4 f1f2 b6b5 a1c1 a5a4 f2c2 d8c8,62
6k1/5ppp/8/8/8/8/6K1/2qN3R w - -,h1e1 g7g6 e1g1 g8g7 d1f2 c1c6 g2f1 h7h5 g1g3 c6b5,-603
5rk1/p6r/4b1p1/2p5/2PpPpP1/P4P1B/3N1K2/7R w - -,f2e2 g8g7 e2d3 f8h8 h1b1 h7h3 g4g5 h8f8 b1b3 f8f7,-539
4r3/1p3pk1/p2B1p2/2P3b1/3p2Pp/4rK2/PP5P/3R1R2 w - -,f3g2 e3e2 g2h1 e8e4 b2b4 e2a2 d6c7 h4h3 c7g3 a2c2,-451
r4rk1/2pq2b1/p1np1n2/4p3/PP2Pp2/2N4Q/3BB1P1/R4RK1 w - -,e2c4 f8f7 h3d7 f6d7 c4d5 a8b8 d5c6 b8b4 c6d5 d7f6,325
8/8/8/6p1/2R5/6k1/r7/5K2 w - -,c4c3 g3h2 c3c4 a2g2 c4c7 g5g4 c7h7 h2g3 h7a7 g2c2,-448
r5k1/pp3p1p/6p1/4P1Q1/8/8/P4KPP/1q1q4 w - -,c4c3 g3h2 c3c4 a2g2 c4c7 g5g4 c7h7 h2g3 h7a7 g2c2,Mate
5rk1/p2rnpbp/bp2p1p1/2p1P3/1n1P1P2/3P1NP1/PP3BBP/RN2R1K1 w - -,d4c5 b4d3 e1d1 d3e5 b1c3 d7d1 a1d1 e5d3 f3e5 g7e5,-11
8/8/p3kp2/1p6/1P2P1KP/3p4/P7/8 w - -,g4f3 e6e5 f3e3 d3d2 e3d2 e5e4 h4h5 e4f5 d2e3 f5g5,26
8/8/6k1/1R6/P5P1/8/1p4K1/1r6 w - -,,0
8/8/8/R7/3k3P/5pK1/p5P1/r7 w - -,,0
3r2k1/4qpp1/p3p1bp/1p6/4PQ2/b6P/B1P2PP1/B3R1K1 w - -,c2c4 e7b4 e1f1 b4d2 f4d2 d8d2 a2b1 b5c4 a1c3 d2e2,-307
rn1qk2r/p1p1n2p/3b1p2/1P1p2P1/3P2b1/2P1Q3/1P4PP/RNB1KBNR w KQkq -,g5f6 e8h8 e3g5 e7g6 f6f7 g8h8 g5g4 f8f7 f1d3 b8d7,454
rqN1k2r/3pbppp/p3p3/8/3pn3/8/PPP1BPPP/R2Q1RK1 w kq -,d1d3 e4c5 d3d4 b8c8 d4g7 h8f8 a1d1 a8b8 b2b3 c8d8,-281
7k/6p1/p6p/2p2P2/3q4/1PpQ3P/2P3PK/8 w - -,,0
8/8/8/8/R6P/4kpK1/p5P1/r7 w - -,,0
Q3r3/2pk1p2/2p4p/3p4/6n1/3P1Nq1/PPP3P1/R5K1 w - -,a8e8 d7e8 a2a4 g3f2 g1h1 e8d7 a4a5 g4e3 a1g1 d7c8,Mate
5rk1/p2rnpbp/bp2p1p1/2P1P3/5P2/3n1NP1/PP3BBP/RN2R1K1 w - -,,0
r1b2rk1/pp2p2p/2n2pp1/qBpNb3/5B2/7P/PPP1QPP1/R4RK1 w - -,d5e7 c6e7 f4e5 e7f5 e5c3 a5c7 a1d1 g8g7 g2g4 a7a6,218
8/8/p4p2/1p2k3/1P2P2P/3p1K2/P7/8 w - -,f3e3 d3d2 e3d2 e5e4 h4h5 e4f5 d2e3 f5g5 e3e4 f6f5,25
r3k2r/pp1n1pp1/4p3/q2pP1bp/3P3P/3Q1NP1/PP3KP1/R6R w kq -,b2b4 a5b4 h4g5 b4b2 d3e2 b2e2 f2e2 e8e7 a1b1 d7b6,-89
7Q/2pk2p1/8/1p6/1P5p/2P1P3/P1K5/RNBq2r1 w - -,b2b4 a5b4 h4g5 b4b2 d3e2 b2e2 f2e2 e8e7 a1b1 d7b6,Mate
8/8/6k1/PR6/6P1/8/1p4K1/r7 w - -,,0
6k1/5pp1/4n2p/3N1Q2/3bPP2/7P/6PK/2r5 w - -,d5e7 g8f8 e7g6 f8g8 h3h4 c1c5 g6e7 g8f8 e7d5 g7g6,245
r1br2k1/pp3p1p/4p1p1/q1P5/1nP5/2QBP3/P2N1PPP/R3K2R w KQ -,e1h1 d8d3 c3b2 a5a3 b2a3 d3a3 d2e4 e6e5 e4f6 g8g7,-346
2r2rk1/2R2ppp/2p1p3/2NpP3/p7/4P3/P1P3PP/5RK1 w - -,f1f7 c8c7 f7c7 f8e8 c7c6 g8f7 g1f2 g7g5 f2e2 g5g4,558
r1bqk2r/1ppn1pbp/p2p2p1/6Pn/3NP3/2N1B2P/PPP2P2/R2QKB1R w KQkq -,f1e2 c7c5 d4b3 g7c3 b2c3 d8e7 d1d2 a6a5 e1a1 a5a4,89
7Q/2pk2p1/8/1p6/1P5p/2P1P3/PK6/RNq3r1 w - -,d1d2 e8h8 f1e2 d7e5 e1a1 b7b5 f2f4 e5c4 e2c4 b5c4,Mate
1r3rk1/ppp1bbp1/5p1p/n7/2NPP3/Pq4PP/1BQ2P1K/3RRB2 w - -,c2d2 a5c4 f1c4 b3c4 d4d5 c4a4 f2f4 b8d8 d2c1 c7c6,-369
r1bqk2r/pp2ppbp/2np2p1/4P3/2Q2B2/5N2/PPP2PPP/RN2K2R w KQkq -,f4e3 d6e5 b1c3 e8h8 e1h1 c8e6 c4h4 f7f6 f1e1 d8a5,-217
3q3k/3r2p1/R3P2p/7P/5PQ1/8/3p2PK/8 w - -,f4e3 d6e5 b1c3 e8h8 e1h1 c8e6 c4h4 f7f6 f1e1 d8a5,Mate
8/8/p4p2/1p2k3/1P2P2P/4K3/P2p4/8 w - -,e3d2 e5e4 h4h5 e4f5 d2e3 f5g5 e3e4 f6f5 e4e5 f5f4,18
8/pp3pkp/2p2p2/8/2PP4/P3Q1P1/1Pq1KP2/8 w - -,e3d2 c2c4 e2e3 c4e6 e3f4 a7a5 d2c2 h7h5 a3a4 b7b5,-185
3K4/8/8/8/6Q1/3k4/3p4/8 w - -,e3d2 c2c4 e2e3 c4e6 e3f4 a7a5 d2c2 h7h5 a3a4 b7b5,Mate
8/8/6k1/r7/6P1/8/1R4K1/8 w - -,,0
r2qkbnr/pp3ppp/2n1b3/2p1p3/3pP3/1P1P2P1/PBPN1PBP/R2QK1NR w KQkq -,d1e2 h7h5 g2h3 e6h3 g1h3 d8d7 h3g1 g7g5 e1a1 g8e7,-56
r2qkbnr/pp3ppp/2n1p1b1/1Bpp4/3P1BP1/4PN1P/PPP2P2/RN1QK2R w KQkq -,c2c4 a8c8 c4d5 e6d5 b1c3 c5c4 d1a4 f8d6 b5c4 d5c4,50
5rk1/p2rnpbp/bp2p1p1/2P1n3/5P2/5NP1/PP3BBP/RN1R2K1 w - -,b1c3 d7d1 a1d1 e5d3 f3e5 g7e5 f4e5 b6c5 g2e4 d3f2,-5
rn1qkbnr/pp3pp1/2p1p3/3pP1Pp/5P2/3P1b2/PPP4P/RNBQKB1R w KQkq -,d1f3 g8e7 c1e3 d5d4 e3f2 d8b6 b2b3 b6a5 e1d1 b8a6,11
Q2b1kr1/1r1q1p1p/p4B2/2p1R3/8/1P1P3P/P1P2PP1/5RK1 w - -,d1f3 g8e7 c1e3 d5d4 e3f2 d8b6 b2b3 b6a5 e1d1 b8a6,Mate
r1bq3k/ppp4p/3p1nr1/3Pp3/2P1Pp1b/1PN2P2/P1KQN3/R4BR1 w - -,f1h3 c8h3 g1g6 h7g6 a1h1 h3d7 h1h4 h8g7 d2e1 d8e7,-155
r1b2rk1/3n4/p1pq3p/3p1p2/3P2p1/2N2NP1/PP1Q2PP/2R1R1K1 w - -,f3e5 d7e5 d4e5 d6c5 g1h1 c5e7 d2h6 c8b7 c3a4 e7g7,314
r2qk2r/1p3p2/p1p2Ppp/4p3/3nB3/3P2PP/PPP1Q2K/R4R2 w kq -,e2d2 d8c7 a2a4 e8a8 b2b4 d8d6 a1b1 c8b8 b1b2 h6h5,72
8/8/p4p2/1p6/1P2k2P/8/P2K4/8 w - -,h4h5 e4f5 d2e3 f5g5 e3e4 f6f5 e4e5 f5f4 h5h6 f4f3,14
8/8/8/r5k1/6P1/6K1/1R6/8 w - -,,0
6k1/2pn2pp/2N1Rp2/3p4/3P1P2/2P5/1r3P1P/1r4K1 w - -,g1g2 g8f8 e6e3 b2c2 c6b4 b1b4 c3b4 c2c4 b4b5 c4d4,-546
r4rk1/1b2bppp/pqn1pn2/1p1pN3/3P4/1NPB3P/PP3PPB/R2QR1K1 w - -,e5g4 f6d7 d3c2 c6d8 d1d3 f7f5 g4e5 b7c8 a2a4 b5a4,96
7Q/2pk2p1/8/1p6/1P5p/1KP1P3/P7/RN1q2r1 w - -,h2f4 c6e5 d4e5 f6e4 f4e3 b6c7 e3d4 f8c8 a1c1 e7g5,Mate
1r1r2k1/p4pp1/2pBp3/2P5/7P/1Q3RP1/PP1q4/5K2 w - -,b3d3 d2c1 f1g2 b8b2 g2h3 c1h1 h3g4 b2b4 f3f4 b4f4,-565
r2q1rk1/ppp5/3p2p1/3P1p2/2P5/2N2Q2/PP3PPP/R4RK1 w - -,f1e1 d8g5 e1e6 f8f6 c4c5 b7b5 c5b6 a7b6 a2a3 b6b5,563
r1bqkbnr/ppp2pp1/2n4p/3pp3/3P4/2P5/PP1BPPPP/RN1QKBNR w KQkq -,d4e5 c6e5 d2f4 e5g6 f4g3 g8f6 e2e3 h6h5 h2h3 f6e4,-28
r4rk1/p1p2ppp/1q3n2/3p4/n2N4/B1PP3P/P1P1QPP1/3R1RK1 w - -,a3f8 a4c3 e2e5 c3d1 f8g7 g8g7 f1d1 g7h8 e5f4 a8e8,314
r1bq1rk1/ppp4p/1n1p4/3Pp1pP/2P5/2N1Q3/PP3PP1/R3KB1R w KQ -,c4c5 b6d7 c5d6 c7d6 h5h6 g8h8 f1e2 d7f6 f2f3 g5g4,78
8/pp3pkp/2p2p2/3q4/3P4/P3Q1P1/1P3PK1/8 w - -,f2f3 h7h5 e3c3 d5e6 c3d2 e6b3 g2f2 a7a5 f2g2 b3a2,-232
r4rk1/pb3p1p/1pn1pp2/3q4/3P4/P4N2/1P3PPP/R1BQR1K1 w - -,h2h3 c6e7 c1f4 f8c8 d1d3 g8h8 a1c1 c8g8 g1h2 g8g7,-78
8/8/p4p2/1p3k1P/1P6/8/P2K4/8 w - -,d2e3 f5g5 e3e4 f6f5 e4e5 f5f4 h5h6 f4f3 h6h7 f3f2,15
rn1qk2r/1bppb1pp/1p2pn2/p3Np2/3P4/2N1P3/PPP1BPPP/R1BQ1RK1 w kq -,b2b3 e8h8 e5d3 b8c6 a2a3 f6e4 c1b2 e7g5 c3b5 c6e7,23
1r3rk1/ppp1bbp1/5p1p/8/2NPP3/Pn4PP/1B3P1K/3RRB2 w - -,c4e3 f8e8 f2f4 b7b5 e4e5 b5b4 a3b4 e7b4 e1e2 a7a5,40
5rk1/p3npbp/bp2p1p1/2P1n3/5P2/2N2NP1/PP3BBP/R2r2K1 w - -,a1d1 e5d3 f3e5 g7e5 f4e5 b6c5 g2e4 d3f2 g1f2 f8b8,-2
r3kbnr/ppq3pp/2b1pp2/2ppP3/3P4/2P2N2/PP3PPP/R1BQK1NR w KQkq -,c1f4 c7f7 g1e2 g8e7 h2h4 h7h5 e1h1 c5c4 f1e1 e7g6,53
8/8/8/3r2k1/6P1/1R4K1/8/8 w - -,,0
rn1q1rk1/pp1bppbp/5np1/1Bp1N3/8/2P5/PP1PQPPP/RNB2RK1 w - -,a2a4 d7f5 d2d4 c5d4 f1d1 d8d6 c3d4 a7a6 b5c4 b8c6,-25
3q3k/3r2p1/R6p/4P2P/5PQ1/3p4/6PK/8 w - -,e5e6 d7e7 a6a1 d8d5 a1c1 d5e6 c1c8 h8h7 g4e6 e7e6,3
rn2rk2/2qb1ppB/p2b4/1ppP2p1/2P5/4B3/PPQ1NP2/2KR3R w - -,e3g5 b5c4 h7f5 f7f6 f5g6 f8e7 c2e4 e7d8 g6e8 d7e8,771
r1bqkbnr/pppn3p/3pp1p1/5p2/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq -,g2g3 e6e5 b1c3 f8g7 g1e2 c7c6 a2a4 g8e7 b2b3 e8h8,31
r1bqk2r/1p1n1pbp/p2p2p1/2p3Pn/3NP3/2N1B2P/PPP1BP2/R2QK2R w KQkq -,d4b3 g7c3 b2c3 d8e7 d1d2 a6a5 e1a1 a5a4 b3a1 d7e5,83
8/8/8/r5k1/6P1/1R3K2/8/8 w - -,,0
r2qk2r/1p3p2/p1p2Ppp/4p3/3nB3/3P2PP/PPP4K/R3QR2 w kq -,e1d2 d8c7 a2a4 h6h5 h3h4 e8a8 b2b4 d8d6 a1b1 c8b8,76
r3qrk1/p1p2p1p/3p1Qn1/1p2p3/2B1P3/2P3RP/PPP2PP1/R5K1 w - -,c4d5 c7c6 g3g6 h7g6 f6g6 g8h8 g6h6 h8g8 d5b3 d6d5,527
8/pp3pkp/2p2p2/1q6/3P4/P3QPP1/1P4K1/8 w - -,b2b3 h7h5 b3b4 a7a5 b4a5 b5a5 g2h3 a5f5 g3g4 f5g5,-237
r3k2r/pp1q1pbp/2p5/4p1P1/3pP2Q/1P1b4/PB1P1RPP/R5KN w kq -,h1g3 g7f8 h4h5 e8a8 f2f7 d7e8 h5f3 f8b4 f7f6 d3b5,200
5rk1/p3npbp/bp2p1p1/2P5/5P2/2Nn1NP1/PP3BBP/3R2K1 w - -,f3e5 g7e5 f4e5 b6c5 g2e4 d3f2 g1f2 f8b8 b2b3 c5c4,-3
8/8/3kn3/1Q3pp1/5n1p/5P2/6PP/5K2 w - -,b5f5 f4d5 f1f2 d5f4 f5b1 f4d5 b1b8 d6e7 b8e5 d5f4,435
r6r/1q3kpp/p3pn2/1pp3b1/3P4/B4R2/P1P2PP1/3QRK2 w - -,d1e2 h8e8 a3c5 f7g8 e2d3 h7h6 e1e5 b7f7 f1g1 a8d8,-386
r4rk1/1bpqbppp/2n1p3/p2nP3/2NP1P2/2N1B3/PP2B1PP/R2Q1RK1 w - -,e3f2 d5f4 e2f3 a8d8 d1a4 e7b4 g1h1 f4d3 a1d1 d3f2,27
rq5r/3pkppp/p3p3/8/3pn3/8/PPP1BPPP/R2Q1RK1 w - -,d1d4 e4f6 e2f3 a8a7 c2c4 h8c8 f1c1 a6a5 c4c5 e7f8,64
r2qkb1r/ppp1npp1/2n1b2p/1B1pp3/3P4/2P1P3/PP1B1PPP/RN1QK1NR w KQkq -,g1e2 a7a6 b5a4 d8d6 b2b4 h6h5 d4e5 d6e5 b1a3 h5h4,-39
8/pp3pkp/2p2p2/5q2/3P4/PP2QPP1/6K1/8 w - -,e3e2 h7h5 b3b4 f5d5 e2b2 d5g5 g2f2 g5f5 f2g2 f5d3,-268
r1bqk2r/1p1n1pbp/p2p4/2p2pPn/4P3/2N1B2P/PPP1BP2/R2QK2R w KQkq -,e2h5 g7c3 b2c3 d7e5 f2f4 e5g6 e4e5 d6d5 h3h4 c8e6,82
3K4/8/8/8/8/4k3/3p4/3Q4 w - -,c3d5 f5e4 e2h5 d7e5 d1e2 c8e6 e1a1 e5d3 c2d3 e6d5,Mate
r2q1rk1/pp1nppbp/5np1/1Bp5/8/2P5/PP1PQPPP/RNB2RK1 w - -,a2a4 f6d5 d2d3 d7e5 b5c4 a7a6 g2g3 d8d7 a4a5 a8d8,-12
5rk1/p3np1p/bp2p1p1/2P1b3/5P2/2Nn2P1/PP3BBP/3R2K1 w - -,f4e5 b6c5 g2e4 d3f2 g1f2 f8b8 b2b3 c5c4 d1d6 a6b7,-3
r2q1rk1/ppp1bp2/3p4/4p2Q/3nP3/2NP1B1P/PPP2nP1/2KR3R w - -,h3h4 g8g7 h1f1 f8h8 f1f2 h8h5 f3h5 e7h4 f2f7 g7g8,-298
rnbq1rk1/pp2bppp/4p3/3n4/3P4/P1N2N2/1P3PPP/R1BQKB1R w KQ -,f1d3 d5c3 b2c3 d8c7 d1c2 h7h6 e1h1 b8d7 c1e3 e7d6,10
2r2rk1/p1qn2p1/1pp1ppp1/8/2PPN1Pn/1Q6/PP3P1P/3RR1KB w - -,d4d5 g6g5 d5e6 d7e5 c4c5 g8h8 e4d6 c8b8 b3g3 c7e7,283
4rrk1/1ppq3p/1pnp1Pp1/2n1p1Q1/2P5/1PB1PR2/P5PP/RB4K1 w - -,d4d5 g6g5 d5e6 d7e5 c4c5 g8h8 e4d6 c8b8 b3g3 c7e7,Mate
3r1qk1/5pp1/p3p1bp/1p2Q3/4P3/b6P/B1P2PP1/B3R1K1 w - -,a2b3 a3d6 e5b2 d6c5 c2c4 b5b4 h3h4 a6a5 b2e5 d8d2,-321
r3r1k1/5p2/7p/pp1p4/3PbPpN/2P5/PP3P1P/R3R1K1 w - -,h2h3 h6h5 e1e3 b5b4 g1h2 a8b8 b2b3 b8c8 c3b4 a5b4,19
r2q1rk1/3b1p1p/3p1npQ/p7/N2pP3/1B3P2/1PP3P1/R3K2R w KQ -,g2g4 d7e6 b3e6 f7e6 e1a1 e6e5 g4g5 f6h5 h1h5 g6h5,-62
5rk1/R1p3pp/3p4/2pPp1b1/2P1B2q/1PQ2P2/6PP/6K1 w - -,,0
5rk1/p3np1p/b3p1p1/2p1P3/8/2Nn2P1/PP3BBP/3R2K1 w - -,g2e4 d3f2 g1f2 f8b8 b2b3 c5c4 d1d6 a6b7 b3c4 b7e4,-2
8/1R6/8/3p4/3kp1p1/1P6/pb3P2/1Bn2K2 w - -,b1a2 c1a2 b3b4 a2c3 b4b5 d4c5 b5b6 c3a4 b7b8 a4b6,-499
rnbqk2r/pp3pp1/3p1n1p/2bpp3/2P1P3/2N2N1P/PP3PP1/R1BQKB1R w KQkq -,c4d5 e8h8 f1d3 c8d7 e1h1 a7a5 c3e2 b8a6 e2g3 a5a4,16
8/3K4/8/8/8/3k4/3p4/3Q4 w - -,c4d5 e8h8 f1d3 c8d7 e1h1 a7a5 c3e2 b8a6 e2g3 a5a4,Mate
8/4k3/3p1p2/1bpP2p1/1p2P1P1/1P3P2/2Q1NK2/q7 w - -,f3f4 a1h1 f4f5 e7f8 c2b2 f8g7 b2c2 h1h3 c2a2 h3h2,-394
r1bqk2r/bp3ppp/p3p3/4Q3/3n1P2/1P1P3P/PBP1B3/RNK4R w kq -,a2a4 e8h8 e2f3 f7f6 e5e4 d4f3 e4f3 d8c7 h1h2 c8d7,-120
r1bqkb1r/pppn3p/3p1np1/4pp2/2PP4/1PN1P3/P4PPP/R1BQKBNR w KQkq -,g2g3 f8g7 g1e2 e8h8 f1g2 e5e4 a2a4 c7c6 c1a3 d7b8,27
r1b2rk1/pp2n2p/5pp1/qBp1b3/5B2/7P/PPP1QPP1/R4RK1 w - -,f4e5 a5b6 e5c3 e7c6 f1e1 g8h8 b5c6 b6c6 a1d1 c8f5,220
2rr1k2/pp3ppp/5n2/5N2/3N4/8/P4PPP/R5K1 w - -,d4b3 d8d3 f5e3 g7g6 h2h3 b7b6 a1b1 f8g7 b1f1 d3d8,-509
8/8/3kn3/3n1Qp1/7p/5P2/6PP/5K2 w - -,f1f2 d5e7 f5b1 e7d5 b1b8 d6e7 b8e5 d5f4 e5b5 f4h5,444
1r3rk1/p1p1bbp1/5p1p/1p6/2NPP3/Pn2R1PP/1B3P1K/3R1B2 w - -,c4b6 b8b6 d4d5 b3a5 e3c3 a5c4 b2c1 f7h5 d1e1 e7d6,-375
5rk1/p3np1p/b3p1p1/2p1P3/4B3/2N3P1/PP3n1P/3R2K1 w - -,g1f2 f8b8 b2b3 c5c4 d1d6 a6b7 b3c4 b7e4 c3e4 b8b2,-3
r5k1/pp2Qp1p/6p1/4P3/8/8/q4KPP/3q4 w - -,g1f2 f8b8 b2b3 c5c4 d1d6 a6b7 b3c4 b7e4 c3e4 b8b2,Mate
8/8/5p2/5Np1/5kP1/7P/3r1K2/8 w - -,f2g1 d2a2 g1h1 f4f3 h1g1 a2a1 g1h2 a1d1 f5g7 d1d2,-767
r3r1k1/5p2/8/pp1p3p/3PbPpN/2P4P/PP3P2/R3R1K1 w - -,g1h2 f7f5 h2g3 g8f7 h3g4 f5g4 f4f5 f7f6 g3f4 a5a4,29
rn2kb1r/ppq1pppp/2pp1n2/5b2/2PP4/P1N4P/1P1BPPP1/R2QKBNR w KQkq -,g2g4 f5g6 f1g2 e7e5 e2e3 f8e7 g1e2 b8d7 e1h1 e8h8,72
r1bqk2r/1ppn1pbp/p2p1np1/4p3/3PP1P1/2N1BN1P/PPP2P2/R2QKB1R w KQkq -,d4e5 d6e5 d1d2 b7b5 g4g5 f6h5 a2a4 b5a4 c3a4 e8h8,84
r3k2r/pp3ppp/2n1pb2/1B1q4/3P4/5Q2/PPP2PPP/R3K2R w KQkq -,a2a4 d5f3 g2f3 f6d4 c2c3 d4f6 a4a5 a7a6 b5c6 b7c6,-521
r2q1rk1/pp1n1pbp/4pnp1/1Bp5/8/2PP4/PP2QPPP/RNB2RK1 w - -,b5c4 d8c7 f1e1 f6d5 b1d2 d7e5 d2f3 e5c4 d3c4 d5f4,-4
r5k1/pp2Qp1p/6p1/4P3/8/4K3/q5PP/2q5 w - -,b5c4 d8c7 f1e1 f6d5 b1d2 d7e5 d2f3 e5c4 d3c4 d5f4,Mate
2r2r2/3b2bk/p2R3p/1p1qnp2/5N2/2P5/PPN1B1PP/5R1K w - -,d6d5 d7c6 d5d1 c6e4 c2e3 g7f6 e3d5 f6h4 e2f3 e5f3,112
1rb1k3/2q1bpp1/2ppp3/p5P1/R3P1n1/2N1B3/PPP2P2/2K2B1Q w - -,e3d2 b8b4 h1h8 e7f8 h8h4 g4e5 h4g3 e5g6 a2a3 b4a4,95
rn3rk1/pp3ppp/3b4/8/3p4/4BNP1/PP2PP1P/2KR3R w - -,e3d4 d6e7 d4e3 f8e8 c1b1 h7h6 d1d5 b8c6 d5d7 b7b6,183
r6r/1bq2kpp/p3p3/1pp5/3PRb2/B6R/P1P2PP1/3Q1K2 w - -,d1f3 b7e4 f3e4 a8d8 a3c5 f4g5 h3f3 g5f6 a2a4 c7c8,-372
5rk1/p1p2ppp/1q3n2/3p4/n2N4/2PP3P/P1P1QPP1/3R1RK1 w - -,e2d2 c7c5 d4f5 g7g6 d1b1 b6e6 f5g3 e6a6 f1e1 a6a5,378
8/8/8/5B2/8/KNk5/8/8 w - -,f5e4 c3c4 a3b2 c4b5 b2c3 b5b6 b3d4 b6c7 d4f5 c7d7,178
3r4/pp4kp/8/2PQP1b1/3P4/8/P1q3PP/5RK1 w - -,f1f7 g7h8 d5f3 c2b1 g1f2 d8d4 f7f8 h8g7 f3f7 g7h6,-247
1r4k1/p6r/4b1p1/2p5/2PpPpP1/PN3P1B/5K2/7R w - -,b3d2 b8b2 f2e2 d4d3 e2d3 h7d7 d3c3 d7d2 h1c1 d2f2,-794
r1q2rk1/2p1n1b1/p1Pp4/4p3/PP2Ppn1/2NQ4/3BB1P1/R4RK1 w - -,d3h3 g4h6 h3c8 f8c8 b4b5 g7f6 b5a6 g8g7 c3b5 d6d5,168
r2q1rk1/pb1nbpp1/1p2p2p/8/1p1P4/P1Q1PN2/1B2BPPP/R4RK1 w - -,c3c2 a7a5 a3b4 e7b4 c2a4 d8e7 e2b5 b7f3 g2f3 d7f6,-265
rn1qk1nr/pb1pppbp/1p4p1/2P5/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c5b6 d8b6 f1c4 g7c3 b2c3 g8f6 e1h1 b6c5 d1e2 f6e4,95
rnbqk2r/pp3ppp/3p4/2pNp1b1/2B1P3/3P4/PPP2PPP/R2QK1NR w KQkq -,g1f3 e8h8 f3g5 d8g5 e1h1 b8c6 a2a4 a8b8 c2c3 c8e6,36
3r1qk1/4bpp1/p3p1bp/1p2Q3/4P2P/8/B1P2PP1/B3R1K1 w - -,h4h5 g6h7 e5f4 a6a5 c2c4 b5b4 a2b3 e7c5 f4e5 d8d2,-250
r2k3r/pp1b1Bpp/2n2n2/4p1B1/1b2P3/2N5/PP3PPP/2KR2NR w - -,g5f6 g7f6 f7e6 c6d4 e6d7 d8d7 g1e2 b4c5 e2d4 e5d4,283
5rk1/p1qrnpbp/bpn1p1p1/2ppP3/5P2/2PP1NP1/PPQ2BBP/RN2R1K1 w - -,b1d2 h7h6 a1c1 f8c8 g2f1 c7d8 a2a3 a6b7 f1h3 d5d4,41
rn1qk2r/pp2nppp/2p1p1b1/3p4/1bPP1B2/2NBPN2/PP3PPP/R2QK2R w KQkq -,e1h1 e8h8 c4c5 g6d3 d1d3 b4a5 c3e2 b8d7 b2b4 a5c7,48
8/8/4K3/8/8/2k5/3p4/3Q4 w - -,d1d2 b8d7 e1h1 d5c4 d3c4 d7f6 c4d3 e8h8 a2a3 g6d3,Mate
8/pp3pkp/2p2p2/8/3Pq3/PP3PP1/6K1/8 w - -,b3b4 e4d4 f3f4 d4b2 g2h3 b2a3 b4b5 c6b5 h3g2 a3e3,-3903
5rk1/R1p3pp/3p4/2pPp1b1/2P1B3/1PQ2PPq/7P/6K1 w - -,,0
8/8/8/2N2B2/2k5/K7/8/8 w - -,c5d3 c4c3 f5g6 c3c2 a3b4 c2d2 b4b3 d2e3 b3c3 e3f3,171
r1bqk2r/1ppn1pbp/p4np1/4p3/4P1P1/2N1BN1P/PPP2P2/R2QKB1R w KQkq -,a2a4 e8h8 d1d2 a8b8 g4g5 f6h5 e1a1 c7c6 d2d6 f8e8,88
rn3rk1/pp2bppp/8/8/3B4/5NP1/PP2PP1P/2KR3R w - -,d4e3 e7f6 c1b1 h7h6 f3d4 f8d8 d1d2 b8d7 h1c1 d7e5,189
r3qrk1/p4p2/2pp3Q/1p1Bp3/4P3/2P4P/PPP2PP1/R5K1 w - -,h6g6 g8h8 g6h6 h8g8 a1d1 c6d5 d1d3 e8e6 d3g3 e6g6,482
1r3rk1/p1p1bbp1/5p1p/np6/3PP3/P3R1PP/1B1N1P1K/3R1B2 w - -,b2c3 a5c4 d2c4 f7c4 f1c4 b5c4 c3e1 b8b3 d1c1 b3e3,25
