5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
2r2rk1/pb1n1pp1/2p1pb1p/q7/Np1P4/3BPN2/PP2QPPP/2R2RK1 w - -,a4c5 d7c5 c1c5 a5c7 f1c1 f6e7 c5c2 c7a5 f3e5 c6c5,71
2b1qrk1/1pppbpp1/1r5p/p3P2P/3p1PP1/3P4/PPPBB1Q1/2KR3R w - -,g4g5 h6g5 d1e1 d7d6 e5d6 e7d6 h1g1 e8b5 g2g5 b5g5,106
r4k2/pR1n4/3Pb1p1/2p1p2p/4P2q/2P5/P3B1P1/2BQ2K1 w - -,d1f1 h4f6 f1f6 d7f6 c1h6 f8g8 b7g7 g8h8 g7e7 a8d8,530
r4rk1/5p1p/p3p1p1/4b3/1p5P/3B1P2/PPP5/1K1R3R w - -,d1e1 e5f6 e1e4 a6a5 e4f4 f6g7 h4h5 a8c8 h5g6 h7g6,-237
r4rk1/4npbp/2n1b1p1/ppB5/4P3/P4NPP/3R1PB1/1N1R2K1 w - -,g3g4 a8c8 e4e5 f8e8 c5d6 b5b4 g2f1 h7h5 f1a6 c8a8,-36
r7/p1pp1k2/1p6/3P4/5P2/2n1K3/P6P/6R1 w - -,e3d3 c3d5 d3d4 d5f6 g1c1 c7c5 d4c4 a8h8 c4b5 h8h2,-562
1b1r2k1/pR3r2/2p1b2B/8/P2PP1p1/5B2/5KP1/3R4 w - -,b7f7 g8f7 f3e2 e6b3 d1h1 b3a4 f2e3 c6c5 d4c5 b8e5,147
8/8/1p1k2p1/PP3p1p/5P2/1K4P1/7P/8 w - -,a5b6 d6d5 b6b7 g6g5 f4g5 d5c5 b7b8q f5f4 g3f4 h5h4,1341
1r4k1/5ppp/1p6/pR6/N1rP4/5BP1/5PKP/8 w - -,,0
r1bqkb1r/pp3pp1/2n1p2p/3pPn2/3P4/2N2N2/PP2BPPP/R1BQK2R w KQkq -,e1h1 c8d7 g1h1 f8e7 g2g4 f5h4 f3h4 e7h4 c1e3 f7f6,59
2r2rk1/pb3pp1/2p1pb1p/q1n5/1p1P4/3BPN2/PP2QPPP/2R2RK1 w - -,c1c5 a5b6 f1c1 f8d8 c5c2 f6e7 f3e5 c6c5 e2h5 d8f8,79
r3rbk1/1p1n1pp1/1qp1bn1p/3pp3/p3P3/P2P1NNP/BPP1QPP1/R1B1R1K1 w - -,e1d1 g7g6 c2c3 d5e4 g3e4 e6a2 e4f6 d7f6 a1a2 b6b3,-78
r4rk1/4qppp/2p1p3/p1Np1b2/3P4/2P4P/PP3PP1/R2Q1RK1 w - -,f1e1 h7h6 a2a4 e7d6 d1d2 f8b8 b2b4 a8a7 e1e2 g8h8,96
r1bq1rk1/ppp2pbp/6p1/3n4/3n4/1P4P1/PB2PPBP/RN1Q1RK1 w - -,a2a3 d5b6 a3a4 a7a5 a1a2 d4e6 b2a3 d8d1 f1d1 f8e8,-423
1rbq2k1/2p2pp1/2p3r1/p2pP2p/3Pn3/5NB1/PP3PPP/RNQ2RK1 w - -,b1d2 b8b4 f1e1 c6c5 e5e6 g6e6 d4c5 e4g3 h2g3 e6e1,452
8/p1k5/7K/1pPn4/2n5/Pr1p2P1/1P1R1P1P/2R5 w - -,d2d3 b3d3 a3a4 a7a6 h2h4 d3f3 c1c2 c4e5 a4b5 a6b5,-322
3q1b1R/1r1k1r2/p1p2nQ1/1pBbpP2/8/P2B1p2/1PP5/1K4R1 w - -,g1e1 f8c5 h8d8 d7d8 e1e5 f3f2 d3f1 d8c8 a3a4 b7e7,-563
r1b1kb1r/ppqn1ppp/2p2n2/4p3/4P3/2NB1N2/PPPBQPPP/R3K2R w KQkq -,e1h1 f8d6 c3d1 d7c5 b2b4 c5d3 c2d3 e8h8 d1e3 f8e8,20
2r2rk1/pb3pp1/1qp1pb1p/2R5/1p1P4/3BPN2/PP2QPPP/5RK1 w - -,f1c1 f8d8 c5c2 f6e7 f3e5 c6c5 e2h5 d8f8 b2b3 c8c7,70
r1bq1rk1/1p2ppbp/3p2p1/pNn5/2PnP3/2N5/PP1BBPPP/R2Q1RK1 w - -,d2e3 d4b5 c4b5 a5a4 e3d4 g7d4 d1d4 e7e5 d4e3 c5e6,16
rr5k/5p2/2ppbb2/6Q1/pp2P2P/P1N5/1PP5/1K6 w - -,g5e3 b4c3 e3h6 h8g8 h6f6 c3b2 f6g5 g8f8 g5g1 e6a2,-630
4r1k1/2b2qp1/R1p1rp1p/1pPp4/1P1PP3/3Q2PP/4R1KB/8 w - -,d3d2 d5e4 d2a2 f6f5 a6a8 e8a8 a2a8 g8h7 d4d5 c6d5,-233
r2qkb1r/pp1nnppp/2p1p1b1/3pP3/3P3N/3BB3/PPP2PPP/RN1QK2R w KQkq -,h4g6 h7g6 b1d2 e7f5 d2f3 f5e3 f2e3 g6g5 g2g4 f8e7,12
rkr5/pppQB2p/2n5/8/3p4/8/PPP2PPP/4R1K1 w - -,f2f4 c6e7 d7e7 b7b6 f4f5 b8b7 f5f6 h7h5 f6f7 a8b8,714
3rr1k1/pp3p1p/4pp2/2b5/6P1/2P2N1P/PP3P2/R3R1K1 w - -,e1d1 g8g7 g1f1 a7a5 f1e2 b7b6 d1d2 d8d2 f3d2 f6f5,9
rn1qkb1r/1bp1pppp/p4n2/1p2N3/3P4/2N1B3/PPP3PP/R2QKB1R w KQkq -,a2a3 b8d7 f1e2 e7e6 e2f3 d8c8 e5d7 f6d7 e1h1 f8d6,-58
rnb1k1nr/pppp1p1p/3b4/1B6/4P1Nq/8/PPPP1PPP/RNBQ1RK1 w kq -,g2g3 h4d8 g4e3 h7h5 d2d4 c7c6 b5c4 d6c7 h2h4 d7d6,838
3r2k1/4qpp1/1n5p/1pN1p3/1PpP4/4P3/1Q3PPP/r3R1K1 w - -,b2a1 d8a8 a1b1 e5d4 e3d4 e7d6 h2h3 d6d4 e1d1 d4e5,-159
r2qk2r/ppp2pp1/2nbpn2/7p/3P4/P1NQBN1P/1PP3P1/R3K2R w KQkq -,e1a1 d8d7 c1b1 a7a6 h1e1 e8a8 e3f2 d6e7 d3f1 d7e8,-11
1k1r3r/pp3pp1/3q1n1p/2pp2bP/1PP5/Q3NP2/P2B2P1/3R1K1R w - -,b4c5 d6e6 c4d5 f6d5 e3d5 d8d5 d1e1 e6c6 d2g5 h6g5,-124
