5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
8/8/8/5pp1/k2K3p/8/6PP/8 w - -,,0
r2qkbnr/3p1ppp/b1p5/p3p3/4P3/2N5/PPP1BPPP/R1BQK2R w KQkq -,e2a6 a8a6 f2f4 a6a8 e1h1 d7d6 d1f3 g8f6 f4e5 d6e5,90
2b3k1/1ppp1r2/7p/p7/3pP1B1/3P4/3K4/2R4R w - -,c1c7 f7f2 g4e2 f2g2 h1f1 g8g7 c7c8 a5a4 c8c7 g2g5,640
r1b1kb1r/pp1pnppp/1qn1p3/1B4B1/4P3/2N2N2/PP3PPP/R2QK2R w KQkq -,a1c1 e7g6 g5e3 f8c5 c3d5 e6d5 c1c5 d5d4 e3d4 c6d4,50
r1bq1rk1/p1pp1ppp/2p5/2bnP3/2B5/8/PPP2PPP/RNBQ1RK1 w - -,c4d5 c8a6 d5b3 a6f1 d1f1 d8e7 c1f4 d7d5 e5d6 c7d6,280
r7/1p3kpp/p4p2/2rPpP2/1P2P3/3B1bP1/3K3P/2R5 w - -,b4c5 a8a7 c1b1 f7e7 b1b6 f3h5 b6e6 e7d8 d5d6 a7a8,380
q2r2k1/pp3pb1/6pp/4p3/2Pn4/4B2P/PP3PP1/2RBQbK1 w - -,,0
6k1/5pp1/4p1p1/8/1p1r4/8/PP1q1PPP/1Q3RK1 w - -,h2h3 d2e2 f1e1 e2c4 b2b3 c4d5 b1c1 d4d2 c1c8 g8h7,-9
4R3/8/2k5/4P1K1/8/8/8/4r3 w - -,g5f6 c6d7 e8e7 d7d8 e7g7 e1f1 f6e6 f1e1 g7d7 d8e8,17
3r1rk1/p1q1b1pp/8/1p2np2/4p3/1NP1QP2/PP1N2PP/R2R2K1 w - -,a2a3 e5d3 f3e4 f5f4 e3e2 d3b2 d1f1 a7a6 a1c1 b2a4,-186
4k3/p1n5/1pp3P1/4KN2/8/8/PPP5/8 w - -,e5d6 c7d5 a2a3 d5f6 d6c6 e8d8 g6g7 b6b5 c6b5 d8d7,755
2kr2nr/pppqbp2/2n5/4Pb1p/3p4/3BPNB1/PPP1QPP1/RN2K2R w KQ -,e3d4 c6d4 f3d4 f5d3 e2d3 d7d4 d3d4 d8d4 b1c3 e7b4,94
4rrk1/p1qb3p/1p2ppp1/2p2n2/2PPQ3/3B1NP1/PP2RPP1/4R1K1 w - -,e4f4 c7f4 g3f4 f5d4 f3d4 c5d4 e2e4 d7c8 e4d4 e8d8,-8
3k4/ppp3pp/5p2/4b3/6P1/2P1B2P/PP3P2/2K5 w - -,c1c2 e5d6 f2f4 d8e7 c2d3 a7a6 f4f5 d6g3 e3c5 e7f7,15
8/5pk1/6p1/2b2r1p/8/3R2PP/5NK1/8 w - -,f2e4 c5e7 h3h4 f5e5 g2f3 e5a5 d3b3 a5a7 b3d3 a7a8,-17
8/1b4pp/1p1r1k2/r1n2p2/2B2N1P/P1R1KP2/6P1/1R6 w - -,b1b4 g7g6 e3f2 c5d7 c4g8 f6g7 g8e6 d7c5 c3e3 h7h6,4
1b3r2/6p1/6k1/8/7P/4Q2K/8/8 w - -,e3e7 f8f3 h3g2 f3f4 e7e8 g6h7 h4h5 f4h4 e8b5 b8d6,4
r1b2rk1/pp1nppbp/2p3p1/q2p4/N1PPnB2/1P3NP1/P3PPBP/R2Q1RK1 w - -,d1c2 d7b6 f4c7 a5a6 c7b6 a7b6 c4d5 c6d5 c2c7 c8e6,25
8/8/8/1R4p1/2pp1r2/P2k4/6PP/4R1K1 w - -,g2g3 f4f7 e1d1 d3c3 d1c1 c3d3 b5c5 f7a7 c5c4 a7a3,607
r4rk1/pppq2p1/2n3pp/3np3/8/1BPP2NP/PP3bP1/R1BQR1K1 w - -,g1h2 f2e1 d1e1 g8h8 g3e4 c6e7 e1g3 d5f4 e4c5 d7c6,-307
2b5/5p2/2P5/1K1N1k2/5P1p/8/8/8 w - -,,0
2Q5/5ppk/7p/2p5/8/P4q1P/1r4PK/6R1 w - -,c8c5 f3f4 h2h1 f4e4 c5c1 b2a2 c1b1 e4b1 g1b1 a2a3,-4
8/3n3k/1Pp3pp/8/p5P1/6K1/8/8 w - -,c8c5 f3f4 h2h1 f4e4 c5c1 b2a2 c1b1 e4b1 g1b1 a2a3,Mate
6nr/p2rbkpp/2QB1p2/2p5/2NP4/2P2P1q/PP3P1P/R3R2K w - -,c6d5 f7f8 d4c5 g7g5 c5c6 d7d6 c4d6 e7d6 d5d6 f8f7,648
r1bq1rk1/p1pp1ppp/8/2bpP3/8/8/PPP2PPP/RNBQ1RK1 w - -,d1d5 c8a6 d5c5 a6f1 g1f1 d8h4 h2h3 h4h5 b1c3 d7d6,346
8/8/4p3/1Q2Bkp1/3P4/4b3/K1q5/8 w - -,a2a1 c2d2 a1b1 d2e1 b1a2 e3f4 e5c7 f5g4 c7b6 g4g3,-341
8/8/5pkP/8/7P/5K2/8/8 w - -,,0
r1b2rk1/5ppp/1qpp1n2/pp2p3/4P3/1P1PPN1P/1PPQN1P1/R4RK1 w - -,e2g3 a8a7 f1f2 c6c5 d3d4 a5a4 a1f1 a4b3 c2b3 b5b4,-17
r2q1rk1/1p1b1ppp/4p3/2np4/P1P1n3/P3PN2/2Q1BPPP/R1B1K2R w KQ -,c4d5 d7a4 c2c4 a4b3 c4d4 b3d5 a1b1 d8a5 d4b4 e4c3,-187
r3r1k1/p4ppp/1npBpn2/8/4P3/P5P1/1P3PBP/2RR2K1 w - -,c1c6 h7h6 g1f1 e8d8 f1e2 d8d7 d6f4 d7d1 e2d1 g7g5,332
4n3/p7/2p5/1pB2RR1/1P2r1p1/2P5/P2rk1K1/8 w - -,c5a7 e8c7 g5g6 c7e6 a7b8 e2d1 g2g1 d2e2 a2a4 b5a4,-173
8/8/8/4K1p1/k4p1p/8/6PP/8 w - -,e5d4 g5g4 d4d3 f4f3 g2g3 h4g3 h2g3 a4b4 d3e3 b4c5,-3506
q2r2k1/pp3pb1/6pp/4p3/2Pn4/3b3P/PP1B1PP1/2RBQRK1 w - -,,0
7k/3nNpbp/3r2p1/4P3/P4P2/6RP/2r3P1/R5K1 w - -,g3c3 c2c3 e5d6 c3d3 a1c1 d3d6 e7c8 d6d2 g1h1 g7f8,-342
8/p7/b6p/2pk2p1/5p2/1PK4P/P2N1PP1/8 w - -,g2g3 f4g3 f2g3 a6e2 g3g4 e2a6 a2a3 a6b5 a3a4 b5e2,-259
2r1r1k1/5pp1/p3pnp1/1p1pN3/3n4/2P1R2P/PP1N1PP1/2R3K1 w - -,c1d1 d4c6 e5d3 a6a5 a2a4 b5a4 d1a1 c8b8 a1a4 e6e5,-156
r5k1/p1p3pp/R2b4/8/8/1P2P3/6PP/5BK1 w - -,f1c4 g8h8 h2h3 a8f8 c4d5 d6c5 a6e6 f8f6 e6f6 g7f6,3
r2q1rk1/p1pp1ppp/b7/2bQP3/8/8/PPP2PPP/RNB2RK1 w - -,d5c5 a6f1 g1f1 d8h4 h2h3 h4h5 b1c3 d7d6 c5c4 d6e5,356
8/8/3kp1p1/p1r5/P5PK/4R2P/8/8 w - -,,0
r2q1rk1/p2nbppp/bpp1pn2/8/2pP4/1PBN2P1/P3PPBP/RN1Q1RK1 w - -,d3b4 e7b4 c3b4 f8e8 b3c4 a6c4 b1d2 c4b5 a2a4 b5a6,10
rn3rk1/pp2pp1p/4b1p1/P1p5/4PP2/2N4P/1PP3P1/2R1KB1R w - -,f1b5 b8c6 a5a6 c6d4 a6b7 a8d8 b2b3 d4b5 c3b5 d8d7,16
r3kb1r/pp1npnpp/2pq1p2/3p1P2/3P2PP/5Q2/PPP5/RNB1KBNR w KQkq -,b1c3 e7e5 f5e6 d6e6 g1e2 f8d6 c1d2 d7b6 e1a1 b6c4,400
5bk1/1pB4p/bR1p2p1/P3p3/5pP1/5P1P/3r1K2/8 w - -,f2g1 g8f7 c7b8 f7e6 b6b1 d2c2 b1e1 f8e7 b8a7 e6d7,-757
r2q1rk1/1b1n1ppp/p1pb1n2/Pp6/1P1Pp3/1QNB1N2/5PPP/R1B2RK1 w - -,c1g5 e4d3 a1e1 d8c7 f3e5 d7e5 d4e5 d6e5 g5f6 e5f6,-437
8/8/5p1k/8/6KP/8/8/8 w - -,,0
4r1k1/2q1pp1p/5bp1/1p6/1B6/2P1QB2/b4PP1/4R2K w - -,g2g4 a2e6 g4g5 f6h8 h1g2 e8c8 g2g1 h8g7 e3e4 h7h5,-283
r4rk1/p4pp1/q1p1pnp1/1p1n2N1/1P1P4/3Q1B2/2PB1PPP/4R1K1 w - -,h2h4 a6a2 f3e2 a2c4 e1a1 c4d3 e2d3 a7a6 g2g3 a8a7,-263
rnb1kb1r/pp2pppp/1qp2n2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq -,e2e3 c8g4 h2h3 g4f3 d1f3 b8d7 g2g4 e7e6 g4g5 f6e4,42
4k3/p7/1ppK2P1/3n1N2/8/8/PPP5/8 w - -,d6c6 d5f4 g6g7 e8f7 a2a3 f4h5 c6b7 h5f6 a3a4 a7a5,859
r1b2rk1/5ppp/1q1p1n2/ppp1p3/4P3/1P1PPNNP/1PPQ2P1/R4RK1 w - -,f1f2 c8e6 f3g5 h7h6 g5e6 f7e6 f2f1 a5a4 b3a4 b5a4,-11
1r2q1k1/4r2p/3p2p1/Rp1P1p2/1Pp3nP/2b3P1/2QBP1B1/3R1K2 w - -,c2c3 e7e3 d2e3 g4e3 f1e1 e3g2 e1d2 f5f4 a5a7 e8e3,92
r3kb1r/2p2ppp/2p1b3/1p2Pn2/8/pPN2N1P/P1PB1PP1/2RR2K1 w - -,c3e2 e6d5 f3d4 f5d4 e2d4 f8c5 c2c4 b5c4 d4c6 c5f8,67
5k2/8/4ppp1/8/5PK1/4P3/4Q3/7q w - -,e2a6 h1d5 a6c8 f8e7 c8c7 d5d7 c7c5 e7f7 g4g3 f7g7,-15
r2qk2r/p1p2ppp/2pbpn2/7b/Q1pP4/4PN1P/PP1N1PP1/R1B1K2R w KQkq -,a4c6 f6d7 e1h1 e8h8 d2c4 d7b6 b2b3 a7a5 f3e5 b6c4,106
8/8/5K2/7p/6k1/6P1/8/8 w - -,,0
r1b2rk1/pp2ppbp/1qnp1np1/2p3B1/2B1P3/2NP1N2/PPP2PPP/R2QR1K1 w - -,c3d5 b6d8 d5f6 e7f6 g5e3 f8e8 d3d4 d8c7 d4c5 d6c5,29
r1b1k2r/ppp1qp1p/2n1pb2/8/2B5/P5Q1/1PPP1PPP/R1B1K1NR w KQkq -,c2c3 c8d7 g3c7 h8g8 g2g3 a8c8 c7f4 c6d4 c4d3 d4b3,28
r2qkb1r/pp1n1ppp/2p1p3/3nP3/3P2b1/2NB1N2/PP3PPP/R1BQK2R w KQkq -,h2h3 g4h5 c3d5 c6d5 g2g4 h5g6 d3g6 h7g6 e1f1 a8c8,71
r4r1k/ppn1N1pp/4b3/4P2B/P2p4/1P6/2P3PP/R5K1 w - -,a4a5 g7g5 a5a6 c7a6 e7c6 b7c6 a1a6 e6d5 a6a1 a8b8,-538
8/1b6/6k1/4P2p/8/P5P1/3K3P/8 w - -,d2c3 g6f5 c3d4 b7h1 a3a4 h1c6 a4a5 c6b7 h2h3 f5e6,2
3q1r1k/2p2p2/3pnbpp/1B3Q2/P2r1P2/6R1/5P1P/2B2RK1 w - -,f5b1 e6f4 c1e3 c7c5 e3d4 f6d4 b1e4 d4e5 f1b1 h8g7,-98
r2q1rk1/1b3ppp/p1pb1n2/Pp6/1P1PB3/1Q3N2/5PPP/R1B2RK1 w - -,e4c2 d8c7 c1g5 f6d5 g5d2 g7g6 a1c1 b7c8 c2e4 c8e6,11
r3k2r/pppqBpbp/2np2p1/3N4/4P3/8/PPP2PPP/R2Q1RK1 w kq -,d5c7 d7c7 e7d6 c7d7 d6c5 e8a8 c2c3 d7e6 d1b3 h8e8,-370
r1b2rk1/pp3ppp/2p5/6Q1/4P3/8/1PP1BPPP/q1KR3R w - -,c1d2 a1b2 g5c5 a7a5 e4e5 f8d8 d2e3 d8d5 d1d5 c6d5,-222
8/1P1n3k/2p3pp/8/6P1/p5K1/8/8 w - -,c1d2 a1b2 g5c5 a7a5 e4e5 f8d8 d2e3 d8d5 d1d5 c6d5,Mate
r4rk1/pp2pp1p/2n1b1p1/PBp5/4PP2/2N4P/1PP3P1/2R1K2R w - -,a5a6 c6d4 a6b7 a8d8 b2b3 d4b5 c3b5 d8b8 c1a1 b8b7,17
r4rk1/p4ppn/q1p1p1p1/1p1n2N1/1P1P3P/3Q1B2/2PB1PP1/4R1K1 w - -,g5e4 a6a2 e4c5 a2c4 d3c4 b5c4 e1a1 c4c3 f3d5 e6d5,-187
1r6/r5p1/1k3p2/2p1p2p/RpP1P2P/3PK3/1R4P1/8 w - -,a4a7 b6a7 b2b1 a7b6 b1a1 g7g5 g2g3 b8g8 e3f2 g5h4,-383
r1b2rk1/ppp1R3/5qnp/5p2/3R4/6Q1/PPP2PPP/6K1 w - -,e7c7 c8e6 c7b7 f8f7 b7f7 e6f7 g3d3 f6e6 d3d2 a8e8,-500
8/8/8/5Kp1/k4p2/7p/6PP/8 w - -,e7c7 c8e6 c7b7 f8f7 b7f7 e6f7 g3d3 f6e6 d3d2 a8e8,Mate
2r1r1k1/5pp1/p3pnp1/1p1pn3/3P4/2P1R2P/PP1N1PP1/2R3K1 w - -,b2b3 e5c6 e3e1 c8c7 a2a4 b5a4 c1a1 a4b3 d2b3 e8a8,-457
r6k/pp4pp/2nb4/7r/2B1QB1q/2P5/PP3PPP/R4RK1 w - -,f1e1 h4f4 e4f4 d6f4 g2g3 f4c7 f2f4 h5h6 b2b4 g7g5,-176
8/8/4p3/1Q2Bkp1/3P4/4b3/3q4/K7 w - -,a1b1 d2e1 b1b2 e3f4 b5d3 f5g4 e5f6 e1d2 d3d2 f4d2,-365
8/2n5/4k3/pP6/P1N5/2K5/8/8 w - -,c3d4 e6d7 d4c5 c7e6 c5b6 d7e7 c4a5 e7f7 b6c6 e6d4,1001
4n3/p7/2p5/1pB3R1/1P2r1p1/2Pk4/P2r1RK1/8 w - -,c5a7 e8c7 g2g3 d2f2 a7f2 d3c3 g5g4 e4c4 f2e1 c3b2,-142
8/8/7p/5kp1/p1pK4/6PP/8/8 w - -,d4c4 f5e4 h3h4 a4a3 h4g5 h6g5 c4b3 e4f3 b3a3 f3g3,-972
r1q2rk1/p2nbppp/bpp1pn2/8/1NpP4/1PB3P1/P3PPBP/RN1Q1RK1 w - -,b4c6 e7d6 b3c4 a6c4 c3b4 d6b4 c6b4 c4d5 b4d5 f6d5,76
4rrk1/pp2b1pp/3p1n2/4pq2/2Pp4/P2P1N2/1P2NPPP/1R1Q1RK1 w - -,e2g3 f5g6 d1b3 f6d7 c4c5 g8h8 c5d6 e7d6 f3h4 g6g4,30
1r6/k5p1/5p2/2p1p2p/1pP1P2P/3PK3/1R4P1/8 w - -,b2b1 a7b6 b1a1 g7g5 g2g3 g5h4 g3h4 b8g8 e3f2 g8g4,-451
r2qkb1r/pp1n1ppp/2p1p3/3nP2b/3P4/2NB1N1P/PP3PP1/R1BQK2R w KQkq -,c3d5 c6d5 g2g4 h5g6 d3g6 f7g6 e1f1 f8e7 c1e3 e8h8,53
8/8/KP6/P7/3k4/8/8/r7 w - -,a6b5 d4d5 b5b4 a1b1 b4c3 b1b5 c3d3 b5a5 b6b7 a5b5,-9605
8/7p/7P/4K1p1/2k3P1/8/8/8 w - -,,0
8/1p1b2k1/2n5/1N1pb2r/P6n/2P2P2/1P3P2/R1B1R1K1 w - -,e1e3 e5f4 g1f1 f4e3 c1e3 h4f3 f1e2 d7g4 e2d3 g4f5,-190
8/8/8/1R4p1/2pp4/P2k1rP1/7P/4R1K1 w - -,b5d5 f3f6 e1d1 d3c3 d1d4 f6c6 g1g2 c6c8 d4e4 c3b2,664
8/8/8/8/8/2Q1r3/8/1K1k4 w - -,c3c2 d1e1 b1c1 e1f1 c2c4 f1e1 c1c2 e3f3 c4d4 f3f2,20000
2r4r/pbpk2p1/1p1pN2p/3n4/8/2N2P2/PP4PP/2RR2K1 w - -,c3d5 b7d5 e6c7 d5f3 g2f3 c8c7 c1c7 d7c7 g1f2 h8f8,-93
3r1rk1/p1q3pp/8/1pb1np2/3Np3/2P1QP2/PP1N2PP/R2R2K1 w - -,a2a3 a7a5 g1h1 a5a4 h2h3 e5c6 d2f1 c7b6 b2b4 a4b3,-184
rnbq1rk1/ppp1ppbp/3p3B/6p1/2PPnQ2/5N2/PP2PPPP/RN2KB1R w KQ -,h6g5 e4g5 f4g5 e7e5 d4e5 d6e5 b1c3 e5e4 a1d1 b8d7,28
rnbq1rk1/pp3pp1/1b1Np1p1/1P2P3/8/B4N2/P4PPP/R2Q1RK1 w - -,d6c8 d8c8 a1c1 c8d7 a3f8 g8f8 f3g5 d7d1 f1d1 f8e7,565
8/5pk1/6p1/2b1r2p/8/3R2PP/6K1/3N4 w - -,d1c3 c5e7 h3h4 e5c5 g2h3 c5c4 c3e2 g7f8 e2f4 c4c6,-18
4r1k1/2q1pp1p/5bp1/1p6/1Bb5/2P1QB2/5PP1/R6K w - -,a1a7 c7e5 e3e5 f6e5 h1g1 e7e6 b4a5 g8g7 f3c6 e8c8,-314
6k1/pp4p1/4N3/4N1Kp/8/PP4P1/6r1/8 w - -,g3g4 g2e2 g5f5 h5h4 e6g5 e2e3 e5f3 h4h3 b3b4 e3a3,-255
8/8/8/6K1/k4p2/8/6pP/8 w - -,g3g4 g2e2 g5f5 h5h4 e6g5 e2e3 e5f3 h4h3 b3b4 e3a3,Mate
r1bqkbnr/5ppp/2npp3/ppp5/4PB2/1B1P1N2/PPP2PPP/RN1Q1RK1 w kq -,c2c3 g8f6 d3d4 c5d4 a2a4 b5a4 b3a4 c8d7 c3d4 f8e7,42
4n3/p7/2p5/1pB3R1/1P2r1p1/2P5/P2k2K1/8 w - -,c5d4 e8d6 g5g6 e4e2 g2g3 d6e4 g3f4 e4c3 d4a7 e2e4,-126
r1q2r2/p5pk/2p1p1p1/1p1n4/1P1P4/3Q1B2/2PB1PP1/4R1K1 w - -,f3e4 f8f6 d2g5 f6f5 g5d2 d5f6 e4f5 g6f5 d3b3 f6d5,-15
4R1K1/4P3/3k4/8/8/8/8/r7 w - -,,0
r4rk1/5ppp/2p5/p2p1N2/1P2n3/8/P1PK1PPP/R3R3 w - -,d2e3 f8e8 f5d4 c6c5 b4c5 e4c5 e3f4 c5e6 d4e6 f7e6,-12
r2q1rk1/p1pp1ppp/bb6/3QP3/8/8/PPP2PPP/RNB1R1K1 w - -,c1e3 a8b8 b2b3 a6b7 d5d2 f7f6 e3b6 a7b6 b1c3 f6e5,107
8/8/7p/5kp1/2K5/p5PP/8/8 w - -,c4b3 f5e4 b3a3 e4f3 g3g4 f3g3 a3b2 g3h3 b2c3 h3g4,-1207
rn1qk2r/ppp2ppp/3bp3/5b2/2BPp3/1QP5/PP3PPP/R1B1K1NR w KQkq -,g2g4 f5g4 b3b7 b8d7 b7e4 g4f5 e4e2 e8h8 g1f3 d7b6,-96
r1bq1rk1/5ppp/p1pb1n2/Pp6/1P1P4/1Q3N2/2B2PPP/R1B2RK1 w - -,f1e1 c8e6 e1e6 f7e6 b3e6 g8h8 c1d2 d8d7 e6d7 f6d7,16
r1bqk2r/1p2bppp/1n2pn2/p7/P1Np4/5NP1/1PQ1PPBP/R1B2RK1 w kq -,f1d1 b6c4 c2c4 e8h8 c1e3 d4e3 d1d8 e3f2 g1f2 f8d8,72
3R4/1p2rppk/6np/p1p5/3N4/rPP1P2P/3R1KP1/8 w - -,c3c4 c5d4 e3d4 a3b3 d4d5 g6e5 c4c5 b3b4 d5d6 e7d7,-382
r2q1rk1/1ppn2p1/1p4Qp/3b4/3p4/1PP2N2/P4PPP/R1B1K2R w KQ -,c3d4 f8f6 g6h5 d8e7 c1e3 e7b4 e1f1 d5b3 h2h4 b3f7,-192
r4rk1/pp2pp1p/P3b1p1/1Bp5/3nPP2/2N4P/1PP3P1/2R1K2R w - -,a6b7 a8d8 b2b3 d4b5 c3b5 d8b8 c1a1 b8b7 b5c3 f8a8,10
2kr2nr/pppqbp2/2n1b3/4P2p/3pP3/3B1NB1/PPP1QPP1/RN2K2R w KQ -,a2a3 h5h4 b1d2 g8h6 f3h4 h6g4 d2f3 e7h4 h1h4 g4e5,107
r1bq1rk1/pp1nbpp1/2p1p2p/3n4/3P3B/2N1PN2/PPQ2PPP/R3KB1R w KQ -,c2e4 e7h4 e4h4 d8a5 a1c1 d5c3 b2c3 e6e5 f1c4 e5d4,-59
8/p7/7p/2pk2p1/5p2/1PK2N1P/P4PP1/5b2 w - -,g2g4 f4g3 f2g3 f1h3 f3d2 h3f5 a2a3 f5g4 c3d3 g4d1,-416
4rrk1/pp2b1pp/3p1nq1/4p3/2Pp4/P2P1NN1/1P3PPP/1R1Q1RK1 w - -,b1c1 h7h6 c4c5 g6f7 g3f5 f7e6 f5d6 e7d6 c5d6 e6d6,23
r1r3k1/2B2pp1/P1n1p2p/2Np4/5P2/2P1PP1P/2K5/R6R w - -,c7b6 e6e5 f4e5 c6e5 c5d3 c8c6 d3e5 c6b6 a6a7 f7f6,571
6k1/5pp1/4p3/6p1/1p1r4/6P1/PP1q1P1P/1Q3RK1 w - -,f1c1 f7f5 c1c2 d2d1 b1d1 d4d1 g1g2 g5g4 c2c4 b4b3,-1
r1b2rk1/p1p2ppp/np2p3/1Nb1N3/4PB2/8/PPP1K1PP/3R1B1n w - -,e5d7 h1f2 d7f8 f2d1 e2d1 c5f8 d1c1 c8b7 h2h3 a6c5,-552
4k3/p5K1/1p4P1/2pn1N2/8/8/PPP5/8 w - -,g7h8 d5f4 g6g7 f4g6 h8h7 g6f8 h7h6 e8f7 f5e7 f7e7,742
3r1r1k/ppn1N1pp/4b3/4P2B/P2p4/1P6/2P3PP/4R1K1 w - -,a4a5 g7g5 a5a6 c7a6 e1a1 d8d7 e7c6 d4d3 c2d3 a6c5,-562
r2qk2r/p1pn1ppp/2Qbp3/7b/2pP4/4PN1P/PP1N1PP1/R1B1K2R w KQkq -,d2c4 e8h8 b2b3 d7b6 e1h1 a7a5 f3e5 b6c4 e5c4 a5a4,123
2r1r1k1/5pp1/p3pnp1/3pR3/1p1P4/2P4P/PP1N1PP1/2R3K1 w - -,g1f1 b4c3 b2c3 e8e7 c3c4 e7b7 c1c2 b7b4 e5e1 g6g5,-28
8/3k3p/p1ppp1p1/8/Pr2PPP1/1PR1K2P/8/8 w - -,f4f5 g6g5 e3f3 a6a5 c3e3 d7e7 e3c3 b4b6 f3e3 e7f6,-12
2rqrnk1/1p3ppp/p3bn2/2bp4/8/2NBPP2/PP1QNBPP/R4RK1 w - -,a1c1 d8e7 f1d1 f8g6 d3b1 e6d7 e2d4 g6e5 d2c2 g7g6,7
r1b1qrk1/ppB1bppp/2n1pn2/8/2Q5/2N2NP1/PP2PPBP/R2R2K1 w - -,f3e5 c8d7 e5d7 f6d7 c3b5 d7f6 a1c1 a7a6 b5d6 e8d7,176
3r2k1/6b1/r3p1pp/5p2/5P1P/2p2P1N/2R1K1P1/1R6 w - -,h3f2 e6e5 f4e5 g7e5 b1d1 d8e8 e2f1 e8c8 g2g4 a6b6,-165
8/8/8/3R2p1/3p4/P1pk1rP1/7P/4R1K1 w - -,e1d1 d3c2 d1d4 f3f7 d5g5 f7c7 d4f4 c2c1 f4f1 c1c2,716
2b2r1k/1p4pp/8/2P1n1q1/3pN3/P7/4PPBP/5RK1 w - -,e4g5 d4d3 e2d3 e5d3 g5e4 c8f5 e4d6 d3c5 d6b7 c5d3,60
2r4r/p1pk2p1/1p1pN2p/3b4/8/5P2/PP4PP/2RR2K1 w - -,e6c7 d5f3 g2f3 c8c7 c1c7 d7c7 h2h4 h8e8 g1f2 e8e7,-117
3r1rk1/pP2pp1p/4b1p1/1Bp5/3nPP2/2N4P/1PP3P1/2R1K2R w - -,b2b3 d4b5 c3b5 d8d7 c1a1 d7b7 b5c3 f8a8 a1a4 c5c4,14
4r3/1p3kpp/p4p2/2RPpP2/1P2P3/3B1bP1/3K3P/8 w - -,c5c7 f7f8 c7b7 e8a8 b7c7 f3h5 d5d6 a8d8 c7c6 g7g6,418
8/8/7p/6p1/4k3/pK4PP/8/8 w - -,g3g4 e4f3 b3c2 a3a2 c2b2 f3g3 b2a1 g3h3 a1b2 a2a1q,-1525
r4rk1/p2nbppp/qpp1pn2/8/2pP4/1PB3P1/P3PPBP/RN1Q1RK1 w - -,e2e4 b6b5 b3c4 b5b4 c3b2 a6c4 b1d2 c4a6 a2a3 b4a3,-14
r2qkb1r/pp1n1ppp/4p3/3pP2b/3P4/3B1N1P/PP3PP1/R1BQK2R w KQkq -,g2g4 h5g6 d3g6 f7g6 h3h4 f8e7 h4h5 g6h5 h1h5 a8c8,59
r2q1rk1/p2p1ppp/bbp5/3QP3/8/2N5/PPP2PPP/R1B1R1K1 w - -,d5d6 b6f2 g1f2 d8h4 g2g3 h4h2 f2f3 a6b7 c1f4 f7f6,98
4r2b/8/8/2p2k1p/2b3p1/6P1/4PP2/6K1 w - -,d5d6 b6f2 g1f2 d8h4 g2g3 h4h2 f2f3 a6b7 c1f4 f7f6,Mate
r1q2r2/p3n1pk/2p1p1p1/1p6/1P1PB3/3Q4/2PB1PP1/4R1K1 w - -,d2g5 f8f6 c2c4 b5c4 d3h3 h7g8 b4b5 e6e5 h3a3 c8e6,91
r1bqk2r/1p2bppp/4pn2/p7/P1np4/5NP1/1PQ1PPBP/R1BR2K1 w kq -,c2c4 e8h8 c1e3 d4e3 d1d8 e3f2 g1f2 f8d8 f3e5 e7d6,51
r1bq1rk1/pp1nbppp/2p2n2/3p4/P1BNP3/2N4P/1PP2PP1/R1BQ1RK1 w - -,e4d5 d7b6 c4b3 b6d5 c3d5 f6d5 d1f3 e7c5 d4e2 c8e6,46
8/2n5/8/NP1k4/P7/2K5/8/8 w - -,c3b4 d5d6 a5c4 d6d7 b5b6 c7e6 b4b5 e6d4 b5a6 d4c6,1010
8/7p/7P/2k3p1/4K1P1/8/8/8 w - -,e4d3 c5d5 d3e3 d5e5 e3f3 e5d4 f3f2 d4e4 f2e2 e4f4,-7212
r3kb1r/2p2ppp/4b3/1pp1Pn2/8/pP3N1P/P1PBNPP1/2RR2K1 w - -,e2f4 f5d4 f3g5 f8e7 g5e6 d4e6 g2g3 a8d8 d2e3 e6f4,57
2b2r1k/1p4pp/8/2P1n1N1/8/P2p4/4PPBP/5RK1 w - -,e2d3 e5d3 g5e4 c8f5 e4d6 d3c5 d6b7 c5d3 b7d6 d3f4,58
2kr4/p1p2ppr/p1n2n1p/3pB3/1b1P4/5N2/PPP1PPPP/RN2KB1R w KQ -,c2c3 b4a5 e5f6 g7f6 g2g3 c8d7 f1h3 d7d6 e1h1 d8b8,667
8/8/8/8/k4K2/8/7P/6q1 w - -,c2c3 b4a5 e5f6 g7f6 g2g3 c8d7 f1h3 d7d6 e1h1 d8b8,Mate
8/3k3p/p1ppp1p1/8/P2rPPP1/1PR2K1P/8/8 w - -,c3e3 h7h6 f4f5 g6g5 f3f2 d4d2 e3e2 d2d3 e2e3 d3d4,-7
r4rk1/pppq2p1/2n3pp/3np3/8/1BPP2NP/PP4P1/R1BQb2K w - -,d1e1 g8h8 g3e4 c6e7 b3c4 e7f5 e4c5 d7c6 b2b4 a8e8,-328
3r1r1k/ppn1N2p/4b3/4P1pB/P2pR3/1P6/2P3PP/6K1 w - -,h2h3 d8d7 e7g6 h7g6 h5d1 h8g8 d1e2 g8f7 e2d3 f7e8,-606
