3rrbk1/5R2/3p3p/2p1pQ2/2P1P1n1/3P4/6P1/6K1 w - -,c1d1 b5c4 e1f1 f2g3 c3c1 g3g2 c1c2 c8h8 e2d3 g2c2,Mate
3r1rk1/2qbbppp/p4n2/1p1Pp1B1/4P3/2N2NQ1/PP4PP/R4R1K w - -,f3e5 f6h5 g3h4 e7g5 h4g5 f7f6 g5h5 c7e5 h5e5 f6e5,95
r2qk2r/pp3ppp/2nb1n2/8/2pPp3/2P2Q2/PPB2PPP/R1B2RK1 w kq -,f3e2 d8c7 c1g5 d6h2 g1h1 h2d6 g5f6 g7f6 c2e4 e8a8,-276
1rb4r/p1k2p2/3p4/1Bp2Ppp/2P1P3/2P3P1/P6P/R4RK1 w - -,f1e1 f7f6 g1f2 h8h7 h2h4 g5h4 g3h4 c8b7 b5a4 b7a8,-22
r2r2k1/5pbp/pp1q2p1/3b1p2/P1QP4/2N2N2/1P3PPP/2R1R1K1 w - -,c3d5 b6b5 c4c6 g7f8 c6d6 d8d6 d5c3 b5a4 c3a4 a8b8,400
r2q1rk1/p2b1pbp/3p2p1/1ppPn3/4P3/2N1BP2/PPQ1N1PP/2KRR3 w - -,c1b1 b5b4 c3a4 c5c4 e3d4 d8a5 b2b3 d7a4 f3f4 e5d3,-331
8/3N4/7p/3B1kpb/4p3/8/5PK1/8 w - -,,0
r1bq1rk1/pp1nnppp/2p5/3pP3/5PP1/2N2N1P/PPP5/2KRQBbR w - -,h1g1 f7f5 e5f6 d7f6 f1d3 d8d6 f3e5 f6d7 e1h4 d6h6,130
r2q1rk1/pb3p2/1pnbpn1p/6p1/3P3B/P1NQ1N2/BP3PPP/R4RK1 w - -,d4d5 g5h4 d3d2 c6e7 d5e6 g8g7 a1d1 d6c5 d2e2 d8c7,-156
8/7R/5p2/5kp1/r3p3/6P1/5PK1/8 w - -,h7f7 a4a6 f7b7 a6a3 b7b6 a3a2 g2f1 a2d2 b6a6 d2d4,-7
4k3/8/5Q2/5K2/7p/7P/5PP1/4r3 w - -,f6c6 e8d8 c6f6 d8e8 f6h4 e1g1 h4e4 e8d7 e4d5 d7e8,1105
r1bk2nr/ppp2ppp/2n5/4p3/1b6/1PN5/PBP1PPPP/R3KBNR w KQ -,e1a1 d8e8 g1f3 f7f6 g2g3 g8e7 f1g2 c8g4 h2h3 g4f5,61
1rn1k3/6R1/4Npp1/1p1Pp2p/4P3/6P1/5P1P/6K1 w - -,g7h7 b5b4 d5d6 c8d6 h7h8 e8f7 h8b8 f7e6 b8b4 f6f5,306
2kr4/pppR2p1/2B4r/2b2p2/1N2p3/8/PPP2PPP/1K5R w - -,d7d8 c8d8 h1d1 h6d6 d1d6 c7d6 c6b7 c5b4 c2c3 b4c5,125
r1bq3r/4nkb1/ppn1pp2/3p2pp/3P4/1NPB1NBP/PP2QPP1/4RRK1 w - -,b3a1 g5g4 h3g4 h5g4 f3h2 h8h5 f2f3 g4f3 h2f3 d8h8,78
rn1qk2r/pppb1pp1/4p2p/3N4/3P3b/P4N2/1P2PPPP/R2QKB1R w KQkq -,d5c7 d8c7 f3h4 c7b6 d1d2 e8h8 e2e3 f8c8 h4f3 b8c6,61
8/1R6/5p2/6p1/r3p1k1/6P1/5PK1/8 w - -,b7b6 f6f5 b6e6 a4a3 e6e5 a3a2 e5e7 a2a6 e7e5 a6g6,-1
2rr2k1/1b3pbp/pp1q2p1/3P1p2/P1QP4/2N2N2/1P3PPP/2R1R1K1 w - -,c4b3 a6a5 g2g3 d6b4 b3a2 c8c4 f3e5 g7e5 d4e5 b4c5,-21
5rk1/pppr2pp/6b1/2P1B3/2p5/6Q1/PP1q1PPP/2R1R1K1 w - -,c5c6 b7c6 h2h3 a7a5 e5c3 d2d6 e1e5 f8f5 c1e1 a5a4,103
3r3r/pp3kpp/5n2/1B1p4/2p5/bPPp4/P4PPP/R2R2K1 w - -,b3c4 a7a6 d1d3 a6b5 c4b5 h8e8 c3c4 a3c5 c4d5 f7g8,-589
rnb1k2r/ppp1qp1p/3p2p1/2n1P3/2P5/3B1N2/PP3PPP/RN1QK2R w KQkq -,d3e2 d6e5 b1c3 f7f6 c3d5 e7d8 b2b4 c5e6 h2h4 c7c6,-134
3k4/ppp3p1/2B4r/2b2p2/1N2p3/8/PPP2PPP/1K5R w - -,h1d1 h6d6 d1d6 c7d6 c6e4 f5e4 b4d5 c5f2 d5c3 e4e3,111
2rr2k1/5pbp/pp1q2p1/3b1p2/P2P4/1QN2N2/1P3PPP/2R1R1K1 w - -,c3d5 c8c1 e1c1 d6d5 b3d5 d8d5 c1c8 g7f8 g2g3 g6g5,17
8/pB2n1p1/1p1bk3/6PP/2K2p2/2P5/P7/2B5 w - -,h5h6 g7h6 g5h6 e6f5 h6h7 e7g6 c4d3 g6e5 d3d4 d6c5,125
1rb4r/p1k5/3p1p2/1Bp2Ppp/2P1P3/2P3P1/P6P/3R1RK1 w - -,d1d2 c8b7 h2h3 h8h7 d2e2 h7e7 f1e1 e7e5 g1f2 a7a6,-18
R7/p1r3p1/5pkp/1p6/6P1/1P5P/P4P2/6K1 w - -,,0
8/6k1/6bp/3B2p1/4p1N1/6K1/5P2/8 w - -,g4e5 g6f5 e5f7 f5d7 f7d6 h6h5 d6e4 h5h4 g3f3 g5g4,50
r1bq1rk1/ppp2pp1/2np1n1p/4p3/2B1P2B/P1P2N2/1PP2PPP/R2QK2R w KQ -,f3d2 d8e7 f2f3 f8e8 d1e2 c6d8 d2f1 d8e6 e1a1 e6f4,60
r3r1k1/3q1pp1/n2p1b1p/3P4/1PpB4/5N1P/5PP1/R2QR1K1 w - -,d4f6 g7f6 d1d4 a6b4 a1a8 e8a8 d4c4 b4a6 c4f4 a6c7,302
8/5R2/5p2/5kp1/r3p3/6P1/5PK1/8 w - -,f7e7 a4a6 g2h3 a6d6 e7e8 d6c6 e8e7 c6c2 h3g2 c2d2,-5
8/8/8/6p1/5kP1/8/5K2/3B4 w - -,d1e2 f4e5 e2b5 e5d6 b5d3 d6c7 f2e3 c7d8 e3e4 d8c7,1267
r2r2k1/pp1n2pp/2p1p1b1/q7/2B2QP1/2P4P/P4P2/R1B2RK1 w - -,f1e1 a5c3 c4e6 g8h8 c1d2 c3h3 d2b4 c6c5 g4g5 h3h5,-41
1r3rkb/pq2pp1p/2pp1npB/8/4P3/1PN2P2/P1PQ2PP/2KR3R w - -,e4e5 d6e5 h6f8 g8f8 c3e4 b7a6 c1b1 f6d5 g2g4 h8g7,146
rn1qk2r/p1pp1pb1/1p2pn1p/8/2PP2p1/2N3P1/PP1NPPbP/R1BQR1K1 w kq -,d4d5 g2h3 f2f4 g4f3 e2f3 b8a6 d2b3 e8h8 g3g4 f6h7,-368
2r5/pp1kn3/5p1Q/7p/1b2p2P/8/P2q1PP1/3K3R w - -,h6d2 b4d2 d1d2 f6f5 d2e2 e7d5 h1d1 d7e6 e2e1 b7b6,-614
r1bqr1k1/2p2p1p/p4pnB/1p1p4/2n1P3/1B3Q2/PPP3PP/RN3RK1 w - -,b3c4 d5e4 f3f2 b5c4 b1c3 e4e3 h6e3 c8b7 a1d1 d8e7,127
3k4/ppp3p1/2Br4/2b2p2/1N2p3/8/PPP2PPP/1K1R4 w - -,d1d6 c7d6 c6e4 f5e4 b4d5 c5f2 d5c3 e4e3 b1c1 d8c7,111
8/4R3/5p2/6p1/r3p1k1/6P1/5PK1/8 w - -,e7e6 g4f5 e6e7 a4a2 e7e8 a2e2 e8b8 e2d2 b8e8 d2d4,-4
rn2k2r/pppb1pp1/4p2p/3N4/3P3q/P7/1P2PPPP/R2QKB1R w KQkq -,d5c7 e8e7 c7a8 h8c8 d1d2 d7c6 a1c1 b8d7 g2g3 h4h5,430
r1bqkb1r/pppp2pp/2n2n2/5p2/2BpP3/8/PPP1NPPP/R1BQK1NR w KQkq -,e4f5 d7d5 c4d3 f6e4 e2d4 c6d4 d1h5 e8d7 c1e3 c7c5,-57
8/6k1/7p/3BNbp1/4p3/6K1/5P2/8 w - -,e5f7 f5d7 f7d6 h6h5 d6e4 h5h4 g3f3 g5g4 f3e3 g7g6,51
r7/3kbp2/4p3/pp1r1p2/1PpP1P2/P1P1R1P1/4N1K1/3R4 w - -,,0
r2r3k/pp1n2pp/2p1B1b1/q7/5QP1/2P4P/P4P2/R1B2RK1 w - -,f4b4 a5e5 e6d7 d8d7 c1e3 a7a5 b4c5 e5f6 f1d1 g6d3,-42
r1bq1rk1/pp1pbpp1/2n2n1p/2p1p3/2B1P3/2N2N2/PPPPQPPP/R1B2RK1 w - -,a2a3 d7d6 h2h3 c8e6 d2d3 c6d4 f3d4 e5d4 c3d5 f6d5,-19
r2q1rk1/pb3p2/1pn1pn1p/6p1/3P4/P1NQ1Nb1/BP3PPP/R4RK1 w - -,a2e6 g3h2 f3h2 f7e6 d3g6 g8h8 g6h6 f6h7 h6e6 c6d4,-264
3rk2r/pR3ppp/2p1p3/3n3P/5qP1/3BRK2/P1P5/2B1Q3 w - -,f3g2 d5e3 e1e3 f4g4 g2f1 d8d7 b7d7 e8d7 e3a7 d7c8,332
2kr3r/ppp1qppp/2nb1nb1/8/6P1/2N1PN1P/PPPBBP2/R2QK2R w KQ -,a2a3 d6e5 e2d3 d8d3 c2d3 g6d3 d1b3 h8d8 h1g1 f6e4,-145
3r2k1/5pbp/pp1q2p1/3N1p2/P2P4/1Q3N2/1P3PPP/2r1R1K1 w - -,e1c1 d6d5 b3d5 d8d5 c1c8 g7f8 g1f1 d5a5 b2b3 b6b5,15
r1bq1rk1/pp2n1pp/2p2n2/3p4/5PP1/2N2N1P/PPP5/2KRQBR1 w - -,f1d3 d8d6 f3e5 f6d7 e1h4 d6h6 h4h6 g7h6 e5d7 c8d7,128
3r2k1/1Q3ppp/p1n5/4p3/2B1P3/N1P2qPb/PP3P1P/4R1K1 w - -,c4f1 h3f1 e1f1 f3e4 b7a6 h7h5 a3c4 h5h4 c4e3 h4h3,226
r2q1rk1/pp3ppp/2nb1n2/8/2pPp3/2P2Q2/PPB2PPP/R1B1R1K1 w - -,c2e4 f6e4 e1e4 f8e8 e4e8 d8e8 c1d2 e8d7 a1e1 a8e8,-352
2r1r2k/p4p1p/5pq1/8/1Pp2P2/2P5/P2R2PP/5RK1 w - -,g1h1 c8d8 d2f2 g6d3 h2h3 d3c3 f2f3 c3d2 f1f2 e8e1,-816
3r2nr/pp3kp1/3b3p/2p2Bp1/2Pp4/8/PP1N1PPP/R2R2K1 w - -,h2h3 g8f6 f5d3 h8e8 g2g3 e8e6 g1f1 d8e8 d2f3 a7a5,-73
8/5N2/5k1p/3B1bp1/4p3/6K1/5P2/8 w - -,f7h6 e4e3 f2e3 f5c2 h6g4 f6f5 d5c6 c2b3 g4f2 f5f6,340
3rk2r/pR3ppp/2p1p3/7P/5qP1/3Bn3/P1P3K1/2B1Q3 w - -,e1e3 f4g4 g2f1 g4h5 c1a3 h5h1 f1e2 c6c5 b7a7 h1h2,340
r1b2r1k/pp2q1pp/n1pb1n2/4pP2/2pP4/P1N3PN/1PQ2PBP/R1BR2K1 w - -,d1e1 f6g4 c1g5 e7c7 c3e4 c8f5 c2c4 a8e8 e4d6 c7d6,71
3k4/pp4p1/3p4/2b5/1N2p3/8/PPP2PPP/1K6 w - -,b4d5 c5f2 d5c3 e4e3 b1c1 d8d7 c1d1 d7c6 d1e2 d6d5,91
8/5R2/5p2/5kp1/8/4p1P1/r4PK1/8 w - -,g2f3 e3f2 f3g2 f2f1q g2f1 a2a6 f7e7 f5g4 e7e3 g4h3,-638
r1bqk2r/pp1np1b1/5pp1/6B1/Q1PPp3/8/PP3PPP/R3KB1R w KQkq -,c4c5 f6g5 e1a1 e8f8 f1c4 d7f6 a4b3 g5g4 d4d5 c8f5,-581
r4rk1/1np2ppp/1p2pb2/p3N3/2P5/2N3P1/PP2PP1P/3R1RK1 w - -,e5c6 f6c3 b2c3 b7c5 c6e7 g8h8 e7c6 f8e8 d1d4 h8g8,-44
3r3r/pp3kpp/5n2/1B1p4/2p5/b1Pp2P1/PP3P1P/R2R2K1 w - -,b2a3 f6e4 d1d3 c4d3 b5d3 e4c3 g1g2 f7f6 a1c1 d5d4,-552
rnbqkb1r/p1p2pp1/1p2pn1p/8/3P4/6N1/PPP2PPP/RNBQKB1R w KQkq -,c1e3 c8b7 b1c3 b8c6 d1d2 d8e7 e1a1 e8a8 f1b5 a7a6,-36
r1b2rk1/2qnbppp/p2p1n2/1p2p3/4PP2/2NB1N2/PPP3PP/R1B1QR1K w - -,f4e5 d7e5 f3e5 d6e5 c1g5 b5b4 c3d1 f6h5 g5e7 c7e7,17
r1b2rk1/pp2b1pp/1qp5/3p4/2P1n3/1P3N2/PB1PB1PP/R2QK2R w KQ -,b2d4 e7h4 g2g3 c6c5 d4e3 h4f6 c4d5 f6a1 d1a1 c8h3,-308
r7/Pb3kp1/5q2/3p4/1P4R1/1B3p2/2PN1P2/2KR4 w - -,,0
6k1/5p2/p3pbp1/1p1q3p/2rP1P2/P2Q4/1P1RNKPP/8 w - -,d2d1 a6a5 d3f3 d5d6 d1d2 a5a4 f3a8 g8g7 f2e3 d6d7,-148
rn1qk2r/p1pp1pb1/1p2pn2/7p/2PP2p1/2N3P1/PP1NPPKP/R1BQR3 w kq -,d4d5 d7d6 d2b3 f6d7 b3d4 g7d4 d1d4 e6e5 d4e4 d8f6,64
8/3b1Nk1/7p/3B2p1/4p3/6K1/5P2/8 w - -,f7d6 h6h5 d6e4 h5h4 g3f3 g5g4 f3e3 g7g6 d5a8 d7e6,39
6k1/5p1p/ppR3p1/3r1p2/P2b4/5N2/1P3PPP/6K1 w - -,b2b4 d4c3 g2g3 c3b4 c6b6 a6a5 b6b8 g8g7 b8b7 h7h6,-68
5rk1/R2R1ppp/1p5q/8/2p1b3/Q5P1/5P2/6K1 w - -,b2b4 d4c3 g2g3 c3b4 c6b6 a6a5 b6b8 g8g7 b8b7 h7h6,Mate
r1b2rk1/pp2n1pp/2pq1n2/3p4/5PP1/2NB1N1P/PPP5/2KRQ1R1 w - -,f3e5 f6d7 e1h4 d6h6 h4h6 g7h6 e5d7 c8d7 f4f5 a8e8,126
3k4/pp4p1/3p4/3N4/4p3/8/PPP2bPP/1K6 w - -,d5c3 e4e3 b1c1 d8c7 c1d1 c7c6 d1e2 d6d5 e2d3 c6d6,96
r1bq1rk1/pp2bpp1/2np1n1p/2p1p3/2B1P3/2NP1N2/PPP1QPPP/R1B2RK1 w - -,a2a3 c8g4 c1e3 c6d4 e3d4 c5d4 c3d5 a8c8 h2h3 g4e6,-27
rq3rk1/2p1b1pp/2npp3/p3p3/Pp2P3/1NP2N1P/1P1B1PP1/R3Q1K1 w - -,e1d1 b4c3 d2c3 b8b6 b3d2 d6d5 a1c1 e7f6 d1e2 a8b8,-304
r4rk1/1bpqppbp/1pnp1np1/p7/P2P1B2/2P1PN1P/1P1NBPP1/R2Q1RK1 w - -,e2b5 b7a6 b5a6 a8a6 f1e1 d7e8 d2c4 a6a8 e3e4 e7e5,56
r4b1r/pp1k1ppp/8/n3p3/8/2P1B3/PP3PPP/R3K1NR w KQ -,e1a1 d7c6 f2f4 a5c4 e3f2 e5f4 g1f3 c4d6 h1e1 h8g8,59
2bqQ3/p2n1pk1/2p2b2/6p1/P1PP2P1/1P3R2/6K1/7R w - -,g1h3 a5c4 e1a1 d7c6 h1e1 f7f6 c1c2 a8e8 b2b3 c4e3,Mate
r3q1k1/5pp1/n2p1b1p/3P4/1PpB4/5N1P/5PP1/R2Q2K1 w - -,d4f6 g7f6 a1c1 e8e4 f3d2 e4d5 c1c4 h6h5 d1e2 d5e5,226
r2r2k1/1np2p1p/1p2pp2/p7/2P5/2N3P1/PP2PP1P/3R1RK1 w - -,g1g2 g8f8 d1d8 b7d8 f1d1 f8e7 b2b3 f6f5 g2f3 d8b7,19
3k4/pp4p1/3p4/8/8/2N1p3/PPP2bPP/1K6 w - -,b1c1 d8c7 c1d1 c7c6 d1e2 d6d5 e2d3 c6d6 g2g3 a7a5,111
4Q3/8/5p2/6kp/5r1n/5p2/5K2/8 w - -,e8f8 h4g6 f8g7 h5h4 g7h7 g6e5 h7g8 g5h5 g8e8 h5g4,-797
6k1/5p1p/ppR3p1/2br1p2/P7/5NP1/1P3P1P/6K1 w - -,b2b4 c5b4 c6b6 a6a5 b6b8 g8g7 b8b7 g7f6 h2h4 b4e7,-67
5k2/8/4p1P1/7p/1P6/P1P3R1/1KNr3P/4r3 w - -,c3c4 f8g7 c4c5 h5h4 g3c3 e1f1 c5c6 f1f8 c6c7 d2h2,450
r2qr1k1/pp3ppp/2nb1n2/8/2pPB3/2P2Q2/PP3PPP/R1B1R1K1 w - -,c1g5 h7h6 g5f6 d8f6 f3h5 f6g5 h5f3 e8e6 g2g3 g7g6,-266
r2q1rk1/1bp1bppp/1p2p3/p1n1N3/2P5/2N3P1/PP1QPPBP/R4RK1 w - -,d2e3 b7g2 g1g2 e7f6 f1d1 d8c8 b2b3 h7h6 h2h4 c8b7,13
3r3r/pp3kpp/8/1B1p4/2p1n3/P1Pp2P1/P4P1P/R2R2K1 w - -,d1d3 c4d3 b5d3 e4c3 h2h4 d5d4 g1g2 h8f8 d3h7 d4d3,-527
r5r1/4pp1k/p1np4/6RP/4P3/1P5B/P1P5/1K4R1 w - -,h3f5 h7h8 g5g8 a8g8 g1g8 h8g8 f5c8 c6b8 b1b2 g8g7,375
5rk1/ppR2p1p/q2p2pB/P2pb3/1P1n2P1/5Q1P/6B1/7K w - -,g5g4 g8g4 h3g4 h7h6 g4e2 c6d4 e2d1 d4e6 g1e1 a6a5,Mate
1r5r/p1k2p2/3pb3/1Bp3P1/2P1P2p/2P3P1/P6P/R4RK1 w - -,f1f3 b8g8 g3g4 h4h3 g1f2 g8g5 a1g1 h8h4 f2e3 h4g4,-5
r1bq1rk1/pp1np1b1/5pp1/8/Q1PPp3/4B3/PP3PPP/R3KB1R w KQ -,a1d1 f6f5 c4c5 f5f4 e3d2 g8h7 h2h4 d7f6 d2f4 f6h5,-346
r2q1rk1/pb3ppp/1pnbpn2/8/3P1B2/P1NQ1N2/BP3PPP/R4RK1 w - -,f4g5 h7h6 g5h4 g7g5 h4g3 g8g7 a1d1 c6e7 f3e5 e7f5,64
1r2r1k1/p4p1p/5npQ/3p4/1P1q4/8/PP1N2RP/5R1K w - -,d2b3 d4b4 h6d2 b4d2 g2d2 g8g7 b3d4 b8b7 d2g2 b7b6,-351
6k1/5p1p/ppR3p1/3r1p2/Pb6/5NP1/5P1P/6K1 w - -,c6b6 a6a5 h2h4 d5d7 h4h5 g8g7 g1g2 d7e7 g2f1 e7e6,-78
r1b2rk1/2p3p1/3p1n1p/1p1Pp1q1/8/1BPQN3/1P3PPP/R3R1K1 w - -,a1a8 g5f4 b3c2 b5b4 c3b4 f4b4 d3c3 b4b6 c3a3 b6d4,511
2q4r/p3ppk1/3p2P1/2rP4/1p6/1P6/P1PQN3/1K5R w - -,h1g1 c8f5 g6f7 g7f7 e2g3 f5d5 d2b4 h8c8 b4a4 c8c6,-93
r1b2rk1/pp1nn1pp/2pq4/3pN3/5PP1/2NB3P/PPP5/2KRQ1R1 w - -,e1h4 d6h6 h4h6 g7h6 e5d7 c8d7 f4f5 a8e8 c3e2 e7c8,128
6k1/5p1p/1R4p1/p2r1p2/Pb6/5NP1/5P1P/6K1 w - -,b6b8 g8g7 b8b7 g7f6 h2h4 b4e7 g1g2 h7h6 b7c7 e7c5,-69
r1bqk1nr/4ppbp/p1np2p1/1p6/3PP3/1B3N2/PP3PPP/RNBQK2R w KQkq -,e1h1 g8f6 b1c3 e8h8 h2h3 c6a5 e4e5 f6e8 c1g5 a5b3,18
8/rb3kp1/5q2/3p4/1P4R1/1B3p2/2PN1P2/2K3R1 w - -,,0
r1b2rk1/2qnbppp/p4n2/1p2p3/4P3/2NB1N2/PPP3PP/R1B1QR1K w - -,e1g3 f6h5 g3e1 c8b7 a2a4 d7c5 a4b5 c5d3 c2d3 a6b5,-19
1k1r4/pp5p/4Bp2/2p5/P4n1P/2B1P1b1/1P2K3/7R w - -,e3f4 g3f4 h1g1 f4e5 c3e5 f6e5 g1g8 b8c7 g8d8 c7d8,458
6k1/1Q3ppp/p1n5/4p3/4P3/N1P2qPb/PP1r1P1P/4RBK1 w - -,b7b6 h3f1 e1f1 f3e4 b6a6 h7h5 a3c4 d2d3 c4e3 h5h4,261
2r1n1k1/pb2qr1p/1p2Bp1Q/nP6/8/P7/1BP2PPP/3RR1K1 w - -,e6c8 b7c8 e1e7 f7e7 b2f6 e7e6 h6g5 g8f7 f6b2 a5b7,759
4b3/8/5k1p/6pP/2B1ppP1/4N3/5PK1/8 w - -,e3f5 e8h5 f5h6 h5e8 c4d5 f6e5 d5a8 e8d7 a8b7 e5d4,144
6k1/6P1/4p3/7p/1P6/P1P3R1/1KNr3P/4r3 w - -,c3c4 h5h4 g3c3 e1f1 c4c5 d2h2 c5c6 g8g7 c6c7 f1f8,472
r1bqk1nr/5pbp/p1npp1p1/1p6/3PP3/1B3N2/PP3PPP/RNBQ1RK1 w kq -,d4d5 c6a5 d5e6 f7e6 b1c3 g8h6 f3g5 d8e7 c1f4 a5b3,103
b4k2/3R1ppp/1p5q/8/2p5/6P1/5P2/6K1 w - -,d7d8 f8e7 d8a8 c4c3 a8a7 e7d6 a7a6 h6c1 g1h2 c1b1,Mate
3r2nr/pp3kpp/3b4/3p2p1/1Pp5/2PB4/P2N1PPP/R2R2K1 w - -,d3f1 g8f6 g2g3 h7h5 a1c1 d6b8 f1g2 h5h4 d2f1 h4h3,-138
r3qrk1/2p1b1pp/2npp3/p3p3/Pp2P3/1NP2N1P/1P1B1PP1/R3Q1K1 w - -,a1c1 e7f6 e1d1 f6d8 d2e3 b4c3 c1c3 a8b8 e3d2 h7h6,-282
r1bq1rk1/1p2bpp1/p1np1n1p/2p1p3/2B1P3/2NPBN2/PPP1QPPP/R4RK1 w - -,c4b3 c8e6 e3d2 e6b3 a2b3 f8e8 f1e1 d8d7 h2h3 a8c8,-33
r1b2rk1/pp2b1pp/2p5/q2p4/2PBn3/1P3N2/P2PB1PP/R2QK2R w KQ -,e1h1 c8g4 c4d5 c6d5 d2d3 e4c3 d1d2 e7f6 d4f6 f8f6,-54
6k1/5p2/p3pbp1/1p1q4/2rP1P1p/P2Q4/1P2NKPP/3R4 w - -,d1d2 g8g7 d3e3 a6a5 g2g4 d5h1 e3h3 b5b4 g4g5 f6e7,-141
4b3/8/7p/3Nk1pP/2B1ppP1/8/5PK1/8 w - -,d5e7 e5f6 e7g8 f6g7 g2h3 e8d7 g8e7 g7f6 e7d5 f6e5,134
r1bq1rk1/ppp2pp1/2n1pn1p/8/1bpP3B/2NBPN2/PP3PPP/R2QK2R w KQ -,d3c4 e6e5 e1h1 e5d4 e3d4 c8g4 c3d5 b4e7 d5e7 d8e7,28
rn1qkbnr/pp2pppp/2pp4/1B6/6b1/4PN2/PPPP1PPP/RNBQK2R w KQkq -,b5e2 g8f6 d2d4 b8d7 e1h1 d6d5 h2h3 g4h5 b1d2 e7e6,15
2b4k/3r2b1/1p1pr1PN/p3p1B1/Pn2P3/2N5/1PP2R2/5RK1 w - -,b5e2 g8f6 d2d4 b8d7 e1h1 d6d5 h2h3 g4h5 b1d2 e7e6,Mate
r2n1rk1/1b1qppbp/1p1p1np1/p1p5/P2P4/2P1PN1P/1PQNBPPB/R4RK1 w - -,d2c4 b7e4 c2b3 c5d4 c3d4 e4d5 b3b6 d8c6 b6b5 d7a7,53
r2qr1k1/pp3pp1/2nb1n1p/6B1/2pPB3/2P2Q2/PP3PPP/R3R1K1 w - -,g5f6 d8f6 f3f6 g7f6 g2g3 a8b8 a2a4 g8f8 e1e3 c6e7,-265
rn1qkb1r/pp2pppp/2pp1n2/8/6b1/4PN2/PPPPBPPP/RNBQK2R w KQkq -,d2d4 e7e6 h2h3 g4h5 e1h1 b8d7 b2b3 d6d5 b1d2 f8d6,16
4b3/4N3/5k1p/6pP/2B1ppP1/8/5PK1/8 w - -,e7d5 f6e5 g2h3 e5d4 d5f6 e8c6 c4a6 c6d5 f6e8 d4c3,153
4r3/6pp/1k3p2/1bp2P2/1p1pPbP1/4nB1P/1N1R4/1KR5 w - -,d2d3 h7h6 f3e2 e8e4 e2f3 e4e5 f3h1 e5e7 h1f3 f4g5,-542
8/1R3pk1/6pp/p2r1p2/Pb6/5NP1/5P1P/6K1 w - -,h2h4 b4c3 g1f1 g7g8 b7b8 g8h7 b8b7 h7g7 b7c7 c3b4,-62
r1bq1rk1/p1p2pp1/1pn1pn1p/8/1bBP3B/2N1PN2/PP3PPP/R2QK2R w KQ -,a1c1 b4e7 e1h1 c8b7 d1e2 f6h5 h4e7 c6e7 f1d1 h5f6,71
8/8/3Q4/1k6/3b4/8/6K1/8 w - -,a1c1 b4e7 e1h1 c8b7 d1e2 f6h5 h4e7 c6e7 f1d1 h5f6,Mate
7r/p1k2P2/3pb3/1Bp5/2P1P3/2r5/P4K2/R4R2 w - -,a1c1 c3c1 f1c1 e6f7 c1f1 c7d8 e4e5 d6e5 f1d1 d8e7,-17
4rn2/1p4k1/2p2pbp/2N3p1/p2rP3/P4PP1/1P1B2K1/4RR2 w - -,d2c3 d4d8 c5b7 d8d7 b7c5 d7e7 c5a4 g5g4 a4c5 f8d7,124
r1bq1rk1/pp1np1b1/6p1/2P2p2/Q2Pp3/4B3/PP3PPP/R3KB1R w KQ -,a1d1 f5f4 e3d2 e7e6 h2h4 f8f5 f1c4 d7f6 a4b3 d8e8,-363
K7/8/3k4/3N4/2p5/7P/1P3p2/8 w - -,d5e3 d6e5 e3g4 e5d4 g4f2 d4e3 h3h4 e3d2 h4h5 d2c1,952
r1bqk1nr/6bp/p2pp1p1/np6/4P3/1B3N2/PP3PPP/RNBQ1RK1 w kq -,b1c3 g8h6 f3d4 a5b3 d1b3 d8d7 c1e3 h6g4 h2h3 g4e3,101
Q2n2k1/5ppp/p7/4p3/4P3/N1P2qPb/PP1r1P1P/4RBK1 w - -,a8a7 h3f1 e1f1 f3e4 a7a6 d8e6 a3c4 d2d8 h2h4 g7g5,172
2kr3r/ppn5/3p4/3Pb2p/1P3Np1/q2BP3/2QB1PP1/1R3K2 w - -,b1c1 c8b8 c2c7 b8a8 c7a5 a3a5 b4a5 d8c8 c1b1 e5c3,343
4b3/4N3/7p/6pP/2BkppP1/8/5PK1/8 w - -,c4a6 d4e5 e7g8 e8d7 f2f3 d7c6 f3e4 c6e4 g2f2 e4c2,450
2r2b1r/pp1nk3/1q2pp2/3p1b1B/3P3B/1P6/P4PPP/RN1Q1RK1 w - -,h4g3 f8h6 f2f4 d7e5 b1a3 e5d3 g1h1 f5e4 h5e2 b6d4,-131
8/5pk1/p3pbp1/1p1q4/2rP1P1p/P2Q4/1P1RNKPP/8 w - -,g2g4 d5h1 d3h3 g6g5 h3g2 h1b1 g2f3 c4c2 d2c2 b1c2,-161
r3qrk1/p2bp1bp/np1p1np1/2pP1p2/2P5/P1N2NP1/1PQ1PPBP/1RB2RK1 w - -,f1e1 h7h6 f3h4 f6g4 f2f4 g6g5 f4g5 g7d4 e2e3 d4c3,68
r2q1rk1/pbp2pp1/1pn1pn1p/8/1bBP3B/2N1PN2/PP3PPP/R2Q1RK1 w - -,a1c1 b4e7 d1e2 f6h5 h4e7 c6e7 f1d1 h5f6 e3e4 a7a6,80
rn1qkb1r/pp2pppp/3p1n2/2p5/3N4/4P3/PPPPQPPP/RNB1K2R w KQkq -,d4f3 g7g6 e1h1 f8g7 d2d4 e8h8 f1d1 d6d5 d4c5 d8a5,-13
