rnb1k2r/ppppqppp/3b4/8/4n3/5N2/PPPPQPPP/RNB1KB1R w KQkq -,b1c3 e4c3 d2c3 b8c6 c1e3 b7b6 e1a1 c8b7 e2d2 e8a8,41
r1bqkbnr/pppn1p1p/3p2p1/4p3/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,g1f3 f8g7 b1c3 g8f6 e2e4 e8h8 e1h1 f8e8 f1e1 a7a5,77
r2qk2r/ppp2ppp/1bp1bn2/8/3PP3/2P2P2/PP4PP/RNBQKB1R w KQkq -,a2a4 a7a5 b1a3 f6d7 h2h4 d8e7 f1c4 h7h6 d1e2 e8a8,357
rnbqk1nr/1pp1ppbp/p2p2p1/8/2B1PP2/5N2/PPPP2PP/RNBQK2R w KQkq -,d2d4 c7c5 c2c3 c5d4 c3d4 e7e6 b1c3 b8c6 c4b3 g8e7,57
rnbq1rk1/ppppnpbp/6p1/4p3/2P5/2NP2P1/PP2PPBP/R1BQK1NR w KQ -,h2h4 h7h5 c1g5 c7c6 e2e4 d7d6 g1e2 c6c5 a2a3 a7a5,30
rnbq1rk1/pp1pnpbp/2p3p1/4p3/2P1P3/2NP2P1/PP3PBP/R1BQK1NR w KQ -,g1e2 c6c5 a2a3 b8c6 b2b4 d7d6 a1b1 b7b6 e1h1 c6d4,47
8/6k1/8/2Q1N3/5K2/8/8/8 w - -,h2h3 b8a6 g1e2 a6c7 d3d4 e5d4 e2d4 d7d5 e4d5 c6d5,Mate
rnbqk2r/pppp1ppp/4pn2/8/3PP3/8/PPPN1PPP/R2QKBNR w KQkq -,e4e5 f6d5 c2c4 d5e7 d1g4 e7f5 g1f3 b8c6 f1d3 h7h5,77
rnbqk2r/pppp1ppp/4p3/3nP3/3P4/8/PPPN1PPP/R2QKBNR w KQkq -,d1g4 e8h8 e1a1 b8c6 d2f3 d7d6 h2h4 f7f6 h4h5 d8e7,98
r1bqk1nr/pp3ppp/2n1p3/b1ppP3/3P4/P1N5/1PPB1PPP/R2QKBNR w KQkq -,d1g4 e8f8 d4c5 c6e5 g4g3 e5c6 e1a1 g8f6 f2f4 d5d4,62
rnbqrbk1/pppn1ppp/8/3pP3/3P4/P1N5/1P2NPPP/R1BQKB1R w KQ -,b2b4 a7a5 b4b5 c7c5 b5c6 b7c6 g2g3 f7f6 e5f6 d7f6,-68
