Q7/4K3/1k6/3B4/8/8/8/8 w - -,c5b5 c7b8 b5a6 b8c7 a3a4 c7c8 a6b6 c8b8 a4a5 b8a8,Mate
8/3K4/8/3B4/2Q5/4k3/8/8 w - -,c5b5 c7b8 b5a6 b8c7 a3a4 c7c8 a6b6 c8b8 a4a5 b8a8,Mate
8/8/5K2/8/k7/7Q/8/8 w - -,c5b5 c7b8 b5a6 b8c7 a3a4 c7c8 a6b6 c8b8 a4a5 b8a8,Mate
r2qkbnr/p2bpppp/1pnp4/1Bp5/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,b5a6 d7c8 a6b5 c8d7 c2c3 a7a6 b5c4 g8f6 d2d4 b6b5,97
rnbqk1nr/1p3ppp/p1p5/3pb3/3P4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,f3e5 b8d7 e5f3 d7f6 e2e3 g8e7 d1b3 e7f5 f1d3 f5d6,10
r1b2rk1/p4ppp/2p1p3/8/3PP3/5N2/P2K1PPP/1R5R w - -,h1c1 c8d7 f3e5 f8d8 d2e3 h7h6 b1b7 d7e8 e5c6 d8d6,235
rnbqk2r/bp2nppp/p3p3/3p4/4PB2/1N1B4/PPP2PPP/RN1Q1RK1 w kq -,e4d5 e7d5 f4g3 b8c6 d3e4 e8h8 c2c4 d5e7 g3d6 f8e8,24
r1b1kb1r/ppp1qp1p/3p1np1/n3p3/2B1P3/2PP1Q1P/PP3PP1/RNB1K1NR w KQkq -,c4b5 c7c6 b5a4 f8g7 b2b4 b7b5 a4c2 a5b7 a2a4 d6d5,-16
8/1bRQ1ppk/p3p2p/1p6/3qp3/1P2b1P1/P5KP/8 w - -,d7d4 e3d4 c7b7 h7g6 b7d7 e6e5 a2a4 f7f6 h2h3 h6h5,-8
rnb1kb1r/pp3p2/1qpppn1p/6p1/3PP3/2N2NB1/PPP2PPP/R2QKB1R w KQkq -,d1d2 b6b2 a1b1 b2a3 e4e5 f6h5 e5d6 h5g3 h2g3 f8g7,71
rn1qk2r/pp3ppp/2p1pn2/8/2BPP1b1/1Qb1BN2/PP3PPP/R3K2R w KQkq -,e1f1 c3a5 f3e5 b8d7 b3b7 a8b8 b7c6 e8h8 h2h3 g4h5,-400
2rq1rk1/1b1n1pb1/p2ppnpp/1p6/1PP1PPP1/2NBN2R/P2B3P/1R2Q1K1 w - -,h3g3 b5c4 e3c4 f6e4 c3e4 d6d5 c4d6 d5e4 d3e4 b7e4,-161
2rq1rk1/pb1nbppp/1p1n4/2pP4/2P5/2N2NP1/PBQ2PBP/R2R2K1 w - -,f3d2 e7f6 a2a4 b7a6 c3e4 f6b2 c2b2 d6b7 g3g4 d8c7,91
r1bq1rk1/pp3pbp/3p1np1/8/2PpP3/p2P2P1/4NPBP/R1BQ1RK1 w - -,c1a3 c8g4 a1b1 a8b8 f2f3 g4c8 d1d2 b7b5 c4b5 d8b6,59
rnbq1rk1/ppp1p1bp/3p1np1/5p2/3P1B1P/2P1P3/PP1N1PP1/R2QKBNR w KQ -,f1b5 h7h6 a2a4 b8d7 g1f3 d8e8 e1h1 a7a6 b5e2 g8h7,-36
8/5p2/7N/4k1pN/6P1/7n/5K2/8 w - -,f2g3 h3g1 h6f7 e5e6 f7g5 e6d6 g3f2 g1h3 g5h3 d6d5,956
r1bk3r/pp3p2/2p1p2p/4P1p1/1bP1n3/2N5/PP4PP/R3KBNR w KQ -,e1a1 e4d2 g1f3 d8e7 f3d2 h8d8 f1e2 b4c5 c3e4 c5e3,387
r1bqkbnr/pp4pp/2n5/4pp2/3p4/5N2/PPPNPPPP/R1BQKB1R w KQkq -,e2e4 d4e3 f2e3 g8f6 f1b5 d8c7 d2c4 e5e4 f3e5 f8c5,-96
r2qk2r/ppp2ppp/2npbn2/4p1B1/1bB1P3/2NP1N2/PPP2PPP/R2Q1RK1 w kq -,c3d5 e6d5 e4d5 c6d4 f3d4 e5d4 c2c3 b4c5 f1e1 e8f8,150
rnbq1rk1/1p3ppp/p1p2n2/3p4/3P4/2N1PNP1/PP3PP1/R2QKB1R w KQ -,f1d3 g7g6 e1h1 f8e8 d1c2 g8g7 f1e1 b8d7 a2a3 h7h5,19
rnbqk2r/1p3ppp/p2b1n2/4p3/3pP3/3Q1N2/PPPB1PPP/RN2KB1R w KQkq -,f1e2 b8d7 b2b4 a6a5 c2c3 a5b4 c3d4 e8h8 d2e3 e5d4,-148
r1b1k2r/ppp2p2/2np1q1p/2bBp2Q/4P3/3P3p/PPP2PPN/R1B2RK1 w kq -,g2g3 f6g6 h5g6 f7g6 c2c3 a7a5 a2a4 c8d7 c1e3 c5e3,-79
rnbqk2r/bp2nppp/p3p3/8/3pPB2/1NNB4/PPP2PPP/R2Q1RK1 w kq -,d1g4 d4c3 g4g7 h8g8 g7c3 b8c6 a1d1 e7g6 f4g3 e6e5,-182
rn1qkb1r/pp2nppp/2p1p3/8/2BPN1b1/5N2/PPP2PPP/R1BQK2R w KQkq -,e1h1 e7f5 h2h3 g4f3 d1f3 b8d7 c2c3 f8e7 a2a4 a7a5,83
r1bqk2r/bp2nppp/p1n1p3/8/3pPB2/1N1B4/PPP1NPPP/R2Q1RK1 w kq -,h2h3 e6e5 f4h2 c8e6 f2f4 f7f6 g1h1 e8h8 d1e1 e6f7,-27
5k2/8/6KP/6P1/1pp5/8/8/8 w - -,h2h3 e6e5 f4h2 c8e6 f2f4 f7f6 g1h1 e8h8 d1e1 e6f7,Mate
8/4k2P/6K1/6P1/1pp5/8/8/8 w - -,h2h3 e6e5 f4h2 c8e6 f2f4 f7f6 g1h1 e8h8 d1e1 e6f7,Mate
7Q/8/3k2K1/6P1/1pp5/8/8/8 w - -,h2h3 e6e5 f4h2 c8e6 f2f4 f7f6 g1h1 e8h8 d1e1 e6f7,Mate
rnbq1rk1/1p3ppp/p2b4/8/3Nn3/3Q4/PP1B1PPP/RN2KB1R w KQ -,d2e3 f8e8 f1e2 b8d7 e1h1 d7e5 d3c2 e5g4 e2g4 c8g4,-110
rn1qkb1r/pp2pppp/2p2n2/1P1p4/P5b1/8/1BPPPPPP/RN1QKBNR w KQkq -,g1f3 g4f3 e2f3 e7e6 c2c4 f8e7 c4d5 c6d5 f1e2 b8d7,-21
