4rrk1/5ppp/p1p5/1p6/3P1bb1/1BP4q/PPQN1P1P/R1B2RK1 w - -,a2a3 b4a6 a1b1 b8b1 h1b1 a6c5 b1b8 g8f7 e6c5 e7c5,Mate
r2qk2r/pb1pbppp/1pn1pn2/8/2PQ4/1P3NP1/P3PPBP/RNB2RK1 w kq -,d4f4 d7d5 b1c3 d5c4 f3e5 d8c8 e5c4 e8h8 c1b2 c6b4,37
2rBr1k1/1p2pp1p/p1bp1np1/8/1PP1P3/P1b5/R3BQPP/6K1 w - -,f2e3 f6e4 d8b6 c3g7 a2c2 d6d5 c4d5 c6d5 e2d3 c8c2,-86
rn2k2r/pb1p2pp/1p1bp2q/2p2p2/2PPn3/PP1BPN2/1B2NPPP/R2Q1RK1 w kq -,e2g3 b8a6 d1e2 e8h8 a1d1 a8d8 f3e5 c5d4 e3d4 d6e5,96
8/4k1pp/Q7/1p1PqpP1/1P6/7P/5PB1/6K1 w - -,a6b5 h7h6 b5c5 e7d7 g5h6 g7h6 c5c6 d7d8 c6h6 e5e1,757
8/8/5Pk1/6Pp/5K2/8/4n3/8 w - -,a6b5 h7h6 b5c5 e7d7 g5h6 g7h6 c5c6 d7d8 c6h6 e5e1,Mate
rnbqk2r/pp2ppbp/2p2np1/8/3PB3/2N2P2/PPP3PP/R1BQK1NR w KQkq -,g1e2 b7b5 c1e3 e8h8 a2a3 a7a5 d1d2 c8a6 b2b4 a6b7,-21
r3kb1r/pp2pppp/5n2/q1ppnN1Q/2P2P2/1P6/P2P2PP/RNB2RK1 w kq -,h5e2 e5c6 f5d6 e8d7 d6f7 h8g8 f7e5 d7c7 e5c6 b7c6,228
2kr4/pp3p2/1q2p3/2npP3/7b/3KnN1Q/PPPN2rP/R1B2R2 w - -,d3e3 c5b3 e3f4 b6b4 c2c4 g2d2 f3d2 b3c1 h3g2 c1d3,-576
r4rk1/p1p2pp1/2p1b2p/8/4B3/2q5/P1P2PPP/R2QR1K1 w - -,d1f3 c3f3 e4f3 f8d8 f3c6 a8b8 c6e4 c7c5 e1e3 b8b2,-31
5k2/8/p7/8/PP6/2b2KpP/1r6/3R4 w - -,f3g3 b2b4 h3h4 b4a4 h4h5 f8g7 d1d3 c3b4 d3d8 a6a5,-322
2r3k1/2P1bppp/1n6/pb5n/4P3/BP3N1P/P4PP1/R2rRNK1 w - -,a1d1 e7a3 d1d8 a3f8 f3d4 b5d7 e1c1 h5f4 f1e3 f7f5,471
8/8/5Pk1/6Pp/3n4/5K2/8/8 w - -,e1d1 e7a3 d1d8 a3f8 f3d4 b5d7 a1c1 h5f4 f1e3 f7f5,Mate
5Q2/5p1p/5kp1/2BP4/p7/7P/1q2r1PK/8 w - -,c5d4 b2d4 f8h8 f6e7 h8d4 a4a3 d5d6 e7d7 d4a7 d7d6,575
2rq1rk1/1p3p2/p1B4p/2p3p1/P5b1/3P1N2/1PP2bPP/R2QR1K1 w - -,g1f1 f2e1 c6b7 e1a5 b7c8 g4c8 d1e2 f8e8 e2f2 d8d6,-482
r4rk1/pBp2ppp/3b4/3p4/Q2P2q1/2P5/PP1B1P1P/R4R1K w - -,a4d1 g4h3 f2f4 a8b8 b7d5 b8b2 f1f2 f8b8 d1e2 b2b1,347
r4r2/p2b1p1k/1pn2qpp/3p4/B4B2/6Q1/PP3PPP/R3R1K1 w - -,a4c6 d7c6 f4e5 f6g5 g3g5 h6g5 a1c1 a8c8 e5f6 g5g4,14
r4rkb/1p3p2/p4qpp/3p1b2/P4B2/1PN2P2/1P1Q3P/R4RK1 w - -,c3d5 f6d4 f1f2 f8d8 d5e7 g8h7 e7f5 g6f5 g1h1 a8c8,-119
2kr4/pp1n1p2/1q2p3/3pP3/2n4b/3K1N1Q/PPPN2rP/R1B2R2 w - -,c3d5 f6d4 f1f2 f8d8 d5e7 g8h7 e7f5 g6f5 g1h1 a8c8,Mate
r2qk2r/pp1nbpp1/2p1pnp1/3p4/2PP4/PPN1P3/1B3PPP/R2QKB1R w KQkq -,d1c2 e8h8 f1e2 e7d6 e1h1 d8e7 f1d1 a8c8 g2g3 e6e5,36
2r3k1/2P2ppp/1n6/pb5n/4P3/bP3N1P/P4PP1/3RRNK1 w - -,d1d8 a3f8 f3d4 b5d7 e1c1 h5f6 d4c6 f6e8 c6b8 d7e6,478
3q1rk1/1p3p2/p1r4p/2p3p1/P5b1/3P1N2/1PP2KPP/R2QR3 w - -,e1e4 g4f3 g2f3 f8e8 b2b3 e8e4 f3e4 d8d4 f2g2 c6f6,-115
2r4k/5pp1/pR4p1/8/P7/2p4P/2P1RPP1/3r2K1 w - -,g1h2 d1d2 e2e7 h8g8 b6a6 d2c2 a6a7 c2f2 e7c7 c8c7,-5
4r1k1/3bbpp1/2p1p2n/P2P3p/N2P4/P1rB1N2/3B1PPP/R5K1 w - -,a4c3 e6d5 a1e1 d7f5 d3f1 f7f6 a5a6 g8f7 c3a4 f5e4,611
2rr2k1/1p2pp1p/p1b2np1/2P5/2P1P3/P1b5/R3B1PP/6K1 w - -,a3a4 c3e5 h2h3 d8d4 e2f3 c8d8 a2a1 d4c4 a1e1 c4a4,-1146
8/5p1k/4b1pp/p2p1p2/2pPnP2/2P1R3/Br4PP/4K3 w - -,a2c4 d5c4 g2g4 a5a4 e1d1 a4a3 d1c1 b2h2 c1b1 e4d2,-1189
r2qkb1r/2p1pppp/b7/2n5/1n6/2N5/PPBP1PPP/R1BQK1NR w KQkq -,a1b1 c5d3 e1f1 d8d4 c2d3 b4d3 d1f3 d3e5 f3e2 a6e2,-510
5k2/8/p7/8/Pr6/2b3KP/8/3R4 w - -,a4a5 f8e7 d1h1 c3e5 g3f3 e5f6 f3e2 e7e6 h1c1 e6d7,-318
4kr2/R6p/4Bq2/1p4p1/1P1p1B2/1Q1P2P1/6KP/2r5 w - -,a4a5 f8e7 d1h1 c3e5 g3f3 e5f6 f3e2 e7e6 h1c1 e6d7,Mate
r2q1rk1/pp1nbpp1/2p1pnp1/3p4/2PP4/PPN1P3/1BQ2PPP/R3KB1R w KQ -,f1e2 e7d6 h2h4 e6e5 e1a1 d8e7 c4c5 d6c7 c1b1 f8e8,39
2r4k/5pp1/pR4p1/8/P7/2p4P/2PrRPPK/8 w - -,e2e7 h8g8 b6b7 d2f2 h2g3 f2f5 b7a7 a6a5 a7c7 c8d8,-2
r3kb1r/1pqb2pp/p3p1n1/3pPp2/1n5P/2N2NQ1/PP3PP1/RBB1R1K1 w kq -,c1d2 f8c5 a2a3 b4c6 h4h5 g6e7 b2b4 c5a7 b1d3 c6d4,128
rn2k2r/pp3ppp/4b3/b7/8/4QPPN/1q2PK1P/3R1B1R w kq -,e3e4 a5b6 f2g2 b8c6 h3g5 b2e5 g5e6 f7e6 e4e5 c6e5,-564
1nq1r1k1/5pp1/1B1R3p/4Pp2/2P2P2/1N1Q3P/1r4PK/8 w - -,b3a5 g8h7 h3h4 b2b4 d3d5 e8f8 h4h5 b4a4 d5d3 a4b4,36
2r2k2/p1rR1pp1/6p1/1p6/3R4/6P1/P4P1P/6K1 w - -,h2h4 a7a5 d7d6 c7a7 a2a3 c8b8 d4d3 a5a4 d6d7 a7d7,-53
2k2r2/pp4pp/2p5/6b1/1nPBP1Nq/1P3B2/2RPK2P/3Q2NR w - -,g4f2 c8b8 d4g7 f8d8 g7c3 g5e7 g1h3 b4c2 d1c2 e7d6,814
r3k2r/pb1p2pp/np1bp2q/2p2p2/2PPn3/PP1BPNN1/1B3PPP/R2Q1RK1 w kq -,d1e2 e8h8 f1d1 d6g3 h2g3 d7d6 f3h2 a8d8 h2f1 h6g6,87
4k3/8/1p2r1p1/1Pp5/2P2Q1P/6PK/8/8 w - -,h3g4 e6e7 f4f6 e7f7 f6b6 g6g5 g4g5 f7g7 g5f6 g7f7,1246
2rR1bk1/2P2ppp/1n6/pb5n/4P3/1P3N1P/P4PP1/4RNK1 w - -,f3d4 b5d3 d4f5 c8c7 d8d3 h5f4 d3d8 g7g6 f5e3 g8g7,450
8/8/4nPk1/6Pp/8/6K1/8/8 w - -,f3d4 b5d3 d4f5 c8c7 d8d3 h5f4 d3d8 g7g6 f5e3 g8g7,Mate
r1b1k2r/ppppnppp/2n3q1/b5B1/4P3/1QPB1N2/P4PPP/RN3RK1 w kq -,b1a3 a5b6 d3c2 e8h8 a3c4 b6c5 e4e5 g6e6 f1d1 h7h6,-25
3r1rk1/R3n1pp/3b1p2/1N2pb2/2p5/4PNB1/1P3PPP/5RK1 w - -,b5d6 f5d3 a7e7 d3f1 g1f1 d8d6 f3e5 f6e5 g3e5 d6g6,200
r4rkb/1p3p2/p5pp/3N1b2/P2q1B2/1P3P2/1P1Q3P/R4RK1 w - -,f1f2 f8d8 d5e7 g8h7 e7f5 g6f5 g1h1 a8c8 a1e1 d4b6,-110
r1bq1rk1/1p1nppbp/2np2p1/p7/2P1P3/1NN1B2P/PP2BPP1/R2Q1RK1 w - -,a1c1 a5a4 b3d4 c6d4 e3d4 g7h6 f2f4 e7e5 f4e5 d7e5,57
r3k2r/pp3ppp/1Bn1p3/8/1P6/P4N2/5PPP/R2q1RK1 w kq -,b6d4 d1b3 f1b1 b3d5 d4c3 f7f6 b4b5 c6e7 c3b4 e7f5,-800
r2q1rk1/1p1nbpp1/p1p1pnp1/3p4/2PP4/PPN1P3/1BQ1BPPP/R3K2R w KQ -,h2h4 b7b5 c4c5 a6a5 g2g4 b5b4 a3b4 a5b4 a1a8 d8a8,45
3r1rk1/ppp2ppp/q7/4p3/2PB1n2/P7/1P2BPPP/R2Q1RK1 w - -,d1e1 f4e2 e1e2 e5d4 e2d3 c7c5 b2b4 b7b6 h2h4 f8e8,-252
r4rk1/1b3pp1/pbn1p2p/3qP3/Pp1p3B/8/1P1N1PPP/2RQ1RK1 w - -,c1c6 d5c6 d1g4 b6d8 h4d8 a8d8 f1d1 c6c2 h2h3 c2g6,-586
r1b1k2r/1pp1qp2/1b1p1nnp/p2Pp1p1/P1B1P3/2P2NN1/1P2QPPP/R1B1R1K1 w kq -,e2c2 f6g4 e1f1 g6f4 b2b4 h6h5 a1b1 h5h4 g3f5 c8f5,-47
2r3k1/4Rpp1/pR4p1/8/P7/2p4P/2Pr1PPK/8 w - -,b6a6 d2c2 a6a7 c2f2 a7c7 c8c7 e7c7 f2c2 a4a5 f7f6,-6
8/8/1PR4p/K4r2/2P3k1/8/6p1/8 w - -,b6a6 d2c2 a6a7 c2f2 a7c7 c8c7 e7c7 f2c2 a4a5 f7f6,Mate
8/4k3/p7/P7/1r6/2b3KP/8/3R4 w - -,d1h1 c3e5 g3f3 e5f6 f3e2 e7d7 h1g1 b4a4 g1g6 d7e6,-335
rnbqkb1r/pp1p1ppp/4p1n1/2p5/4PP2/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,d2d4 c5d4 d1d4 b8c6 d4f2 d7d5 f4f5 g6e7 c1d2 d5e4,96
r2qk2r/4bppp/2b1p3/2PpP3/3B4/8/P4PPP/RN1Q1RK1 w kq -,b1c3 e8h8 d1d2 a8a5 f1c1 d8a8 c3e2 a5a4 h2h3 f8c8,11
6k1/pp3ppp/2n5/8/2Q5/P3B3/1P3PPP/3r2K1 w - -,,0
2r4k/5Qp1/p2p1R1p/8/8/7P/q5P1/7K w - -,f6h6 g7h6 f7a2 c8g8 a2a6 g8g6 a6c8 h8g7 c8d7 g7f8,623
4rk2/3bbpp1/2p1p2n/P2P3p/N2P4/P1BB1N2/5PPP/R5K1 w - -,a4b6 d7c8 d5c6 h5h4 c3b4 h4h3 a5a6 c8a6 d3a6 e7b4,800
r4r2/p4p1k/1pb2qpp/3p4/5B2/6Q1/PP3PPP/R3R1K1 w - -,h2h4 f8e8 f4e5 f6f5 a1d1 c6a4 d1c1 a4d7 e1e3 f5g4,22
r3k2r/pp2qp1p/1np5/6p1/3PQ1Pn/2N5/PP2NP2/1K1R3R w kq -,f2f3 h7h6 f3f4 b6d5 f4g5 h6g5 e2g3 d5c3 b2c3 h8h6,-13
2kr4/pp1n1p2/1q2p3/4P3/2p4b/3K1N1Q/PPP3rP/R1B2R2 w - -,f2f3 h7h6 f3f4 b6d5 f4g5 h6g5 e2g3 d5c3 b2c3 h8h6,Mate
2r2k2/2rR1pp1/p5p1/1p1R4/8/6P1/P4P1P/6K1 w - -,d7c7 c8c7 d5d8 f8e7 d8a8 c7c6 a8a7 e7d6 g3g4 c6c4,-103
1nq1r1k1/5pp1/3R3p/4Pp2/2PB1P2/1N1Q3P/r5PK/8 w - -,d3g3 e8e7 e5e6 f7e6 d4f6 a2a7 f6e7 a7e7 c4c5 b8d7,38
2r3k1/1R2Rpp1/p5p1/8/P7/2p4P/2P2rPK/8 w - -,h2g3 f2f1 b7c7 c8c7 e7c7 f1a1 c7c3 a1a4 c3c8 g8h7,-5
r2q1rk1/3nbpp1/ppp1pnp1/3p4/2PP4/PPN1P3/1BQ1BPPP/R4RK1 w - -,g2g4 d5c4 b3c4 b6b5 c4c5 f6d5 g1h1 e7h4 a1d1 d8e7,72
r4rk1/1b3pp1/pbq1p2p/4P3/Pp1p3B/8/1P1N1PPP/3Q1RK1 w - -,f2f3 c6c2 a4a5 b6a7 d1e1 f8c8 h4f2 b4b3 h2h3 b7d5,-592
r3k2r/1p3ppp/1pn1p3/8/1P6/P4N2/5PPP/R2R2K1 w kq -,g1f1 e8e7 f3d4 h8d8 d4b5 g7g5 f1e2 a8c8 d1d8 c6d8,-200
r2q1rk1/4bppp/2b1p3/2PpP3/3B4/2N5/P4PPP/R2Q1RK1 w - -,,0
r1bqk2r/pppp1pp1/2n4p/8/1b1NnB2/2N5/PPP2PPP/R2QKB1R w KQkq -,d1d3 d7d5 d4c6 b7c6 d3d4 d8e7 f1e2 e8h8 e1h1 e4g5,-148
2kr4/pp3p2/1q2p3/4n3/2K4b/5N1Q/PPP3rP/R1B2R2 w - -,d1d3 d7d5 d4c6 b7c6 d3d4 d8e7 f1e2 e8h8 e1h1 e4g5,Mate
r1b2rk1/pp1pqpb1/5n1p/2p1N1p1/2BnP3/2NP2BP/PPP2PP1/R2Q1RK1 w - -,e5g6 e7d8 g6f8 g8f8 e4e5 f6g8 c3e4 d7d5 e5d6 g8f6,529
8/8/1n4B1/4k3/1p1p4/1P6/P3K2P/8 w - -,e2d3 b6d5 d3c4 d5f4 g6d3 f4d5 h2h4 d5c3 c4b4 c3a2,533
r4r2/p4p1k/1pb3pp/3pB1q1/8/6Q1/PP3PPP/R3R1K1 w - -,g3g5 h6g5 a1c1 a8c8 f2f3 c6d7 e5f6 g5g4 c1c8 f8c8,14
8/8/5Pk1/6np/7K/8/8/8 w - -,g3h3 f8e8 e5d4 e8e1 a1e1 a8e8 h3c3 e8e1 c3e1 c6d7,Mate
2r2rk1/1p3p2/p1nq1n1p/2pp2p1/P5b1/2NP1N2/BPP2PPP/R2QR1K1 w - -,c3e2 f8e8 c2c3 g4f3 g2f3 e8e7 f3f4 c8e8 d1d2 g8f8,-251
8/pp1n2p1/5p1p/2k1p3/2B1P3/2P2PP1/P2K4/8 w - -,c4b3 c5d6 d2e3 d6e7 b3d5 b7b6 d5c6 h6h5 e3f2 d7f8,-332
r1b1kb1r/p1p3pp/2P2n2/5pN1/2P1p3/8/PPP2PPP/RNBK3R w kq -,b1c3 h7h6 c3b5 h6g5 b5c7 e8f7 c7a8 f8d6 c1g5 d6e5,20
2r3k1/1R2Rpp1/p5p1/8/P7/2p3KP/2P3P1/5r2 w - -,e7c7 c8c7 b7c7 f1a1 c7c3 a1a4 c3c8 g8h7 c2c4 a6a5,-4
rnb2rk1/ppp1qppp/3p4/2b1p3/2P3n1/3PPNP1/PP3PBP/RNBQ1RK1 w - -,h2h3 g4f6 a2a3 a7a5 d3d4 c5b6 b1c3 f8e8 b2b3 c7c6,60
rnbqk2r/pp2ppb1/3p1npp/2p5/3PP1P1/2N2P2/PPP1B2P/R1BQK1NR w KQkq -,d4c5 d6c5 d1d8 e8d8 e4e5 f6d7 f3f4 b8c6 c1e3 c6d4,83
r1b1k2r/p1ppqpp1/2p4p/8/1b1QnB2/2N5/PPP2PPP/R3KB1R w KQkq -,a2a3 e4c3 f4e3 b4d6 d4c3 d6e5 c3b4 a7a5 b4e7 e8e7,-146
rn2k2r/pp3ppp/1b1Rb3/8/8/4QPPN/1q2PK1P/5B1R w kq -,d6b6 b2b6 e3b6 a7b6 h3g5 e6d5 f1h3 d5c6 h1b1 b6b5,-592
r2qr1k1/pb2bppp/3p1n2/1ppP4/4P2P/6P1/PP3PBN/R1BQR1K1 w - -,g3g4 a7a5 g4g5 f6d7 c1e3 e7f8 a1c1 a5a4 f2f4 h7h6,104
8/8/5k2/6np/8/6K1/8/8 w - -,c1f4 h7h6 d1c2 a7a6 a2a4 a8b8 h2f3 b8c8 e4e5 d6e5,Mate
r1b1kb1r/pp3ppp/2n2q2/2P1p3/3p4/4PN2/PPP2PPP/R1BQKB1R w KQkq -,e3d4 e5d4 b2b4 a7a5 b4b5 c6b4 a2a3 b4d5 d1d4 f8c5,55
r2q1rk1/3nbpp1/ppp2np1/3pp3/2PP2P1/PPN1P3/1BQ1BP1P/R4RK1 w - -,g4g5 f6h7 d4e5 d5c4 e2c4 h7g5 f2f4 b6b5 c4e2 g5e6,153
8/4k1pp/3q4/1Q1P1pP1/1P6/7P/5PB1/6K1 w - -,b5b7 e7d8 b7g7 d6d7 g7d7 d8d7 g2f1 f5f4 g1g2 d7e7,962
8/5p1k/4b1pp/p2p1p2/2pP1P2/8/n2K2PP/8 w - -,h2h4 a5a4 g2g4 c4c3 d2e2 f5g4 h4h5 g6h5 f4f5 e6f5,-1642
2r2k2/5pp1/p1rR2p1/1p1R4/8/6P1/P4P1P/6K1 w - -,g1g2 c6d6 d5d6 a6a5 d6d5 c8b8 d5d7 g6g5 g2f3 g7g6,-66
r2qk2r/pppn1ppp/4pn2/2bp1b2/5P2/2NP1NP1/PPP1P1BP/R1BQK2R w KQkq -,e2e3 h7h6 e1h1 e8h8 g1h1 f5h7 d1e2 f8e8 e3e4 d5e4,17
r1b1k2r/ppppnppp/1bn3q1/6B1/4P3/NQPB1N2/P4PPP/R4RK1 w kq -,d3c2 d7d6 e4e5 c8f5 c2f5 e7f5 e5d6 e8h8 d6c7 b6c7,-12
3r1k2/3bbpp1/1Np1p2n/P2P3p/3P4/P1BB1N2/5PPP/R5K1 w - -,f3e5 c6d5 e5d7 f8g8 a5a6 e7d6 a6a7 h6g4 a7a8r d8a8,850
r2k4/pppqnp2/4bNpB/8/2pp4/8/PPP2PPP/R3R1K1 w - -,,0
6k1/2r1Rpp1/p5p1/8/P7/2p3KP/2P3P1/5r2 w - -,e7c7 f1a1 c7c3 a1a4 c3c8 g8h7 c2c4 g6g5 c4c5 a4f4,-7
rn2k2r/pp3ppp/1q2b3/8/8/4QPPN/4PK1P/5B1R w kq -,e3b6 a7b6 h3g5 e6d5 f1g2 e8h8 g5e4 d5e4 f3e4 g8h8,-591
6k1/pp3ppp/2n5/8/8/P3B3/1P3PPP/5rK1 w - -,g1f1 f7f6 f1e2 g8f7 e2d3 b7b5 e3d2 a7a6 d3e4 f7e6,2
rn1qk2r/ppp2ppp/4p3/2bp1b2/5Pn1/2NP1NP1/PPP1P1BP/R1BQK2R w KQkq -,h1f1 g4e3 c1e3 c5e3 f3h4 c7c6 f1f3 e3d4 h4f5 e6f5,-48
5B2/7p/4k1p1/4pp2/n3K1P1/P7/5P1P/8 w - -,g4f5 g6f5 e4f3 e6d5 f8b4 a4b2 b4d2 b2a4 d2a5 d5c6,15
r1b2rk1/p1ppqpp1/2p4p/8/1b1QnB2/2N5/PPP1BPPP/R3K2R w KQ -,e1f1 e4c3 b2c3 f8e8 f4e3 c6c5 d4d5 c7c6 d5d3 b4a5,-292
rnbqk2r/pp2ppb1/5npp/2p5/4P1P1/2N2P2/PPP1B2P/R1BQK1NR w KQkq -,d1d8 e8d8 e4e5 f6d7 f3f4 b8c6 c1e3 c6d4 e1a1 d4e2,68
6k1/2R2pp1/p5p1/8/P7/2p3KP/2P3P1/r7 w - -,c7c3 a1a4 c3c8 g8h7 c2c4 g6g5 g3f3 h7g6 g2g4 a6a5,-8
rn2k2r/1p3ppp/1p2b3/8/8/5PPN/4PK1P/5B1R w kq -,f1g2 e8h8 h1c1 e6d7 h3f4 d7c6 f4d3 b6b5 f3f4 c6g2,-585
r7/pppknp2/4b1pB/8/2pp4/8/PPP2PPP/R3R1K1 w - -,,0
r2qkb1r/2p1pppp/b7/8/1n6/2Nn4/PPBPNPPP/R1BQK2R w KQkq -,c2d3 a6d3 e1h1 d3c2 d2d4 c2d1 f1d1 e7e6 a2a3 b4d5,-446
r2q1rk1/3nbpp1/ppp3p1/3pp1Pn/2PP4/PPN1P3/1BQ1BP1P/R4RK1 w - -,d4e5 e7g5 f2f4 d5c4 e5e6 g5f4 e3f4 c4b3 c2d3 d7f6,254
7Q/1b5R/p3rp2/1p3kp1/2n5/P6P/2Pr2PK/8 w - -,,0
2r2rk1/1p3p2/p1nq1n1p/2pp2pb/P7/2NP1N1P/BPP2PP1/R2QR1K1 w - -,g1h1 f8e8 g2g4 h5g6 d1d2 c6b4 a2b3 d5d4 c3e2 d6c6,-151
r1bq1rk1/pp2ppbp/n2p1np1/2p5/3P4/2P2NPP/PP2PPB1/RNBQ1RK1 w - -,f1e1 c8f5 c1g5 d8b6 b1d2 c5d4 c3d4 d6d5 g3g4 f5e6,12
5B2/7p/4k3/4pp2/n3K3/P7/5P1P/8 w - -,e4f3 e6d5 f8b4 a4b2 b4d2 b2a4 d2a5 a4b2 a5c7 f5f4,20
6k1/5pp1/p5p1/8/r7/2R3KP/2P3P1/8 w - -,c3c8 g8h7 c2c4 g6g5 g3f3 h7g6 g2g4 a6a5 f3e4 a4a1,-11
r1k2b1r/pp1n2pp/2p2pb1/4p3/2NPPB2/1P1B4/1P3PPP/R3K2R w KQ -,f4c1 e5d4 c1d2 b7b6 b3b4 c8b7 f2f3 a7a5 b4a5 b6b5,-163
r4knr/pNp3pp/2pb4/5q2/Q3p3/2P2pP1/PP1P1P1P/RNB2RK1 w - -,g1h1 f5h3 f1g1 g8f6 b7c5 a8e8 c5d7 f6d7 a4c4 d7f6,Mate
1Q6/5k2/1p2r1p1/1Pp5/2P4P/6PK/8/8 w - -,b8f4 e6f6 f4c7 f7e6 h3g4 f6f1 c7b6 e6e5 b6c5 e5e4,1337
r2q2k1/ppp2pp1/5R2/4r2b/4P2Q/2PB4/P1P3PP/R6K w - -,f6f4 d8h4 f4h4 f7f6 h1g1 a8e8 g1f2 h5f7 a2a4 e5c5,-29
rn3rk1/1p3ppp/1p2b3/8/8/5PPN/4PKBP/7R w - -,f3f4 h7h6 h1b1 b8d7 h3g1 d7f6 g2b7 a8b8 b7a6 b6b5,-594
2kr1b1r/1pp1pppp/p1nq1nb1/8/3P2P1/P1N2N1P/1PP2PB1/R1BQK2R w KQ -,d1e2 e7e6 e1h1 f8e7 f1d1 h7h6 c3a4 e6e5 c1e3 e5e4,40
r1bqkb1r/pp3ppp/2n1p3/2pnp3/3P4/5NP1/PPP2PBP/RNBQ1RK1 w kq -,f3e5 d5b4 a2a3 c5d4 a3b4 c6e5 c2c3 f8e7 d1e2 e5c6,145
r2qkb1r/pp2pppp/2n2n2/3p4/6b1/2N1P3/PPP2PPP/R1BQKBNR w KQkq -,f1e2 g4f5 g1f3 e7e5 e1h1 a8c8 a2a3 h7h5 e2b5 d8d6,-75
2r4k/5Q2/p2pqp1p/8/8/7P/P5P1/7K w - -,f7e6 c8f8 e6d6 h8g7 d6a6 f6f5 h1g1 f8d8 a2a4 d8d2,630
2r2rk1/1p3p2/p1nq1nbp/2pp2p1/P5P1/2NP1N1P/BPP2P2/R2QR1K1 w - -,a4a5 c8d8 d1d2 c6a5 f3e5 a5c6 e5c6 d6c6 c3e2 c6b6,-123
rnbqk2r/pp3pb1/3ppnpp/2pP4/4P1P1/2N2P2/PPP1B2P/R1BQK1NR w KQkq -,e2b5 e8e7 a2a4 e6d5 e4d5 b8d7 g1h3 h8e8 e1h1 e7f8,31
8/8/6k1/7p/4n3/6K1/8/8 w - -,d5e6 c8e6 c1f4 d6d5 e4d5 f6d5 c3d5 d8d5 d1d5 e6d5,Mate
8/5p1k/2n1b1pp/p2p1p2/2pP1P2/2K5/6PP/8 w - -,g2g3 a5a4 c3d2 c6d4 d2e3 d4b3 g3g4 a4a3 e3f2 a3a2,-1666
3R4/2r1kpp1/p1r3p1/1p1R4/8/6P1/P4P1P/6K1 w - -,a2a4 c7b7 a4b5 a6b5 d5d2 c6c2 d2d3 c2c3 d3d2 b5b4,-161
r1bq1rk1/p2npp1p/1pnp2p1/8/2P1P3/1NP1B2P/P3BPP1/R2Q1RK1 w - -,e3h6 f8e8 f2f4 d8c7 d1d3 c6d8 a1e1 c8b7 e2g4 d7f6,33
r2q1rk1/1p2npbp/p4np1/2pp1bB1/P3P3/1BN2P2/1PPQ2PP/R4RK1 w - -,e4e5 e7c6 e5f6 g7f6 g5f6 d8f6 b3d5 c6b4 d5e4 f5e4,-25
3r1rk1/R5pp/2nN1p2/4pb2/2p5/4PNB1/1P3PPP/5RK1 w - -,a7g7 g8g7 d6f5 g7f7 h2h3 f7e6 e3e4 c6a5 f5e3 a5b3,315
rn3rk1/1p3pp1/1p2b2p/8/5P2/6PN/4PKBP/7R w - -,h1b1 b8d7 f2f1 d7c5 h3g1 c5b3 f1f2 a8a2 g2b7 e6c4,-575
rn1qk2r/p4ppp/1pbBpn2/2Pp4/8/2P1PN2/PP1N1PPP/R2QK2R w KQkq -,e1h1 b8d7 f3d4 a8c8 b2b4 b6c5 b4c5 d8a5 c3c4 d7c5,435
rnbq1rk1/pp2ppb1/3p1npp/2pP4/4P1P1/2N2P2/PPP1B2P/R1BQK1NR w KQ -,c1e3 e7e6 d1d2 e6d5 e4d5 h6h5 e1a1 h5g4 h2h4 b8d7,44
8/8/6k1/7p/5K2/8/3n4/8 w - -,g4g5 h6g5 c1g5 b7b5 e2b5 b8d7 d1d2 a8b8 b5d7 f6d7,Mate
r1b2rk1/p1ppqpp1/2p4p/2b5/3Q1B2/2P5/P1P1BPPP/R4RK1 w - -,d4d3 f8e8 e2f3 d7d5 d3d2 c8f5 c3c4 f5e4 f3e4 d5e4,-145
3rbk2/4bpp1/1Np1p2n/P2PN2p/3P4/P1BB4/5PPP/R5K1 w - -,d5c6 f7f6 e5d7 e8d7 c6d7 e6e5 a5a6 g7g6 a6a7 h6f7,879
3k1r2/R2B3p/5q2/1p4p1/1P1p1B2/1Q1P2P1/6KP/2r5 w - -,d5c6 f7f6 e5d7 e8d7 c6d7 e6e5 a5a6 g7g6 a6a7 h6f7,Mate
8/8/p3kbR1/P7/r7/7P/4K3/8 w - -,e2d3 a4h4 g6g8 h4h3 d3e4 h3h4 e4d3 e6d5 g8a8 h4d4,-367
r2qkb1r/2p1pppp/8/8/1n6/2Nb4/PP1PNPPP/R1BQK2R w KQkq -,a2a4 d3c2 e1h1 c2d1 f1d1 b4d3 b2b4 e7e5 c1a3 f7f5,-500
8/8/8/6kp/8/6K1/3n4/8 w - -,a2a4 d3c2 e1h1 c2d1 f1d1 b4d3 b2b4 e7e5 c1a3 f7f5,Mate
8/8/6p1/P1k4p/7P/8/3K4/8 w - -,a2a4 d3c2 e1h1 c2d1 f1d1 b4d3 b2b4 e7e5 c1a3 f7f5,Mate
r4rk1/pp2qp1p/1np3p1/3p4/3PP1Pn/2N5/PPQ1NP2/1K1R3R w - -,f2f4 d5e4 h1h3 f7f5 d1h1 h4f3 g4f5 g6f5 h3h7 e7h7,74
