8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
rnbqk1nr/pp3pbp/2p3p1/4p3/4P3/2PP4/PP1B2PP/RN1QKBNR w KQkq -,d1c2 d8h4 g2g3 h4e7 a2a4 g8f6 g1f3 c6c5 b1a3 b8c6,-16
8/8/7p/5k2/4p3/4P1P1/5P1K/8 w - -,h2g1 f5g5 g1h1 g5f5 h1h2 f5g5 h2h3 h6h5 h3g2 g5g6,3506
r1b2rk1/pp2bppp/2np1q1n/6N1/2BpPP2/N7/PP4PP/R1BQ1RK1 w - -,a3c2 e7d8 h2h3 d8b6 g1h1 c8d7 b2b3 g8h8 f4f5 c6e5,50
rn1qkb1r/p4ppp/4pn2/2pb4/3P4/3BPN2/PB3PPP/RN1QK2R w KQkq -,b1c3 c5c4 d3c4 d5c4 d1a4 b8d7 a4c4 a8c8 c4b3 c8b8,79
8/8/5p1p/B2k2p1/7P/5qP1/5P2/6K1 w - -,a5b6 d5e4 h4h5 f3h5 g1f1 h5d1 f1g2 f6f5 b6c5 d1f3,-9605
8/3bkp2/1r3p1b/ppr1p2p/4P3/P1PB1R2/1PN3PP/5RK1 w - -,f1a1 d7g4 f3f2 g4e6 h2h4 h6f4 d3e2 f6f5 e4f5 e6f5,-96
rnbqkb1r/pp2pp1p/2p2np1/3p4/PP6/4P3/1BPP1PPP/RN1QKBNR w KQkq -,f1e2 f8g7 g1f3 e8h8 e1h1 a7a5 b4b5 c6b5 a4b5 b8d7,19
8/8/7p/6k1/4p3/4P1P1/5P2/7K w - -,h1g1 g5f5 g1h2 f5g5 h2h3 h6h5 h3g2 g5f6 f2f3 f6e5,3543
QRb2rk1/5p2/7q/3pPp2/3P4/8/1P4N1/4Q2K w - -,h1g1 g5f5 g1h2 f5g5 h2h3 h6h5 h3g2 g5f6 f2f3 f6e5,Mate
3rr1k1/1p5p/p1q1pb2/P2p1p2/1PP2P2/3B4/3Q2PP/4RRK1 w - -,c4c5 h7h5 e1b1 h5h4 f1c1 e8e7 b4b5 a6b5 g1h1 g8g7,51
8/8/7p/5k2/4p3/4P1P1/5P2/6K1 w - -,g1h2 f5g5 h2h3 h6h5 h3g2 g5f5 f2f3 e4f3 g2f3 f5e5,3588
rnbq1rk1/p1pp1pbp/1p2pnp1/8/3P4/1P1BPN2/P1PN1PPP/R1BQK2R w KQ -,c2c4 c7c5 e1h1 c8b7 c1b2 b8c6 a1c1 a8c8 d4c5 b6c5,-12
rn1qk2r/p4ppp/4pn2/2bb4/8/3BPN2/PB3PPP/RN1QK2R w KQkq -,b1c3 d5b7 d3b5 b8c6 d1a4 a8c8 e1h1 e8h8 c3e4 f6e4,30
rnbqk2r/pp2ppbp/2p2np1/3p4/PP6/4P3/1BPPNPPP/RN1QKB1R w KQkq -,g2g3 h7h5 h2h3 c8d7 f1g2 b8a6 b4b5 c6b5 a4b5 d7b5,-31
8/p4p2/1pp1k1p1/2b4p/2P5/1P2BP1P/P3K1P1/8 w - -,e3c5 b6c5 f3f4 e6f5 e2f3 f7f6 g2g4 h5g4 h3g4 f5e6,5
8/8/7p/8/4p1k1/4P1P1/5P1K/8 w - -,h2g2 g4f5 f2f3 f5e5 g3g4 e4f3 g2f3 e5d5 e3e4 d5e6,9605
rnbqk1nr/pp3pbp/6p1/2p1p3/4P3/N1PP4/PP1B2PP/R2QKBNR w KQkq -,d1c2 b8c6 g1f3 g8f6 f1e2 e8h8 e1h1 h7h6 a3c4 d8e7,-13
8/8/7p/5k2/4p3/4P1P1/5PK1/8 w - -,d1c2 b8c6 g1f3 g8f6 f1e2 e8h8 e1h1 h7h6 a3c4 d8e7,Mate
r3r1kb/2q2p1p/2b3p1/3pp3/p7/RP3NP1/2PB1PP1/4QRK1 w - -,e1c1 e5e4 f3h2 d5d4 b3a4 a8a4 d2f4 c7d7 a3a4 c6a4,-270
rnb1k2r/ppp2ppp/3b4/4p3/8/2N2q2/PPPP1PPP/R1B1K1NR w KQkq -,g1f3 b8c6 d2d3 c8g4 c3b5 e8a8 b5d6 d8d6 c1e3 g4f3,-84
8/8/7p/6k1/4p3/4P1PK/5P2/8 w - -,h3h2 g5f5 h2h1 f5g5 h1g1 g5h5 g1h2 h5g5 h2h3 h6h5,9605
8/8/1Q6/8/4PK2/3B1N2/r7/2k5 w - -,h3h2 g5f5 h2h1 f5g5 h1g1 g5h5 g1h2 h5g5 h2h3 h6h5,Mate
8/8/8/6kp/4p1P1/4P2K/5P2/8 w - -,,0
r2q1rk1/1ppb1ppp/n3p3/p7/P1nPP3/2P2P2/2B1N1PP/R1BQK2R w KQ -,d1d3 b7b5 e4e5 g7g6 a1b1 c7c6 h2h4 a6c7 c1g5 d8e8,278
r2q1rk1/2pb1ppp/n3p3/pp6/P1nPP3/2PQ1P2/2B1N1PP/R1B1K2R w KQ -,e4e5 g7g6 a1b1 c7c6 h2h4 f7f5 c2b3 c4b6 c1g5 d8e8,294
r1bq1rk1/ppp1bppp/3p1n2/4pP2/2n1P1P1/2NP1N2/PPP4P/R1BQK2R w KQ -,d1e2 c4b6 c1d2 f6g4 h1g1 g4f6 d2h6 f6e8 e1a1 g8h8,-235
1rrq4/n4kp1/4pb1p/pp1p1p2/P2P4/2P1PNP1/Q2NKPP1/1RR5 w - -,f3e1 d8e8 a4b5 a7b5 c3c4 d5c4 d2c4 a5a4 e1d3 f7g8,60
r1bqnrk1/pp3ppp/3bp3/3pn3/3P1P2/2PB1N2/PP4PP/R1BQK2R w KQ -,f4e5 d6e7 e1h1 c8d7 d1e2 a7a6 a2a4 g7g6 c1d2 e8g7,164
8/3bkp2/1r1p1p1b/ppr1pP2/4P2p/P1PB1R2/1PN3PP/5RK1 w - -,c2e3 d7c6 f3h3 h6g5 f1e1 b6b8 g1f2 b8d8 e1d1 d6d5,-44
8/8/8/7k/4p3/4P2K/5P2/8 w - -,,0
rnbqk2r/p4ppp/1p2pn2/2pp2B1/2PP4/P1P1P3/5PPP/R2QKBNR w KQkq -,g1h3 d5c4 f1c4 c8b7 e1h1 b8d7 f2f3 h7h6 g5h4 a8c8,55
8/8/8/6k1/4p3/4P1K1/5P2/8 w - -,,0
r3r1kb/2q2p1p/6p1/1b1pp3/pP6/R4NP1/2PB1PP1/4QRK1 w - -,c2c3 c7d7 g1h2 b5f1 e1f1 d5d4 f1b1 d7d5 f3g5 e5e4,-379
r2q1rk1/2pb1p1p/n3p1p1/pp2P3/P1nP4/2PQ1P2/2B1N1PP/R1B1K2R w KQ -,h2h4 c7c5 a1b1 a8c8 a4b5 a6b4 c3b4 c5b4 c2a4 c4b6,312
r1bq1rk1/pppn1pbp/2np2p1/8/2P1P3/2NB4/PP2NPPP/R1BQ1RK1 w - -,d3c2 d7c5 c1e3 c8e6 b2b3 a7a5 d1d2 a5a4 a1b1 c6b4,32
3rr1k1/1p4bp/pBqp1n2/P4p2/1PP1pP2/3B4/3Q2PP/4RRK1 w - -,b6d8 e8d8 d3e2 d6d5 c4d5 f6d5 e1c1 g7c3 d2a2 g8h8,206
7R/8/5P2/3k4/8/2Q5/2K5/8 w - -,d3e2 d8c8 e1c1 h7h5 f1d1 e4e3 d2d6 c6d6 d1d6 h5h4,Mate
rnb1k2r/pp3ppp/4p2q/2bp4/4P3/P1NQ4/1PP1P1PP/2KR1BNR w kq -,c1b1 c5g1 h1g1 h6h2 d3d4 e8h8 e4d5 e6d5 d4f2 b8c6,11
rn1qk2r/pp2ppbp/2p2np1/3p4/PP4b1/4P3/1BPP1PPP/RNNQKB1R w KQkq -,f1e2 g4e2 d1e2 e8h8 e1h1 a7a5 b4a5 d8a5 c1b3 a5c7,-25
r3r1kb/2q2p1p/6p1/3pp3/pP6/R5P1/2PB1PPN/4QbK1 w - -,h2g4 f1b5 g4h6 g8f8 g3g4 e8e6 a3f3 f7f6 d2c1 a8c8,-460
3r2k1/1p4bp/p1qp1n2/P4p2/1PP1pP2/3B4/3Q2PP/4RRK1 w - -,d3e2 d6d5 c4d5 f6d5 e1c1 g7c3 d2a2 g8h8 c1d1 b7b5,221
3R4/8/5P2/8/4k3/2Q5/2K5/8 w - -,d3b1 g8h8 b1a2 b7b6 a5b6 c6b6 g1h1 d8e8 a2b1 b6c7,Mate
rnbqkb1r/p1ppp1pp/1p3n2/5p2/1PP5/8/PB1PPPPP/RN1QKBNR w KQkq -,b4b5 c8b7 g1f3 a7a6 a2a4 e7e6 g2g3 a6b5 a4b5 a8a1,56
rnbqk2r/pp2ppbp/2p2np1/3p4/PP6/4PP2/1BPP2PP/RNNQKB1R w KQkq -,a4a5 d8d6 c1d3 e8h8 b2e5 d6d8 d3c5 b8d7 c5d7 c8d7,-34
3R4/8/5P2/5k2/8/8/2K5/4Q3 w - -,a4a5 d8d6 c1d3 e8h8 b2e5 d6d8 d3c5 b8d7 c5d7 c8d7,Mate
r3r1kb/5p1p/6p1/3pp3/pP6/R5P1/2qB1PP1/4QNK1 w - -,f1e3 c2b2 d2c1 b2b1 c1d2 b1e1 d2e1 e5e4 e3d5 a8d8,-511
r2q1rk1/2pb1p2/n3p1p1/pp2P2p/P1nP3P/2PQ1P2/2B1N1P1/R1B1K2R w KQ -,c1g5 d8e8 e2f4 d7c6 f4h5 f7f5 e5f6 c4b2 d3g6 e8g6,492
2r1r1k1/1p4bp/pBqp1n2/P3pp2/1PP2P2/3B4/3Q2PP/4RRK1 w - -,d3f5 c8a8 d2c3 e5e4 b6d4 g8f7 c3h3 c6c4 d4f6 g7f6,353
8/3bkp2/1r3p1b/pprppP2/4P2p/P1P2R2/1PN1B1PP/5RK1 w - -,b2b4 a5b4 a3b4 c5c8 c2e3 h6e3 f3e3 d5e4 e3e4 c8c3,-165
rn1qkb1r/pbppp1pp/1p3n2/5p2/1PP5/6P1/PB1PPP1P/RN1QKBNR w KQkq -,g1f3 b8c6 b4b5 c6a5 d2d3 a7a6 f1g2 a6b5 c4b5 e7e6,46
3R4/5P2/5k2/8/8/8/2K5/4Q3 w - -,g1f3 b8c6 b4b5 c6a5 d2d3 a7a6 f1g2 a6b5 c4b5 e7e6,Mate
8/3r2p1/7p/p1kn1R1P/P7/KPN5/8/8 w - -,c3d5 c5d4 d5b6 d7d6 b6c4 d6e6 f5a5 g7g6 h5g6 e6g6,541
8/3r2p1/3k3p/p2N1R1P/P7/KP6/8/8 w - -,d5b6 d7d8 f5a5 d6c7 b6c4 g7g5 h5g6 d8g8 a5c5 c7b7,585
r3r1k1/1p4bp/pBqp1n2/P3pp2/1PP2P2/3B4/3Q2PP/4RRK1 w - -,d3f5 e5e4 e1d1 c6c4 d2d6 h7h5 f1e1 c4f7 d6d2 e8e7,293
8/p7/1p3k2/1Pp3p1/2P1K1P1/8/P7/8 w - -,e4d5 f6g7 d5e5 g7f7 e5f5 f7e7 f5g5 e7d6 g5f5 d6c7,839
8/6p1/7p/p1kr1R1P/P7/KP6/8/8 w - -,f5d5 c5d5 b3b4 d5e5 b4a5 e5d5 a3b4 d5c6 b4c4 c6c7,835
8/3bkp2/1r3p1b/pp1rpP2/7p/P1P2R2/1PN1B1PP/5RK1 w - -,f3d3 b6d6 d3d5 d6d5 e2f3 d5d2 f3e4 a5a4 f1a1 h6f4,-199
r1bb1rk1/pp3ppp/2np1q1n/6N1/2BpPP2/N6P/PP4P1/R1BQ1RK1 w - -,a3c2 d8b6 g1h1 c8d7 a2a4 a8c8 a1a3 g8h8 c4d5 f6e7,60
6k1/pp3p2/2p3r1/8/2R2p2/1P5B/PB3p1K/3r4 w - -,b2e5 g6h6 c4f4 f2f1q f4f1 d1f1 h2g2 f1e1 e5c7 e1e2,-644
rn1qk2r/pb3ppp/4Pn2/8/1b1p4/3BPN2/PB3PPP/RN1QK2R w KQkq -,e1e2 e8h8 d1b3 d8e7 e6f7 g8h8 f3d4 b7d5 b3a4 f8f7,102
r1b1kb1r/5ppp/ppn1p3/2p5/P3PP2/5NP1/1PP4P/R1BK1B1R w kq -,c2c3 c6a5 f1d3 c8b7 d1e2 a5b3 a1a2 c5c4 d3c4 b3c1,17
rnbq1rk1/1p2nppp/8/p1bpP3/5P2/2N2N2/PPP3PP/R1BQKB1R w KQ -,c3a4 c5a7 f1d3 b8c6 d1e2 c6b4 c1e3 d5d4 e3d4 a7d4,-34
8/3bkp2/3r1p1b/pp1rpP2/7p/P1PB1R2/1PN3PP/5RK1 w - -,f1d1 e5e4 d1e1 d5d3 e1e4 e7d8 c2d4 d3f3 d4f3 h6c1,-461
6k1/pp3p2/2p3r1/8/5R2/1P5B/PB1r1p1K/8 w - -,h3g2 f2f1q f4f1 d2g2 h2h3 g2b2 f1f4 g8g7 f4a4 b2f2,Mate
r1bq1rk1/pp2nppp/2n5/2bpP3/5P2/2N2N2/PPP3PP/R1BQKB1R w KQ -,c3a4 c5b6 c2c3 d5d4 f1d3 c8f5 d3f5 e7f5 a4b6 d8b6,42
8/8/8/6k1/8/4PpK1/8/8 w - -,,0
8/1p5p/p3p3/5k2/8/2P1K3/P1P3PP/8 w - -,e3f3 f5e5 g2g4 e5d5 f3f4 d5d6 f4e4 b7b5 h2h4 d6e7,379
r1bq1rk1/pp2nppp/1bn5/3pP3/N4P2/5N2/PPP3PP/R1BQKB1R w KQ -,c2c3 f7f6 a4b6 d8b6 d1b3 f6e5 b3b6 a7b6 f4e5 c8g4,43
r1bq1rk1/ppp2pbp/2np2p1/2n5/2P1P3/2NBB3/PP2NPPP/R2Q1RK1 w - -,b2b3 a7a5 d1d2 a5a4 d3c2 a4b3 a2b3 a8a1 f1a1 c6b4,25
8/3bkp2/3r1p1b/pp2pP2/4B2p/P1P2R2/1PNr2PP/5RK1 w - -,f1e1 d7c6 e4c6 d2c2 c6b5 d6d2 b5f1 c2b2 e1e4 h6g5,-196
r3r1kb/5p1p/2q3p1/3pp3/pP6/R3N1P1/3B1PP1/4Q1K1 w - -,e3g4 h8g7 g1h2 h7h5 g4h6 g7h6 d2h6 d5d4 e1d2 c6d6,-412
8/p4p2/1pp3p1/5k1p/1PP2P2/4K2P/P5P1/8 w - -,,0
8/1p5p/p3p3/4k3/8/2P2K2/P1P3PP/8 w - -,g2g4 e5d5 g4g5 d5e5 f3g4 e5d5 h2h4 e6e5 g4f5 e5e4,409
r2b1rk1/pp1b1ppp/2np1q1n/6N1/2BpPP2/N6P/PP1B2P1/R2Q1RK1 w - -,a1c1 a8c8 c4b3 a7a6 g1h1 b7b5 a3c2 c6a5 c2b4 c8c1,57
r1b2rk1/pp2nppp/1qn5/3pP3/5P2/5N2/PPP3PP/R1BQKB1R w KQ -,c2c3 f7f6 d1b3 f6e5 b3b6 a7b6 f4e5 c8g4 f1e2 g4f3,41
r3kbnr/pbpq2pp/np1pp3/8/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1e2 f8e7 e1h1 e7f6 f3d4 g8e7 c3b5 b7e4 e2g4 e4f5,47
rn1qk2r/pb3ppp/4Pn2/8/1b6/3BpN2/PB1N1PPP/R2QK2R w KQkq -,d1a4 b8c6 e6f7 e8f8 e1h1 d8d3 f2e3 b4d2 f3d2 d3d2,-154
r1bq1rk1/1pp2pbp/2np2p1/p1n5/2P1P3/1PNBB3/P3NPPP/R2Q1RK1 w - -,d1d2 a5a4 d3c2 a4b3 a2b3 a8a1 f1a1 c6b4 a1a8 f8e8,22
rnbqk2r/pp3ppp/2p1pP2/8/1b1P4/2Np4/PP3PPP/R1BQK1NR w KQkq -,c1e3 d8f6 g1f3 f6f5 e1h1 e8h8 f3e5 b8d7 e5d3 b4e7,-141
2b5/4kp2/1r1p1p1b/ppr1pP2/4P2p/P1P2R2/1PN1B1PP/5RK1 w - -,e2d3 c8b7 c2e3 b5b4 a3b4 a5b4 c3c4 b6a6 g1f2 a6a2,-67
8/8/8/8/2k5/4P3/8/3K4 w - -,,0
r1bq1rk1/1pp2pbp/2np2p1/2n5/p1P1P3/1PNBB3/P2QNPPP/R4RK1 w - -,d3c2 a4b3 a2b3 a8a1 f1a1 c6b4 a1d1 d8e7 e3d4 g7d4,30
r3r1kb/1q3p1p/6p1/3pp3/pP6/2R1N1P1/3B1PP1/4Q1K1 w - -,e3g4 h8g7 c3a3 d5d4 d2h6 f7f5 h6g7 b7g7 g4h2 e5e4,-440
rn1q1k1r/pb3Ppp/5n2/8/1b6/3BpN2/PB1N1PPP/R2QK2R w KQ -,d1e2 e3d2 f3d2 b7a6 d3a6 d8d2 e2d2 b4d2 e1d2 b8a6,-284
r3kbnr/pp1b1ppp/1q2p3/3pP3/8/3Q1N2/PPP2PPP/RNB1R1K1 w kq -,a2a4 b6a6 d3d2 g8h6 b1c3 h6f5 c3e2 a8c8 b2b3 a6c6,26
2kr3r/1pp1qpp1/p2p1n1p/2b5/3pP3/P2P3P/RPP1NPP1/2BQR1K1 w - -,c2c4 d4c3 b2c3 c8b8 a3a4 b8a8 e2g3 g7g6 d3d4 c5a7,82
r4rk1/pp2nppp/1qn5/3pPb2/5P2/5N2/PPP1Q1PP/R1B1KB1R w KQ -,c2c3 d5d4 e2b5 b6c7 f3d4 c6d4 c3d4 f8c8 f1e2 c7c2,23
rn1q1rk1/2p1ppbp/p5p1/1p1bP3/3P4/2Q2N2/PP2BPPP/R1B2RK1 w - -,a2a4 b8c6 c1e3 a8b8 a4b5 a6b5 f1c1 e7e6 h2h4 c6e7,54
8/1p5p/p7/4pk2/8/2P2K2/P1P3PP/8 w - -,g2g4 f5g5 f3g3 g5g6 c3c4 b7b6 h2h4 g6f7 g3f3 f7e6,525
8/1b2kp2/1r1p1p1b/ppr1pP2/4P2p/P1PR4/1PN1B1PP/5RK1 w - -,b2b4 a5b4 a3b4 c5c4 f1a1 b7e4 c2e3 c4c7 e3d5 e4d5,-154
r3k1nr/bpp3q1/p1np4/4pbp1/2PP3p/2N1PP1P/PP2N1BK/R1BQ1R2 w kq -,f3f4 g5f4 f1g1 g7f7 g2d5 f7h7 b2b4 g8e7 b4b5 a6b5,-88
r4rk1/pp2nppp/2n5/3pPb2/5P2/4BN2/PqP1Q1PP/R3KB1R w KQ -,a1c1 c6b4 e1f2 b4a2 c1e1 a2c3 e3d4 e7c6 d4c3 b2c3,-221
2bq1rk1/1pp2pbp/3p2p1/2n5/1nP1P3/1PN1B3/2BQNPPP/R5K1 w - -,a1d1 d8e7 e3d4 g7d4 e2d4 c5e6 d4e6 c8e6 c3b5 b4a6,24
2kr2r1/pppb2b1/7p/4qpp1/8/1NPB3P/PPQ2PP1/1K1R3R w - -,h1e1 e5d5 e1e7 g8f8 e7g7 d7c6 f2f3 c6b5 b3c1 b5d3,374
r5k1/pp2p2p/4N3/n1pP1Q2/8/6P1/P2q1PKP/b6R w - -,e6g5 d2g5 f5g5 a1g7 h1e1 h7h6 g5g6 g8f8 g6f5 f8g8,725
8/1p5p/p7/5k2/4p3/2P1K3/P1P3PP/8 w - -,h2h3 h7h5 g2g3 f5e6 e3e4 b7b5 g3g4 h5h4 c3c4 b5b4,510
r1b1kbnr/ppp2ppp/8/3qN3/8/2P5/PP1P1PPP/RNBQK2R w KQkq -,e1h1 c8e6 d2d4 e8a8 b1d2 g8e7 d1a4 f7f6 e5f3 c8b8,79
r2q1rk1/2p1ppbp/p1n3p1/1p1bP3/P2P4/2Q2N2/1P2BPPP/R1B2RK1 w - -,c1e3 e7e6 a4b5 a6b5 e2b5 c6e7 b5e2 e7f5 h2h3 c7c6,53
2b2rk1/1pp1qpbp/3p2p1/2n5/1nP1P3/1PN1B3/2BQNPPP/3R2K1 w - -,e3d4 g7d4 e2d4 c8d7 c3d5 b4d5 e4d5 f8e8 h2h3 e7h4,28
1rr5/n1q2kp1/4pb1p/p2p1p2/Pp1P4/2P1PNP1/Q2NKPP1/1RR5 w - -,c3b4 c7b7 b4b5 c8c1 b1c1 b8c8 c1b1 b7b6 d2b3 g7g5,281
8/1p5p/p7/4k3/4p3/2P1K2P/P1P3P1/8 w - -,g2g4 e5e6 e3e4 b7b5 c3c4 b5b4 g4g5 e6f7 c4c5 f7e6,568
2kr3r/1pp1qpp1/pb1p1n1p/8/1P1pP3/P2P3P/R1P1NPP1/2BQR1K1 w - -,e2g3 e7e5 a3a4 h6h5 f2f4 e5e6 a2a1 d8g8 d1f3 f6d5,80
3r2k1/1p4b1/p1qp1n2/P4p1p/1PP1pP2/8/3QB1PP/4RRK1 w - -,e1c1 c6d7 f1d1 g7h6 g1h1 d7c7 d2d4 g8f7 d4e3 f7g6,253
8/1p5p/p7/3k4/4p1P1/2P1K2P/P1P5/8 w - -,c3c4 d5c4 e3e4 c4c5 e4e5 c5c4 g4g5 c4c3 h3h4 c3b2,650
rnbq1rk1/1p2nppp/p7/2bpP3/5P2/2N2N2/PPP3PP/R1BQKB1R w KQ -,f1d3 h7h6 d1e2 b8c6 c3d1 c8f5 d3f5 e7f5 d1e3 c6d4,17
r3r1kb/1q3p1p/6p1/2R1p3/pP1p4/4N1P1/3B1PP1/4Q1K1 w - -,e3c4 a4a3 c4d6 b7d7 d6e8 d7e8 e1e4 a3a2 c5c1 a2a1q,-531
2b2rk1/1pp1qp1p/3p2p1/2nnb3/2PBP3/1P6/2BQNPPP/3R2K1 w - -,c4d5 e5d4 e2d4 c5e4 d1e1 e4d2 e1e7 c7c5 d5c6 b7c6,20
8/1b2kp2/1r1p1p1b/pp2pP2/2r1P2p/P1PR1B2/1PN3PP/5RK1 w - -,g2g3 b7e4 f3e4 c4e4 g1f2 h4h3 f1a1 e4c4 a1d1 b6c6,-76
r1bq1rk1/1p2nppp/p1n5/2bpP3/5P2/2N2N2/PPP1Q1PP/R1B1KB1R w KQ -,c1d2 c8f5 a2a3 b7b5 g2g4 f5g4 e2g2 g4f5 f1d3 f5d3,-131
2b2rk1/1pp1qp1p/3p2p1/2nP4/3bP3/1P6/2BQNPPP/3R2K1 w - -,e2d4 c5e4 d2e3 f7f5 f2f3 e7g5 e3g5 e4g5 d1c1 c8d7,19
8/1p5p/p7/4k3/4p1PP/2P1K3/P1P5/8 w - -,c3c4 b7b5 c4b5 a6b5 a2a3 h7h6 h4h5 e5f6 e3e4 f6g5,689
1r6/n4kp1/4pb1p/p2p1p2/PP1P4/4PNP1/Q2NKPP1/2r5 w - -,d2b3 c1c3 b4b5 a7b5 a4b5 b8b5 b3d2 c3c7 a2a4 b5b4,275
r1b1k1nr/pppqbppp/2np4/3Np3/2B1P3/5Q1N/PPPP1PPP/R1B1K2R w KQkq -,f3g3 g7g6 e1h1 g8f6 f2f4 f6d5 e4d5 c6d4 f4e5 e8h8,59
r1bq1rk1/1p2nppp/p1n5/4P3/3p1P2/2N1QN2/PPP3PP/R3KB1R w KQ -,e3d2 d4c3 b2c3 d8d2 e1d2 c8g4 f3g5 e7d5 h2h3 g4f5,-347
8/1b2kp2/1r1p1p2/pp2pP2/2r1Pb1p/P1PR1B2/1PN3PP/4R1K1 w - -,g1h1 d6d5 e4d5 b7c8 f3g4 e7d6 h2h3 c4c5 h1g1 c5d5,-38
2b2rk1/1pp1q2p/3p2p1/3P1p2/3Nn3/1P2Q3/2B2PPP/3R2K1 w - -,f2f3 e7g5 e3g5 e4g5 d1c1 c8d7 c2d3 c7c5 d5c6 b7c6,7
r2q1rk1/2p1ppbp/p1n3p1/3bP3/p2P4/2Q1BN2/1P2BPPP/R4RK1 w - -,a1a4 d8d7 f1a1 e7e6 b2b4 c6e7 a4a6 a8a6 a1a6 e7f5,74
3rq1k1/1p4b1/p2p1n2/P4p1p/1PP1pP2/8/3QB1PP/1R3RK1 w - -,f1d1 h5h4 d2e3 e8a4 e3b3 a4b3 b1b3 g7f8 b4b5 g8g7,271
r1bq1rk1/1p2nppp/p1n5/4P3/5P2/2N1pN2/PPP3PP/2KR1B1R w - -,f4f5 c8f5 d1d8 a8d8 c3d1 e7d5 f1c4 c6b4 c4d5 b4d5,-589
r1b1k1nr/ppp1qppp/2np4/4p3/2B1P3/5Q1N/PPPP1PPP/R1B1K2R w KQkq -,c2c3 g7g5 f3e2 g5g4 h3g1 f7f5 d2d3 e7g7 h2h3 f5f4,-25
8/1br1kp2/1r1p1p2/pp2pP2/4Pb1p/PPPR1B2/2N3PP/4R1K1 w - -,b3b4 b6c6 b4a5 c6c3 c2b4 c3d3 b4d3 f4d2 e1b1 c7c3,-170
2kr3r/1p2qpp1/pbpp1n1p/8/PP1pP3/3P3P/R1P1NPP1/2BQR1K1 w - -,b4b5 e7e6 a2a3 c6c5 c2c3 a6a5 c3d4 e6e7 a3c3 c8b8,213
2k3rr/1pp3q1/p2p3n/2bPp3/4N3/1Q2PPpb/PP1B2B1/2R3RK w - -,e4d6 c5d6 g2h3 h6f5 h1g2 h8h3 b3d3 h3h2 g2f1 f5h4,-884
2b2rk1/1pp4p/3p2p1/3P1pq1/3Nn3/1P2QP2/2B3PP/3R2K1 w - -,e3g5 e4g5 d1c1 c8d7 c2d3 c7c5 d5c6 b7c6 d4c6 g8g7,4
r1br2k1/1p2nppp/p1n5/4P3/5P2/2N1pN2/PPP3PP/2K2B1R w - -,g2g3 c8f5 f3h4 f5g4 h2h3 g4e6 f1g2 a8c8 g3g4 b7b5,-522
3rq1k1/1p4b1/p2p1n2/PP3p1p/2P2P2/4p3/3QB1PP/1R3RK1 w - -,d2d3 e8e4 b5a6 b7a6 b1b3 e4d3 e2d3 f6d7 f1b1 d8f8,297
8/p1k2p2/Pp6/1PpK2P1/2P5/8/8/8 w - -,,0
2b2rk1/1pp4p/3p2p1/3P1pn1/3N4/1P3P2/2B3PP/3R2K1 w - -,d1c1 c8d7 c2d3 c7c5 d5c6 b7c6 d4c6 g8g7 c6e7 g5e6,6
r2q1rk1/2p1ppbp/2n3p1/p2bP3/R2P4/2Q1BN2/1P2BPPP/5RK1 w - -,f1a1 e7e6 f3d2 f7f6 e5f6 d8f6 e2f3 a8b8 f3d5 e6d5,75
3r2k1/1p4b1/p2p1n2/PP3p1p/2P1qP2/3Qp3/4B1PP/1R3RK1 w - -,b1b3 e4d3 e2d3 f6d7 b5a6 g7d4 f1b1 d7c5 d3e2 b7a6,307
8/1br1kp2/1r1p1p2/pp2pP2/4P2p/PPPRbB2/6PP/4R1K1 w - -,g1f1 e3g5 e1a1 b6c6 b3b4 a5a4 a1d1 c6c3 d3d6 h4h3,-482
5rk1/1ppb3p/3p2p1/3P1pn1/3N4/1P3P2/2B3PP/2R3K1 w - -,c2d3 c7c5 d5c6 b7c6 d4c6 g8g7 c6e7 g5e6 d3c4 f8b8,5
r3r1kb/1q3p1p/6p1/2R1p3/1PNp4/p5P1/3B1PP1/4Q1K1 w - -,e1a1 e5e4 a1a2 e4e3 d2e1 b7e7 c5d5 e7e6 d5d6 e6f5,-526
3r2k1/6b1/p2p1n2/P4p1p/2P1qP2/3Qp3/4B1PP/1R3RK1 w - -,b1b3 h5h4 d3e3 e4e3 b3e3 f6e4 f1d1 g7c3 d1d5 d8b8,314
8/1br1kp2/1r1p1p2/p3pP2/1p2P2p/PPPRRB2/6PP/6K1 w - -,c3b4 a5b4 a3b4 b6b4 d3d2 c7c1 g1f2 c1b1 d2c2 e7d8,-45
5rk1/3b3p/2pp2p1/5pn1/3N4/1P1B1P2/6PP/2R3K1 w - -,d4c6 g8g7 c6d4 g7f6 d3c4 g5e6 c1d1 e6d4 d1d4 f6e7,5
r3r1kb/3q1p1p/3N2p1/2R1p3/1P1p4/p5P1/3B1PP1/4Q1K1 w - -,d6e8 d7e8 b4b5 a3a2 c5c1 e8b5 c1a1 b5d5 f2f3 h8g7,-568
3r2k1/6b1/p2p1n2/P4p2/2P1qP1p/3Qp3/4B1PP/1R1R2K1 w - -,b1b3 e4f4 d1f1 f4e4 f1f5 d8e8 c4c5 e4d3 b3d3 d6d5,333
