3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
r1b1k2r/ppq2pp1/1nn1p2p/4p1NQ/1b1P4/3BB3/PP3PPP/RN2K2R w KQkq -,e1d1 g7g6 d3g6 f7g6 h5g6 e8f8 g5e6 c8e6 g6e6 c7g7,-335
2r1r1k1/pp3pp1/1b1p1q1p/5N2/1P1Pn1P1/PBn4P/5P2/R1BQR1K1 w - -,d1f3 g8h7 a3a4 g7g6 a4a5 b6c7 c1b2 c7d8 a1c1 e4d2,-134
r5k1/1pp2pp1/p5qp/4P3/b4Q2/2P4P/PP3PP1/5R1K w - -,f4a4 g6d3 h1g1 d3e2 a4a5 e2b2 a5c7 b2a2 c7b7 a8f8,15
rn2kb1r/pp2pp1p/2p2p2/5b2/3Pq3/2P2NP1/PP3P1P/R1BQKB1R w KQkq -,f1e2 f5h3 c1e3 b8d7 h1g1 h7h5 f3d2 e4g6 d1b3 d7b6,58
2r1r1k1/pbq2ppp/1p2p3/2b5/2P3n1/2B5/PPB1QPPP/3RR1K1 w - -,e2g4 c5f8 g4h4 h7h6 d1d4 f8e7 h4h3 e7f6 h3d3 f6d4,51
r1b1k2r/ppq2pp1/1nn1p2p/6NQ/1b1p4/2NBB3/PP3PPP/R3K2R w KQkq -,f2f4 e8h8 e1h1 d4e3 g5h7 c7e7 h7f8 g8f8 a1d1 c8d7,-458
5rk1/1pp3pp/6r1/p1pPPp2/2n2P1q/2P2RPB/PP6/R1BQ2K1 w - -,h3g2 g6g3 f3g3 h4g3 d1f3 g3g6 b2b3 c4d6 e5d6 c7d6,479
r4rk1/p3ppbp/2Q1b1p1/q2p4/3P4/2P3P1/P3PPBP/R1B2RK1 w - -,c1f4 a8c8 c6b7 g7f6 a1c1 g6g5 f4e5 f6e5 d4e5 c8c7,5
3rr1k1/pbq2p1p/1p2p1p1/2b5/2P4Q/2B5/PPB2PPP/3RR1K1 w - -,h4f6 d8d4 d1d4 e6e5 d4d1 c7c6 f6c6 b7c6 e1e5 e8c8,590
r7/2k1bp2/p1n2p2/P3r2p/2p5/2P2QP1/5PKP/1R6 w - -,h2h4 a8d8 b1b6 c6a5 b6a6 d8d5 a6a8 a5b7 g3g4 d5d3,-84
r5k1/1pp2pp1/p6p/4P3/Q7/2Pq3P/PP3PP1/5R1K w - -,h1g1 d3e2 a4a5 b7b6 a5d5 a8f8 a2a4 e2b2 d5c6 b2c2,17
rn2k2r/pp2pp1p/2p2p1b/5b2/3Pq3/2P1BNP1/PP3P1P/R2QKB1R w KQkq -,d1e2 h6e3 f2e3 a7a5 f1g2 e4d3 f3h4 d3e2 e1e2 f5g6,36
rn6/6R1/pp2q3/3R2pk/2p1P3/2B3P1/PP6/6K1 w - -,d1e2 h6e3 f2e3 a7a5 f1g2 e4d3 f3h4 d3e2 e1e2 f5g6,Mate
2r2rk1/1b1pbppp/pB3n2/1q2p3/Np2P3/1P1Q2P1/P1P2PBP/2R2RK1 w - -,g2f3 d7d5 e4d5 b7d5 f3d5 f6d5 f1d1 e7g5 d3b5 a6b5,-22
r2qrnk1/pb2b1p1/1p1np1P1/2pp1p2/3P2PQ/2PBP3/PP1N3P/R1B2RK1 w - -,h4h3 f8g6 g4f5 g6f8 f5e6 e7f6 b2b3 e8e6 c1a3 d8e7,-305
rnbqk2r/ppp2ppp/5n2/4p3/4P3/2PP4/P1P3PP/R1BQKBNR w KQkq -,f1e2 d8d6 g1f3 c8g4 e1h1 g4f3 f1f3 e8h8 d1e1 b8d7,76
3r4/2k1bp2/p1n2p2/P3r2p/2p4P/2P2QP1/5PK1/1R6 w - -,b1b6 d8d5 b6a6 e7d8 f3f4 d5c5 a6b6 c7c8 b6b2 d8a5,-54
6k1/2pb3p/p2p2p1/1p6/1P3P2/6BP/P1P3P1/6K1 w - -,,0
1r3rk1/p3ppbp/2Q1b1p1/q2p4/3P4/2P1B1P1/P3PPBP/R4RK1 w - -,a1b1 a5a2 b1a1 a2e2 g2d5 f8c8 d5f3 c8c6 f3e2 c6c3,-6
r1bqk1nr/pp2ppbp/6p1/3p4/2Pn4/2NB1N2/PP3PPP/R1BQK2R w KQkq -,e1h1 d4f3 d1f3 g8f6 c4d5 e8h8 h2h3 e7e6 f1d1 e6d5,19
r5k1/1pp2pp1/p6p/4P3/Q7/2P4P/PP2qPP1/5RK1 w - -,a4a5 b7b6 a5d5 a8f8 a2a4 e2b2 d5c6 b2c2 c6c7 c2a4,12
8/2k1bp2/p1n2p2/P3r2p/2p4P/2Pr1QPK/5P2/1R6 w - -,f3f4 c6a5 b1a1 c7b6 h3g2 b6b5 g3g4 h5g4 f4g4 b5b6,-144
r1bqk2r/pp1nppbp/3p2p1/2p5/4P3/2P2Q1P/PP1P1PP1/RNB1RBK1 w kq -,f3d1 e8h8 a2a4 e7e5 f1c4 d7b6 c4b3 c5c4 b3c2 c8e6,24
2r1r1k1/pbq2p1p/1p4p1/2b1p3/2P4Q/2B5/PPB2PPP/3RR1K1 w - -,c2a4 e8e7 b2b4 c5d6 e1e3 a7a5 a2a3 a5b4 a3b4 c8a8,106
rn2k2r/pp2pp1p/2p2p2/5b2/3Pq3/2P1bNP1/PP2QP1P/R3KB1R w KQkq -,a2a4 e3h6 f3h4 e4e2 f1e2 f5d7 e1h1 h6g7 f1b1 e7e6,-428
2kr1b1r/pppq1ppp/2np4/8/6b1/2P1BN2/PPPQBPPP/R3K2R w KQ -,h2h3 g4h5 e1h1 h8g8 d2d5 g7g5 e3g5 d8e8 g5f4 h5g4,73
2r4r/pp4k1/3pbpP1/q3p3/2P1P3/2N2P2/PP1Q2P1/2KR3R w - -,d2d6 a5b6 d6b6 a7b6 b2b3 h8h1 d1h1 g7g6 c1d2 c8g8,466
r4rk1/5ppb/pn1bp2p/1p1p4/1P1P1PBq/P1N1B3/2P1NK2/R2Q1R2 w - -,f2g2 h4g4 g2f2 b6c4 f1h1 d6e7 h1g1 e7h4 e2g3 g4d1,-533
rnbqk2r/pppp1pbp/4p1p1/1P4Pn/8/8/PBPPPP1P/RN1QKBNR w KQkq -,b2c3 d8g5 c3g7 h5g7 c2c4 a7a6 g1f3 g5f6 b1c3 a6b5,-174
8/2k1bp2/p1n2p2/P3r2p/7P/2Pp2PK/5P2/1R6 w - -,b1d1 e5d5 c3c4 d5d8 g3g4 h5g4 h3g4 f6f5 g4g3 d3d2,-816
r1bqk1nr/pp2p1bp/6p1/3N1p2/2P5/3BBn2/PP3PPP/R2QK2R w KQkq -,d1f3 e7e6 d5f4 g7b2 a1b1 b2c3 e1e2 g8f6 c4c5 c3e5,21
3r3r/pp4k1/3QbpP1/q3p3/2P1P3/2N2P2/PP4P1/2KR3R w - -,d1f3 e7e6 d5f4 g7b2 a1b1 b2c3 e1e2 g8f6 c4c5 c3e5,Mate
r1bqk1nr/pp2p2p/6p1/3N1p2/2P5/3BBQ2/Pb3PPP/R3K2R w KQkq -,a1d1 e7e6 f3e2 b2e5 e3b6 e5c3 d5c3 a7b6 d3f5 d8e7,162
3r2k1/pr5p/3b1p2/1Pp1pp2/8/2P3P1/1P3P1P/R1B1R1K1 w - -,c3c4 d6c7 c1e3 c7b6 e1c1 g8f7 g1f1 b7d7 f1e2 d7d3,83
r3k2r/pppbq1pp/3p1pn1/3P4/1b2P3/2N2NB1/PPPQ2PP/R4RK1 w kq -,g1h1 e8h8 a2a3 b4c5 f3d4 e7e8 g3f2 b7b5 d4f5 c5f2,-27
2r4r/pp4k1/1q1QbpP1/4p3/2P1P3/2N2P2/PP4P1/2KR3R w - -,d6b6 a7b6 b2b3 h8h1 d1h1 g7g6 c1d2 g6g5 h1h7 c8d8,490
5r2/8/8/3k4/6KB/8/R7/8 w - -,,0
r2qrnk1/pb2b1p1/1p2p1P1/2pp1p1Q/3Pn1P1/2PBP3/PP1N3P/R1B2RK1 w - -,g4f5 e4f6 h5h3 e6f5 d2f3 f6e4 h3f5 e7f6 f3e1 a7a5,-217
rn6/6R1/pp2q2k/6R1/2p1P3/2B3P1/PP6/6K1 w - -,g4f5 e4f6 h5h3 e6f5 d2f3 f6e4 h3f5 e7f6 f3e1 a7a5,Mate
r1bqk2r/1ppp1p1p/p4np1/4p3/1bBnP3/2QP4/PPP2PPP/RNB1K1NR w KQkq -,e1f1 b4c3 b1c3 h7h6 f2f4 d4c2 a1b1 d7d6 g1f3 c8e6,-606
r1b1kb1r/ppq2pp1/1nn1p2p/6NQ/3p4/3BB3/PP3PPP/RN2K2R w KQkq -,e3d2 c7e5 e1d1 g7g6 d3g6 h6g5 g6f7 e8d8 h5g6 f8e7,-480
r5k1/2p2pp1/pp5p/Q3P3/8/2P4P/PP2qPP1/5RK1 w - -,a5d5 a8f8 a2a4 e2b2 d5c6 b2c2 c6c7 c2a4 c7b6 a4c4,11
2r4r/pp2Q3/1q2bpk1/4p3/2P1P3/2N2P2/PP4P1/2KR3R w - -,h1h8 c8h8 d1d6 b6g1 c3d1 g1g2 e7e6 g2f3 e6e5 b7b5,546
2rr2k1/3q1pp1/p3b2p/1p1p4/3P1Q1P/1P6/P3NPP1/2R1R1K1 w - -,f4e3 e6f5 c1c8 d8c8 e2f4 a6a5 f2f3 d7d8 g2g3 c8c2,39
6k1/1b3pp1/p2qp2p/1p6/1P2n3/P2B4/2Q2PPP/3N2K1 w - -,d1c3 e4f6 d3e2 d6c6 e2f3 c6c8 f3b7 c8b7 c2d3 b7d7,-158
7r/pp2Q3/1q2bpk1/4p3/2P1P3/2N2P2/PP4P1/2KR4 w - -,d1d6 b6g1 c3d1 g1g2 e7e6 g2f3 e6e5 a7a5 e5e6 f3f4,621
r1b2rk1/1pq1bppp/p1nppn2/2p5/4PP2/2NP1NP1/PPP3BP/R1B1QRK1 w - -,h2h3 b7b5 g3g4 a8b8 e1f2 b5b4 c3e2 a6a5 e2g3 d6d5,31
r2qkb1r/pppb1ppp/2n5/1B1pp3/3Pn3/5N2/PPP2PPP/RNB1QRK1 w kq -,b5c6 d7c6 f3e5 f8e7 e5c6 b7c6 b1d2 e4f6 d2f3 e8h8,56
r1bqk2r/1ppp1p1p/p4np1/4p3/1QB1P3/3P4/PPn2PPP/RNB1K1NR w KQkq -,e1d2 c2b4 a2a3 b4c6 g1f3 c6d4 f3d4 e5d4 d2e1 d7d5,-624
r4rk1/pppbq1pp/3p1pn1/3P4/1b2P3/2N2NB1/PPPQ2PP/R3R1K1 w - -,b2b3 e7f7 a2a3 b4a5 f3d4 a8e8 h2h3 g6e5 e1e3 f7h5,-55
5rk1/2p2pp1/pp5p/3QP3/8/2P4P/PP2qPP1/5RK1 w - -,a2a4 e2b2 d5c6 b2c2 c6c7 c2a4 c7b6 a4c4 f2f4 c4c3,13
3r2k1/3q1pp1/p3b2p/1p1p4/3P3P/1P6/P2QNPP1/2r1R1K1 w - -,e1c1 d7e7 d2f4 e6d7 e2g3 d8c8 c1c8 d7c8 f4b8 e7e6,25
3q1rk1/1pp3p1/6r1/p1pPnp1p/5P2/1PP2RPB/P7/R1BQ2K1 w - -,f4e5 h5h4 c1f4 h4g3 g1g2 d8e8 d1d3 c5c4 b3c4 g6g4,566
r1b2rk1/2q1bppp/p1nppn2/1pp5/4PP2/2NP1NPP/PPP3B1/R1B1QRK1 w - -,g3g4 b5b4 c3e2 d6d5 e4e5 f6d7 g4g5 a6a5 h3h4 c8a6,14
3r2k1/4qpp1/p3b2p/1p1p4/3P3P/1P6/P2QNPP1/2R3K1 w - -,d2f4 e6d7 e2g3 d8c8 c1c8 d7c8 f4b8 e7d7 b8e5 g8h7,28
2r1rnk1/1p2bpp1/1qp1b2p/p2pP3/8/2NBP2P/PPQ2PPB/3R1RK1 w - -,f2f4 e6d7 g1h1 b6c5 f4f5 e7g5 f1f3 g5e3 d1f1 e3g5,152
r2qk2r/ppp1bppp/2b5/3pN3/3Pn3/8/PPP2PPP/RNB1QRK1 w kq -,e5c6 b7c6 b1d2 e4f6 d2f3 e8h8 f3e5 d8d6 e5d3 a7a5,53
r1b1kb1r/p4pp1/1qp1p2p/2pnP3/3p1P2/3P1N2/PPP1N1PP/R1BQ1RK1 w kq -,b2b3 c8a6 e2g3 e8a8 d1e1 c8b8 c1d2 d8e8 g3e4 b8a8,117
2r3k1/4qpp1/p3b2p/1p1p4/3P3P/1P4P1/P2QNP2/2R3K1 w - -,f2f3 a6a5 d2a5 c8c1 e2c1 e7f6 a5c3 b5b4 c3e3 f6g6,39
6k1/6p1/6P1/5K1P/8/8/8/8 w - -,,0
r1bqk2r/p4ppp/2pb4/n2np1N1/8/3B4/PPPP1PPP/RNBQ1RK1 w kq -,g5h3 c8h3 g2h3 d5f4 g1h1 f4d3 c2d3 d8d7 b1c3 a5b7,-96
8/5kp1/2N5/4p3/1pp3K1/2q5/8/8 w - -,g5h3 c8h3 g2h3 d5f4 g1h1 f4d3 c2d3 d8d7 b1c3 a5b7,Mate
6k1/4qpp1/p3b2p/1p1p4/3P1N1P/1P4P1/P2Q1P2/2r3K1 w - -,d2c1 e7f6 c1e3 g7g5 h4g5 h6g5 f4d3 a6a5 e3e5 g8g7,18
r2qk2r/p1p1bppp/2p5/3p4/3Pn3/8/PPP2PPP/RNB1QRK1 w kq -,b1d2 e4f6 d2f3 e8h8 f3e5 d8d6 e5d3 a7a5 c2c3 f8e8,46
6k1/5pp1/p2qp2p/1p6/1P2b3/P7/2Q2PPP/3N2K1 w - -,f2f4 e4c2 d1f2 d6f4 h2h4 g8h7 h4h5 f4c1 g1h2 c1a3,-1099
r1b2rk1/2qnbppp/p1npp3/1pp5/4PPP1/2NP1N1P/PPP3B1/R1B1QRK1 w - -,g4g5 c8b7 e1g3 c6b4 f3e1 b4c6 f4f5 b5b4 c3e2 e6f5,32
8/pp2Q3/3Rbpk1/4p3/2P1P3/1KN2P2/PP4qr/8 w - -,d6e6 g2b2 b3a4 b2c2 a4b5 c2b2 e7b4 b2c1 c3a4 h2h7,390
5rk1/2p2pp1/pp5p/3QP3/P7/2P4P/1q3PP1/5RK1 w - -,d5c4 b2c2 c4c7 c2a4 c7b6 a4c4 f2f4 c4c3 b6a6 f8d8,15
r2qk2r/p1p1bppp/2p2n2/3p4/3P4/8/PPPN1PPP/R1B1QRK1 w kq -,d2f3 e8h8 f3e5 d8d6 e5d3 a7a5 c2c3 f8e8 c1f4 d6d7,40
r4rk1/p4ppp/p2qp3/2npN3/Q2P4/2P2P2/PP4PP/R3K2R w KQ -,a4a3 f8c8 e1a1 h7h5 h1e1 c5b7 a3d6 b7d6 e5d3 c8c7,36
r1bq1rk1/pp1nppbp/3p1np1/8/3NP3/2N1B3/PPPQBPPP/R3K2R w KQ -,e1a1 d7c5 f2f3 d8a5 c1b1 c8d7 d4b3 c5b3 c2b3 f8b8,124
6k1/5pp1/p3bq1p/1p1p4/3P1N1P/1P4P1/P4P2/2Q3K1 w - -,c1e3 g7g5 h4g5 h6g5 f4d3 a6a5 e3e5 g8g7 e5f6 g7f6,13
r4rk1/1ppbq1pp/1b1p1pn1/p2P4/1P2P3/P1N2NB1/2PQ2PP/R3R2K w - -,b4b5 a5a4 f3d4 g6e5 h2h3 e7e8 d4f5 b6a5 d2e3 a8c8,-88
6k1/5pp1/p3b2p/1p1p1q2/3P1N1P/1P2Q1P1/P4P2/6K1 w - -,e3d3 f5f6 h4h5 e6f5 d3c3 f6e7 f2f3 b5b4 c3c1 e7f6,32
rn1k3r/pp2bppp/6q1/5Q2/2BPp3/5P2/PP5P/1KR3NR w - -,e3d3 f5f6 h4h5 e6f5 d3c3 f6e7 f2f3 b5b4 c3c1 e7f6,Mate
r1b1k2r/p2n1ppp/1p2pn2/q2p2B1/3P4/2PBPN2/P1Q2PPP/R3K2R w KQkq -,g5f6 d7f6 e1h1 c8a6 f1c1 a6d3 c2d3 e8h8 a2a4 f6e4,7
rnbqk2r/pppp1pbp/4pnp1/1P6/6P1/8/PBPPPP1P/RN1QKBNR w KQkq -,c2c4 d7d5 g4g5 f6h5 b2g7 h5g7 g1f3 a7a6 a2a4 a6b5,-75
r1bk1b1N/ppq3p1/1nn1p2p/7Q/8/3Bp3/PP3PPP/RN2K2R w KQ -,f2e3 b6d5 e1h1 d5f6 h5h4 c7b6 b1c3 b6e3 g1h1 c8d7,320
4rrk1/pb1qb1pp/1p1n1p2/2pp1P2/3P4/2PBP2Q/PP1N3P/R1B2RK1 w - -,f1f2 g8h8 h3h5 e7d8 d2f3 d7f7 h5g4 b7c8 f2g2 d8c7,-112
5rk1/1pp3pp/4P1r1/p1pP1p2/2n2P2/2P2RqB/PP6/R1BQ2K1 w - -,f3g3 g6g3 g1h2 g3h3 h2h3 f8a8 d1g1 b7b6 b2b3 c4d6,615
r1b2b2/ppqk1Np1/1nn1p2p/7Q/8/3Bp3/PP3PPP/RN2K2R w KQ -,f2e3 b6d5 e1h1 d5e3 f1f2 e3d5 g1h1 c7b6 h5e2 f8c5,304
r2q1rk1/1pp2ppp/p2pbb2/2n3B1/4P2P/2N2P2/PPPQ2P1/1K1R1B1R w - -,c3e2 d8e7 g2g4 f6g5 h4g5 f7f6 g5g6 h7g6 e2f4 g8f7,156
r1b2b2/ppqk1Np1/1nn1p2p/7Q/8/3B4/PP3pPP/RN3RK1 w - -,f1f2 b6d5 g1h1 c7b6 h5e2 f8c5 f2f1 d5e3 b1d2 e3f1,269
5rk1/p4pbp/b5p1/q2P4/4p3/2P1Q1P1/Pr1BPPBP/R3K2R w KQ -,d5d6 f8d8 e1h1 d8d6 d2c1 b2e2 e3a7 g7c3 a1b1 d6d8,-49
r3k2r/pb1n1ppp/1p2pn2/q2p2B1/3P4/2PBPN2/P1Q2PPP/R4RK1 w kq -,a2a4 f6e4 f1c1 a8c8 c2b2 f7f6 g5f4 e8e7 c3c4 d5c4,69
r1b2b2/ppqk1Np1/2n1p2p/3n3Q/8/3B4/PP3RPP/RN4K1 w - -,g1h1 c7b6 h5e2 f8c5 f2f1 d5e3 b1d2 e3f1 d2c4 b6b4,301
r4rk1/1ppbq1pp/3p1pn1/bP1P4/p3P3/P1N2N2/2PQ1BPP/R3R2K w - -,h2h3 d7b5 f3d4 b5d7 e1e3 b7b5 e3g3 b5b4 d4f5 e7e8,-165
5rk1/1pp3pp/4P1r1/p1pP1p2/2n2P2/2P2RPq/PP6/R1BQ2K1 w - -,d1d3 c4d6 g1f2 d6e4 f2e1 f8d8 e6e7 d8e8 d5d6 e4d6,-428
r4rk1/1pp1qppp/p2pbb2/2n3B1/4P2P/5P2/PPPQN1P1/1K1R1B1R w - -,e2g3 h7h6 g5f6 e7f6 g3h5 f6e5 g2g4 g7g6 h5f4 g8g7,123
5rk1/p4pbp/b5p1/3q4/4p3/2P1Q1P1/Pr1BPPBP/R4RK1 w - -,d2c1 b2e2 e3a7 f8a8 a7e7 g7c3 c1e3 c3a1 f1a1 e2a2,-117
r2qkb1r/ppp2ppp/2n5/3pp3/3Pn1b1/1B3N2/PPP2PPP/RNBQR1K1 w kq -,b1c3 g4f3 d1f3 c6d4 f3h5 d8f6 c1e3 f6f5 h5f5 d4f5,-22
r3kb1r/pppq1ppp/2n1pn2/3p4/2PP4/2N2NP1/PP2PPKP/R1BQ1R2 w kq -,c4d5 f6d5 e2e4 d5c3 b2c3 f8e7 d4d5 e6d5 e4d5 a8d8,83
r1b5/ppqk1Np1/2n1p2p/1Bbn3Q/8/8/PP3RPP/RN4K1 w - -,h5e2 d7e7 b1c3 d5f4 e2f3 c8d7 a1e1 c5f2 f3f2 e7f7,-184
2b5/p6p/1p2k1p1/1P1p1pP1/3K1P1P/P1N1P3/8/8 w - -,c3d5 c8b7 d5f6 h7h5 f6h7 b7c8 h7f6 c8b7 e3e4 f5e4,294
3r4/p1r1k2p/R2b1p2/1Pp1pp2/8/2P1B1P1/1P3P1P/3R2K1 w - -,g1g2 f5f4 e3c1 c5c4 g3f4 e5f4 d1e1 e7f7 e1e4 c7c5,184
r1bk1b1r/pp4pp/2n1pp2/1B1Nn3/5B2/8/PPP2PPP/R1K1R3 w - -,d5c3 g7g5 f4e3 e5g4 e3d2 c8d7 c3e4 f8e7 a2a4 a7a6,-398
8/5ppk/p3b2p/1p1p1q2/3P3P/1P1NQ1P1/P4P2/6K1 w - -,e3e2 a6a5 d3c5 b5b4 e2d3 f5d3 c5d3 e6f5 d3e5 f5b1,6
5rk1/3qbppp/p2p4/1p6/1PnN1B2/2P3QP/5PP1/4R1K1 w - -,f4g5 e7g5 g3g5 c4e5 f2f4 h7h6 g5f5 d7f5 d4f5 e5d3,-10
6k1/5pp1/p3p2p/1p1q4/1P2b3/P7/5PPP/2QN2K1 w - -,g2g3 d5f5 c1e3 e4b7 d1c3 b7c6 e3e2 e6e5 e2e3 f7f6,-196
8/2pb1k1p/p2p2p1/1p6/1P3P1B/7P/P1P3P1/6K1 w - -,,0
5rk1/1pp3pp/4P3/p1pP1p2/2n2P2/2P3rB/PP6/R1BQ2K1 w - -,g1h2 c4e3 d1b3 a5a4 h2g3 a4b3 c1e3 b7b6 a2b3 g7g6,693
2k3rr/pp1n1p2/2pqpp2/8/2PP2p1/5NP1/PP2QP1P/3RR1K1 w - -,b2b4 g4f3 e2f3 g8g5 a2a3 c8b8 d1b1 g5f5 f3c3 f5h5,-324
r1b5/ppqk2p1/2n1p2p/1Bbn3Q/2N5/8/PP3RPP/RN4K1 w - -,h5f7 d7d8 f7g8 d8d7 g8g7 d7d8 g7g8 d8d7 b1c3 c7f4,319
r6r/b1p2pk1/2Nq3p/P5p1/2Qp1n2/8/1P1B1PPP/R3R1K1 w - -,b2b4 d6d5 c4d5 f4d5 h2h3 d5f6 g1f1 h8e8 e1e8 f6e8,342
r4rk1/1pp2pp1/p2pb2p/2n1q2N/4P2P/5P2/PPPQ2P1/1K1R1B1R w - -,g2g4 c5a4 c2c3 a4c5 h5f4 a6a5 g4g5 h6h5 f4h5 a5a4,97
r7/4bp1p/pk3p2/n3r3/2p2Q2/2P3P1/5P1P/6K1 w - -,f4d2 a8d8 d2c2 e7c5 g1g2 a5b3 c2h7 e5e2 h2h4 e2f2,-711
rnbq1rk1/pp3ppp/3b1n2/2p1p3/N1Pp4/1P1P1NP1/P3PPBP/R1BQK2R w KQ -,e1h1 h7h6 f3e1 b8c6 e2e4 g7g5 h2h4 g5h4 c1h6 g8h8,-57
8/5ppk/4b2p/pp1p1q2/3P3P/PP1NQ1P1/5P2/6K1 w - -,b3b4 a5b4 a3b4 e6d7 e3e2 d7e6 e2d1 g7g5 h4g5 h6g5,18
5r2/8/8/6B1/4k1K1/8/R7/8 w - -,,0
r1bqk2r/p4ppp/2pb4/n2np1N1/8/2NB4/PPPP1PPP/R1BQK2R w KQkq -,c3d5 c6d5 d3b5 e8f8 d2d3 a8b8 b5a4 b8b4 a4b3 b4g4,42
r4rk1/5ppb/pn1bp2p/1p1p4/1P1P1PB1/P1N1B1N1/2P2K1q/R2Q1R2 w - -,f2e1 h2g3 f1f2 a8c8 c3b5 g3e3 d1e2 e3e2 g4e2 a6b5,-683
3r4/p1r1k2p/R2b1p2/1Pp1p3/2P2p2/4B1P1/1P3P1P/3R2K1 w - -,e3d2 c7d7 d2a5 d8g8 g1f1 f4g3 h2g3 g8g4 b2b3 h7h5,155
1k4rr/pp1n1p2/2pqpp2/8/2PP2pN/6P1/PP2QP1P/3RR1K1 w - -,d1d3 h8h5 f2f4 f6f5 d3d1 g8c8 d4d5 c6d5 c4d5 e6d5,-27
r1bk1b1r/pp4pp/2n2p2/1B1pn3/5B2/8/PPP2PPP/R1KR4 w - -,d1d5 d8c7 a2a4 c8e6 b5c6 c7c6 d5d1 f8c5 a4a5 h8d8,-591
rn1qkb1r/1p2pppp/p4n2/1N1p4/3P4/5Q2/PPP2PPP/R1B1K1NR w KQkq -,b5c3 e7e6 c3e2 b8c6 c2c3 b7b5 g1h3 a8c8 c1g5 f8e7,-44
3br1rk/pb1q2pp/1p1n1p2/2pp1P2/3P4/1PPBP2Q/PB1N1R1P/R5K1 w - -,g1h1 g7g6 a1g1 b7c8 h3h6 c5c4 d3c2 d6f5 c2f5 g6f5,-153
r1b5/pp1k2p1/2n1p2p/1B1n3Q/2N2q2/2N5/PP3KPP/R7 w - -,f2e2 f4c4 e2e1 c4c5 h5f7 c5e7 f7f3 a7a6 b5c6 b7c6,-421
r4rk1/1pp2pp1/p2pb2p/4q2N/n3P1PP/5P2/PPPQ4/1K1R1B1R w - -,c2c3 a4c5 h5f4 a6a5 g4g5 h6h5 f4h5 f7f5 h5f4 f5e4,100
r1bq1rk1/pp3ppp/2nb1n2/2p1p3/N1Pp4/1P1P1NP1/P3PPBP/R1BQ1RK1 w - -,c1a3 d8e7 f1e1 f8d8 e2e3 e7f8 e3d4 e5d4 f3g5 c8d7,-57
2k3r1/pp1n1p2/2pqpp2/7r/2PP2pN/6P1/PP2QP1P/3RR1K1 w - -,,0
8/5ppk/4b2p/ppNp4/3P3P/PP2Q1P1/1q3PK1/8 w - -,e3d3 h7h8 d3b5 b2a3 b5b7 a3a1 b3b4 a5b4 b7b4 a1d1,2
8/2pb3p/p2pk1p1/1p6/1P3P1B/7P/P1P2KP1/8 w - -,,0
rn1qkbnr/ppp1pppp/8/5b2/2pP1B2/7P/PP2PPP1/RN1QKBNR w KQkq -,b1c3 g8f6 e2e3 e7e6 f1c4 b8d7 g1e2 f5g6 e1h1 c7c6,53
5rk1/1pp3pp/4P3/p1pP1p2/2n2P1q/2P2RrB/PP6/R1BQ2K1 w - -,f3g3 h4g3 h3g2 c4d6 d1f3 g3e1 f3f1 e1h4 f1f2 h4h6,382
r1b2rk1/pp2qppp/2nb1n2/2p1p3/N1Pp4/BP1P1NP1/P3PPBP/R2Q1RK1 w - -,f1e1 f8d8 e2e3 e7f8 e3d4 e5d4 f3g5 c8g4 d1d2 h7h6,-41
8/5ppk/4b2p/p1Np4/p2P3P/1P2Q1P1/1q3PK1/8 w - -,,0
r1bqk2r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2PBP3/P4PPP/R2QK1NR w KQkq -,c4d5 c6d5 g1e2 e8h8 e1h1 h7h6 g5h4 e6e5 f2f3 f8e8,72
8/6K1/8/8/6Q1/3k4/8/8 w - -,c4d5 c6d5 g1e2 e8h8 e1h1 h7h6 g5h4 e6e5 f2f3 f8e8,Mate
r4rk1/1pp2pp1/p2pb2p/2n1q2N/4P1PP/2P2P2/PP1Q4/1K1R1B1R w - -,f1e2 g7g6 h5f4 g8g7 e2d3 c5d3 f4d3 e5b5 d3f4 b5e5,112
5rk1/1pp3pp/4P3/p1pP1p2/2n2P2/2P3qB/PP6/R1BQ2K1 w - -,h3g2 c4e3 c1e3 g3e3 g1f1 e3f4 d1f3 f4g5 a1e1 f8e8,365
rnbq1rk1/ppp1bppp/3p1n2/8/4PB2/2PP3P/PP4P1/RN1QKBNR w KQ -,b1d2 d6d5 e4e5 f6e8 d3d4 f7f6 d1c2 f6e5 f4e5 b8d7,-36
r1b3k1/2q1rp1p/p2p2p1/4n1P1/1p1NP3/3B2Q1/PPP4P/2KR2R1 w - -,g1e1 c8e6 c1b1 a6a5 d3e2 a5a4 h2h4 c7c5 d4e6 f7e6,-51
7k/5pp1/4b2p/p1Np4/P2P2PP/4Q1K1/5P2/5q2 w - -,g3f4 f1b1 c5e6 f7e6 e3e6 b1b8 f4f3 b8b3 f3g2 b3a4,46
2r1r1k1/pb1n1pp1/1p2p3/2b5/2P5/2BQ4/PP3PPP/4R1K1 w - -,d3d7 b7a6 d7d1 a6c4 h2h4 c4a2 h4h5 e6e5 h5h6 g7g6,247
