3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
r4rk1/pp3pp1/5b1p/3NpP2/4P3/P7/1P4PP/R1q2RK1 w - -,f1c1 a8c8 g1f1 f6g5 c1c3 c8c6 a3a4 g7g6 f5f6 c6a6,52
8/8/5p2/2p4p/R4K2/Pr1k2P1/7P/8 w - -,a4a7 c5c4 a7d7 d3e2 d7e7 e2d2 e7e6 c4c3 e6d6 d2c1,-435
rnbqr1k1/pp2pp1p/2p2npQ/4P3/6P1/2N2P2/PPP5/R3KBNR w KQ -,e5f6 e7f6 g1e2 e8e6 h6h7 g8f8 h7h8 f8e7 h8d8 e7d8,551
r5k1/1b3ppp/p3rn2/1pp3B1/4P3/2N2P2/PPP2KPP/R2R4 w - -,a2a4 b5b4 g5f6 e6f6 c3d5 f6h6 d1d2 g8f8 a1d1 a8e8,335
8/p1p4p/2k3p1/2p1B3/5PP1/2P1R1K1/P1br3P/8 w - -,h2h3 d2d3 e3d3 c2d3 g3h4 d3f1 f4f5 c6d7 h4g3 g6f5,15
r3k2r/1q2bp2/p1p1p3/1p1bP3/PP1P2pp/3BB3/5PPP/RR3QK1 w kq -,d3e2 h8g8 f1d1 a8d8 d1c2 e8d7 c2h7 d8f8 h7d3 h4h3,37
r2qkb1r/3n3p/p2pbpp1/6P1/2pBPP2/2N5/PPPQ3P/2KR3R w kq -,h2h4 a8b8 h4h5 g6h5 c3d5 f8g7 h1h5 e6g4 g5f6 g7f6,106
8/R7/6p1/4K1kp/1r1N4/8/8/8 w - -,a7g7 b4a4 d4e6 g5h4 g7g6 a4g4 g6g7 h4g3 g7a7 g3f3,-6
8/8/8/8/8/8/2b1Q3/2k1K3 w - -,a7g7 b4a4 d4e6 g5h4 g7g6 a4g4 g6g7 h4g3 g7a7 g3f3,Mate
r2q1rk1/p3nppp/3bpn2/1p1pN3/1PpP4/2P1P1B1/P1QN1PPP/R3K2R w KQ -,e1e2 a7a5 a2a3 d8c7 e5f3 a8a6 g3d6 c7d6 a1a2 f8a8,-147
r1bk1b1r/ppp1q1pp/2np4/4p1N1/3n4/1B1P4/PPP2PPP/RNBQ1RK1 w - -,g5f7 d8e8 c1g5 e7f7 b3f7 e8f7 c2c3 d4f5 b1a3 a7a6,438
