r1b1kb1r/1p2pppp/p1n2n2/2pq4/3P4/N1P2N2/PP3PPP/R1BQKB1R w KQkq -,a3c4 c5d4 c4b6 d5e4 d1e2 a8b8 e2e4 f6e4 c1f4 e4d6,96
r1bqk1nr/ppp2ppp/3b4/3pn3/8/3BPN2/PPP2PPP/RNBQK2R w KQkq -,b1c3 g8f6 h2h3 e8h8 e1h1 f8e8 f1e1 e5d3 c2d3 c8f5,-76
r1b1kb1r/pp1qpppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQK2R w KQkq -,f2f3 e7e5 d4b3 d6d5 e4d5 f6d5 d1e2 f8e7 e1h1 e8h8,-84
rn2kbnr/pp3ppp/1qp5/3p1bB1/3P4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,d1c1 f8d6 g5h4 b8d7 e2e3 h7h6 h4g3 d6e7 f1e2 g8f6,-34
rnb1kbnr/ppp1pppp/8/8/8/2NB1N2/PPPP1PqP/R1BQK2R w KQkq -,c3d5 g2h1 e1e2 h1d1 e2d1 e8d8 f3g5 g8h6 d5e3 e7e6,-774
6k1/7r/8/2Q3K1/8/8/8/8 w - -,c3d5 g2h1 e1e2 h1d1 e2d1 e8d8 f3g5 g8h6 d5e3 e7e6,Mate
r1bqkbnr/pp2pppp/2n5/2p1p3/8/5N2/PPPPQPPP/RNB1KB1R w KQkq -,b1c3 d8c7 e2e3 a7a6 c3d5 c7d8 f1c4 g8f6 d5f6 e7f6,-178
r1bqk1nr/pp1p1ppp/2n5/4p3/1b6/6B1/PPP1PPPP/RN1QKBNR w KQkq -,d1d2 b4d2 b1d2 g8f6 a2a3 e8h8 e1a1 d8c7 e2e4 d7d6,-869
rn1qkbnr/pbp2ppp/1p2p3/4p3/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1b5 c7c6 b5e2 e5d4 f3d4 g8f6 c1f4 f8c5 d4b3 d8d1,-202
rnbqkb1r/ppp2ppp/8/3np3/8/3P4/PPP1NPPP/RNBQKB1R w KQkq -,c2c4 d5b4 e2g3 b4c6 f1e2 c6d4 c1e3 b8c6 e1h1 h7h5,-89
r1bqkbnr/ppp2ppp/3p4/1P2p3/P2n4/8/1BPPPPPP/RN1QKBNR w KQkq -,e2e3 d4e6 g1f3 g8f6 f1e2 a7a6 e1h1 a6b5 a4b5 a8a1,57
