4Q3/5ppk/7p/1R6/2p3bP/P3BB1q/P4P1K/8 w - -,d1c1 d5c4 b3c4 c5d4 f3d4 e8h8 f1e2 d8c7 b2a3 b4a3,Mate
3r2k1/1p3q2/8/pN1p1P2/P4bP1/1P1B1n1p/2R5/7K w - -,c2e2 f7f6 e2f2 f3e5 f2f4 e5d3 f4f3 f6e7 b5c3 e7e1,-1261
1k5r/1ppr2p1/p3p2p/2b5/3n4/2N2Q2/PPP2PPP/2KR4 w - -,f3g4 h8f8 c1b1 d7f7 c3e4 c5b6 c2c3 d4c6 f2f3 f7e7,243
8/2p3P1/8/2p1pPk1/2P5/5K1p/8/8 w - -,f3g4 h8f8 c1b1 d7f7 c3e4 c5b6 c2c3 d4c6 f2f3 f7e7,Mate
r7/1pp1b1qk/p1r1n3/2P1p1pp/1PNpP3/P2P1NP1/4RP2/R1Q3K1 w - -,f3e5 g5g4 e5c6 b7c6 c1d1 a8f8 d1a4 f8f3 a4c6 e6f4,145
r5k1/1p2rpp1/2pb1q1p/p2p4/3P4/P1NQ2PP/1P2PP2/R4RK1 w - -,h3h4 f6e6 g1g2 e6g4 a1e1 a8e8 e2e3 h6h5 d3d1 g4g6,-17
R7/3k1ppp/p1r5/1p6/1P4P1/P6P/5P2/7K w - -,,0
8/8/4k3/8/6N1/5K1B/8/8 w - -,f3e4 e6d6 g4f2 d6c5 h3e6 c5d6 e6d5 d6e7 e4e5 e7f8,198
rnq1kb1r/pp3pp1/2p1pnp1/3p4/2PP4/1QN5/PP2PPPP/R1B1KB1R w KQkq -,c1f4 f8e7 e2e3 e8h8 f1e2 c6c5 c4d5 c5d4 d5d6 d4c3,39
4r1k1/p2n3p/1p1q2pb/3Pp2n/1P6/Pb4P1/1B1N1PBP/Q1R3K1 w - -,c1c6 d6e7 d2b3 e7f7 g2f1 f7f5 a1d1 d7f6 f1d3 e5e4,270
8/r7/PR3pk1/2R5/7P/5K2/1PP5/8 w - -,c1c6 d6e7 d2b3 e7f7 g2f1 f7f5 a1d1 d7f6 f1d3 e5e4,Mate
N1bk1b1r/p2p1ppp/1p6/8/8/3P1N2/PP3PPP/n1BK3R w - -,f3e5 c8b7 e5f7 d8c8 f7h8 b7g2 h1g1 g2f3 d1d2 b6b5,390
8/8/8/1K4p1/1bpB2P1/1k6/1P6/8 w - -,,0
r3k2r/pppqbpp1/2npbn1p/4p3/2P1P3/2NP1NP1/PP3PBP/R1BQ1RK1 w kq -,b2b3 e6g4 c1e3 f6h7 d1d2 e8h8 c3d5 e7d8 h2h4 g4h3,46
5r2/P4rk1/P4q1p/6p1/8/5Q2/5R2/5RK1 w - -,b2b3 e6g4 c1e3 f6h7 d1d2 e8h8 c3d5 e7d8 h2h4 g4h3,Mate
8/2p3P1/8/2p1pk2/2P4p/5K2/8/8 w - -,b2b3 e6g4 c1e3 f6h7 d1d2 e8h8 c3d5 e7d8 h2h4 g4h3,Mate
4r2r/pp1k1p1b/2pn4/3p1P1p/1P1P1KpP/2NBP3/P5P1/R6R w - -,e3e4 d5e4 c3e4 d6e4 d3e4 d7e7 h1d1 e7f6 d4d5 c6c5,113
