rnbqk1nr/ppp1p1bp/3p2p1/8/3PN3/5N2/PPP2PPP/R1BQKB1R w KQkq -,f1b5 c7c6 b5d3 g8f6 e4g5 e8h8 c2c3 d6d5 h2h4 c8g4,167
r1bqr1k1/ppp1ppbp/2n2np1/3p4/3P4/2NBPN2/PPP2PPP/R1BQR1K1 w - -,f3e5 c6e5 d4e5 f6e4 d3e4 d5e4 d1d4 c7c6 c3e4 d8a5,-51
rnbqk2r/pp2b1pp/2p1pn2/3p1p2/2P5/1P2PN2/PB1PBPPP/RN1QK2R w KQkq -,d1c2 e8h8 e1h1 c8d7 f1c1 e7d6 b2e5 d7e8 e5d6 d8d6,87
rn1qk1nr/p1p2ppp/bp6/3p4/3P1B2/P1P5/4PPPP/R2QKBNR w KQkq -,g2g3 g8f6 d1a4 c7c6 g1f3 e8h8 f3e5 f6e4 a4c2 f8e8,-18
r2qk1nr/ppp1b1pp/2n5/3pp1B1/6b1/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,h2h4 e5e4 d1a4 g4d7 f3d4 e7g5 h4g5 d8g5 d4b5 g5e5,-238
rnbq1rk1/pp2ppbp/2p2np1/3p4/3P4/2N1BNP1/PPP1PPBP/R2QK2R w KQ -,e3c1 h7h6 e1h1 f8e8 h2h3 b8d7 c1f4 f6h5 f4e3 d8c7,-36
rnbqkbnr/ppp2ppp/8/3p3Q/2B1p3/4P3/PPPP1PPP/RNB1K1NR w KQkq -,c4b5 c7c6 b5f1 g8f6 h5d1 f8d6 c2c4 d5c4 f1c4 e8h8,-178
r1bqkbnr/pp3ppp/3p4/2p5/4P3/2Q5/PPP2PPP/RNB1KB1R w KQkq -,c3g3 g8f6 b1c3 f8e7 g3g7 h8g8 g7h6 g8g6 h6d2 a7a6,210
8/8/4k3/2Q5/8/4K3/6B1/8 w - -,c3b3 g8f6 f1b5 c8d7 b1c3 f8e7 c1f4 e8h8 e1a1 d7c6,Mate
rnbqk2r/pp3ppp/2p2n2/3p2B1/3P4/2Q5/PP2PPPP/R3KBNR w KQkq -,c3a3 h7h6 g5f4 a7a5 e2e3 b8a6 a1c1 c8f5 f1a6 a8a6,75
r1bqkb1r/pp1ppp1p/2n3p1/8/3NP1n1/2N1B3/PPP2PPP/R2QKB1R w KQkq -,d1g4 f8g7 e1a1 e8h8 g4g3 d7d6 h2h4 h7h5 f1e2 d6d5,892
rnbqkb1r/pppp1ppp/5n2/4p3/8/2N4P/PPPPPPP1/R1BQKBNR w KQkq -,g1f3 e5e4 f3e5 h7h5 d2d4 d7d6 e5c4 d6d5 c4e5 c7c6,-80
8/4k3/7p/4KP1P/8/8/8/8 w - -,g1f3 e5e4 f3e5 h7h5 d2d4 d7d6 e5c4 d6d5 c4e5 c7c6,Mate
r1bqk1nr/ppp2ppp/1bn1p3/3p4/1P1P4/2P2NP1/P3PPBP/RNBQK2R w KQkq -,a2a4 a7a5 b4b5 c6e7 b1d2 g8f6 e1h1 e8h8 e2e3 e7g6,171
rnb1kbnr/ppq2ppp/2pp4/4p3/3P4/1P2P3/PBP2PPP/RN1QKBNR w KQkq -,f1d3 g8f6 b1d2 e5d4 e3d4 d6d5 g1f3 f6h5 g2g3 f8e7,80
r2qkb1r/pbpn1ppp/1p1ppn2/8/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 w kq -,c1f4 f8e7 f3d2 e8h8 a2a4 a7a6 f4g3 c7c5 f2f4 d7b8,22
