r1bqr1k1/1p2ppbp/2n2np1/p2p4/P2P4/BPN1PN2/4BPPP/R2Q1RK1 w - -,f3e5 e7e6 e2b5 c8d7 b5c6 d7c6 d1f3 g7f8 f1c1 f8a3,49
8/5p2/4p3/1p4k1/6P1/4P1Kp/PR3P2/3r4 w - -,b2b5 g5g6 b5b2 d1h1 b2e2 g6f6 f2f3 f6g5 f3f4 g5g6,33
1r2q1k1/4r2p/3p2p1/Rp1P1p2/1Ppb3P/2N3P1/2QBPnB1/3R3K w - -,h1g1 f2d1 e2e3 d1e3 c2b1 e3g4 g1h1 d4e3 d2e1 e3f2,-643
8/p1p2pp1/2pk1bbp/1p6/4P1P1/2PB1P2/PPN4P/6K1 w - -,f3f4 d6d7 g1f2 h6h5 f2f3 a7a5 c2e1 f6e7 f4f5 h5g4,129
8/8/3kPR2/5K2/8/8/8/7r w - -,,0
rn1qkbnr/pp2pppb/2p4p/3pP3/3P1PPP/8/PPP5/RNBQKBNR w KQkq -,e5e6 g8f6 b1c3 f7e6 f1d3 f6e4 g1f3 b8d7 h4h5 e6e5,93
r1b1kbnr/2qp1ppp/p1n1p3/1pp5/4P3/1BPP1Q2/PP3PPP/RNB1K1NR w KQkq -,f3g3 d7d6 g1e2 g8f6 b1d2 g7g6 e1h1 f8g7 g3h4 e8h8,-26
r2q1rk1/ppbn1ppp/2p2nb1/2Pp2B1/3P4/3B1N1P/PPQN1PP1/R4RK1 w - -,b2b4 g6d3 c2d3 h7h6 g5h4 c7f4 f1e1 d8c7 d2f1 f6e4,15
r1bqk2r/ppp1bppp/3p1n2/3Np1B1/3nP3/3P1N2/PPP2PPP/R2QKB1R w KQkq -,d5e7 d4f3 g2f3 d8e7 d3d4 e5d4 d1d4 e7e5 g5e3 e5d4,46
rnb1kb1r/ppqp1ppp/4pn2/2P5/3Q4/4P3/PPP2PPP/RNB1KBNR w KQkq -,d4f4 c7c5 f4c4 d7d5 c4c5 f8c5 f1e2 b8c6 g1f3 e6e5,-45
1r2q1k1/4r2p/3p2p1/Rp1P1p2/1Ppb2nP/2N3P1/2QBP1BK/3R4 w - -,h2h1 g4f2 h1h2 d4c3 c2c3 f2d1 c3d4 c4c3 d2g5 c3c2,-388
rnb1kb1r/p1qp1ppp/1p2pn2/2P5/1P1Q4/4P3/P1P2PPP/RNB1KBNR w KQkq -,g1f3 b6c5 b4c5 f8c5 d4a4 c8b7 b1d2 e8h8 c2c4 d7d6,-52
rnbqk2r/pp3ppp/3bp3/3p4/3Pn3/2PB2B1/PP3PPP/RN1QK1NR w KQkq -,d3e4 d5e4 b1d2 f7f5 g3d6 d8d6 d1h5 g7g6 h5h6 b8c6,74
r1bqkb1r/pp2pp1p/2np1np1/8/3p4/2N1PNP1/PPP2PBP/R1BQK2R w KQkq -,c3e2 d4e3 c1e3 f8g7 e1h1 e8h8 c2c4 f6g4 e3d4 c6d4,-166
1r2q1k1/4r2p/3p2p1/Rp1P1p2/1Pp3nP/2b3P1/2QBP1B1/3R3K w - -,d2c3 e7e2 c2c1 e2g2 d1e1 g2e2 h1g1 e8e4 e1e2 e4e2,-400
r1bqkb1r/pppp1p1p/2n2n2/4pp2/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq -,e4f5 h8g8 d2d3 a7a6 g1f3 d7d5 c4b3 c8f5 b1c3 f8b4,-815
1r2q1k1/7p/3p2p1/Rp1P1p2/1Pp3nP/2B3P1/2Q1r1B1/3R3K w - -,c2e2 e8e2 d1f1 e2e3 c3e1 b8e8 a5a1 c4c3 g2f3 c3c2,-698
