rnb1k2r/pp2bppp/2p1pn2/q2p4/B2P1B2/2N1PN2/PPP2PPP/R2QK2R b KQkq -,f6e4 a4b3 e4c3 b2c3 a5c3 e1f1 b8d7 h2h4 d7f6 f1g1,-140
8/8/B7/4qpb1/1R5p/2P2k1P/5P2/5K2 b - -,e5e4 a6b7 e4b7 b4b7 f3e4 b7d7 g5h6 f1e2 e4f4 d7h7,698
8/7k/8/6Q1/6N1/4K3/8/8 b - -,e5e4 a6b7 e4b7 b4b7 f3e4 b7d7 g5h6 f1e2 e4f4 d7h7,Mate
rn1qk1nr/pp4pp/2p2p2/b3p3/4P1b1/2P2NP1/PP1N1PBP/R1BQ1RK1 b kq -,a5b6 a2a4 g4e6 a4a5 b6c7 b2b4 g8h6 d1c2 h6f7 f3h4,95
8/5k2/7p/8/6PP/4K3/8/8 b - -,f7e7 e3d2 e7d6 d2e2 d6e6 e2f2 e6f6 f2g2 f6e6 g2h3,Mate
r2qkb1r/1p1b1ppp/p3pn2/2p5/3pPP2/3P1N2/PPP1N1PP/R1BQ1RK1 b kq -,d8c7 c1d2 f8e7 b2b3 e8h8 f3e5 d7e8 a2a4 b7b6 e2g3,43
rn2kbnr/pp3ppp/1qp1p3/3pP3/3P2b1/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,g8e7 h2h3 g4f3 e2f3 b8d7 c3e2 c6c5 c2c3 c5d4 c3d4,71
r1bqkb1r/pp3ppp/2n1pn2/2p5/2Pp4/1Q1P1NP1/PP2PPBP/RNB2RK1 b kq -,h7h6 e2e3 f8d6 f1e1 e8h8 e3d4 c5d4 b1d2 a7a5 d2e4,-81
rnbqk2r/1p2bppp/p1p1pn2/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,e8h8 d1c2 d5c4 f1c4 b7b5 c4d3 c8b7 e1h1 b8d7 a1d1,30
r2qkbnr/ppp1pppp/2n5/5b2/3Pp3/2N1B3/PPP1QPPP/R3KBNR b KQkq -,e7e6 g2g4 f5g6 e1a1 g8f6 f1g2 d8d7 h2h4 h7h5 g1h3,-74
