6k1/p6p/6p1/4bp2/1P2p1bP/P3P3/5PP1/2r2NK1 b - -,g6g5 f8g8 g5h4 g8a8 b5b4 e4e5 f4f3 e5d5 h4g3 a8a3,Mate
r1bq1rk1/ppp2ppp/1b1p1n2/3Bp1B1/PP2P3/2PP4/5PPP/RN1Q1RK1 b - -,a7a5 b4b5 h7h6 g5f6 d8f6 b1d2 a8b8 d2c4 c8e6 c4b6,16
r3k2r/pp3pp1/1npbp2p/3q1b2/2P5/3PQN2/PP1B1PPP/R3KB1R b KQkq -,d6c5 c4d5 c5e3 f2e3 c6d5 d2b4 a8c8 f1e2 f7f6 b4a3,429
2r5/p7/3kp1p1/1P5p/2PK3P/8/8/4R3 b - -,c8e8 c4c5 d6c7 d4c4 g6g5 h4g5 e8g8 e1a1 c7b8 a1g1,82
2R5/8/8/8/6KP/3r4/1p6/1k6 b - -,,0
8/k7/8/1K1NN3/8/8/8/8 b - -,,0
8/1p5k/2p5/8/8/5K1P/P2r1P2/2r5 b - -,a7b8 e5f7 b8b7 f7d6 b7a7 d5c3 a7a8 b5b6 a8b8 c3d5,Mate
r3r1k1/pp3ppp/2b1qn2/3p4/3B4/3BP3/PP3PPP/2RQ1RK1 b - -,f6e4 f1e1 e6h6 d1g4 e4g5 h2h3 a7a6 e1d1 g5e6 d4c3,102
rn1qkbnr/1pp2ppp/p3p3/3pNb2/2PP4/2N5/PP2PPPP/R1BQKB1R b KQkq -,f7f6 e5d3 c7c6 e2e3 g8h6 e3e4 d5e4 c1h6 e6e5 d3f4,45
R2n4/3Pk3/1pB2ppp/1P6/p7/6P1/1P3PKP/8 b - -,g6g5 a8a4 d8f7 a4a8 f7d8 a8c8 h6h5 c8a8 g5g4 a8b8,1526
r5k1/pbpn2pp/1p1pp3/8/2PPp3/2P1P1P1/P1r4P/R1BBR1K1 b - -,c2c3 c1b2 c3d3 a1c1 a8f8 d1g4 f8e8 g4d1 d3d2 e1e2,-217
8/3k4/4nn2/8/8/2K5/8/3Q4 b - -,d7c7 c3c4 e6f8 d1e1 f8d7 e1e7 c7c8 c4b5 c8c7 e7e6,176
5r1k/1pq5/3p1bp1/3Pnp1p/1PP5/4Q3/4B1PP/3R1R1K b - -,b7b6 d1a1 h8g7 a1a6 f8b8 c4c5 b6c5 b4c5 c7c5 a6a7,114
8/4R1bk/6p1/7p/8/2q3PK/5Q2/8 b - -,c3c1 h3h2 c1g5 e7d7 g5e5 h2g2 e5e4 f2f3 e4f3 g2f3,6
r3rqk1/1bp2pbp/1p1pnn2/pN1N2B1/2P1P3/5P2/PP1QB1PP/3RR1K1 b - -,e6g5 d2g5 f6d5 c4d5 f8e7 g5c1 b7a6 b5d4 g7d4 d1d4,217
R3k3/4P3/8/3r4/P6P/5BP1/5PK1/8 b - -,e6g5 d2g5 f6d5 c4d5 f8e7 g5c1 b7a6 b5d4 g7d4 d1d4,Mate
8/1R4kp/2B2r2/1p2r3/2p3P1/3b3P/1P1R4/7K b - -,g7h6 c6g2 h6g5 h1h2 f6e6 d2f2 g5h4 f2f4 d3g6 g4g5,-59
r1b1k2r/1pqp1pp1/p3pn2/4b2p/2P1P3/2N1B2P/PP1QBPP1/R4RK1 b kq -,f6g4 h3g4 e5h2 g1h1 h5g4 g2g3 h2g3 h1g2 h8h2 g2g1,128
rnb2rk1/ppp2ppp/8/3Bp2Q/1b1PP1n1/2N2N2/PPP2PPP/R3K2R b KQ -,e5d4 f3d4 b8a6 e1h1 c7c6 d5b3 a6c5 h2h3 c5b3 d4b3,549
r3rqk1/1bp2pbp/1p1p1n2/pN1N2Q1/2P1P3/5P2/PP2B1PP/3RR1K1 b - -,f6d5 c4d5 e8e7 b5d4 b7c8 e2b5 g8h8 g5d2 g7f6 f3f4,217
r3k2r/pp3pp1/1npbp2p/2q2b2/2PP4/4QN2/PP1B1PPP/R3KB1R b KQkq -,c5c4 f1c4 b6c4 e3c3 c4d2 c3d2 e8h8 e1h1 f8d8 g1h1,439
2k3r1/ppp4p/8/4p1B1/3bN1P1/5P2/r1n1K3/8 b - -,c2b4 g5d2 a7a5 e4g3 g8d8 g3h5 d4b6 f3f4 d8d2 e2f3,-1271
8/1p5k/2p5/8/4K3/2r4P/P2r1P2/8 b - -,c2b4 g5d2 a7a5 e4g3 g8d8 g3h5 d4b6 f3f4 d8d2 e2f3,Mate
r5k1/pbpn2pp/1p1pp3/8/2PPp3/2r1P1P1/PB5P/R2BR1K1 b - -,c3c4 d1b3 b7d5 b3c4 d5c4 e1c1 d6d5 g3g4 a8f8 c1c3,-241
R2n4/3Pk3/1pB2p1p/1P6/p6P/5KP1/1P6/8 b - -,c3d3 a1c1 a8f8 d1g4 f8e8 g4d1 d3d2 e1e2 d2e2 d1e2,Mate
r3k2r/pp2n1pp/2p1qp2/2n1p3/1b2P3/P1N2N2/1PPBQPPP/R4RK1 b kq -,,0
r1bk3r/ppppnp2/2n2Qp1/q2NP2p/4P3/2P2N2/4BPPP/3R1RK1 b - -,h8h7 f3g5 a5d5 e4d5 d7d6 g5h7 c8h3 f6h8 e7g8 h8g8,1919
2bq1rk1/1p3p1p/r7/p1PpQ1P1/8/1NP1B3/PP4PP/5RK1 b - -,a5a4 e3d4 f7f6 g5f6 a6f6 f1f6 d8f6 e5f6 f8f6 d4f6,459
r3rnk1/p4p1p/1p2p1NQ/3b4/Pq6/1P1BR1RP/2P2PP1/6K1 b - -,a5a4 e3d4 f7f6 g5f6 a6f6 f1f6 d8f6 e5f6 f8f6 d4f6,Mate
rn1qrbk1/pb3ppp/1p3n2/1Np5/3p2P1/1P2PN2/PBQPBP1P/2KR3R b - -,a7a6 b5c3 d4c3 d2c3 d8e7 g4g5 f6e4 e2d3 c5c4 d3c4,-737
2k5/8/K7/8/1R6/8/8/2r5 b - -,,0
2k3r1/ppp4p/8/4p3/1n1bN1P1/5P2/r2BK3/8 b - -,a7a5 g4g5 a5a4 f3f4 e5f4 e2f3 b4d5 f3g4 a4a3 d2c1,-1417
r1b1k2r/1pqp1pp1/p3p3/4b2p/2P1P1P1/2N1B3/PP1QBPP1/R4RK1 b kq -,g7g5 g4h5 e5h2 g1h1 b7b5 e3g5 f7f6 g5f6 h2f4 d2d4,480
rnb2rk1/ppp2ppp/5n2/3BQ3/1b1PP3/2N2N2/PPP2PPP/R3K2R b KQ -,b4c3 b2c3 f8e8 d5f7 g8f7 e5c7 f7g8 f3e5 c8e6 f2f3,542
8/1p3k2/8/p5pP/q7/N2p4/KP1P4/R1r5 b - -,b4c3 b2c3 f8e8 d5f7 g8f7 e5c7 f7g8 f3e5 c8e6 f2f3,Mate
8/1R5p/5rk1/1p2r3/2p3P1/3b3P/1P1R2B1/7K b - -,f6e6 g2f3 e5e3 f3d5 e6e5 d5c6 g6g5 h1g2 d3g6 b7b5,-51
8/2k5/8/K7/1R6/8/8/2r5 b - -,,0
8/2k1N3/8/2p2Rp1/p1P4p/2K2P1P/P5P1/8 b - -,c7d6 b4b6 d6c5 b6b5 c5c6 b5g5 c1c5 g5c5 c6c5 a5a4,Mate
r3rqk1/1bp2pbp/1p1p4/pN1P2Q1/4P3/5P2/PP2B1PP/3RR1K1 b - -,e8e5 g5g3 g8h8 g3f2 e5e7 b5d4 g7d4 f2d4 f7f6 d1c1,219
r2q1rk1/pp2ppbp/2n3p1/3n1b2/2NP4/2PB1NB1/PPQ2PPP/R3K2R b KQ -,d5b4 c3b4 c6b4 d3f5 b4c2 f5c2 d8d5 c2b3 a8c8 c4d2,6
rnbqk2r/pppp1pp1/4p2p/4P3/1b1P4/2NQ4/PPP2PPP/R3KBNR b KQkq -,,0
8/4R1bk/6p1/3q3p/4Q3/6PK/8/8 b - -,d5e4 e7e4 g7c3 e4e7 h7h6 e7e6 h6h7 e6e4 h7g7 e4e3,5
r5k1/pbpn2pp/1p1pp3/8/2rPp3/1B2P1P1/PB5P/R3R1K1 b - -,b7d5 b3c4 d5c4 e1c1 d6d5 c1c2 b6b5 g3g4 a7a5 h2h4,-225
r5k1/p3ppbp/3p2p1/q7/4P3/1Pr2P2/PP1QR1PP/1K1R4 b - -,h7h6 b2c3 a8c8 e4e5 g7e5 c3c4 a5b6 d2e3 c8c5 d1d5,158
R7/3Pkn2/1p3p1p/1P1B4/p6P/5KP1/1P6/8 b - -,f7e5 f3f4 e5d7 f4f5 d7c5 d5c4 h6h5 f5g6 e7d6 g6h5,742
r1b2rk1/ppp2ppp/2n5/3N4/3q4/6P1/P1P1QPBP/1R1R2K1 b - -,d4a4 c2c4 c8e6 b1b7 a8c8 d1c1 a4a3 c1e1 a3c5 b7b5,70
r6r/pp1b1kpp/4p3/8/4B3/2P5/P1P2PPP/R2K3R b - -,h8d8 d1c1 a8c8 e4b7 c8c3 h1e1 d7a4 e1e2 d8d4 a1b1,72
2rq1rk1/1p2bppp/2n1p3/p2pPn2/3P4/1N2B2P/PP2BPP1/2RQ1RK1 b - -,a5a4 b3c5 a4a3 b2a3 b7b6 c5a4 c6d4 c1c8 d4e2 d1e2,-63
2kr1bnr/1pp5/p1pqbp2/4P3/4P1pp/2N1BN2/PPPQ1PPP/2RR2K1 b - -,d6e7 e5f6 d8d2 f6e7 d2d1 c1d1 g8e7 f3g5 e6d7 f2f4,155
8/6bk/6p1/7p/4R3/6PK/8/8 b - -,g7f6 e4e3 h7g7 e3b3 f6e7 b3b6 g7f7 b6b5 f7g7 b5b3,4
r1b2rk1/ppN2ppp/2n5/2q5/8/6P1/P1P1QPBP/1R1R2K1 b - -,a8b8 b1b5 c5e7 e2e7 c6e7 c7a6 c8g4 d1b1 b8d8 b5b7,131
8/8/2k5/KR6/8/8/8/2r5 b - -,a8b8 b1b5 c5e7 e2e7 c6e7 c7a6 c8g4 d1b1 b8d8 b5b7,Mate
rn1qrbk1/1b3ppp/pp3n2/2p5/3p2P1/NP2PN2/PBQPBP1P/2KR3R b - -,b8c6 e2c4 c6b4 f3g5 b4c2 g5f7 d8c7 f7h6 g8h8 h6f7,-819
rnb2rk1/ppp2ppp/8/3Q4/1b1PP3/2N2N2/PPP2PPP/R3K2R b KQ -,b4c3 b2c3 b8d7 e1h1 h7h6 d5a5 d7b6 g1h1 f7f5 e4e5,599
4r2k/1pR3pp/3P1n2/1N6/P1RQ1p2/5Pqb/8/5B1K b - -,b4c3 b2c3 b8d7 e1h1 h7h6 d5a5 d7b6 g1h1 f7f5 e4e5,Mate
8/pr1b1kpp/4p3/8/8/2P5/P1PK1PPP/4R3 b - -,d7c6 g2g3 b7d7 d2c1 d7d5 f2f4 d5h5 h2h4 h5d5 a2a3,-380
8/1p3k2/8/p5pP/q7/N2p4/1P1P4/K7 b - -,d7a4 c3c4 b7b2 e1c1 b2a2 f2f4 f7e8 g2g4 e8d8 d2c3,Mate
R7/3Pk3/1p3p1p/1P1Bn3/p4K1P/6P1/1P6/8 b - -,e5d7 f4f5 d7c5 d5c4 e7d6 a8d8 d6e7 d8d1 c5b7 d1e1,801
8/8/4k3/2pN4/2P4R/p1K2P1P/P5P1/8 b - -,e5d7 f4f5 d7c5 d5c4 e7d6 a8d8 d6e7 d8d1 c5b7 d1e1,Mate
rn2k2r/pp1b1p2/4p3/q1PpP1QN/6pP/8/PKP2PP1/3R1B1R b kq -,d7c6 h5f6 e8f8 g5g4 c6a4 g4f4 b8c6 h1h3 a8d8 h3a3,198
rnbqk2r/ppp3b1/3ppn1p/5pp1/3P4/2P1PNB1/PP1N1PPP/R2QKB1R b KQkq -,b8c6 d1c2 e8h8 h2h3 d8e7 f1d3 c8d7 b2b4 f6h5 g3h2,-52
r2q1rk1/pp2ppbp/6p1/8/2NP4/5NB1/PPB2PPP/R3K2R b KQ -,a8c8 c2b3 d8d5 c4d2 d5b5 g3f4 c8c6 a2a4 b5a6 b3d5,7
2R1r1k1/p4pp1/4n1r1/8/3p4/3P3P/2R1PPB1/6K1 b - -,e6d8 c8a8 e8f8 c2c8 g6d6 g2f3 g7g6 a8a7 d8e6 c8f8,146
r3r1k1/p3bpp1/1p5p/1Pnq4/3NB3/4P2P/1B3PP1/R2Q1RK1 b - -,d5g5 e4a8 e8a8 d1f3 a8e8 a1a7 g5g6 f3c6 g6c6 d4c6,667
rn1qkb1r/pp2p1pp/2p2n2/3p1bB1/3P1N2/2N4B/PPP1PP2/R2QK2R b KQkq -,f5h3 h1h3 d8d6 e2e4 d5e4 d1e2 b8d7 c3e4 f6e4 e2e4,96
r1b1k2r/1pqp1pp1/p3p3/8/2P1P1p1/2N1B1b1/PP1QBPK1/R4R2 b kq -,g3d6 f1h1 h8g8 c4c5 d6e5 e2g4 f7f5 g4h5 g7g6 h5f3,385
rnb2rk1/ppp2ppp/8/3Q4/3PP3/2P2N2/P1P2PPP/R3K2R b KQ -,b8d7 e1h1 d7f6 d5c4 f6e4 f1e1 e4f6 c4c7 c8e6 f3e5,589
8/1p5k/2p5/8/3K4/2r4P/r4P2/8 b - -,b8d7 e1h1 d7f6 d5c4 f6e4 f1e1 e4f6 c4c7 c8e6 f3e5,Mate
r1b2rk1/pppnqpbp/3p1np1/6N1/2PPp3/2N3P1/PPQ1PPBP/R1BR2K1 b - -,f8e8 g5e4 f6e4 c3e4 d7f6 c1g5 h7h6 e4f6 g7f6 g5f6,182
8/R2nk3/1p3p1p/1P1B4/p4K1P/6P1/1P6/8 b - -,e7d6 f4f5 d7e5 d5a2 d6c5 a7a4 c5b5 a4f4 b5c5 a2b1,794
2rq1rk1/1p2bppp/2n1p3/2NpPn2/p2P4/4B2P/PP2BPP1/2RQ1RK1 b - -,a4a3 b2a3 b7b6 c5b3 f5e3 f2e3 e7a3 c1c3 c6b4 c3c8,-67
8/k5n1/p7/7R/5R1p/8/7K/8 b - -,g7e8 h5h6 e8c7 f4f7 a7b7 h6h7 b7c6 f7c7 c6d5 h2h3,Mate
8/8/2k5/K7/8/1R6/2r5/8 b - -,,0
r6k/4qnrp/pn2pNQ1/1p1pP3/1PpP1P2/2P2N1R/P6P/5R1K b - -,h7h6 h3h6 f7h6 g6h6 g7h7 f6h7 e7h7 h6f6 h7g7 f6e6,915
8/7k/6p1/8/6R1/2b4K/8/8 b - -,h7g7 g4c4 c3d2 h3g4 g7f6 c4c6 f6g7 c6d6 d2b4 d6b6,1
8/1p3k2/8/p5pP/8/N2p4/KP1P4/3q4 b - -,h7h6 g4c4 c3d2 h3g4 h6g7 c4d4 d2c1 d4d3 g7f7 d3d6,Mate
8/k7/p7/7n/7R/8/7K/8 b - -,h5g7 h4h7 a7b6 h7g7 b6b5 h2g3 b5b4 g3f4 a6a5 f4e3,479
r5k1/p3ppbp/3p2p1/q1r5/1P2P3/5P2/PP1QR1PP/1K1R4 b - -,a5b5 b4c5 d6c5 e4e5 e7e6 e2e3 a7a5 d2e2 b5c6 a2a3,296
8/1p3k2/8/p5pP/2N5/3p4/KP1q4/8 b - -,a5b5 b4c5 d6c5 e4e5 e7e6 e2e3 a7a5 d2e2 b5c6 a2a3,Mate
r4rk1/pp2n1pp/2p2p2/2n1p3/2Q1P1q1/P1B2N2/1PP2PPP/3R1RK1 b - -,e7d5 h2h3 g4e4 c4c5 e4c2 c5c4 c2g6 d1d2 a8d8 g1h2,285
rnbqr1k1/ppp1ppbp/3p1nP1/8/2PPP3/2N5/PP3PP1/R1BQKBNR b KQ -,h7g6 f2f3 c7c5 d4d5 a7a6 g2g4 e7e6 d5e6 c8e6 c1h6,71
r1bqkb1r/1pp2ppp/2n1pn2/p2p4/3P1B2/P1P1PN2/1P3PPP/RN1QKB1R b KQkq -,f8d6 f4g3 e8h8 c3c4 c6e7 c4c5 d6g3 h2g3 b7b6 c5b6,36
6k1/2p1nppp/p3n3/1p2p3/4P2N/BPP1K1PP/P1r5/7R b - -,e7c6 h4f5 c2a2 a3e7 c6e7 f5e7 g8f8 e7d5 a6a5 h1d1,-488
r3k2r/pp1n1pp1/2pb3p/3qpb2/7N/3PQ3/PPPB1PPP/R3KB1R b KQkq -,f5h7 e3h3 d5c5 e1a1 c5f2 g2g4 d6e7 d2e1 e7g5 c1b1,-65
rn2k2r/pp1b1p2/4p3/2PpP1QN/1q4pP/8/P1P2PP1/2KR1B1R b kq -,b4c5 h5f6 e8f8 f1d3 d7a4 h4h5 b8a6 h5h6 c5a3 c1d2,182
r4rk1/5pb1/6p1/1q1R3p/p1p4P/1nB3P1/RP2QPB1/6K1 b - -,b5c6 d5h5 a8e8 e2c2 c6b6 c3g7 g8g7 c2c3 b6d4 c3d4,33
r3rnk1/p6p/1p2p1BQ/3b4/Pq6/1P2R1RP/2P2PP1/6K1 b - -,b5c6 d5h5 a8e8 e2c2 c6b6 c3g7 g8g7 c2c3 b6d4 c3d4,Mate
8/3R4/1p1k1p1p/1P1B4/p4K1P/6P1/1P6/8 b - -,d6d7 d5a2 d7d6 h4h5 d6c5 f4f5 c5d4 f5g6 d4d3 g6h6,832
2rq1rk1/pp2ppbp/6p1/8/2NP4/1B3NB1/PP3PPP/R3K2R b KQ -,,0
rnb1r1k1/ppp2ppp/8/3Q2N1/1b1PP3/2N5/PPP2PPP/R3K2R b KQ -,e8f8 d5c4 a7a5 e1h1 a8a6 c3d5 h7h6 c2c3 b4d6 e4e5,598
8/8/7R/8/6R1/8/1k6/3K4 b - -,e8f8 d5c4 a7a5 e1h1 a8a6 c3d5 h7h6 c2c3 b4d6 e4e5,Mate
2kr4/ppp4p/8/4p3/1n1bNPP1/8/r2BK3/8 b - -,e8f8 d5c4 a7a5 e1h1 a8a6 c3d5 h7h6 c2c3 b4d6 e4e5,Mate
r1b3k1/1p3rbp/p5p1/2R5/3B4/8/P2KNPPP/7R b - -,g7f8 c5e5 c8f5 f2f4 f8g7 e5c5 f7d7 d2e3 a8e8 d4e5,-331
8/k7/p4n2/8/7R/8/6K1/8 b - -,a6a5 g2f3 a5a4 f3e3 a4a3 h4a4 a7b7 a4a3 f6d7 e3d3,14
r3r1k1/pp1n1ppp/2n1q3/3p4/3B2B1/4P3/PP3PPP/2RQ1RK1 b - -,e6d6 g4e2 d7f6 d4c5 d6e6 h2h3 h7h6 d1a4 a8c8 f1d1,62
6k1/pp3pp1/1b4p1/4N3/3pPP2/PQ4P1/1P4K1/1q6 b - -,d4d3 b3f7 g8h7 f7g6 h7h8 g6e8 h8h7 e8h5 h7g8 h5f7,557
8/1p5k/2p5/8/3K4/6PP/r7/8 b - -,d4d3 b3f7 g8h7 f7g6 h7h8 g6e8 h8h7 e8h5 h7g8 h5f7,Mate
rnbqkbnr/p1pp2pp/1p2p3/5p2/3PPP2/2N5/PPP3PP/R1BQKBNR b KQkq -,f8b4 e4e5 c8b7 c1d2 d8h4 g2g3 h4d8 g1f3 b4c3 d2c3,46
4rbk1/2R2p1p/pp4pP/3q4/3P1Q2/5N1P/1P3P2/6K1 b - -,f8h6 f4f6 d5e6 f6e6 e8e6 c7a7 b6b5 f3e5 h6c1 e5d3,-125
8/6k1/6p1/8/4R3/2b4K/8/8 b - -,,0
8/1p3k2/8/p3N1pP/1q6/3p4/KP6/8 b - -,g7f6 e4c4 c3d2 h3g4 f6f7 c4d4 d2e3 d4e4 e3d2,Mate
8/8/2k5/KR6/2r5/8/8/8 b - -,,0
r1b1kb1r/ppp2ppp/2B2n2/3qN3/3Pp3/8/PPP2PPP/RNBQK2R b KQkq -,b7c6 c2c4 d5e6 d1a4 c8b7 b1c3 f8d6 e5c6 e8h8 c1e3,50
8/3k4/1p3p1p/1P6/p4K1P/6P1/BP6/8 b - -,d7d6 f4f5 d6c5 f5g6 c5b5 g6h6 a4a3 b2a3 f6f5 h4h5,1111
2rq1rk1/p3ppbp/6p1/1p6/3P4/1B3NB1/PP1N1PPP/R3K2R b KQ -,a7a5 a2a4 g7d4 e1h1 d4b2 a1b1 b5a4 b3a4 b2g7 f1e1,-105
r1bqkbnr/pp2pppp/2np4/2p5/2P1PP2/1Q6/PP1P2PP/RNB1KBNR b KQkq -,g7g6 b1c3 f8g7 f1e2 c6d4 b3d1 e7e6 g1f3 g8e7 f3d4,-70
rn1qkbnr/1pp3pp/p3pp2/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,b8c6 c4d5 e6d5 a2a3 f5e6 e2e3 f8d6 f1d3 g8e7 c1d2,33
8/p7/P7/1p1K4/8/8/P1k5/8 b - -,b5b4 d5c4 c2d2 c4b4 d2e3 b4b5 e3f4 b5c5 f4e5 c5c6,Mate
rn2k2r/pp1b1p2/4p3/2PpP1QN/6pP/q7/P1P2PP1/1K1R1B1R b kq -,a3c5 h5f6 e8f8 g5g4 c5a5 g4g3 d7e8 h4h5 b8c6 h1h4,184
r4rk1/1bq1b1pp/p1n1pn2/2pp4/1p3PP1/3P1NNP/PPP3B1/R1BQ1RK1 b - -,e7d6 g3e2 a8e8 c2c3 e6e5 f4e5 c6e5 f3e5 d6e5 c1f4,-112
r2q1rk1/pb2ppbp/1p4p1/n7/Q2PP3/3BB3/P3NPPP/1R3RK1 b - -,d8e8 a4a3 e7e6 h2h4 e8d7 h4h5 f8c8 a3b4 g7f8 b4e1,27
r3r1k1/ppqn1ppp/2p2n2/5NBb/2BPP3/8/PP1N2Pb/R3QR1K b - -,b7b5 c4b3 h5g6 e1h4 h2d6 f5d6 c7d6 e4e5 d7e5 d4e5,298
8/1p4k1/8/p5pP/1q6/3N4/KP6/8 b - -,b7b5 c4b3 h5g6 e1h4 h2d6 f5d6 c7d6 e4e5 d7e5 d4e5,Mate
2rq1rk1/3b1pb1/3pp1p1/4n2P/pp1NPP1P/1B2B3/PPPQ4/1K4RR b - -,d8a5 h5g6 e5f3 g6f7 f8f7 g1g7 f7g7 b3e6 d7e6 d4f3,159
8/5k2/6p1/8/4R1K1/2b5/8/8 b - -,,0
2rq1rk1/4ppbp/6p1/p7/B2P4/5NB1/1P1N1PPP/R3K2R b KQ -,g7d4 e1h1 d4b2 a1b1 b2g7 f1e1 g7h6 d2f1 d8d3 h2h3,-101
8/8/1p1k1p1p/1P3K2/p6P/6P1/BP6/8 b - -,d6c5 f5g6 a4a3 b2a3 f6f5 g6h6 c5d4 h6g6 d4e5 h4h5,1370
8/p7/P7/1pK5/8/3k4/P7/8 b - -,d3e4 c5c6 e4e5 c6b7 e5d6 b7a7 d6c7 a2a3 c7c8 a7b6,Mate
r4rk1/pp3ppp/4b3/qN2p1b1/2P5/1Q4N1/PP3PPP/1K1R3R b - -,a7a6 b5d6 b7b5 g3e4 g5e7 b3e3 a8b8 e3c5 f7f6 g2g4,-168
8/1p5k/2p5/8/8/2K3PP/3r4/8 b - -,g5e7 b5c3 f8c8 c3d5 e7f8 h1e1 a5a6 b3b5 a6b5 c4b5,Mate
2rq1rk1/4pp1p/6p1/p7/B2b4/5NB1/1P1N1PPP/R4RK1 b - -,d4b2 a1b1 b2f6 d2e4 c8c4 e4f6 e7f6 b1a1 d8b6 f3d2,-86
1r4k1/r2q2pp/2b1pn2/1pPp1p2/1Q1P4/P1N1PPB1/6PP/RR4K1 b - -,b8a8 c3b5 a7a4 b4b2 h7h6 h2h3 g8h7 g1h2 f6g8 b5d6,335
r1b1k2r/1pppnppp/p4q2/2b1p3/2B1P3/2NP2Q1/PPP2PPP/R1B2RK1 b kq -,h7h5 h2h4 d7d6 c1e3 c5d4 c3e2 d4b2 a1b1 b7b5 c4b3,87
r1b1k2r/1pqp1pp1/p2bpn2/7p/2P1P3/2N4P/PP2BPP1/R1BQ1RK1 b kq -,d6c5 d1d3 e8h8 a2a3 b7b5 c4b5 a6b5 c1e3 c8b7 b2b4,104
2kr4/ppp4p/8/6P1/1n1bNp2/8/r2BK3/8 b - -,d4e3 e2f3 e3d2 f3g4 b4c6 g4f5 d2b4 f5f6 f4f3 e4g3,-1547
2rq1rk1/4pp1p/6p1/p7/B7/5NB1/1b1N1PPP/1R3RK1 b - -,b2f6 f1e1 d8d3 h2h4 d3a3 a4b5 a3a2 d2e4 f6b2 h4h5,-109
8/8/1p3K1p/1Pk5/p6P/6P1/BP6/8 b - -,c5b5 g3g4 b5c5 g4g5 h6h5 g5g6 b6b5 g6g7 b5b4 g7g8q,1005
8/1R5p/4r1k1/1p2r3/2p3PP/3b4/1P1R2B1/7K b - -,e5e1 h1h2 e1e2 d2e2 e6e2 b7b5 d3e4 b5b4 e2g2 h2h3,-271
8/5k2/5bp1/8/4RK2/8/8/8 b - -,,0
r3r1k1/pp1n1ppp/2nq4/3p4/6B1/2B1P3/PP3PPP/2RQ1RK1 b - -,a8d8 g4e2 d7f6 c3d4 e8e6 e2f3 h7h5 h2h4 f6e4 g2g3,47
7R/p7/8/8/P6K/8/6k1/8 b - -,a8d8 g4e2 d7f6 c3d4 e8e6 e2f3 h7h5 h2h4 f6e4 g2g3,Mate
r3r1k1/p3bpp1/1p5p/1P1q4/3Nn1Q1/4P2P/1B3PP1/R4RK1 b - -,e4f6 g4f3 f6e4 f1c1 e7d6 f3g4 d6f8 c1c7 e4d6 a1d1,50
8/8/1p4Kp/1k6/p6P/6P1/BP6/8 b - -,b5c5 g6h6 c5d4 g3g4 d4d3 g4g5 d3c2 g5g6 c2b2 a2e6,1065
8/5k2/8/2pN4/2P3R1/p1K2P1P/P5P1/8 b - -,b5c5 g6h6 c5d4 g3g4 d4d3 g4g5 d3c2 g5g6 c2b2 a2e6,Mate
8/p7/P7/1K6/4k3/8/P7/8 b - -,,0
r2q1rk1/pb3pbp/1p2p1p1/n7/Q2PP3/3BB3/P3NPPP/1R1R2K1 b - -,d8e8 a4b4 e8d8 b4a3 a8c8 f2f3 f8e8 d3b5 b7c6 b5a6,20
r1bqkbnr/4pppp/p7/2pp4/3P4/2N5/PPP1NPPP/R1BQK2R b KQkq -,e7e6 e1h1 c8d7 f1e1 f8e7 c1e3 c5d4 e3d4 g8f6 e2f4,-48
8/1R5p/4r1k1/1p2r3/2p3P1/3b1B1P/1P1R4/7K b - -,e5e3 f3d5 e6e5 d5c6 g6g5 h1g2 g5h4 b7b5 d3e4 c6e4,-64
r1b3k1/1p3r1p/p5p1/2R5/3N4/8/P2K1PPP/7R b - -,f7f2 d2c3 f2g2 c5c7 c8g4 h1e1 g2h2 e1e7 b7b6 d4c6,-232
r3r1k1/ppqn1ppp/2pb1n2/5NBb/2BPP2Q/8/PP1N2P1/R4R1K b - -,a8d8 e4e5 d6e5 d4e5 c7e5 a1e1 e5b2 d2e4 e8e4 e1e4,379
8/8/1p5K/2k5/p6P/6P1/BP6/8 b - -,c5d4 g3g4 d4d3 g4g5 d3c2 g5g6 c2b2 a2e6 b2c3 g6g7,1439
8/1p4k1/8/p5pP/2q5/K2N4/1P6/8 b - -,c5d4 g3g4 d4d3 g4g5 d3c2 g5g6 c2b2 a2e6 b2c3 g6g7,Mate
8/8/2k5/K7/1Rr5/8/8/8 b - -,,0
8/1R5p/4r1k1/1p1B4/2p3P1/3br2P/1P1R4/7K b - -,g6g5 d5e6 d3e4 h1h2 e4b7 e6d5 b7c8 h2g2 g5h4 d5f3,-57
8/8/3K1k2/7p/5Pp1/4P1P1/6P1/8 b - -,e3e1 h1g2 e6e2 d2e2 e1e2 g2f3 e2b2 f3f4 g6h6 b7c7,Mate
8/1p5k/8/2p5/8/6PP/3K4/8 b - -,,0
8/8/1p5K/8/p2k2PP/8/BP6/8 b - -,d4d3 g4g5 d3c2 g5g6 c2b2 a2e6 a4a3 g6g7 a3a2 e6a2,9605
5k2/4nppp/p7/2p5/1p1pP3/1Pr3PP/PB1R1K2/8 b - -,e7c6 f2f1 c3f3 f1g2 f3e3 d2c2 c6d8 g2f2 d8e6 c2e2,-494
8/1p4k1/8/p5pP/K7/3q4/1P6/8 b - -,e7g6 b2c3 b4c3 d2d1 f8e7 f2e2 g6e5 g3g4 f7f6 d1a1,Mate
