rnbqk2r/pppp1ppp/3bpn2/8/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,d6e7 c2c4 d7d5 d1c2 e8h8 e1h1 c7c6 f1d1 b7b6 f3e5,94
r1b1kbnr/ppq1pppp/2np4/1B6/3NP3/2P5/PP3PPP/RNBQK2R b KQkq -,g8f6 b5d3 e7e6 d4b5 c7d7 e1h1 f8e7 b5d4 e8h8 d3c2,-52
rnbqkbnr/pp3ppp/8/2pp2B1/8/3P1N2/PPP2PPP/RN1QKB1R b KQkq -,f8e7 g5e7 g8e7 g2g3 d8b6 d1c1 b6f6 f1g2 b8c6 b1c3,-77
r3kbnr/pp1b1ppp/1qB1p3/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QK2R b KQkq -,b6b2 c6d7 e8d7 f3e5 d7c8 b1d2 f7f6 e5f7 b2b5 f7h8,951
rnbqkb1r/ppp2p1p/4pnp1/2Pp4/3P4/4PN2/PP3PPP/RNBQKB1R b KQkq -,f8g7 b2b4 f6e4 b1d2 f7f5 c1b2 a7a5 b4b5 a5a4 a1b1,36
8/4Q1k1/5r2/4K3/8/8/8/8 b - -,f8g7 b2b4 f6e4 b1d2 f7f5 c1b2 a7a5 b4b5 a5a4 a1b1,Mate
r1bqr1k1/pppnppbp/5np1/3p2B1/3P4/2PBPN2/PP1N1PPP/R2Q1RK1 b - -,a7a6 e3e4 d5e4 d2e4 b7b6 f1e1 c8b7 g5h4 c7c5 d4c5,44
r1bqkbnr/ppp2ppp/2n1p3/8/2BP4/1P2P3/P4PPP/RNBQK1NR b KQkq -,g8f6 g1f3 e6e5 e1h1 f8d6 c1b2 e5d4 f3d4 c6d4 d1d4,60
r1b1kb1r/ppppqppp/5n2/4N3/2BQ4/8/PPP2PPP/RNB1K2R b KQkq -,c7c5 d4e3 d7d5 c4b5 e8d8 e1h1 a7a6 b5a4 e7c7 c2c4,516
3r3r/pkpp1Qpp/1p6/2b1PP2/8/2Pp4/PP1P3P/RNBR3K b - -,h8f8 f7d5 b7b8 d5d3 c5e7 d3h3 d8e8 h3g4 d7d6 e5e6,1524
2kr1b1r/ppq2p1p/2p5/2n1nN2/P7/2N3P1/1PQ1PPB1/R4RK1 b - -,c7b6 b2b4 b6b4 a1b1 b4a5 f1c1 c8b8 c3e4 c5a6 c2b2,206
2kr1b1r/1pq2p1p/2p5/p1n1nN2/P7/2N3P1/1PQ1PPB1/R2R2K1 b - -,c5e6 d1d8 c7d8 a1d1 d8c7 e2e3 c8b8 f5d4 h7h5 c2f5,80
r1bqr1k1/pppp1pp1/2n2n1p/8/2P1p3/2P1N1P1/PP2PPBP/R1BQ1RK1 b - -,c6e7 d1c2 d7d6 f1d1 a7a5 g2e4 f6e4 c2e4 e7g6 e4c2,34
r1bqkb1r/pp1ppp1p/2n2np1/2p5/2B1P3/3P1Q2/PPP2PPP/RNB1K1NR b KQkq -,d7d5 e4d5 c6d4 f3d1 b7b5 c4b3 f6d5 g1e2 d4b3 a2b3,-118
r2qk2r/ppp2ppp/2nbpn2/3p4/Q2P1Bb1/2P1PN2/PP1N1PPP/R3KB1R b KQkq -,f6d7 f4g3 e8h8 f1b5 a7a5 e1h1 d7b6 a4c2 a5a4 f1e1,49
8/3k4/b7/2Q5/3K4/8/8/8 b - -,f6d7 f4g3 e8h8 f1b5 a7a5 e1h1 d7b6 a4c2 a5a4 f1e1,Mate
r1bqkbnr/1ppp1pp1/p1n4p/4p3/2B1P3/3PBN2/PPP2PPP/RN1QK2R b KQkq -,a8b8 a2a3 g8f6 b1c3 d7d6 e1h1 g7g6 h2h3 f8g7 d1d2,71
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/PP1BP3/1BP2PPP/RN1QK1NR b KQkq -,f8d6 d4c5 d6c5 g1f3 e8h8 b1d2 f8e8 b3b4 c5b6 b4b5,36
r1bqkbnr/2pp1pp1/p1n4p/1p1Bp3/4P3/3PBN2/PPP2PPP/RN1QK2R b KQkq -,g8f6 d5c6 d7c6 f3e5 c6c5 f2f4 f8d6 e1h1 e8h8 a2a4,146
r1bqk2r/pppnbppp/2n1p3/3pP3/3P4/P1NB1N2/1PP2PPP/R1BQK2R b KQkq -,c6b8 c3e2 b7b6 c2c4 d5c4 d3e4 c7c6 e2f4 g7g6 d1c2,131
