r1bq1rk1/pp1p1ppp/2n1pn2/2P5/2P5/2PBPN2/P4PPP/R1BQK2R b KQ -,e6e5 f3g5 d8e7 g5e4 f6e4 d3e4 e7c5 d1d3 d7d6 e4h7,62
rn2kb1r/1b1ppppp/1q6/1Bp5/P7/2B1PN2/1P3PPP/R2QK2R b KQkq -,b7c6 e1h1 c6b5 d1b3 f7f6 a4b5 b6b7 a1a8 b7a8 b3c4,158
r5k1/5pp1/5n1p/p2N1b2/2p5/4PB2/Pr3PPP/3R1RK1 b - -,f6d5 d1d5 f5e6 d5c5 a8c8 c5c8 e6c8 f1c1 c8e6 a2a4,-224
rnbqkb1r/ppp1pppp/3P4/8/2P2n2/5N2/PP1P1PPP/RNBQKB1R b KQkq -,d8d6 d2d4 c7c6 b1c3 c8g4 c1e3 b8d7 h2h3 g4h5 d1d2,139
rnb1kb1r/3p1ppp/4pn2/qBpP4/8/2N1P3/PP1B1PPP/R2QK1NR b KQkq -,a5b6 d5e6 f7e6 g1f3 f8e7 a2a4 e8h8 e1h1 c8b7 b5d3,101
r2q1rk1/pp2bppp/1np2n2/7b/3P2P1/1BN1BN1P/PP3P2/R2Q1RK1 b - -,h5g4 h3g4 f6g4 f3e5 g4e3 f2e3 e7f6 d1h5 f6e5 d4e5,327
rn1qkbnr/1bpppppp/p7/8/1p1PPP2/8/PPP1N1PP/R1BQKBNR b KQkq -,b7e4 c2c4 b4c3 e2c3 e4b7 g1f3 e7e6 f1c4 g8f6 e1h1,-62
2kr1bnr/ppp1ppp1/2n5/3q3p/6b1/5N1P/PPPPBPP1/RNBQR1K1 b - -,e7e5 h3g4 h5g4 f3g5 g4g3 d2d4 g3f2 g1f2 d5d7 e2f3,-25
rn1qkbnr/1bp1pppp/p2p4/1p1P4/4PP2/2N5/PPP3PP/R1BQKBNR b KQkq -,d8c8 g2g4 b5b4 c3a4 g8f6 f1h3 f6e4 g4g5 e7e6 g1e2,31
rn1qkbnr/pbp1p1pp/1p3p2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,e7e5 d4e5 f6e5 f3e5 d5d4 d1a4 b8d7 e1a1 g8f6 d1d4,280
r1b1kb1r/pp3ppp/1qn1p3/2ppP3/3P4/2P1PN2/PP2B1PP/RN1Q1RK1 b kq -,b6b2 d1d2 b2d2 b1d2 f8e7 a2a4 e8h8 a4a5 c8d7 f1b1,-155
r3kb1r/pp1bpppp/1qn5/3Q4/1P3B2/P3PP2/2P1N1PP/R3KB1R b KQkq -,a8d8 c2c4 e7e5 c4c5 f8c5 d5c5 b6c5 b4c5 e5f4 e2f4,65
