r1bq1rk1/p3b3/1p2p1Q1/3pP3/4nB2/P3P3/1PBN1P1P/R3K2R b KQ -,g8g7 b4c3 f7f6 e8b8 c6b8 c3c7 f6f7 c7b8 f7e7 b8b7,Mate
7k/7p/6p1/8/1P6/8/2r3PP/1R5K b - -,c2c6 h1g1 c6b6 b4b5 h8g7 g1f2 g7f6 f2e3 f6e5 h2h4,360
8/1p1k4/4p3/2p1Q3/3pP1Pp/3Pq3/8/3K4 b - -,e3d3 d1c1 d3c3 c1b1 c3b3 b1a1 d4d3 e5g7 d7c6 g7f7,-823
r1b2rk1/pp2ppbp/1qnp1np1/2pP4/5B2/P1N1PN1P/1PP1BPP1/R2QK2R b KQ -,c6e5 f3e5 d6e5 f4e5 f8d8 e3e4 f6d5 c3d5 d8d5 e4d5,65
r2r4/p5p1/2pqkpB1/4p3/1P5P/8/PKP2n2/6R1 b - -,c6e5 f3e5 d6e5 f4e5 f8d8 e3e4 f6d5 c3d5 d8d5 e4d5,Mate
4K3/8/8/1k5p/p4p1P/5R2/8/8 b - -,b5a5 f3f4 a5b5 e8f7 b5a5 f4f5 a5b6 f7f6 b6a6 f6g6,1355
r2qr1k1/pppnbppp/3p1n2/7b/P2P4/2P2N1P/1P2BPP1/RNBQR1K1 b - -,c7c6 c1f4 f6d5 f4h2 a7a5 b1d2 d7b6 e2d3 e7f8 d1b3,30
r3k2r/1b1n2p1/p1qbR3/1p4Bp/8/5Q2/PPP3PP/2KR4 b kq -,c7c6 c1f4 f6d5 f4h2 a7a5 b1d2 d7b6 e2d3 e7f8 d1b3,Mate
2r4r/p2R1pkp/2p3p1/8/2R5/P3PP2/1PP4P/2K5 b - -,a7a6 b2b3 c8e8 e3e4 e8e6 f3f4 h8e8 e4e5 h7h6 d7a7,277
r4rk1/1ppq1pp1/p2b3p/n2Pp3/4N3/3P4/PPP1QPPP/R1B2RK1 b - -,c7c6 e4d6 d7d6 b2b4 d6b4 c1d2 b4c5 e2e1 b7b6 d2b4,175
rnbqr1k1/pp2ppbp/2p2np1/3p4/2PP4/2N1PN1P/PP2BPP1/R1BQ1RK1 b - -,a7a5 d1c2 d8c7 e2d3 e7e6 b2b3 b7b6 f1d1 c8a6 c1b2,54
r4k1r/pp2nNp1/8/2ppn1Np/3q3P/8/PQ3PP1/3R1RK1 b - -,d4b2 f7h8 f8g8 g5e6 e5g4 g2g3 g8h8 d1b1 b2f6 e6f4,-573
8/5p2/3k1b2/p6p/1p2K3/5PP1/P7/8 b - -,a5a4 e4e3 b4b3 a2b3 a4a3 g3g4 h5h4 g4g5 f6e7 b3b4,-1035
r2qk2r/p1p2pp1/2pbpn1p/3p4/N2P4/1Q1PP3/PP3PPP/R1B1K2R b KQkq -,a8b8 b3c2 f6g4 h2h3 d8h4 c2c6 e8f8 h1f1 g4h2 f1g1,50
r2qk2r/ppp3pp/2nbbp2/3p1p2/3P4/2PBP3/PP1NNPPP/R2QK2R b KQkq -,d8c8 e1h1 c8d7 d1c2 e8h8 a2a3 c6e7 c3c4 d5c4 d2c4,60
r2r2k1/1p3ppb/1qp1p2p/p2pP3/1b1N1P2/1P2Q1P1/R2N2BP/3R3K b - -,c6c5 d4f3 b6c6 g3g4 a5a4 b3a4 a8a4 a2a4 c6a4 d1g1,-112
4K3/8/8/7p/pk3R1P/8/8/8 b - -,b4b3 e8f7 a4a3 f7g6 b3b2 g6h5 b2b3 h5g4 a3a2 f4f1,1640
8/1p1k4/4p3/2p1Q3/3pP1Pp/3q4/8/2K5 b - -,d3a3 c1c2 a3c3 c2d1 c3b3 d1c1 d4d3 e5c5 b3c2 c5c2,-1156
2r3kb/3q3p/2p3p1/p1Pp1pPn/1p1Nr1nP/1P1BP2R/PBQP2R1/1K6 b - -,h8d4 b2d4 e4d4 e3d4 h5f4 h3g3 c8e8 c2d1 d7e7 b1c2,-93
r1bq1rk1/ppppbppp/2n2n2/4p3/8/1P2PNP1/PBPP1PBP/RN1QK2R b KQ -,e5e4 f3g1 d7d5 g1e2 f8e8 h2h3 c8f5 e1h1 d8d7 g3g4,-57
r3k2r/5qpp/bp1Pp3/p1p2p2/P6Q/1P2BN2/2P2PPP/4R1K1 b - -,h7h6 f3e5 f7f6 h4h5 g7g6 h5f3 a8d8 f3c6 e8f8 c6b6,532
8/5pk1/6p1/4p3/2Pr4/1Q2K3/4B2r/8 b - -,h2h3 e2f3 d4f4 b3b5 h3f3 e3d2 f4d4 d2e2 f3f4 c4c5,-371
r3k2r/1b1nR1p1/p1q5/1p4Bp/8/5Q2/PPP3PP/2KR4 b kq -,h2h3 e2f3 d4f4 b3b5 h3f3 e3d2 f4d4 d2e2 f3f4 c4c5,Mate
r3r1k1/1qp2ppp/p1N5/1PpP4/2P5/3Q2P1/5PKP/R4R2 b - -,a6b5 c4b5 b7c8 f1e1 a8a1 e1a1 h7h5 h2h4 c8g4 d3f3,528
8/5pk1/6p1/4p3/2P1r3/1Q6/3r4/3B1K2 b - -,,0
4r3/P5R1/K7/7p/4k2P/6P1/5P2/8 b - -,e4f3 a6b7 f3g2 a7a8q e8e2 a8a5 g2h3 a5f5 h3h2 f2f4,1098
2b5/5k2/p2K4/PpNp4/1P1P4/8/8/8 b - -,f7e8 d6c7 c8g4 c5a6 e8e7 a6c5 e7f6 a5a6 f6f5 a6a7,1009
r4rk1/2pq1pp1/p2b3B/np1Pp3/4N3/3P4/PPP1QPPP/R4RK1 b - -,c7c6 e4d6 d7d6 h6d2 a5b7 d5c6 b7d8 a1e1 d8c6 e2h5,292
8/8/3Pk3/p1p5/1p6/1P3q2/P4R1P/5K2 b - -,f3d1 f1g2 e6d6 g2g3 a5a4 f2f8 d1e1 g3g4 c5c4 b3c4,-753
