6Nk/5K2/8/7N/6p1/8/8/8 b - -,g4g3 h5f4 g3g2 f4g2 h8h7 g2e3 h7h8 g8e7 h8h7 e3f5,18
rnb1kbnr/pp2pppp/2p5/q7/P1pPP3/2N5/1P3PPP/R1BQKBNR b KQkq -,e7e6 f1c4 b7b5 c4d3 b5b4 c3e2 c8a6 g1f3 a6d3 d1d3,154
r1bqkb1r/pp1p1ppp/5n2/2p1p3/2PnP3/2NPBN2/PP3PPP/R2QKB1R b KQkq -,f8d6 g2g3 e8h8 f1h3 a8b8 e1h1 a7a6 a2a4 d4c6 c3d5,80
rn1qkbnr/pp1b1ppp/8/1B1p4/3N4/8/PPP1QPPP/RNB1K2R b KQkq -,d8e7 b5d7 b8d7 c1e3 g8f6 b1c3 a7a6 e1h1 d7e5 f1e1,198
rnbqk2r/ppp1ppbp/3p1np1/8/4PB2/2PP1N2/PP3PPP/RN1QKB1R b KQkq -,e7e5 f4e3 e8h8 f1e2 c7c5 a2a3 b7b6 e1h1 b8c6 b2b4,-50
rnbqkbnr/ppp2p1p/3pp3/6p1/3P4/4P1B1/PPP2PPP/RN1QKBNR b KQkq -,g8h6 f1d3 b8c6 h2h4 c6b4 e3e4 f7f5 b1c3 f5f4 g3h2,122
rnbqkb1r/ppppnppp/8/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq -,e7g6 h2h4 b8c6 b1c3 f8b4 c1d2 d7d6 h4h5 g6e7 h5h6,91
rnbqkbnr/ppp2ppp/4p3/3p4/2P4P/4P3/PP1P1PP1/RNBQKBNR b KQkq -,d5d4 e3d4 b8c6 g1f3 c6d4 f3d4 d8d4 b1c3 g8h6 c3b5,-41
r1bqk1nr/3pppbp/p1n3p1/1pp5/3PP3/1BP2N2/PP3PPP/RNBQ1RK1 b kq -,d8c7 a2a4 c8b7 f1e1 c6a5 a4b5 a5b3 d1b3 a6b5 b1a3,186
rnbqk2r/pp3ppp/2p1pn2/3p4/1bPP4/P1N2N1P/1P2PPP1/R1BQKB1R b KQkq -,b4e7 c4d5 e6d5 c1f4 c8f5 e2e3 h7h6 f1d3 f5d3 d1d3,48
r1bqkbnr/pppp1ppp/2n5/4p3/8/2P2N1P/PP1PPPP1/RNBQKB1R b KQkq -,d7d5 d2d3 g8f6 d1a4 f8d6 e2e4 e8h8 b1d2 c8e6 a4c2,-87
r2qk1nr/pbpp1ppp/1pn5/2b1p3/2P1P3/2NP2P1/PP3PBP/R1BQK1NR b KQkq -,h7h6 a2a3 a7a5 g1e2 d7d6 e1h1 g8e7 g1h1 c6d4 f2f4,63
rnbqkb1r/ppp1pppp/5n2/8/8/2NP2P1/PP2PP1P/R1BQKBNR b KQkq -,e7e5 g1f3 f8d6 f1g2 e8h8 e1h1 h7h6 d3d4 b8c6 d4d5,35
r1bqkb1r/p2p1ppp/2p2n2/4p3/4P3/3B4/PPP2PPP/RNBQK2R b KQkq -,d7d5 e4d5 f8b4 c2c3 b4c5 c1g5 c6d5 b2b4 c5b6 d3b5,-59
r2qkbnr/ppp2ppp/2n1p3/3p4/3P4/2N1PP1P/PPP2P2/R1BQKB1R b KQkq -,g8e7 c1d2 e7f5 f3f4 g7g6 f1d3 f5h4 d3b5 d8d6 d1g4,-32
rnbqkbnr/pp2pppp/8/2pP4/2p1P3/2N5/PP3PPP/R1BQKBNR b KQkq -,g8f6 e4e5 f6d7 g1f3 d7b6 a2a4 a7a5 b2b3 g7g6 f1c4,297
rnbqkb1r/ppp1pppp/5n2/3p4/3N4/2N5/PPPPPPPP/R1BQKB1R b KQkq -,e7e5 d4b3 d5d4 c3b1 a7a5 d2d3 b8c6 b3d2 c8f5 g2g3,-220
rnbqkb1r/ppp2ppp/5n2/3pp3/8/1NN5/PPPPPPPP/R1BQKB1R b KQkq -,d5d4 c3b1 a7a5 d2d3 b8c6 b3d2 c8g4 g2g3 d8d7 d2f3,-218
rnb1kbnr/pqp1pppp/8/1N2N3/2pP4/4P3/PP3PPP/R1BQKB1R b KQkq -,g8f6 e5c4 c7c6 b5c3 e7e6 f1e2 f8e7 c1d2 b7c7 e1h1,424
rnbqkb1r/pppp1p2/4pP1p/8/3P3p/8/PPP2PPP/RN1QKBNR b KQkq -,d8f6 g1f3 b8c6 c2c3 d7d5 g2g3 c8d7 b1d2 e8a8 d1e2,-179
rnb1kbnr/p1p1pppp/2q5/1p6/P1pP4/2N1PN2/1P3PPP/R1BQKB1R b KQkq -,b5a4 f3e5 c6b7 d1a4 c7c6 f1c4 e7e6 d4d5 g8f6 d5c6,259
r1bq1rk1/pppp1ppp/2n2n2/2b1p1N1/4P3/2N5/PPPPBPPP/R1BQK2R b KQ -,h7h6 g5f3 d7d5 d2d3 d5d4 c3b1 a7a5 e1h1 f8e8 c2c3,-106
r1bqk2r/pppp1pp1/2n5/1Bb1p1Bp/4P1n1/3P1N1P/PPP2PP1/RN1Q1RK1 b kq -,g4f6 b5c6 d7c6 f3e5 c5e7 d1f3 c8e6 f3e3 f6g4 g5e7,313
rnbqk2r/ppppppbp/5Bp1/8/3P3P/8/PPP1PPP1/RN1QKBNR b KQkq -,h8g8 f6g7 g8g7 b1c3 d7d5 d1d2 c8f5 f2f3 b8c6 g2g4,736
rn2k1nr/p2b1pp1/2p1p2p/qpPpP3/6PP/2P1B3/PP3P2/R2QKBNR b KQkq -,d7c8 d1d2 g8e7 h4h5 a5a4 e3d4 a7a5 h1h3 c8a6 b2b4,329
rnbqkbnr/pp4pp/2pp4/4pp2/2P5/2NP1NP1/PP2PP1P/R1BQKB1R b KQkq -,b8a6 a1b1 a6c7 b2b4 f8e7 f1g2 e7f6 e2e4 g8e7 e1h1,70
rnbqkb1r/pp1p1ppp/1n2p3/4P3/3P4/3B4/PP3PPP/RNBQK1NR b KQkq -,h7h6 b1c3 b8c6 g1f3 d7d6 d1e2 c8d7 e1h1 c6b4 d3b1,112
rnbq1rk1/pp2ppbp/2p2np1/2Pp4/3P4/P1N1PN2/1P3PPP/R1BQKB1R b KQ -,b8d7 f1e2 a7a5 e1h1 d8c7 d1b3 e7e5 c3a4 a8b8 b3c3,-78
r1bqkb1r/pppp1ppp/2n5/4p3/3Pn3/2PQ1N2/PP3PPP/RNB1KB1R b KQkq -,e4f2 e1f2 f7f6 c3c4 e5d4 d3e4 d8e7 b1d2 b7b6 e4e7,203
r2qkbnr/ppp2ppp/2n1p3/1B3b2/3P4/4PN2/PP3PPP/RNBQK2R b KQkq -,g8f6 b5c6 b7c6 d1a4 f5e4 b1d2 e4f3 d2f3 d8d5 e1h1,132
rnbqk2r/ppppbpp1/4pn1p/8/2PP3B/4P3/PP3PPP/RN1QKBNR b KQkq -,a7a6 b1c3 d7d5 c4d5 f6d5 h4e7 d8e7 c3d5 e6d5 f1d3,40
8/8/8/3B1k2/3KQ3/8/8/8 b - -,a7a6 b1c3 d7d5 c4d5 f6d5 h4e7 d8e7 c3d5 e6d5 f1d3,Mate
8/8/5k2/3BQ3/3K4/8/8/8 b - -,a7a6 b1c3 d7d5 c4d5 f6d5 h4e7 d8e7 c3d5 e6d5 f1d3,Mate
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2BPP3/2N2N2/PPP2PPP/R1BQ1RK1 b - -,c6d4 f3d4 c5d4 c3e2 d4c5 e2g3 c7c6 h2h3 a7a5 a2a4,-249
r1bqkb1r/ppp2ppp/2p5/4P3/2B3n1/8/PPPP1PPP/RNBQK2R b KQkq -,f8c5 d1f3 g4e5 f3e4 e8h8 e1h1 f8e8 h2h3 c8h3 g2h3,-323
r1bqkb1r/pppp1ppp/5n2/n3p3/2P5/1PN3P1/P2PPPBP/R1BQK1NR b KQkq -,a5c6 g1f3 f8b4 c1b2 e8h8 c3d5 d7d6 a2a3 b4a5 d5f6,79
r1bqk2r/ppp2ppp/2p5/2b1P3/2B3n1/8/PPPP1PPP/RNBQ1RK1 b kq -,d8h4 d1g4 c8g4 b1c3 c5d4 c3e2 d4e5 e2g3 e8a8 d2d3,-776
rnb1kb1r/ppp1pppp/5n2/8/3Pq3/4BN2/PPP2PPP/RN1QKB1R b KQkq -,f6g4 d1d2 g4e3 f2e3 e7e6 b1c3 e4f5 f1d3 f5a5 e1h1,147
8/4k3/6Q1/2K5/8/8/8/8 b - -,f6g4 d1d2 g4e3 f2e3 e7e6 b1c3 e4f5 f1d3 f5a5 e1h1,Mate
rnb1kbnr/ppp1qppp/4p3/3pP3/3P1P2/6P1/PPP4P/RNBQKBNR b KQkq -,c8d7 c2c3 c7c5 g1f3 g8h6 f1h3 e7d8 e1h1 d8b6 f1f2,95
r1bqk1nr/pp2ppbp/2np2p1/2p4P/2B1P3/2NP4/PPP2PP1/R1BQK1NR b KQkq -,a8b8 a2a4 a7a6 h5h6 g7c3 b2c3 g8f6 c1g5 e8h8 c4a2,90
r1bqkbnr/1pppn1pp/p4p2/3Pp3/4P3/2N1BN2/PPP2PPP/R2QKB1R b KQkq -,a8b8 d5d6 c7d6 d1d6 e7c6 d6d3 d7d6 e1a1 b7b5 f1e2,187
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2PP4/P4N2/1P2PPPP/RNBQKB1R b KQkq -,f8d6 d4c5 d6c5 b2b4 c5e7 c1b2 g8f6 g2g3 e8h8 f1g2,110
8/8/4k3/8/3K4/5BB1/8/8 b - -,f8d6 d4c5 d6c5 b2b4 c5e7 c1b2 g8f6 g2g3 e8h8 f1g2,Mate
