r3k2r/5ppp/p3pn2/n1P5/Pp2B3/4PN1P/1P3PP1/R1BR2K1 b kq -,a8a7 e4c2 a7d7 d1d7 f6d7 c1d2 e8h8 a1d1 b4b3 c2d3,890
2kr3r/p1N1R2p/1p5n/5pp1/2B5/1P1p4/P2B1PPP/n5K1 b - -,a1b3 a2b3 h6g8 e7f7 g8f6 c7b5 f6d7 d2g5 a7a6 b5a7,510
r3k2r/5ppp/p1P1p3/n7/Pp2n3/4PN1P/1P3PP1/R1BR2K1 b kq -,a5c6 c1d2 e4d2 d1d2 c6a5 a1d1 e8h8 f3e5 f8c8 d2d4,95
8/pkP3P1/4b3/2K1B3/8/8/8/8 b - -,a5c6 c1d2 e4d2 d1d2 c6a5 a1d1 e8h8 f3e5 f8c8 d2d4,Mate
rnb2rk1/pp3pbp/5np1/2p1N3/N1PPP3/4B3/PP4PP/R3KB1R b KQ -,c5d4 e3d4 f6e4 f1d3 c8f5 d3e4 f5e4 e1f2 b8d7 h1e1,-93
r3k2r/5ppp/p1n1p3/8/Pp2n3/4PN1P/1P1B1PP1/R2R2K1 b kq -,e8h8 a1c1 f8c8 c1c4 e4d6 c4c2 a6a5 d2b4 c6b4 c2c8,153
r1b2rk1/pp4bp/1qnp4/1N2pp2/2P3n1/5N2/PP2BPPP/R1BQ1RK1 b - -,f8f6 f3g5 h7h6 d1d5 g8h8 g5f7 h8h7 e2g4 c6e7 d5d3,178
8/pkP3P1/3K4/4B3/8/1b6/8/8 b - -,f8f6 f3g5 h7h6 d1d5 g8h8 g5f7 h8h7 e2g4 c6e7 d5d3,Mate
r3k2r/1ppqbppp/p1p2n2/4p3/4P3/2NP2QP/PPP2PP1/R1B2RK1 b kq -,e7d6 g3g7 h8g8 g7f6 d7h3 c1g5 h3g4 f2f4 e5f4 f1f4,108
r1bqkb1r/pppp1pp1/2n2B1p/8/2P5/3Q4/PP2PPPP/RN2KBNR b KQkq -,d8f6 b1c3 f8b4 e2e3 b4c3 d3c3 f6c3 b2c3 d7d6 g1f3,-82
2k5/p1P3P1/3K4/8/8/1bB5/8/8 b - -,d8f6 b1c3 f8b4 e2e3 b4c3 d3c3 f6c3 b2c3 d7d6 g1f3,Mate
8/3p4/2pPk1K1/2P3p1/p5P1/1PB5/1P3PP1/3R4 b - -,d8f6 b1c3 f8b4 e2e3 b4c3 d3c3 f6c3 b2c3 d7d6 g1f3,Mate
r2qkb1r/ppp1pppp/2n5/5b2/2BPN3/8/PPP3PP/R1BQK1NR b KQkq -,f5e4 g1f3 e4d5 c4b3 d5b3 a2b3 e7e6 e1h1 f8e7 c2c3,-92
r2q1rk1/1p1bbppp/p3pn2/2n1N1B1/2B5/4P3/PPQ2PPP/RN1R2K1 b - -,d8e8 b1c3 a8c8 a1c1 b7b5 b2b4 h7h6 g5h4 b5c4 b4c5,24
6k1/1p2pp1p/3p2p1/3P4/b3P3/p1PBKP2/P5PP/8 b - -,a4b3 d3b1 b3c4 e3d4 b7b5 e4e5 g8g7 h2h4 f7f5 e5f6,-100
rnbqkbnr/ppp1p1pp/8/3p1pB1/3PP3/8/PPP2PPP/RN1QKBNR b KQkq -,d5e4 b1c3 g8f6 d1d2 h7h6 g5f6 e7f6 e1a1 f8b4 g1e2,-12
r1bq1rk1/1p1nbppp/p3pn2/2P3B1/2B5/4PN2/PPQ2PPP/RN3RK1 b - -,d8a5 c5c6 d7e5 f3e5 a5e5 g5f6 e7f6 b1c3 b7c6 c3a4,34
6k1/1p1bpp1p/3p2p1/3P4/4P3/p1P1KP2/P3B1PP/8 b - -,g8g7 e3d4 g7f6 g2g3 g6g5 f3f4 g5f4 g3f4 b7b6 c3c4,34
rn1qkb1r/pp2pppp/2p5/3pPb2/8/2PB1N2/P1PPQPPP/R1B1K2R b KQkq -,f5d3 c2d3 e7e6 d3d4 f8e7 h2h4 b7b6 h1h3 c6c5 h3g3,14
r2q1rk1/1p1nbp1p/p2p1np1/3Pp3/2P5/3BB1N1/PP3PPP/R2Q1RK1 b - -,d7c5 d3c2 h7h5 h2h3 a8c8 b2b4 c5d7 c4c5 h5h4 g3f5,31
r1bqkb1r/ppp3pp/2n1p3/3pP3/3p4/3B4/PPP1QPPP/RNB2RK1 b kq -,c6b4 e2h5 e8d7 h5d1 b4d3 c2d3 d7e8 d1h5 g7g6 h5g4,-16
8/8/2pp4/3P4/1K6/8/6k1/8 b - -,d8e7 a2a3 c6d8 b2b4 a7a5 b4b5 c7c5 b5c6 b7c6 c2c4,Mate
r1bq1rk1/1p2bppp/p3pn2/2n3B1/2B5/4PN2/PPQ2PPP/RN1R2K1 b - -,d8c7 c4f1 c8d7 b1d2 a8c8 a1c1 c7d8 d2c4 f6d5 g5e7,33
2kr3r/1ppqbpQp/p1p2n2/4p3/4P3/2NP3P/PPP2PP1/R1B2RK1 b - -,h8g8 g7h6 g8g6 h6e3 d8g8 e3f3 g6g2 f3g2 d7h3 c1g5,-237
3Br2k/1p1b1pb1/2pp2p1/pq6/1P2P3/P4PQ1/2P3PP/3RR2K b - -,h8g8 g3d6 e8d8 d6e7 b5b6 d1d7 d8d7 e7e8 g8h7 e8d7,445
r2qkb1r/pp1nnpp1/4p2p/2PpPb2/2P5/5N2/PP1NBPPP/R1BQ1RK1 b kq -,a7a6 b2b4 a6a5 b4a5 d7c5 d2b3 e7c6 c4d5 d8d5 d1d5,143
rnbqkbnr/ppp1p2p/3p2p1/4Pp2/3P1P2/8/PPP3PP/RNBQKBNR b KQkq -,d6e5 f4e5 e7e6 b1c3 g8e7 g1f3 a7a6 c1g5 f8g7 d1d2,122
8/1prbkpp1/pr3n1p/N1P1p3/4P1P1/P4P2/2R1B2P/2R4K b - -,b6c6 a5c6 d7c6 h1g2 c7d7 h2h4 d7d4 e2c4 f6e4 f3e4,202
br5r/4kp2/B3p3/N2nn1p1/NB5p/4PP1P/1P4P1/R1R3K1 b - -,e7e8 b4d6 b8d8 d6e5 f7f6 e5d4 e8f7 a6f1 d5b4 a4c5,688
rn2kbnr/pp2pppp/8/3pP3/1q4b1/2N2N2/P2P1PPP/R1BQKB1R b KQkq -,b4a5 d1b3 b8d7 f1b5 a5d8 c3d5 a8c8 d2d4 e7e6 d5e3,119
rnb1kb1r/pppp1pp1/4pq1p/8/3P3P/2N5/PPP1PPP1/R2QKBNR b KQkq -,f8b4 e2e3 b4c3 b2c3 f6e7 d1f3 d7d5 f3g3 e8h8 g1f3,-23
2R5/1r3ppk/4B2p/1P2p2P/p2bP1P1/Q4P2/KPq5/8 b - -,c2d2 e6f5 g7g6 h5g6 f7g6 f5e6 d2b2 a3b2 d4b2 a2b2,432
6k1/1p2pp1p/3p2p1/3P4/4P3/pbP1KP2/P5PP/1B6 b - -,b3c4 e3f4 g8g7 g2g3 g7f6 h2h4 e7e5 d5e6 f7e6 f4e3,-97
1k2R3/6rp/6p1/5b2/8/6P1/KB6/8 b - -,b8c7 b2g7 c7d6 e8e5 f5e6 a2b2 d6e7 b2c3 e7f7 g7h6,489
6k1/8/8/5BB1/8/8/3K4/8 b - -,b8c7 b2g7 c7d6 e8e5 f5e6 a2b2 d6e7 b2c3 e7f7 g7h6,Mate
r2qkb1r/pp2npp1/4p2p/2npPb2/2PN4/8/PP1NBPPP/R1BQ1RK1 b kq -,f5d3 b2b4 d3e2 d1e2 c5a6 a2a3 a6c7 c4c5 e7g6 f2f4,160
rnbqkbnr/5ppp/pp1pp3/8/2PNP3/8/PP2BPPP/RNBQ1RK1 b kq -,f8e7 c1e3 g8f6 b1c3 c8b7 f2f3 e8h8 a1c1 b8d7 b2b4,53
