4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
r6r/pp1nbkpp/2p2p2/8/5B2/2N2N2/PPR2PPP/R5K1 b - -,h8e8 f4e3 d7b6 a1d1 e7f8 g1f1 b6c4 d1d7 f7g8 c3d1,387
5k2/1R1b1p1p/r1pr2p1/p1Rp2P1/P2N3P/4P1K1/5P2/8 b - -,d7e8 g3f4 d6d7 b7b8 d7e7 d4c6 e7e4 f4f3 e4c4 c6e5,62
r1b1qrk1/pppn1pbp/4p1p1/4P3/2B2Bn1/2N2N1P/PPP1QPP1/2KR3R b - -,g4e5 f3e5 d7b6 h1e1 c7c6 e5f3 b6c4 e2c4 b7b5 c4c5,448
5k2/2q2ppp/2P1pnn1/R4b2/3P4/4P3/3NBPPP/2R3K1 b - -,c7a5 d2b3 a5c7 b3c5 c7c6 f2f3 c6a8 e3e4 g6f4 e2f1,-434
8/8/2n1Q3/1k2b1P1/2P5/8/6KP/8 b - -,b5b6 g5g6 e5c3 e6d7 c6e5 d7d6 e5c6 c4c5 b6b5 d6d7,1452
rn1qr1k1/pp3ppB/2pbbp2/8/3P3p/2P4P/PPQ1NPP1/R1B2RK1 b - -,g8f8 c1e3 d6c7 e2f4 b8d7 f4e6 e8e6 h7f5 e6e8 f5d7,92
Q7/pp2kpp1/1q6/2p2b2/1p1pN3/5P2/PP5P/4R1K1 b - -,f5e6 e4g5 b6d8 e1e6 f7e6 a8d8 e7d8 g5e6 d8e7 e6c5,505
r4rk1/ppnbb1p1/4p2p/q1ppPpNQ/5B1P/2PBP3/PP3PP1/2KR3R b - -,a5a2 d3b1 a2a1 g5h3 a7a5 f4h6 d7e8 h5e2 a5a4 e2c2,-321
4bk2/1R3p1p/r1pr2p1/p1Rp4/P2N2PP/4P1K1/5P2/8 b - -,d6d7 b7b8 d7c7 f2f4 c7e7 g3f3 e7e4 d4c6 e4c4 c6e5,39
4r1k1/p2b3p/1p1RP1p1/n4p2/8/2R1PN2/P4PPP/6K1 b - -,d7e6 c3c7 a5c4 d6e6 e8e6 c7c4 e6d6 f3d4 f5f4 c4c8,516
r1bq1rk1/pp2bppp/1n1p1n2/2pPp3/2B1P3/2N2N2/PPP2PPP/R1B1QRK1 b - -,b6c4 e1e2 c4b6 a2a4 a7a5 b2b3 f6e8 f3d2 f7f5 e4f5,-415
r1b1r1k1/1pqnbpp1/p1p2n1p/2Ppp3/3P3B/2N1PN1P/PPQ1BPP1/R4RK1 b - -,c7d8 d4e5 f6h7 h4g3 e7c5 a1d1 h7g5 f3d4 d7e5 f2f4,95
7Q/p3kBn1/1p2b3/3p4/3P2p1/2P5/PP5P/6K1 b - -,e7f7 h8b8 b6b5 b8a7 f7f6 a7b8 g7f5 b8b5 g4g3 h2g3,716
r1b2rk1/1n4pp/p3p3/1P1pN1q1/1P1Q4/2P2P2/4B1PP/RN3RK1 b - -,b7d6 f3f4 g5d8 b1d2 d6f5 d4f2 d5d4 d2f3 d4c3 b5a6,613
rn2kb1r/pp3ppn/1qp1p3/3pP2p/3P1Pb1/P1NB1N1P/1PP3P1/R1BQK2R b KQkq -,g4f3 d1f3 b8d7 c3e2 g7g6 b2b3 c6c5 e1h1 c5d4 b3b4,148
r1r5/8/1P6/8/Bk6/1R6/1p6/1K6 b - -,b4c5 b6b7 c5d4 b3b4 d4e5 b4b5 e5d6 b5b3 d6e7 b3e3,-6
rn1qkb1r/pp3ppp/5n2/1B1p4/6b1/2N3Q1/PP1P1PPP/R1B1K1NR b KQkq -,b8c6 d2d4 f8d6 c1f4 d6f4 g3f4 e8h8 f2f3 g4d7 g1e2,-19
5k2/2P2ppp/4pnn1/q4b2/3P4/4P3/3NBPPP/2R3K1 b - -,g6e7 d2f1 g7g5 g2g4 f5e4 c7c8q e7c8 c1c8 f8g7 c8c1,-444
Q7/pp2kpp1/1q6/2p5/1p1pR3/5P2/PP5P/6K1 b - -,e7f6 a8b8 g7g5 b8h8 f6f5 e4e7 b6e6 e7e6 f5e6 h8c8,769
2b1k3/4bp2/2r2n2/p3P1Nr/3B3P/8/PPPR4/2K4R b - -,f6g4 h1f1 c8e6 g5e6 c6e6 d4c3 h5h4 d2e2 a5a4 a2a3,-211
rnbq1rk1/ppppp1bp/5ppn/4P3/3P1P2/3B3P/PPP3P1/RNBQK1NR b KQ -,f6e5 d4e5 b8c6 g1f3 d7d6 d3c4 e7e6 b1c3 d8e7 e5d6,-44
8/8/6B1/7p/K7/8/1kP3P1/8 b - -,c7c5 e5f6 g7f6 d4c5 b8a6 g1f3 a6c5 b1c3 b7b6 c3e4,Mate
r6N/pp1k2pp/4p3/3p4/8/8/PP3PPP/2R3K1 b - -,a8h8 f2f3 h8c8 c1c8 d7c8 h2h4 c8d7 g1f2 e6e5 f2e2,-346
r5nr/pppk1Bpp/1bnq4/4p1B1/4P3/NQP2N2/P4PPP/R5K1 b - -,d7c8 f7g8 d6f8 g8e6 c8b8 a3c4 f8c5 g5e3 c5e7 e6d5,510
6k1/5np1/p1r1pp2/P7/3n1P1p/8/3B1NPP/1R4K1 b - -,c6c2 d2e3 d4e2 g1f1 f7d6 b1b6 d6f5 f2g4 g8f7 b6a6,-173
r1bqkbnr/ppp2ppp/3p4/8/3QP3/2N5/PPP2PPP/R1B1KB1R b - -,g8f6 c1f4 c8e6 a1d1 a7a6 f1e2 f8e7 h2h3 d8d7 e2f3,96
rn1q1r2/pp1k2p1/2pbNn2/7P/3P2P1/3Q4/PPP3B1/4RRK1 b - -,a7a5 e6d8 d7d8 e1e6 b8d7 e6d6 f8e8 g4g5 f6h5 f1f7,690
r6r/pp2bkpp/2p2p2/2n5/5B2/2N2N2/PPR2PPP/4R1K1 b - -,h8e8 f4e3 e8d8 g1f1 c5e6 c2c1 a7a5 a2a3 d8d3 e3b6,389
5Q2/pp3pp1/1q1k4/2p5/1p1pR3/5P2/PP5P/6K1 b - -,d6c6 f8e8 c6d6 e8f7 d6c6 e4e6 c6b5 e6b6 b5b6 f7g7,852
r1bqk2r/1ppp1ppp/p1n2n2/2b5/4P3/1BNP1N2/PPP3PP/R1BQK2R b KQkq -,d7d6 c1g5 h7h6 g5f6 d8f6 c3d5 f6d8 d3d4 c5a7 c2c3,77
r4rk1/pp3ppp/2n5/4p3/3PP3/1q3N1P/1P1Q1PP1/R4RK1 b - -,f7f5 f3e5 f5e4 e5c6 b7c6 a1a3 b3d5 a3a5 d5b3 f1c1,75
8/1R1b1pkp/r1pr2p1/p1Rp2P1/P2N1K1P/4P3/5P2/8 b - -,d7h3 b7c7 d6d7 c5c6 a6c6 c7c6 d7e7 f2f3 h3d7 c6a6,149
3r4/1p3qk1/p3R1p1/2prQ2p/P1Pn4/1P1P2P1/5P1P/4R1K1 b - -,d5e5 e6e5 d4f3 g1g2 d8f8 e1e4 f3e5 f2f4 e5c6 h2h4,-847
rn1q2rk/4bp1p/p3p2B/1p1BP3/3P4/5N2/P4PP1/R2QR1K1 b - -,a8a7 d5e4 b8d7 a1c1 e7b4 e1e3 f7f5 e5f6 d7f6 f3e5,467
r1bq1rk1/pp2bppp/1n1p1n2/3Pp3/2p1P3/2N2N2/PPP1BPPP/R1BQ1RK1 b - -,d8e8 f3d2 c8d7 d2c4 b6c4 e2c4 b7b5 c4d3 e7d8 a2a3,136
r1bqr1k1/1p3p1p/p2pn1pB/8/2P1P3/1PN1Q2P/P3BPP1/3R2K1 b - -,c8d7 d1d6 d8e7 d6d7 e7d7 c3d5 d7d6 e3c3 a8d8 d5f6,325
r1r5/1P6/8/2k5/B7/1R6/1p6/1K6 b - -,c5d4 b3b4 d4c5 b4b3 c5d6 b3b6 d6e5 b6b5 e5f6 b5b6,-2
3n4/1p5k/2pN2pp/4p3/P1p1P2P/6P1/1P3K2/8 b - -,b7b6 d6c4 b6b5 a4b5 c6b5 c4e5 d8e6 f2e3 g6g5 h4h5,419
2b1k3/4bp2/2r1P3/p2n2Nr/3B3P/8/PPPR4/2K4R b - -,e7g5 e6f7 e8f8 h1f1 g5d2 c1d2 h5f5 f1g1 d5e7 g1e1,-514
r1bqk2r/pp1pBppp/8/2pnP3/8/2Q5/PPP2PPP/RN2KB1R b KQkq -,d8e7 c3g3 d7d6 f1b5 e8f8 b1a3 e7e5 g3e5 d6e5 e1a1,24
r1bqk2r/pp1n1ppp/2p1pn2/8/P1BP4/2P1PN2/5PPP/R1BQ1RK1 b kq -,h7h6 f1e1 b7b6 e3e4 e8h8 a4a5 f8e8 c4f1 b6b5 c1f4,168
8/pp3Qp1/1q6/2pk4/1p1pR3/5P2/PP5P/6K1 b - -,d5c6 e4e6 c6b5 e6b6 b5b6 f7g7 a7a5 g1f2 b6c6 g7f6,887
5b1r/pk3p2/4pP2/1q1r4/Npp2P2/3nBQP1/1PR4P/R5K1 b - -,f8d6 f3e4 h8c8 e4h7 b5e8 a4c3 b4c3 a1a7 b7b8 b2c3,-143
1r3rn1/2q1n1bk/b3pNpp/2p1P3/p1P2B1N/P5P1/2Q2PB1/R3R1K1 b - -,g8f6 e5f6 c7f4 g3f4 f8f6 c2a4 f6f4 a4a6 f4h4 a1b1,522
r4rk1/pp3ppp/1qn5/4p3/3pP3/1PP2N1P/1P1Q1PP1/R4RK1 b - -,f8d8 d2c2 a8c8 f1d1 h7h6 d1d2 a7a5 a1c1 g8h7 c2d1,-42
rn4rk/4bp1p/p3p2B/1p1qP3/3P4/1Q3N2/P4PP1/R3R1K1 b - -,g8g6 h6d2 d5b3 a2b3 b8c6 e1c1 c6b4 d2b4 e7b4 c1c7,85
rnbqk2r/ppppppbp/6p1/4P3/3Pn3/8/PPP2PPP/RNBQKBNR b KQkq -,d7d6 f2f3 e4f2 e1f2 d6e5 d4d5 c7c6 b1c3 d8b6 c1e3,181
5k2/2P1nppp/4pn2/q4b2/3P4/1N2P3/4BPPP/2R3K1 b - -,a5a2 e2c4 f6e8 g2g4 f5g4 b3c5 a2b2 c5d3 b2b7 d3c5,-514
3r4/1p3qk1/p3R1Q1/2pr3p/P1Pn4/1P1P2P1/5P1P/4R1K1 b - -,f7g6 e6g6 g7g6 c4d5 d4f3 g1f1 f3e1 f1e1 b7b5 a4b5,-521
8/pp3Qp1/1q1kR3/2p5/1p1p4/5P2/PP5P/6K1 b - -,f7g6 e6g6 g7g6 c4d5 d4f3 g1f1 f3e1 f1e1 b7b5 a4b5,Mate
rnbqkb1r/1p2pppp/p2p4/2n5/2B5/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,b8d7 b2b4 c5e6 c1b2 g7g6 c3e4 d7f6 e4f6 e7f6 f1e1,64
rnb1k2r/1p4pp/1qn1pb2/3p4/pR1P4/P2BBN2/2QN1PPP/R5K1 b kq -,c6b4 c2c8 f6d8 a1b1 b6c6 d3b5 c6b5 c8e6 d8e7 f3e5,177
rn2kb1r/pp3ppn/1qp1p3/3pP2p/3P1P2/P1NB1Q1P/1PP3P1/R1B1K2R b KQkq -,g7g6 c3e2 b8d7 b2b3 c6c5 e1h1 c5d4 b3b4 d7b8 c1b2,162
1R2bk2/3r1p1p/r1p3p1/p1Rp4/P2N2PP/4P1K1/5P2/8 b - -,d7c7 c5c1 f8e7 d4b3 c6c5 c1c5 c7c5 b3c5 a6a7 b8c8,27
8/4Rp2/3Bp1k1/3p4/6P1/p1r4P/2n2K2/8 b - -,d7c7 c5c1 f8e7 d4b3 c6c5 c1c5 c7c5 b3c5 a6a7 b8c8,Mate
r2qkb1r/ppp2ppp/1n2pn2/3p4/3PP1bN/3Q2P1/PPPN1PBP/R1B1K2R b KQkq -,c7c5 h2h3 g4h5 g3g4 h5g6 h4g6 h7g6 e4e5 f6d7 c2c3,54
rn4rk/4bp1p/p3p2B/1p2P3/3P4/1P3N2/5PP1/R3R1K1 b - -,a6a5 e1c1 b8d7 c1c7 g8d8 c7b7 a5a4 h6g5 e7g5 f3g5,77
8/8/8/2Pk4/2R2K2/2P1r3/8/8 b - -,,0
4r1k1/p6p/1p1Rb1p1/n4pN1/8/2R1P3/P4PPP/6K1 b - -,e6c4 d6d7 h7h6 g5f3 a7a6 h2h4 g6g5 f3d4 f5f4 e3f4,426
3n4/1N6/2p2kpp/P3p3/2p1P2P/6P1/1P3K2/8 b - -,f6e7 a5a6 d8e6 a6a7 e6c7 f2f3 c4c3 b2c3 h6h5 b7a5,568
r1bq1rk1/1pn1ppbp/p2p1np1/2pP4/P1P1P3/2NB1N1P/1P3PP1/R1BQ1RK1 b - -,e7e5 a4a5 a8b8 c3a4 f6d7 d1c2 b7b5 a5b6 d7b6 a4b6,127
1r3r2/2q1n1bk/b3pPpp/2p5/p1P2B1N/P5P1/2Q2PB1/R3R1K1 b - -,c7f4 g3f4 f8f6 c2a4 f6f4 a4a6 f4h4 a1b1 b8b1 e1b1,557
rq3k1r/4b1p1/3Np2p/n3P3/2n3P1/PP5R/2P4P/1KBR1Q2 b - -,e7f6 e5f6 b8c7 g4g5 g7g6 d6c4 a5c4 h3c3 h8h7 c3c4,Mate
8/1p6/8/2k5/P7/1PK5/8/8 b - -,b7b6 b3b4 c5c6 c3c4 b6b5 a4b5 c6b6 c4d4 b6b5 d4c3,Mate
r2q1rk1/4ppbp/p2pbnp1/1p6/4P1PP/2N1BP2/PPPQ4/2KR1B1R b - -,b5b4 c3d5 e6d5 e4d5 h7h5 c1b1 a6a5 f1b5 d8c8 b5c6,76
5k2/4qp1p/1pb3p1/2p5/p3pN2/P1P1P1P1/1P1Q1PP1/6K1 b - -,,0
rnbqk2r/ppp1p1b1/3p1n1p/5pp1/3P4/2N2PB1/PPP1P1PP/R2QKBNR b KQkq -,c7c5 d4c5 d8a5 d1d2 d6c5 e2e4 f5f4 g3f2 c8e6 c3b5,-35
r4rk1/ppnbb1p1/4p2p/q1ppPpNQ/5BPP/2PBP3/PP3P2/R3K2R b KQ -,d7e8 h5e8 a8e8 g4f5 e6f5 d3c2 c5c4 a2a3 h6g5 h4g5,-507
3Q4/7k/p7/P2Pp2P/4nr2/1P4r1/4B2K/8 b - -,f4f2 h2h1 f2e2 d8c8 g3g2 c8f5 h7h6 f5e4 g2h2 h1g1,-880
r5k1/5ppp/4p3/1p1pPP2/1q1P4/1P1R2P1/p1r4P/K2Q1R2 b - -,g3b3 d8d7 h7h6 d7e6 f4f6 e6g4 b3e3 h2g2 e3g3 g4g3,Mate
1R2bk2/2r2p1p/r1p3p1/p2p4/P2N2PP/4P1K1/5P2/2R5 b - -,f8e7 d4b3 c6c5 c1c5 c7c5 b3c5 a6a7 b8c8 e8d7 c5d7,15
4k2r/1b1r1pBp/p2bp3/q7/2B2n1Q/1P3N1P/P4PP1/R4RK1 b - -,b7f3 f1c1 f4g6 h4f6 h8g8 c1e1 f3d5 g2g3 d5c4 b3c4,-335
r3r3/3R1p1k/1p3bp1/7p/PBq5/5P1P/6P1/1R1Q3K b - -,h7g7 d7d2 g7h7 d2d7 h7g8 d7d2 f6g7 b4d6 a8a4 b1b6,-32
7r/pk3p2/3bpP2/1q1r4/Npp1QP2/3nB1P1/1PR4P/R5K1 b - -,h8c8 c2d2 e6e5 f4f5 b5c6 g1g2 d5a5 g2f3 b4b3 h2h4,-164
5rk1/4bppp/8/qp1r1b2/4nB2/P6P/1PQNPPP1/R3KB1R b KQ -,f8c8 c2d3 d5d3 e2d3 e4c5 d3d4 c5d3 f1d3 f5d3 a1d1,-580
8/2k5/2n1Q1P1/4b2P/2P5/8/6K1/8 b - -,e5f4 g6g7 c6d4 e6e7 c7b6 g7g8q d4b5 g8g6 b5d6 g6d6,20000
1rbq1rk1/pp2npbp/2npp1p1/2p5/P3P3/2PP1NP1/1P1N1PBP/R1BQR1K1 b - -,e6e5 d2c4 h7h6 f3d2 c8e6 c4e3 f7f5 d2c4 f5f4 e3d5,-23
1R2b3/2r1kp1p/r1p3p1/p2p4/P5PP/1N2P1K1/5P2/2R5 b - -,c6c5 c1c5 c7c5 b3c5 a6a7 g3f4 a7c7 b8b7 c7b7 c5b7,10
r3qrk1/pp2bppp/3p1n2/P2Pp3/b1B1P3/5N2/1PP2PPP/R1BQ1RK1 b - -,a4b5 c4d3 a8c8 c1e3 f6e4 d3e4 b5f1 d1f1 f7f5 e4d3,205
r1b1qrk1/ppp2pbp/4p1pn/2n1P3/5BP1/2NB1N1P/PPP1QP2/2KR3R b - -,f7f5 e5f6 f8f6 f4e5 h6f7 e5f6 g7f6 c3d5 f6g7 d5c7,319
r1b1kb1r/1p3pp1/p2ppn1p/5N2/4N2q/8/PPPQ1PPP/2K1RB1R b kq -,h4h5 e4d6 e8d7 f1e2 h5g6 d6f7 d7e8 f5d6 f8d6 f7d6,499
r1bqkbnr/pp3ppp/2pp4/8/2BQP3/2N5/PPP2PPP/R1B1K2R b - -,c8e6 c1e3 d8f6 c4d3 f6d4 e3d4 g8f6 a2a4 h7h5 f2f4,43
r1b1kb1r/pp2qppp/2nppn2/2p5/4P3/2NPB1P1/PPP1NPBP/R2QK2R b KQkq -,e7c7 d3d4 c5d4 e2d4 a7a6 d4c6 b7c6 e1h1 c8b7 d1e2,29
8/4PK2/5np1/8/8/5k2/8/8 b - -,f6d5 e7e8q d5e3 e8c6 f3f4 c6g6 f4e5 g6f6 e5d5 f6e6,20000
8/5R2/5n2/5k1p/4p2K/6P1/5P2/8 b - -,f5g6 f7f6 g6f6 h4h5 f6f5 h5h4 f5f6 h4g4 f6e5 g4g5,Mate
4r1k1/p1R4p/1p1R2p1/n4pN1/8/4P3/b4PPP/6K1 b - -,a5c6 d6c6 e8f8 c7h7 a2f7 h7f7 f8f7 g5f7 g8f7 c6c7,657
2r2rk1/4Qp1p/p5pb/6N1/P2PP1q1/2P5/3B1PPP/5RK1 b - -,g4e2 d2e3 c8c3 h2h4 c3e3 f2e3 e2e3 g1h2 h6g5 e7g5,-3
r2qk2r/ppp1bppp/1n2pn2/3p3b/3PP2N/3Q2PP/PPPN1PB1/R1B2RK1 b kq -,c7c6 e4e5 f6d7 g3g4 h5g4 h3g4 e7h4 f2f4 h4e7 a2a4,56
1rbqr1kb/1p1npp1p/p2p2pB/2pP2Nn/P1P1P3/2N5/1P2BPPP/R1Q1R1K1 b - -,h8g7 h6g7 h5g7 f2f4 b7b6 h2h3 e7e6 d5e6 g7e6 g5e6,137
r1b1k2r/ppppqppp/4pn2/3Pn3/1bP5/1Q4P1/PP1BPPBP/RN2K1NR b KQkq -,a7a5 g1f3 e5f3 b3f3 b4d2 b1d2 e8h8 e1h1 d7d6 f3c3,5
8/8/2N5/8/4k1p1/6Pp/7P/6K1 b - -,a7a5 g1f3 e5f3 b3f3 b4d2 b1d2 e8h8 e1h1 d7d6 f3c3,Mate
r1b1kb1r/1p3pp1/p2pp2p/8/4n2N/8/PPPQ1PPP/2K1RB1R b kq -,f7f5 d2e2 f8e7 h4g6 h8f8 g6e7 e8e7 f2f3 e4c5 c1b1,584
1qr1rbk1/1b3ppp/1PN1pn2/1p6/3P4/P5P1/1B2QPBP/2RR2K1 b - -,b7c6 c1c6 c8c6 g2c6 b8b6 c6e8 f6e8 d4d5 e8c7 d5e6,334
2r2rk1/p2q1pp1/1pn2n1p/3p1b2/3Pp3/PN2P3/1P1QBPPP/2R1RNK1 b - -,d7d6 c1c2 f5d7 b3c1 c6a5 c2c8 f8c8 c1a2 c8c7 d2b4,-18
8/p6R/1p6/2p5/1PPb2k1/8/P5KP/5r2 b - -,c6e7 c1c8 e7c8 b3c1 h6h5 c1a2 c8d6 e1c1 h5h4 h2h3,Mate
r3r3/5pk1/1p3bp1/7p/PBq5/5P1P/3R2P1/1R1Q3K b - -,g7h7 d2d7 h7g8 d7d2 f6g7 b4d6 a8a4 b1b6 a4a1 b6b1,-25
r4rk1/ppnbb1p1/4p2p/q1ppPpNQ/5B1P/2PBP3/PP2KPP1/R6R b - -,d7e8 h5f3 h6g5 h4g5 e8g6 g2g4 c5c4 d3c2 g8f7 e2f1,-272
r1b1kb1r/1p3pp1/p2pp2p/8/7N/8/PPPK1PPP/4RB1R b kq -,f8e7 g2g3 a8b8 f1d3 b7b5 f2f4 c8b7 h1g1 e7f6 d2c1,-269
2rq1rk1/p2nn1pp/1p2pp2/8/1Q2P3/5NP1/PB3PBP/2R2RK1 b - -,e7g6 c1c8 d8c8 f1c1 c8e8 b2a3 e8f7 b4b3 f8d8 c1d1,467
6k1/6p1/p3Rp2/Pn6/1n3P1p/8/5KPP/8 b - -,b5c7 e6d6 c7d5 f4f5 g8f8 f2f3 h4h3 g2g4 f8e7 d6e6,-10
3r1rk1/pb2bppp/1pq1N3/4n3/4B2P/2B5/PP2QPP1/3R1RK1 b - -,c6e4 e2e4 b7e4 e6d8 e5d3 f2f3 d3c5 f3e4 e7d8 c3b4,254
r1bqnrk1/1p3pbp/p1np2p1/4p3/2P1P3/1PN1QN1P/P3BPP1/R1BR2K1 b - -,c8e6 c1b2 f7f5 c4c5 d8e7 c5d6 e8d6 b2a3 a8d8 c3d5,121
r1bq1rk1/1ppp1ppp/p1n2n2/2b5/3PP3/1BN2N2/PPP3PP/R1BQK2R b KQ -,c5e7 e4e5 f6e8 c3d5 d7d6 c2c3 d6e5 d4e5 c8e6 d1d3,113
r3qrk1/pp2bppp/3p1n2/P2Pp3/b7/5N2/1PP2PPP/R1BQRBK1 b - -,a8d8 b2b3 a4d7 c2c4 d8c8 h2h3 d7f5 b3b4 a7a6 c4c5,108
4k3/4b1B1/4b3/p1r1Np1r/5n1P/2P5/PP1R4/2K4R b - -,h5h7 h1g1 h7g7 g1g7 c5e5 d2h2 f4h5 g7g5 e7g5 h4g5,-513
4k3/3n4/1pr3p1/3pP3/2pP1P2/7p/1P3R1P/4RK2 b - -,d7f8 f2f3 f8e6 f3h3 e6d4 e1d1 d4f5 d1d5 e8e7 f1e2,380
1R2b3/2r1kp1p/r5p1/p1Rp4/P5PP/1N2P1K1/5P2/8 b - -,c7c5 b3c5 a6a7 b8c8 e8d7 c8h8 a7c7 c5d7 c7d7 h8a8,7
2r2rk1/p4pp1/1pnq1n1p/3p1b2/3Pp3/PNR1P3/1P1QBPPP/4RNK1 b - -,c8d8 b3c1 c6e7 c1a2 f5d7 c3c2 h6h5 d2b4 d6e6 e1c1,-18
4k3/4qp1p/1pb3p1/2p5/p3pN2/P1P1P1P1/1P1Q1PP1/5K2 b - -,e7d7 f1e1 g6g5 f4e2 d7e6 d2c2 e6c4 g3g4 c4d3 c2d3,-62
1R2b3/4kp1p/r5p1/p1Np4/P5PP/4P1K1/5P2/8 b - -,a6a7 g3f4 a7c7 b8b7 c7b7 c5b7 f7f6 g4g5 e8a4 b7a5,7
r2r3k/1b3Qpp/p1q5/1p2P3/3B4/2P1pR2/P1P3PP/3R2K1 b - -,e3e2 d1e1 c6d7 e5e6 d7f7 f3f7 b7d5 e1e2 d5a2 d4g7,463
r2q1rk1/4ppb1/p2pbnp1/1p4Pp/4P2P/2N1BP2/PPPQ4/2KR1B1R b - -,b5b4 g5f6 b4c3 d2c3 g7f6 e3d4 a8c8 c3e3 d8c7 h1h2,-94
r1b1qrk1/p1p2pbp/4p1pn/4P3/1p2NBP1/3RQN1P/PPP2P2/2K4R b - -,e8a4 c1b1 c8a6 e4c5 a4a5 c5a6 a5a6 f4h6 a8d8 h6g7,498
r6r/pp2bkpp/2p2p2/8/4RB2/2Nn1N2/PPR2PPP/6K1 b - -,b7b5 c2d2 d3f4 e4f4 h8e8 g1f1 e7f8 d2d7 f7g8 f4e4,373
2r3k1/R2rqppp/4p3/3N4/8/2Q5/P1P2PPP/1R4K1 b - -,e7e8 d5e7 d7e7 a7e7 e8d8 c3a3 g7g6 e7b7 h7h6 a3b3,573
q4k2/2P1nppp/4pn2/1B3b2/3P4/1N2P3/5PPP/2R3K1 b - -,g7g5 b5f1 f8g7 b3c5 a8a3 c1e1 f6e4 g2g4 f5g6 e1d1,-483
4rrk1/5p1p/p5pb/2Q3N1/P2PP1q1/2P5/3B1PPP/5RK1 b - -,g4e2 d2f4 e8c8 c5d6 h6g7 e4e5 h7h6 g5f3 c8c3 h2h4,15
r1bqkb1r/1p2nppp/p1B5/2pp4/3P1P2/2N2N2/PPP3PP/R1BQK2R b KQkq -,b7c6 d4c5 e7f5 c3a4 f8c5 a4c5 d8a5 c1d2 a5c5 d1e2,52
4r1k1/p4R1p/1p1R2p1/5pN1/2n5/4P3/b4PPP/6K1 b - -,c4d6 f7a7 d6f7 g5h7 g8h7 a7a2 e8b8 a2a7 h7g8 a7a4,-422
r1bq1rk1/2bn1pp1/1pp1pn1p/p1Pp4/1P1PP3/B1N2NP1/P1Q2PBP/R4RK1 b - -,a5b4 a3b4 b6c5 d4c5 d7e5 f3e5 c7e5 f1d1 c8a6 f2f4,-42
2R1b3/r3kp1p/6p1/p1Np4/P5PP/4P1K1/5P2/8 b - -,e8d7 c5d7 a7d7 c8c5 d5d4 e3d4 d7d4 c5a5 h7h5 a5a7,4
r3r1k1/1q2bppp/2bNpn2/p7/1p1BPP2/P5PP/1PP1Q1BK/3R1R2 b - -,b7a6 e2a6 a8a6 d6e8 c6e8 a3b4 e8b5 f1e1 a5b4 e4e5,441
4k2r/1b1r1pBp/p2bp3/q7/2B4Q/1P3N1P/P4PK1/R4R2 b - -,h8g8 f1g1 g8g7 g2f1 a5c3 g1g7 c3a1 f3e1 a1g7 c4d3,-584
r5k1/p1brq1pp/1p1n4/2p1p3/B1PpP3/3P1N2/PP2Q1PP/R4RK1 b - -,a8d8 a4d7 d8d7 f1f2 c7d8 a1f1 g7g6 e2c2 d6f7 c2a4,289
4k3/3q1p1p/1pb3p1/2p5/p3pN2/P1P1P1P1/1P1Q1PP1/4K3 b - -,d7d2 e1d2 b6b5 c3c4 b5b4 f4e2 e8e7 e2c1 c6d7 a3b4,-51
r4rk1/ppnbb1p1/4p3/q1ppPpPQ/5B2/2PBP3/PP2KPP1/R6R b - -,e7g5 f4g5 a5a4 g5f6 c7e8 f6e7 e8c7 h1h4 d5d4 c3c4,351
r4rk1/pp1bb1pp/1q2p3/3pn3/3N2P1/P6P/1P2N1B1/R1BQ2KR b - -,d7b5 c1e3 e5c4 d1d3 c4e3 d3b5 e7c5 b5d3 b6b2 d3e3,-176
r1b1k1nr/pppp1Npp/2n2Q2/2b5/2B1P3/8/PPp2PPP/RNB1K2R b KQkq -,g8f6 f7h8 c2b1b a1b1 c6e5 c4e2 d7d6 b2b4 c5b6 f2f3,-143
r3r1k1/1q3ppp/2bbpn2/p3P3/1p1B1P2/P5PP/1PP1Q1BK/3R1R2 b - -,d6e5 d4e5 c6g2 e2g2 b7g2 h2g2 b4a3 b2a3 a8c8 f1f2,-47
r1b1kbnr/pp3ppp/2pp1Q2/8/2B1P3/2N5/PPP2PPP/R1B1K2R b - -,g8f6 c4d3 f8e7 a2a4 a7a5 h2h4 h7h5 f2f3 c8e6 c1e3,16
r1b1kb1r/pp2pppp/1Qn5/2pp4/3Pn2B/2P2N2/PP2PPPP/RN2KB1R b KQkq -,a7b6 e2e3 f7f6 f3d2 g7g5 h4g3 e4g3 h2g3 e7e6 f1b5,-33
5k2/2P1nppp/4pn2/1B3b2/3P4/qN2P3/5PPP/R5K1 b - -,a3b3 a1a8 e7c8 a8c8 f8e7 c8e8 f6e8 c7c8q b3b5 f2f3,-610
rn2kb1r/pp3pp1/2p1p3/3pP1np/3q1P2/P1NBB2P/1PP1Q1P1/R3K2R b KQkq -,d4c3 b2c3 g5e4 d3e4 d5e4 a1b1 b7b6 f4f5 e6f5 e2c4,589
r6r/pp2bkpp/2p2p2/8/5R2/2N2N2/PPR2PPP/6K1 b - -,a8d8 c2e2 h8e8 g1f1 e7d6 e2e8 d8e8 f4h4 d6c7 h4h7,389
