4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
1R2k3/8/8/3K4/8/8/8/r7 b - -,,0
r2qkb1r/pp1bpppp/n4n2/3PN3/8/1QN1B3/PP3PPP/R3KB1R b KQkq -,d8c7 e5d7 e8d7 a1c1 d7d8 f1a6 b7a6 e1h1 a8b8 b3a4,471
3R1r1k/pbP1Nppp/5n2/1r2p3/8/2P3P1/P4P1P/R5K1 b - -,f6d7 d8d7 g7g6 d7d8 h8g7 d8b8 b5b6 a1d1 h7h5 c3c4,558
r4rk1/4qppp/p3p3/3bN3/3Pp3/2R5/PPQ2PPP/5RK1 b - -,,0
r4qk1/pp1b2p1/2pb1p2/8/2pNBPp1/P2PB1P1/1P3K1R/R7 b - -,g8f7 a1c1 b7b5 a3a4 a8e8 a4b5 c6b5 h2h5 d6c5 h5d5,-296
1R6/5pkp/1pB1p1p1/p3P3/5P2/6P1/1r5P/7K b - -,h7h5 h2h4 b2a2 c6e8 g7f8 h1g1 a2b2 e8a4 f8g7 b8b7,238
r3kb1r/pbpq1ppp/2n5/1B1np1NQ/8/8/PPPP1PPP/RNB2RK1 b kq -,d5f4 h5f3 h7h6 d2d4 h6g5 c1f4 e8a8 f4e5 d7e6 b5c6,16
r7/3k3p/p3p1p1/n2p1p2/P1p2P2/2P2B2/2r2PKP/R2R4 b - -,d7d6 a1c1 c2c1 d1c1 a8b8 h2h4 b8b2 h4h5 a5b3 c1h1,-569
r1r3k1/2q2ppp/p3b3/R1ppP3/8/1PQ5/1P1N1PPP/R5K1 b - -,c7b6 h2h3 h7h6 c3f3 c8c6 f3d3 b6b7 g1h2 c5c4 b3c4,-28
8/6k1/4p3/4P1p1/6P1/pK5P/8/8 b - -,h7h6 h2h3 c7b6 c3e3 c8c6 g1h2 b6c7 f2f4 e6c8 b3b4,Mate
1q3b1k/1b3P1p/p1r1P3/1p1Q3P/6N1/1P4P1/PB6/4R1K1 b - -,h7h6 h2h3 c7b6 c3e3 c8c6 g1h2 b6c7 f2f4 e6c8 b3b4,Mate
2kr3r/2p1nppp/pp1bb3/P1p5/4P3/1NN1B3/1PP2PPP/R3K2R b - -,e7c6 a5b6 c7b6 a1a6 c8b7 a6a4 f7f5 h2h3 h8e8 e1d1,-141
1rb2rk1/3n1pbp/p5p1/1p1Pp1Pn/1q6/2N1BN1P/PPPQ2B1/1K1RR3 b - -,c8b7 f3h2 f7f5 g5f6 d7f6 a2a3 b4c4 h2f3 b5b4 a3b4,117
2r1r1k1/4pp2/pq1p2p1/8/1p1bb1PP/P1PB2Q1/3B4/2KR2R1 b - -,c8b7 f3h2 f7f5 g5f6 d7f6 a2a3 b4c4 h2f3 b5b4 a3b4,Mate
2k1rbr1/1ppn1p2/p7/4n1B1/B3p2P/6P1/PPPN1P2/R3K2R b KQ -,f7f5 a4d7 c8d7 e1e2 d7e6 a1d1 f8e7 g5f4 e7d6 d2f1,167
r1bqk2r/ppp2pp1/4pn1p/8/3P4/2PB1N2/PP3PPP/R2QK2R b KQkq -,c7c5 d4c5 d8c7 c5c6 c7c6 d1e2 c8d7 e1a1 c6c5 f3e5,32
r1bq1rk1/1pp2pp1/pb3n1p/4N3/7B/2NB3P/PP3PP1/R2Q1RK1 b - -,d8e7 f1e1 c8e6 d1f3 f8e8 e1e2 g7g5 h4g3 c7c6 d3c2,433
1q6/1b3Pkp/p1r1P3/1p4QP/6N1/1P4P1/P7/4R1K1 b - -,d8e7 f1e1 c8e6 d1f3 f8e8 e1e2 g7g5 h4g3 c7c6 d3c2,Mate
4n3/p2r1kp1/4pn2/7Q/8/2p2BP1/Pq3P1P/3R2K1 b - -,f6h5 d1d7 f7f6 f3d1 c3c2 d1c2 b2c2 d7d4 c2a2 g1g2,-815
6k1/pp2qpp1/7p/2r1p3/3pQP2/8/1P1N2PP/5K2 b - -,c5c1 f1e2 d4d3 e2f3 c1c8 h2h4 e7h4 e4e5 h4d8 e5f5,-626
4k3/8/8/3K4/8/8/2R5/r7 b - -,,0
r4rk1/p1p3bp/1p1p2p1/2PPn3/1P1NpP1q/7P/P3BP1B/2RQ1RK1 b - -,g7h6 f4e5 f8f2 f1f2 h6e3 g1h1 h4f2 d1f1 f2h4 c5d6,441
r1b1k2r/ppppbppp/2n5/4P3/5B2/1B1Q4/PPP2nPP/RN2N1K1 b kq -,f2g4 d3e2 e7c5 g1f1 e8h8 e2g4 d7d6 g4g3 c6d4 e5d6,476
r1b1k2r/pp1n1ppp/4p3/q1pp2N1/2PP4/P1PBP3/2Q2PPP/R3K2R b KQkq -,c5d4 c4d5 a5d5 g5f3 d4e3 f2e3 h7h6 e1h1 e8h8 a1e1,-185
r2q2k1/pp3ppp/1bn2nb1/6B1/NP1p2P1/P6P/2P2PB1/R2QN1K1 b - -,d8c7 e1d3 h7h6 g5f6 g7f6 d1d2 g8g7 d3f4 c7d6 a4b6,60
4r1k1/1QP4p/3p2p1/3P1p2/8/4q2P/P5PK/3n1B2 b - -,e3f4 h2g1 f4f2 g1h2 d1e3 b7b5 e3f1 h2h1 f2e1 b5e8,-9605
2b5/4kP1p/p1r1P3/1p5P/5QN1/1P4P1/P7/4R1K1 b - -,e3e5 h2h1 e5f4 b7b5 e8c8 f1e2 d1f2 h1g1 f2h3 g2h3,Mate
rnb1k1nr/1pqp1pp1/p3p3/8/3NP3/P1PQ1BPp/2P2P1P/R1B1K2R b KQkq -,d7d6 d4b3 g8f6 a3a4 b8c6 f3e2 c6e5 d3d4 e8h8 c1g5,-40
2r1r1k1/6Pp/p2b4/1p2q1B1/3p2Q1/P2P4/1P4RP/R6K b - -,d6e7 g5e7 h7h5 g4h3 e5e3 h3e3 d4e3 e7b4 e3e2 a1e1,439
1rb2rk1/3n1pbp/p5p1/1p1Pp1P1/1q3n2/2N1BN1P/PPPQ4/1K1RR2B b - -,c8b7 f3h2 f7f5 g5f6 d7f6 a2a3 b4c4 h2g4 f6g4 h3g4,103
r1b1k1nr/ppp2ppp/2n5/1Bbqp3/2P5/5N2/PP1P1PPP/RNBQK2R b KQkq -,d5e4 d1e2 e4e2 e1e2 g8e7 d2d3 c8f5 c1e3 c5e3 b5c6,-84
8/p1N5/R7/kp6/2p5/5P2/PrP1K2P/8 b - -,a5b4 e2d2 b2b1 c2c3 b4c5 c7e6 c5d5 e6d4 d5c5 a6a7,606
r4r1k/1q4pp/p3pp2/3b4/1P1Pp1N1/6R1/P2Q1PPP/2R3K1 b - -,a8d8 g4e3 f6f5 e3d5 d8d5 g3c3 b7b4 c3c8 b4e7 c1c7,-42
4n3/p2r1kp1/4pn2/2Q4B/8/2p3P1/Pq3P1P/3R2K1 b - -,g7g6 h5f3 c3c2 d1e1 d7c7 f3c6 b2b6 c6e8 f6e8 c5b6,-602
r1bqkbnr/pp4pp/2n1pp2/2pP4/2B5/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,e6d5 f1e1 e8f7 c4b3 g8e7 b1c3 c6a5 h2h3 a5b3 a2b3,79
r1q1r2k/pp3p1p/2p2P2/3p2Q1/3P4/2PP3R/P5PP/4R1K1 b - -,e8e1 g1f2 c8g8 g5g7 g8g7 f6g7 h8g7 h3g3 g7f8 f2e1,Mate
8/R5p1/4k1Pn/6KP/p7/8/8/r7 b - -,a1g1 g5h4 g1g4 h4h3 e6f6 a7a6 f6g5 a6a5 h6f5 h5h6,-518
2k1rbr1/1ppn4/p4B2/4n3/B3p2P/6P1/PPPN1P2/R3K2R b KQ -,d7f6 a4e8 e4e3 f2e3 f6e8 d2e4 g8g4 e1h1 e5g6 f1f4,86
r4rk1/p1p3bp/1p1p2p1/2PPP3/1P1Np3/7q/P3BP1B/2RQ1RK1 b - -,g7e5 h2e5 d6e5 d1b3 h3h4 d4e6 f8f4 b3g3 h4f6 c5b6,541
r1bqkbnr/pp4pp/2n2p2/2pp4/2B5/3P1N2/PPP2PPP/RNBQR1K1 b kq -,g8e7 c4b3 e8f7 h2h3 c6a5 b3a4 c8d7 c2c4 d7a4 d1a4,72
r3kb1r/pbpq1p1p/2n3p1/1B1np1N1/3P4/8/PPP1QPPP/RNB1K2R b KQkq -,e8a8 d4e5 d7f5 g5f3 d5b4 b1a3 a7a6 b5c6 b4c6 a3c4,72
rn1q1rk1/1b2bppp/2p5/pp1p4/1P1P4/PQN1PN2/4BPPP/2R2RK1 b - -,a5b4 a3b4 b8a6 c3a2 e7d6 f3e5 d6e5 d4e5 d8e7 f2f4,-23
r1bq1rk1/pppnppbp/3p2p1/7n/3P4/2N1BNP1/PPP1PPBP/R2Q1RK1 b - -,c7c6 a2a4 a7a5 d1d2 d7f6 h2h3 f6d5 e3h6 d5c3 b2c3,20
1r3knr/1bN1npbp/1BqRp1p1/4P3/2p2P2/P4N2/1P3QPP/5RK1 b - -,c6a4 f3d4 g7h6 d6e6 c4c3 e6d6 c3b2 f2b2 b7a6 f1e1,243
