r1bq1rk1/p1p2ppp/2pp4/8/1b1QP3/8/PB2NPPP/R4RK1 b - -,d8g5 d4b4 a8b8 b4c3 f7f6 f1e1 g5e5 a1b1 e5c3 b2c3,306
2r4k/1p1n1ppp/8/r1n1p3/p7/2P1B1PB/P3PP1P/R2R2K1 b - -,b7b5 h3d7 c5d7 d1d7 h8g8 d7b7 a4a3 a1d1 h7h5 g1f1,463
8/8/8/8/3N4/3K1B2/1k6/8 b - -,b7b5 h3d7 c5d7 d1d7 h8g8 d7b7 a4a3 a1d1 h7h5 g1f1,Mate
8/5k2/8/1Q6/3K4/8/8/8 b - -,b7b5 h3d7 c5d7 d1d7 h8g8 d7b7 a4a3 a1d1 h7h5 g1f1,Mate
8/8/8/8/3N4/5B2/2K5/k7 b - -,b7b5 h3d7 c5d7 d1d7 h8g8 d7b7 a4a3 a1d1 h7h5 g1f1,Mate
1r3k2/R4pp1/1p1Nb1np/2r5/2PR2P1/4PN1P/7K/8 b - -,c5a5 a7c7 a5c5 c7a7 g6e7 a7b7 e7c6 b7b8 c6b8 d6b7,-13
r2q1rk1/ppp2ppp/2n5/3n2N1/2BP2b1/2P5/P1Q2PPP/R1B2RK1 b - -,d8g5 c1g5 g4e6 c4d3 h7h6 g5h6 g7h6 c2d2 g8g7 f2f3,575
rn1qkb1r/ppp2ppp/4p3/3p1B2/3P1B2/4P3/PPPn1PPP/R2QK1NR b KQkq -,d2c4 f5g4 c4b2 d1b1 f8b4 e1f1 b4a3 g4e2 c7c5 d4c5,-99
r2q1rk1/pppb1pp1/2np1n1N/1Bb3B1/4P3/2N5/PPP2PPP/R2Q1RK1 b - -,g8h8 c3d5 a8b8 c2c3 a7a6 d5f6 g7f6 d1h5 f6g5 h6f7,473
r3r3/ppp2kp1/5q1p/2bP1b2/1nP5/N4P2/PP2B1PP/R2Q1KNR b - -,e8e2 g1e2 a8e8 d5d6 f5d3 d1d3 b4d3 d6d7 e8d8 a3b5,-742
r2q1rk1/ppp2ppp/2n2n2/6N1/2BP2b1/B1P5/P1Q2PPP/R4RK1 b - -,c6a5 c4d3 g7g6 a3f8 d8f8 h2h3 g4d7 f1e1 f8a3 g5e4,329
