rnbqk2r/bp1pnppp/p3p3/8/4PB2/1N1B4/PPP2PPP/RN1Q1RK1 b kq -,h7h6 f4d6 b8c6 f1e1 a7b8 d3f1 e8h8 c2c4 b8d6 d1d6,80
8/8/5K2/8/1k6/5Q2/8/8 b - -,h7h6 f4d6 b8c6 f1e1 a7b8 d3f1 e8h8 c2c4 b8d6 d1d6,Mate
8/8/5K2/8/2k5/6Q1/8/8 b - -,h7h6 f4d6 b8c6 f1e1 a7b8 d3f1 e8h8 c2c4 b8d6 d1d6,Mate
r1b2rk1/pp3ppp/2B1p3/8/3PP3/5N2/P2K1PPP/1R5R b - -,b7c6 h1c1 c8d7 f3e5 f8d8 d2e3 h7h5 e5c6 d7c6 c1c6,224
r1b2rk1/p4ppp/2p1p3/8/3PP3/5N2/P2K1PPP/1RR5 b - -,f7f6 c1c6 f8f7 d2e3 h7h6 f3d2 c8d7 c6c7 d7a4 c7f7,254
r3kr2/3bq2Q/4p1p1/p2p1p2/2pP1P2/2P1P2R/P2N2PP/R5K1 b - -,d7a4 a1b1 e7h7 h3h7 f8f7 h7h6 e8e7 h6g6 f7f8 b1b6,323
8/5p1p/8/K6k/8/1P6/P7/8 b - -,,0
rn1qk2r/pp3ppp/2p1pn2/8/2BPP1b1/1QP1BN2/P4PPP/R3K2R b KQkq -,f6e4 f3e5 b7b5 c4d3 e4f6 a2a4 e8h8 a4b5 c6b5 d3b5,212
2rqnrk1/pb1nbppp/1p6/2pP4/2P5/2N2NP1/PBQ2PBP/R2R2K1 b - -,e7f6 d5d6 b7a8 d1d2 a8f3 g2f3 f6d4 c3b5 e8d6 b5d4,110
r1bqkbnr/pp2pppp/2n5/2pp4/Q3P3/2PP4/PP3PPP/RNB1KBNR b KQkq -,e7e5 g1f3 f7f6 f1e2 g8e7 a2a3 c8d7 a4b3 d5d4 h2h4,-39
8/1k1B4/4N3/3K4/8/8/8/8 b - -,a7a6 g1f3 e7e6 g2g3 b7b5 a4c2 g8f6 f1g2 f8e7 e1h1,Mate
rnbqk2r/ppp1p1bp/3p1np1/5p2/3P1B1P/2P1P3/PP1N1PP1/R2QKBNR b KQkq -,h7h6 g1h3 b8d7 d2f3 f6e4 h4h5 e7e5 h5g6 e5f4 h3f4,-17
5Q2/8/8/1K2k3/2r5/8/8/8 b - -,c4d4 f8e7 e5f4 b5c5 d4e4 e7h4 f4f3 h4h1 f3e3 c5d6,200
rnbqk2r/bp2nppp/p3p3/3p4/4PB2/1NNB4/PPP2PPP/R2Q1RK1 b kq -,d5e4 d3e4 d8d1 a1d1 b8c6 c3a4 e6e5 f4e3 a7e3 f2e3,97
r1bQk2r/pp3p2/2p1p2p/4P1p1/1bP1n3/2N5/PP4PP/R3KBNR b KQkq -,e8d8 e1a1 e4d6 e5d6 e6e5 g1f3 b4c3 b2c3 h8e8 c4c5,374
