rn1qkbnr/pp1bpppp/8/2p5/2QPP3/8/PP3PPP/RNB1KBNR b KQkq -,g8f6 e4e5 d7e6 c4c5 f6d5 g1f3 a7a6 c5c2 b8c6 c2d1,86
r1bqk2r/pppnbppp/3p1n2/4p1N1/2B1P3/2NP4/PPP2PPP/R1BQK2R b KQkq -,f6d5 c4d5 e7g5 d1h5 e8h8 c1g5 d7f6 h5f3 c7c6 d5b3,520
r1bqk2r/pp2bppp/2n2n2/2pp2B1/3P4/2N2N2/PPP1BPPP/R2Q1RK1 b kq -,h7h6 g5f6 e7f6 d4c5 c8e6 d1d2 e8h8 a2a3 b7b6 c5b6,71
r1bq1rk1/pp2bppp/2n2n2/2Pp2B1/8/2N2N2/PPP1BPPP/R2Q1RK1 b - -,a8b8 g5e3 c8g4 f3d4 g4e2 c3e2 d8d7 e3f4 b8e8 d4c6,133
rn1qkbnr/ppp2ppp/4p3/3p1b2/3P4/P1N2P2/1PP1P1PP/R1BQKBNR b KQkq -,g8f6 c1g5 f8e7 e2e4 d5e4 g5f6 e7f6 f3e4 f5g6 e4e5,-27
r2qkb1r/ppp2ppp/2n1pn2/3p4/3P1P2/6P1/PPP2PBP/RNBQ1RK1 b kq -,f8d6 b2b3 h7h5 h2h4 c6e7 c2c4 e7f5 b1d2 e8h8 c1b2,71
rnb1kb1r/ppp2ppp/5n2/4P3/4p3/2P2P2/PP4PP/RNBK1BNR b kq -,e4f3 e5f6 f3g2 f1g2 g7f6 g2h3 c8e6 h3e6 f7e6 d1c2,346
rnbq1rk1/ppp1ppbp/3p1np1/6B1/3PP3/P1N2N2/1PP2PPP/R2QKB1R b KQ -,h7h6 g5e3 f6g4 e3d2 g4f6 d1e2 b8c6 d4d5 c6e5 f3e5,44
r2qk1nr/ppp2ppp/2np4/2b1p3/2B1P3/2PP1Q2/PP3PPP/RNB2RK1 b kq -,d8f6 f3h3 f6g6 a2a4 a7a5 b1a3 c5a3 a1a3 g8f6 a3b3,121
rnbqkb1r/ppp2ppp/8/3pP3/4np2/1B3N2/PPPP2PP/RNBQK2R b KQkq -,g7g5 d2d3 e4c5 h2h4 g5g4 f3d4 c5b3 a2b3 f8c5 d4b5,-125
r1bqkb1r/ppp2ppp/2np1n2/4P3/8/2P1PN2/PP3PPP/RNBQKB1R b KQkq -,f6d7 e5d6 f8d6 b1d2 c6e5 f3e5 d6e5 f1e2 e8h8 e1h1,157
rnb1kbnr/pppp1ppp/5q2/4p2Q/8/2N1P3/PPPP1PPP/R1B1KBNR b KQkq -,f6e7 d2d4 d7d6 d4e5 d6e5 g1f3 e5e4 c3d5 g8f6 d5e7,68
rnb1kbnr/pppp1p1p/5qp1/4p3/8/2N1PQ2/PPPP1PPP/R1B1KBNR b KQkq -,h7h5 d2d4 d7d6 f3d1 c7c6 d4d5 f6d8 e3e4 f7f5 g1f3,71
r1bq1rk1/ppppbppp/2n2n2/4p3/2B1P3/2PP1N2/PP3PPP/RNBQR1K1 b - -,d7d6 a2a4 a7a6 b1a3 c8g4 c4a2 h7h6 a3c4 f6h7 c4e3,85
rn2kbnr/1p1qpppp/p2p4/2p5/P3P3/2N2N2/1PPP1PPP/R1BQK2R b KQkq -,h7h6 a4a5 b8c6 c3d5 a8d8 c2c3 g8f6 d2d3 e7e6 d5f6,62
