6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8,Mate
r3k1nr/p1p2ppp/2pb1q2/3p4/3P1PP1/5N2/PPP5/RNBQ1RK1 b - -,g7g6 d1e2 g8e7 b1c3 h7h5 g4g5 f6f5 c3d1 a7a5 e2g2,315
r1b1kb1r/pp3ppp/2n1p1n1/2P1P3/2B5/5NB1/PP3PPP/RN1K3R b kq -,f8c5 b1c3 e8h8 h2h4 c5d4 h1e1 b7b6 h4h5 g6e7 d1e2,-42
r2qkb1r/pp1npppp/2p2n2/5b2/3P3N/8/PPP1BPPP/RNBQ1RK1 b kq -,g7g6 f1e1 e7e6 h4f5 g6f5 e2d3 f8e7 b1d2 d7f8 d2f3,73
r2q1rk1/ppp1nppp/3b1n2/3pNb2/B2P1P2/P3P3/1P4PP/RNBQ1RK1 b - -,c7c6 b1c3 d8c8 c1d2 f6e4 a4c2 e4c3 b2c3 f5c2 d1c2,-69
8/2N1kp2/1rn3p1/8/2p5/4P2P/8/2R3K1 b - -,e7d6 c7e8 d6c5 e8f6 b6b2 h3h4 c6e5 g1f1 b2b3 f1e2,-360
rn1qkbnr/pp3ppp/2p1b3/8/3NP3/4B3/PPP3PP/RN1QKB1R b KQkq -,e6c8 b1d2 g8f6 d1f3 f8b4 c2c3 b4d6 h2h3 b8d7 e1a1,57
r1bb2k1/2q4p/pn1p2p1/6P1/1p1NPPn1/8/PPP1Q3/1K1R1B1R b - -,c7b7 f1g2 b7c7 e4e5 d6e5 g2a8 b6a8 d4c6 c7c6 d1d8,330
r1r3k1/3bb1p1/1p2p3/pP1pPp1p/3N1P1P/2PB4/PK4P1/6RR b - -,,0
r6r/1p3k1p/p1q1b1pB/3npp2/2B4Q/8/PP3PPP/3RR1K1 b - -,a8d8 h6g5 e5e4 g5d8 c6c4 h2h3 c4b4 d8g5 h7h6 g5h6,244
r1b2rk1/ppp2ppp/3p1Bn1/8/2nPP3/5N1P/PP3PP1/R2Q1RK1 b - -,c8e6 d4d5 e6h3 f6g7 g8g7 g2h3 a8e8 d1c2 c4e5 f3e5,612
1rb1Nnk1/p5b1/2B1pq1p/5p2/5PpN/6P1/PPQ1R1P1/1K6 b - -,f6d4 e8g7 d4g1 c2c1 g1c1 b1c1 g8g7 e2c2 g7f7 c2c3,-21
4r2k/p1bb2pp/1p2Pp1q/2pB4/2P2P2/4R1QP/P2rN3/6RK b - -,d7e6 d5e6 g7g6 a2a4 f6f5 g1e1 e8f8 e6d5 c7d8 e3e6,232
8/p7/Npk5/4K3/1P6/3P4/P7/8 b - -,d7e6 d5e6 g7g6 a2a4 f6f5 g1e1 e8f8 e6d5 c7d8 e3e6,Mate
2b5/8/1pPk4/5P1p/2PKp2N/8/8/8 b - -,d6c6 h4g6 e4e3 d4e3 c8f5 g6e7 c6c5 e7f5 c5c4 f5d6,-16
r1b1k2r/ppq1np1p/2p2p1Q/4pP2/6P1/P2B4/1PP1N2P/2KR3R b kq -,h8f8 e2c3 e7g8 h6h7 b7b5 c3e4 c8d7 h7g7 e8a8 h2h4,354
r3kb1r/2p1pppp/pp3n2/n2P4/5B2/2NB1P2/PPP3PP/R3K2R b KQkq -,e8d7 e1a1 g7g6 f4e5 f8g7 g2g3 h7h5 h1e1 f6e8 f3f4,132
2kr3r/ppp1q1pp/2nbbn2/3pp3/5P2/PP1P2PP/1BPNNPB1/R2QK2R b KQ -,e5f4 e1h1 e7d7 e2f4 d6f4 g3f4 e6h3 g2h3 d7h3 d1f3,-136
r6k/pbq3pp/1ppbQ3/3p4/8/PP1B4/1BP2PPP/4R1K1 b - -,c7d8 e6h6 d8g8 h6d6 c6c5 d6c7 b7a6 d3a6 d5d4 c7b7,816
2r5/3R1p2/4p1p1/1pr2k1p/5P2/1P4P1/1KPR3P/8 b - -,c5c7 d7d3 h5h4 d2e2 f5g4 e2f2 c7b7 g3h4 c8h8 h4h5,-26
8/8/5k2/N1P2p2/7p/6p1/5PP1/6K1 b - -,f6f7 f2g3 h4g3 c5c6 f7e7 g1f1 e7e6 f1e2 e6d6 e2f3,915
rnq1kb1r/ppp1pppp/5n2/3pNb2/3P4/3BPQ2/PPP2PPP/RNB1K2R b KQkq -,,0
2r3k1/5pb1/p1q1p1p1/3p3p/3P4/Q1P2P2/P1RR2PP/6K1 b - -,g7f8 a3b2 f8h6 d2e2 c6c4 g2g3 c4d3 f3f4 h5h4 g1g2,59
r1bqkb1r/1pnppppp/p1n5/2p1P3/2PP4/1P3N2/PB3PPP/RN1QKB1R b KQkq -,c5d4 f3d4 c6e5 d1e2 d7d6 g2g3 c8g4 e2e3 g4d7 f1g2,47
2b5/8/1pk2P2/7p/2PKp2N/8/8/8 b - -,c6d6 h4g6 c8e6 g6f4 h5h4 c4c5 b6c5 d4e4 e6f7 e4e3,-21
rn1qkb1r/pQp2pp1/4pn1p/3p4/2PP1B2/4Pb2/PP3PPP/RN2KB1R b KQkq -,b8d7 g2f3 f8d6 f4g3 e8h8 c4c5 d6g3 h2g3 a8b8 b7a7,68
1q6/p7/5ppk/7p/8/2p5/PpK5/5QB1 b - -,b8b4 f1e1 b4b5 g1e3 g6g5 e3c5 b5c5 e1e8 h5h4 e8h8,-894
3k4/8/1K1PP1nR/6p1/8/8/7P/r7 b - -,d8e8 h6g6 a1b1 b6c5 b1c1 c5b4 e8f8 e6e7 f8f7 g6g8,1517
