6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8,Mate
8/5pp1/p3p2p/1p1b4/4pbPk/1P5P/P3K3/6R1 b - -,h4h3 e2e1 e4e3 e1e2 g7g5 b3b4 h3h4 a2a3 h4h3 e2d3,-1077
1r2r1k1/pq3b1p/3b2p1/1P1Pnp2/8/2NB4/1PQB1PP1/1K1R3R b - -,e8c8 h1h4 e5d3 c2d3 f7e8 d3e3 b7e7 e3e7 d6e7 h4a4,49
8/5k2/3p4/1p2p3/3PK3/8/6P1/8 b - -,f7e6 e4d3 e6f5 d3e3 e5d4 e3d4 f5f4 d4c3 d6d5 c3d4,-1178
8/1p3kQ1/p1n2Bp1/2P1p3/P1b1Pq2/6N1/6PK/8 b - -,f7e6 g7g6 f4f6 g6e8 c6e7 g3f5 c4d3 f5e7 f6e7 e8c8,-173
2rqr1k1/4bpp1/p2pb2p/1p2n2N/3QP3/7P/PP3PP1/R1B1RBK1 b - -,e6h3 c1e3 h3g4 h5f4 e7f6 d4d2 g4e6 f4h5 e6c4 a1c1,-92
8/1Q6/p1n1kBp1/2P1p3/P1b1Pq2/6N1/6PK/8 b - -,e6f6 b7c6 c4e6 c6a6 f4h4 h2g1 h4g3 a6a8 g3e3 g1h2,-222
8/4B3/8/3B1b2/1p1np3/2k4p/5P2/7K b - -,d4e2 h1h2 b4b3 e7a3 e2d4 h2g3 c3c2 d5c4 d4f3 c4b5,-709
2r3k1/5p1p/6p1/p4b2/1r6/8/BPPR1P1P/1K5R b - -,g8g7 h1d1 c8b8 b1a1 b4a4 d1e1 f5e6 b2b3 a4h4 f2f3,-111
8/5p2/8/p3k1p1/Pr1nP1P1/2K2P2/2R5/2R5 b - -,,0
1r2r1k1/pq3b1p/3b2p1/1P1P1p2/8/2NQ4/1P1B1PP1/1K1R3R b - -,h7h5 d2e3 a7a6 b5b6 f5f4 e3d4 d6e5 f2f3 e5d4 d3d4,83
r1br2k1/pp2ppbp/n5p1/2P5/2PNpB2/4P3/PP2BPPP/R3K2R b KQ -,e7e5 f4g5 f7f6 d4b3 f6g5 e1h1 c8e6 a1d1 g7f8 b3d2,-327
r1bqr1k1/5pp1/1pp2n1p/3p4/6P1/1P3P2/PB1QPRBP/R5K1 b - -,c6c5 e2e3 c8b7 b3b4 e8e6 b4c5 b6c5 a2a4 d8e7 a1a3,-94
6K1/6P1/1R2k3/8/8/1p3r2/8/8 b - -,,0
4r1k1/1b3ppp/p2b1n2/1pp2q2/7B/1BPP3P/PP3PP1/R2Q1NK1 b - -,a6a5 a2a4 b5b4 h4g3 f5g6 d1d2 f6h5 c3b4 c5b4 a1e1,25
5bk1/6pp/2N2p2/2p1p3/P3P3/1P2B3/5PPP/5bK1 b - -,f1a6 f2f3 a6d3 g1f2 c5c4 b3b4 d3c2 a4a5 c2a4 c6b8,121
8/8/p1Q2kp1/2P1p3/P1b1Pq2/6N1/6PK/8 b - -,c4e6 c6a8 f4h4 h2g1 h4g3 a8f8 e6f7 f8d6 f6g7 c5c6,-246
r1b1rk2/1pp2ppp/p7/4n3/1P2N3/1BP1RP2/P4P2/4R1K1 b - -,c8f5 g1g2 f5e4 f3e4 a8d8 f2f4 e5g4 e3h3 h7h6 e1e2,-144
4rr1k/2q3bp/1p1p2p1/pPpPp2n/1nP1PpP1/2B2N1P/1P1Q1PB1/R3R1K1 b - -,h5f6 g4g5 f6d7 h3h4 h7h6 g2h3 h6h5 e1c1 f8f7 d2e2,83
r2q1rk1/pp1n1ppp/2pb1n2/8/2B1PB2/2NP1Q2/PPP4P/R4RK1 b - -,d7e5 f4e5 d6e5 g1h1 b7b5 c4b3 d8e7 a2a4 a7a6 c3e2,-48
2rr2k1/p6p/1q3pb1/1p1Pp1p1/4P3/5P2/PP1QB1PP/2R2K1R b - -,a7a5 c1c8 d8c8 e2d3 g6e8 f1e2 e8d7 h2h4 g5g4 d2e3,140
1q2rnk1/1p2bppp/p3bn2/2rp2B1/3N2PP/2NBPP2/PPQ5/1K1R3R b - -,b8d8 c2h2 c5c3 b2c3 d8a5 h2d2 e8c8 d1c1 e7a3 c1c2,136
3r4/r4nbk/R1QP2pp/8/3p4/3P2P1/6BP/6K1 b - -,a7a6 c6a6 d8d6 a6b5 f7e5 g2e4 g7f6 g3g4 e5g4 b5b8,75
r1b2rk1/ppp1qppp/3p1n2/4P3/2B5/B1Q5/P4PPP/3R1RK1 b - -,f8e8 e5f6 e7f6 c3c1 c8f5 a3b2 f6g6 c1c3 a8c8 d1e1,310
8/8/8/8/1k6/2bK4/3p4/3Q4 b - -,f8e8 e5f6 e7f6 c3c1 c8f5 a3b2 f6g6 c1c3 a8c8 d1e1,Mate
5k2/4nq2/4pP1p/3p2p1/1p1P4/1P4P1/2QB1P2/6K1 b - -,e7g6 c2c8 f7e8 c8c7 e8f7 d2b4 f8g8 c7d8 g8h7 b4d6,423
4r3/pp1b1B1k/2pQ3p/5p1q/3P4/P5R1/1P3PP1/2R3K1 b - -,h5f7 g3h3 e8e6 d6f4 a7a6 d4d5 e6g6 h3g3 f7d5 g3g6,Mate
8/8/3pk3/1p2p3/3P4/3K4/6P1/8 b - -,e6f5 d3e3 e5d4 e3d3 f5f4 d3c2 f4g4 c2b3 d4d3 b3c3,-1716
8/4B3/8/3B1b2/1p2p3/2k4p/4nP1K/8 b - -,b4b3 e7a3 e2d4 h2g3 c3c2 d5c4 d4f3 a3c1 f3d2 c4b3,-760
rn3rk1/5bp1/p1p2q1p/1pP5/PP2N3/2PQ4/5PPP/R4RK1 b - -,f6f5 a4b5 c6b5 f1e1 b8c6 d3g3 a6a5 e4d6 f5f6 b4a5,-182
5bk1/2n2n1p/p2p2pP/2pP1pP1/2P2P2/2N3K1/P2B4/1B6 b - -,c7e8 c3a4 f8e7 a4b6 f7d8 b6c8 g8f8 g3f3 d8b7 b1c2,170
4rr1k/2q3bp/1p1p1np1/pPpPp1N1/1nP1PpP1/2B4P/1P1Q1PB1/R3R1K1 b - -,h7h6 g5e6 c7e7 e6f8 e8f8 c3b4 c5b4 c4c5 d6c5 d5d6,51
5k2/4n3/4pq1p/3p2p1/1B1P4/1P4P1/2Q2P2/6K1 b - -,f8f7 b4d6 e7f5 c2c7 f7g6 d6e5 f6f8 c7d7 f8f7 d7a4,112
1qr1r1k1/1p2bppp/pB1pbn2/P3p3/3PP3/2N2B2/1P3PPP/R2QR1K1 b - -,e7d8 d4d5 e6d7 b6e3 b7b5 h2h3 h7h5 f3e2 g7g6 e2d3,53
8/8/8/8/5k2/8/5K1R/r7 b - -,,0
2rr2k1/p7/1q3pbp/1p1Pp1p1/4P1P1/5P2/PP1QB2P/2R2K1R b - -,g8g7 f1g2 a7a5 e2d3 a5a4 d2f2 b6a5 a2a3 g6f7 h2h4,141
1r4k1/5p1p/6p1/p4b2/1r6/1P6/B1PR1P1P/1K5R b - -,a5a4 b1c1 f5c2 d2c2 a4b3 a2b3 b4b3 c1d2 b8b5 h2h4,-288
rn1q1rk1/1p2ppbp/2pp1np1/p4b2/3P4/PP3NP1/1BPNPPBP/R2Q1RK1 b - -,e7e6 h2h3 f5e4 c2c4 b8d7 a3a4 f8e8 d2e4 f6e4 d1c2,36
r1br2k1/pp2ppbp/6p1/2n5/2PNp3/4P1B1/PP2BPPP/R3K2R b KQ -,c5e6 e1a1 e6d4 e3d4 d8d4 a2a4 h7h5 g3f4 e7e5 f4e3,-153
2kr3r/1p1q1pp1/p1p1b2p/2b1p3/1NBpP3/P1PQ4/1P3PPP/R4RK1 b - -,d4c3 d3c3 c5d4 c3b3 e6c4 b3c4 h8e8 a1c1 c8b8 c4c2,-233
4k3/4n3/4pq1p/3p2p1/1B1P4/1P1Q2P1/5P2/6K1 b - -,e8f7 d3h7 f7e8 b4e7 f6e7 h7h6 e8d7 g3g4 d7c6 f2f4,61
3r4/5nbk/Q2P2pp/8/3p4/3P2P1/6BP/6K1 b - -,d8d6 a6b7 f7e5 g2e4 d6f6 h2h4 h6h5 b7d5 f6c6 d5a5,66
3r2k1/p4ppp/3q4/3p4/3R1P2/2P2QPP/PK6/8 b - -,a7a5 f3d3 d8b8 b2c2 d6a3 d4d5 a3a2 c2c1 a2a1 c1d2,-109
r1bqkbnr/3p1ppp/p1p5/1p2p3/3nP3/1B1Q4/PPPP1PPP/RNB1K1NR b KQkq -,d7d5 g1e2 d4b3 a2b3 g8f6 e4d5 c6d5 d3g3 f8d6 d2d4,-98
rqr1nbk1/p3nppp/1p2p3/1N1pP3/1PP2P2/P7/1BQ2P1P/3RRBK1 b - -,g7g6 c2b3 d5c4 f1c4 e8g7 b5d6 c8c7 c4d3 a7a6 d3e4,117
8/5p2/8/p1K1k1p1/r3P1P1/2R2P2/8/8 b - -,a4d4 c5b6 a5a4 c3c5 e5f4 c5f5 f4g3 f5g5 d4d6 b6c7,-6
rn3rk1/5bp1/p1p3qp/1pP5/PP2N3/2PQ1P2/6PP/R4RK1 b - -,f7c4 d3d2 c4f1 a1f1 b5a4 d2a2 g8h8 f1d1 a8a7 d1d6,-384
4r1k1/1p1R1ppp/b7/8/8/4B2P/2QK1PP1/q7 b - -,a6b5 d7d4 a1f1 g2g3 e8a8 c2d1 f1h3 d1b1 b5c6 g3g4,-361
8/8/5k2/8/1pBp4/1P3K2/2P3Pr/8 b - -,f6e5 c4d3 h2h8 g2g3 h8f8 f3e2 f8f7 d3c4 f7e7 c4b5,-11
r1b2rk1/1p5p/1Np5/p1PpPp2/1P3bpq/P7/1BQ2PB1/R3R1K1 b - -,h4h2 g1f1 c8e6 b6a8 f8a8 b4a5 f4g5 e1e2 a8a5 f2f3,103
8/Q4nbk/3r2pp/8/3p4/3P2P1/6BP/6K1 b - -,d6f6 a7a5 f7e5 h2h4 h6h5 g2e4 f6f7 a5d5 g7f6 g3g4,58
8/5R2/7k/8/r6P/6K1/8/8 b - -,,0
r4rk1/p1p2ppp/1bb5/2p1Pq2/2Pp1P1B/5N1P/PP1Q2P1/3R1RK1 b - -,,0
r1bb2k1/5q2/pn1p1npP/8/1p1NPP2/5Q1B/PPP5/1K1R3R b - -,d6d5 f4f5 g8h8 e4e5 f6e4 f5g6 f7g6 e5e6 d8f6 h3f5,315
2kr3r/ppp1q1pp/3bb3/1P1pn3/4N3/P3P1PP/1BP1N1B1/R2QK2R b KQ -,d5e4 e1h1 e5f3 g2f3 e4f3 f1f3 d6g3 d1f1 g3d6 e2f4,-325
8/8/5B2/3B1b2/4p3/1pk4p/4nP1K/8 b - -,c3c2 f2f3 e4f3 d5f3 e2c3 h2g3 b3b2 g3f4 h3h2 f4f5,-674
8/5K2/2kB1Bp1/1pP2bP1/pP3B1P/P7/5B2/8 b - -,f5d7 f7g6 c6d5 g6h6 d7c6 h4h5 d5e4 f2g3 e4f5 d6e5,1919
8/8/3p4/1p1Ppk2/8/3K4/6P1/8 b - -,f5c8 f7g6 c6d5 h4h5 d5e4 g6h6 e4f3 f2g3 f3g4 d6e5,Mate
r4rk1/p1p3pp/2ppq1p1/4p1B1/1P4n1/P1PP1P2/7N/R5K1 b - -,f5c8 f7g6 c6d5 h4h5 d5e4 g6h6 e4f3 f2g3 f3g4 d6e5,Mate
8/5p2/8/pK2k1p1/4P1P1/2R2P2/8/r7 b - -,,0
8/8/1Pk4p/5p2/3Bp1p1/n3P1P1/P4P2/5K2 b - -,c6b7 f1e2 a3c4 e2d1 b7c6 d1c2 h6h5 c2c3 c4d6 d4e5,334
4r1k1/1b3ppp/p1qb4/1pp3Bn/8/1BPP1P1P/PP1Q2P1/R4NK1 b - -,b7c8 g5e3 h7h6 d3d4 c5d4 c3d4 c8b7 d4d5 c6d7 a1e1,56
5bk1/1p3p2/6p1/4n3/4r3/1NBR4/P5PK/5R2 b - -,e5d3 f1d1 e4e3 c3d4 d3f2 d4e3 f2d1 e3d4 f8g7 d4g7,-66
3r3r/2p4p/p1p2kp1/4R1N1/5q2/8/PPP1Q1PP/R5K1 b - -,f4d4 g1h1 d4e5 a1f1 e5f5 h2h4 h8e8 f1f5 g6f5 e2h5,603
8/8/8/8/5k2/8/r6R/6K1 b - -,,0
3r2k1/5ppp/3q4/p2p4/3R1P2/2PQ2PP/PK6/8 b - -,d8b8 b2c2 d6a3 d4d5 a3a2 c2c1 a2a1 c1d2 b8b2 d2e3,-112
4rr1k/2q3b1/1p1pNnpp/pPpPp3/1nP1PpP1/2B4P/1P1Q1PB1/R3R1K1 b - -,c7e7 e6f8 e8f8 c3b4 c5b4 c4c5 d6c5 d5d6 e7e6 g2f1,44
2kr3r/ppp1q1pp/3bb3/1P2n3/4B3/P3P1PP/1BP1N3/R2QK2R b KQ -,d6b4 e1f2 d8d1 a1d1 h8f8 e2f4 b4d6 b2e5 d6e5 h1e1,-535
8/2R2p2/8/pK4p1/4PkP1/5P2/8/r7 b - -,f4f3 c7f7 f3g4 f7f5 a5a4 b5c4 a4a3 c4b3 a3a2 f5e5,-462
r4rk1/p1p3pp/1bb2p2/2p1Pq2/2Pp1PPB/5N1P/PP1Q4/3R1RK1 b - -,,0
8/2B2k2/2p5/2b5/5Pp1/5r1p/3R3K/8 b - -,f3f2 d2f2 c5f2 c7a5 f7f6 a5d8 f6f5 d8g5 f2e3 g5h4,-1311
8/Q4nbk/5rpp/3B4/3p4/3P2P1/7P/6K1 b - -,f7e5 d5e4 e5f3 g1g2 f3e1 g2h3 e1f3 a7d7 f6f7 d7e8,34
7k/5Q1p/2p1P3/2PpK3/3P4/P4q2/8/8 b - -,f3g3 f7f4 g3f4 e5f4 h8g7 a3a4 g7g6 a4a5 h7h5 a5a6,3591
8/8/3p4/1p1P1k2/4p3/2K5/6P1/8 b - -,f3g3 f7f4 g3f4 e5f4 h8g7 a3a4 g7g6 a4a5 h7h5 a5a6,Mate
r3rk2/1pp3pp/p3Bp2/4n3/1P6/2P1RP2/P2N1P2/4R1K1 b - -,e8e6 f3f4 a8d8 e1e2 e6d6 f4e5 d6d2 e5f6 g7f6 e2d2,-88
r4rk1/1p1b1pp1/p2R1n1p/2pNp3/4P3/6P1/PPP2PBP/5RK1 b - -,f6d5 e4d5 d7f5 d6b6 f5c2 d5d6 c2d3 f1c1 c5c4 c1e1,116
r1bq1rk1/pp3p2/2pb3p/7N/3PR3/P7/1PQ2PPP/1BR3K1 b - -,d6h2 g1h2 d8d6 e4e5 f7f5 c2c3 g8h7 h2g1 c8d7 c1e1,610
8/6PK/4k3/8/1R6/1p3r2/8/8 b - -,,0
1r4k1/5p1p/6p1/5b2/pr6/1P6/B1PR1P1P/2K4R b - -,f5c2 d2c2 a4b3 a2b3 b4b3 c1d2 b3h3 d2e2 h3h5 h1g1,-362
8/5pp1/p3p2p/1p1b4/4pbP1/PP5k/4K3/6R1 b - -,g7g5 e2f2 e4e3 f2e2 h3h4 a3a4 b5a4 b3a4 h4h3 g1b1,-1140
r1br2k1/pp2ppbp/4N1p1/8/2P1p3/4P1B1/PP2BPPP/R3K2R b KQ -,c8e6 a1c1 g7b2 c1c2 b2a3 e1h1 a8c8 f1b1 b7b6 g3e5,-225
r3qrk1/1p2p2p/p2pP1pn/2pP1p2/5P2/1P1QP1PP/P5B1/1R3R1K b - -,e8b5 d3c2 a8c8 g2f3 c5c4 b3c4 c8c4 b1b5 c4c2 b5b7,106
8/Q5bk/5rpp/3B2n1/3p4/3P2P1/6KP/8 b - -,h6h5 h2h4 g5e6 d5e4 h7h8 a7d7 h8h7 d7b5 h7h8 b5c4,192
1q1rr1k1/1p1Nbpp1/p6p/P2Pp3/1PQ5/5P2/5BPP/R2R2K1 b - -,d8c8 c4e4 b8c7 d7b6 e7d6 g1h1 c7e7 b6c8 e8c8 f2c5,509
8/8/1Pk4p/5p2/2nBp1p1/4P1P1/P3KP2/8 b - -,c6d6 e2d1 d6c6 d1c2 c4d6 a2a4 h6h5 c2d2 c6d5 d2c3,378
r4k2/5pp1/7p/PR6/2pPp3/4P3/5PPP/6K1 b - -,a8c8 b5b1 c4c3 b1c1 f7f5 a5a6 c8a8 c1c3 a8a6 h2h4,175
1r4k1/5ppp/3q4/p2p4/3R1P2/2PQ2PP/P1K5/8 b - -,d6a3 d4d5 a3a2 c2c1 a2a1 c1d2 b8b2 d2e3 a1e1 e3d4,-150
2r1r1k1/4pp1p/5bp1/7q/2pB4/6P1/PPQ1PPBP/R2R2K1 b - -,c4c3 b2c3 f6d4 d1d4 h5a5 c3c4 c8c5 g2f3 e8c8 a1d1,563
rn3rk1/1p1qppbp/2pp1np1/p7/3PP3/PP3NPb/1BPN1PBP/R2QR1K1 b - -,b8a6 e4e5 h3g2 g1g2 f6d5 c2c4 d5c7 h2h4 a8d8 a1b1,80
r6r/p1p1kpp1/1pp1b2p/4Pn2/4N3/1P3N2/P1P2PPP/3RR1K1 b - -,g7g6 g2g4 f5g7 e4f6 c6c5 c2c4 h8d8 f6d5 e6d5 c4d5,58
7r/4k3/2P5/8/8/2K5/8/3R4 b - -,h8a8 c3c4 a8d8 d1d5 d8g8 d5d7 e7e6 d7d1 g8c8 c4c5,593
8/pp3k1p/6p1/2p5/P7/8/1P4PP/5KNn b - -,c5c4 g1f3 f7e6 f3g5 e6d5 g5h7 d5c5 h7f8 a7a5 f8g6,86
4rN1k/4q1b1/1p1p1npp/pPpPp3/1nP1PpP1/2B4P/1P1Q1PB1/R3R1K1 b - -,e8f8 g2f3 e7d8 g1g2 f6d7 e1h1 g7f6 g2f1 f6h4 f1e1,47
4r1k1/1b3pp1/p1qb3p/1pp4n/8/1BPPBP1P/PP1Q2P1/R4NK1 b - -,a6a5 a2a4 b5b4 a1c1 b7a6 c3b4 a5b4 d3d4 c5c4 b3c4,56
8/8/8/3B1b2/4p3/1p5p/2k1nP1K/B7 b - -,e2f4 d5c6 f4d3 h2g3 d3c5 c6b5 b3b2 a1b2 c2b2 f2f3,-793
7k/7p/2p1P3/2PpK3/3P1Q2/P5q1/8/8 b - -,g3f4 e5f4 h8g7 a3a4 h7h5 a4a5 h5h4 a5a6 h4h3 f4g3,Mate
rn3rk1/6p1/p1pQ2qp/1pP5/PPb1N3/2P2P2/6PP/R4RK1 b - -,g6d6 e4d6 c4f1 g1f1 b8d7 a4a5 d7f6 a1d1 a8d8 d1d4,-419
8/8/3p4/1p1P4/4pk2/8/3K2P1/8 b - -,g6d6 e4d6 c4f1 g1f1 b8d7 a4a5 d7f6 a1d1 a8d8 d1d4,Mate
1r4k1/5p1p/4b1p1/8/pr6/1P6/B1PR1P1P/2KR4 b - -,a4b3 c2b3 e6b3 d2d8 b8d8 d1d8 g8g7 a2b1 b4h4 c1d2,-342
r4rk1/p1p3pp/2ppq1p1/4p1B1/1P6/P1PP1P2/7K/R7 b - -,a4b3 c2b3 e6b3 d2d8 b8d8 d1d8 g8g7 a2b1 b4h4 c1d2,Mate
rnbqkb1r/ppp2ppp/n7/3pP3/3P1B2/2N2N2/PPP3PP/R2QKB1R b KQkq -,h7h6 a2a3 c8e6 b2b4 c7c6 f1d3 b8d7 e1h1 d7b6 c3e2,198
r1bq1rk1/1p2npbp/2n1p1p1/p1p1P3/2Bp1PPP/P2P1N2/1PP1NQ2/R1B1K2R b KQ -,a8b8 h4h5 b7b5 c4a2 c8b7 e2g3 c5c4 g3e4 d8c7 f2h2,186
rnbqk2r/p1p1bppp/5n2/1p1p4/P2Pp3/1B2P3/1PPBNPPP/RN1QK2R b KQkq -,b5b4 a4a5 e8h8 e1h1 c8a6 c2c3 e7d6 h2h3 b8c6 b3a4,-73
8/5K2/2kB2P1/1pP2b1p/pP3B2/P1B5/5B2/8 b - -,b5b4 a4a5 e8h8 e1h1 c8a6 c2c3 e7d6 h2h3 b8c6 b3a4,Mate
8/6P1/4k2K/8/1R6/1p4r1/8/8 b - -,,0
8/5p2/8/pKR3p1/4PkP1/5P2/8/r7 b - -,,0
7k/6qp/2pKP3/2Pp4/3P1Q2/P7/8/8 b - -,f4f3 c5g5 a1e1 g5f5 f3g4 f5f7 e1e4 b5a5 e4f4 f7g7,Mate
r2q1rk1/4ppbp/p2pbnp1/1p3P2/4P3/2PB2N1/PP4PP/R1BQ1R1K b - -,e6c8 c1e3 c8b7 d1e1 a8c8 a1d1 f6g4 e3d4 g4e5 d3e2,27
1r6/6k1/1R3p1p/pK4p1/4P3/P4P2/1P3P1P/8 b - -,b8f8 b5a5 f6f5 e4e5 f5f4 b2b4 f8c8 b6d6 c8c2 b4b5,496
2q2k2/1bbn1pp1/1p1N3p/p1p1p3/P1B1P3/3Q1P2/1PP2BPP/4K3 b - -,c7d6 d3d6 f8e8 c4b5 e8d8 b5d7 c8d7 d6b6 d7c7 b6c5,452
r1bq1rk1/pp2ppbp/2pp1np1/3Pn3/2P1P1P1/2N1B2P/PP2BP2/R2QK1NR b KQ -,b7b5 g1f3 e5f3 e2f3 c6d5 c4d5 f6d7 f3e2 b5b4 c3a4,-59
3qrnk1/4bppp/p3bn2/1prp2B1/3N3P/2NBPP2/PP3QP1/1K1R3R b - -,e6d7 d4b3 c5c3 b2c3 a6a5 b3d4 b5b4 c3b4 e7b4 d1c1,85
r4k2/1pp3pp/p3rp2/4n3/1P3P2/2P1R3/P2N1P2/4R1K1 b - -,a8d8 f4e5 d8d2 e5f6 e6f6 e3e8 f8f7 e1e7 f7g6 e8g8,-62
rqr1nbk1/p3nppp/1p1Np3/4P3/1Pp2P2/P7/1BQ2P1P/3RRBK1 b - -,g7g6 d6c8 b8c8 c2c4 e8c7 d1c1 e7d5 f1g2 c8d8 f4f5,219
r1b2rk1/1p5p/1Np5/p1PpP3/1P3ppq/P4P2/1BQ3Bb/R3RK2 b - -,c8e6 b6a8 f8a8 b4a5 h2g3 e1e2 a8e8 b2d4 h4h5 e2f2,103
1r4k1/5ppp/8/p2R4/5P2/q1PQ2PP/P1K5/8 b - -,a3a2 c2c1 a2a1 c1d2 b8b2 d2e3 a1e1 e3d4 b2b8 d5a5,-140
rn1r4/ppp2pkp/5np1/4Nb2/2P5/2N5/PP2PPPP/R3KB1R b KQ -,d8e8 e5f3 b8c6 e2e3 c6b4 a1d1 b4c2 e1e2 a8d8 d1d8,51
6K1/4k3/1R4P1/4P3/8/1p6/8/1r6 b - -,b1b2 g6g7 b2b1 b6b4 e7d7 b4d4 d7e6 d4g4 b3b2 g4g2,589
8/8/3p4/3P4/1p2pk2/8/2K3P1/8 b - -,e7d7 g6g7 d7e7 b6b4 e7d7 b4d4 d7e6 d4g4 b3b2 g4g2,Mate
rn3rk1/6p1/p1pN3p/1pP5/PPb5/2P2P2/6PP/R4RK1 b - -,c4f1 g1f1 b8d7 a4a5 d7f6 a1d1 a8d8 d1d4 d8d7 f1e2,-411
8/8/2B5/5b2/4pn2/1p5p/2k2P1K/B7 b - -,f4d3 c6e4 f5e4 h2h3 d3b2 h3g3 c2b1 a1b2 b1b2 g3f4,-894
r4rk1/1ppq1pb1/p1np1npp/3Pp3/PP6/3P2P1/3NPPBP/1RBQ1RK1 b - -,c6b8 d2c4 b7b5 c4a5 h6h5 h2h3 b5a4 d1c2 d7b5 e2e4,164
8/6k1/5R2/5PP1/3r2B1/5P1K/8/6r1 b - -,g1h1 h3g2 d4d1 f6c6 d1g1 g2f2 g1c1 c6e6 h1g1 e6e4,392
8/5p2/8/pK4R1/4P1P1/5k2/8/r7 b - -,,0
3b1k2/8/1n1Np2p/1Q1pPpq1/3P2p1/6P1/2R5/6K1 b - -,f8g7 b5e8 g5e7 e8e7 d8e7 c2c6 b6c4 d6c4 d5c4 c6e6,366
3R2k1/5p1p/4b1p1/8/1r6/1p6/B1P2P1P/2K5 b - -,g8g7 c2b3 e6b3 a2b1 b4h4 c1d2 h4h2 d2e3 h2h1 b1e4,-357
2r3k1/p7/1q3pbp/3Pp1p1/1pB1P1P1/1P3P2/P6P/2Q2K1R b - -,g6f7 f1g2 a7a5 c1g1 b6g1 h1g1 f7e8 h2h4 g8g7 g1h1,122
8/6k1/1K3p1p/p5p1/4P3/P4P2/1P3P1P/8 b - -,g7g6 b6a5 g6h5 b2b4 h5h4 b4b5 h4h3 b5b6 h3g2 b6b7,1019
rn1qk2r/pp3ppp/4bp2/8/3bN3/8/PP1QPPPP/R3KBNR b KQkq -,d4e5 d2d8 e8d8 e4c3 b8d7 e2e3 e5c3 b2c3 a8c8 g1e2,-108
r1bqr1k1/5pp1/1pp2n1p/3p4/4P1P1/1P3P2/PB3RBP/R2Q2K1 b - -,d5e4 d1d8 e8d8 b2f6 g7f6 f3e4 c8g4 f2f6 g4e6 e4e5,-20
2rr2k1/pp2ppbp/4b1p1/8/2P1p3/4P1B1/PP2BPPP/1R3RK1 b - -,d8d2 f1e1 g7b2 b1d1 d2c2 h2h3 f7f6 e2f1 g8f7 a2a4,-343
r1b2rk1/pp1nppbp/2pp1np1/q2P4/2P1PPP1/2N1B2P/PP1QB3/R3K1NR b KQ -,c6d5 c4d5 b7b5 b2b4 a5b4 a1b1 b4a5 b1b5 a5c7 b5b1,-6
r1bqk2r/pppp1ppp/2n2n2/6N1/1bB1P3/2N5/PB3PPP/R2QK2R b KQkq -,c6e5 c4b3 d8e7 e1h1 h7h6 c3b5 d7d6 a1c1 c7c6 b2e5,-94
8/8/3p4/3P4/1p3k2/1K2p3/6P1/8 b - -,d7d5 e4d5 d8e7 c4e2 e7e5 e1h1 e5g5 d5c6 e8h8 d1c1,Mate
rqr2bk1/p3nppp/1p1Pp3/8/1Pp2P2/P7/1BQ2P1P/3RRBK1 b - -,e7g6 d6d7 c8d8 f4f5 e6f5 f1c4 b8f4 c4f7 g8h8 c2c6,332
rnbqkb1r/1pp1pppp/p4n2/8/2B5/5N2/PPPPQPPP/RNB1K2R b KQkq -,c7c5 d2d3 b7b5 c4b3 e7e6 a2a4 c8b7 a4b5 a6b5 a1a8,-24
3r3k/p1b3p1/1p3n1p/2p2N2/2PnB2q/1P2BP1P/P1Q1RPK1/8 b - -,f6e4 f5h4 d4c2 f3e4 c2e3 e2e3 g7g5 h4f5 c7f4 e3e2,149
rn3rk1/6p1/p1pN3p/1pP5/PP6/2P2P2/6PP/5RK1 b - -,b5a4 f1a1 a6a5 a1a4 b8d7 b4a5 d7c5 a4a3 f8b8 a3a1,-436
r2q1rk1/4ppbp/p2p1np1/1p3P2/2B1P3/2P3N1/PP4PP/R1BQ1R1K b - -,a8c8 c4b3 a6a5 a2a4 b5b4 c3b4 a5b4 d1e2 f6d7 c1e3,470
r2q1N2/ppp1r1pk/5p2/3p2B1/1b1P4/4P3/2Q1KPPP/7R b - -,h7g8 g5f6 d8f8 f6e7 f8e7 h2h4 e7e6 e2f1 a8f8 h1h3,-443
8/8/3p4/3P4/1K3k2/8/4p1P1/8 b - -,h7g8 g5f6 d8f8 f6e7 f8e7 h2h4 e7e6 e2f1 a8f8 h1h3,Mate
rn3rk1/1p1q1pbp/2pppnp1/p7/2NPP3/PP3NP1/1BP2PKP/R2QR3 b - -,d7e7 e4e5 f6e8 a3a4 b7b5 a4b5 c6b5 c4a5 e7c7 d1d2,172
rn1Qk2r/pp3ppp/4bp2/4b3/4N3/8/PP2PPPP/R3KBNR b KQkq -,e8d8 e4c3 b8d7 e2e3 e5c3 b2c3 a8c8 g1e2 d8e7 e1d2,-109
rqr2bk1/p2P1ppp/1p2p3/3n4/1Pp2P2/P7/1BQ2P1P/3RRBK1 b - -,c4c3 d7c8r b8c8 b2c1 g7g6 f4f5 g6f5 d1d3 f8d6 g1h1,388
r4rk1/1p2p2p/p2pP1pn/1qpP1p2/5P2/1P2P1PP/P1Q3B1/1R3R1K b - -,a8c8 g2f3 c5c4 b3c4 c8c4 c2d2 b5c5 b1b7 c4c2 d2e1,89
