6k1/p4p2/6b1/1p1p2P1/2pP1P2/P1R3K1/1PB1r3/8 b - -,e2c2 c3c2 g6c2 g3g4 a7a5 f4f5 b5b4 a3b4 a5b4 g4f4,-1005
r1r4k/ppq1pp1p/4b1pQ/4p1PR/8/2N2P2/PPP5/1K1R1B2 b - -,g6h5 f1d3 f7f5 h6e6 c8g8 d3f5 g8g5 e6f7 g5g7 f7h5,455
r1r4k/ppq1pp1p/4b2Q/4p1Pp/8/2NB1P2/PPP5/1K1R4 b - -,e6a2 c3a2 e5e4 d3e4 f7f5 g5f6 e7f6 h6f6 c7g7 f6f5,522
2kr3r/pp2q3/2p5/3n2pp/2Q5/2P3BP/P4PP1/R3R1K1 b - -,e7f7 c4c5 d5f4 c5a7 h5h4 a1b1 f7c7 g3f4 g5f4 e1e7,358
r1bqk2r/1ppp1ppp/p1B5/2b1p3/4P1n1/5N2/PPPPRPPP/RNBQ2K1 b kq -,d7c6 h2h3 h7h5 d2d4 c8e6 d1d3 e5d4 b1d2 c5a7 e4e5,33
R1Qn1rk1/6p1/4p2p/3p4/3N3P/5qP1/4RP2/6K1 b - -,f3g4 d4e6 d8e6 c8e6 g4e6 a8f8 g8f8 e2e6 f8f7 e6b6,875
r1bq1rk1/ppp1bppp/2n1pn2/3p2B1/2PP4/P3PN2/1PQ2PPP/RN2KB1R b KQ -,d5c4 f1c4 h7h6 g5h4 b7b6 c4a2 c8b7 b1c3 c6a5 a2b1,80
3n4/7p/8/1kpKN3/p2p2P1/3P3P/1PP5/8 b - -,b5b4 h3h4 a4a3 b2a3 b4c3 g4g5 c5c4 d3c4 c3c2 d5d4,835
r1bq1Bk1/p3bp1p/2n1p3/1p1pn3/2p5/2N2N2/PPPQ2PP/2KR1B1R b - -,e7f8 f1e2 f8g7 f3e5 c6e5 c1b1 d8b6 d2g5 c8d7 e2f3,-225
5rk1/2qbbppp/3ppn2/8/pr2PP2/2B2BQ1/1PP1N1PP/R4RK1 b - -,b4c4 g1h1 g7g6 e2d4 d6d5 e4d5 e6d5 d4e2 c7b6 f1d1,-71
5rk1/2qbbppp/3ppn2/4P3/p1r2P2/2B2BQ1/1PP1N1PP/R4RK1 b - -,d6e5 c3e5 c7b6 g1h1 c4c2 e2c3 d7c6 c3a4 b6b7 a1c1,-74
r1bqr1k1/pp1nbppp/2p2n2/3p2B1/3P4/2N1PN2/PPQ1BPPP/R4RK1 b - -,a7a6 e2d3 h7h6 g5f4 c6c5 d4c5 d7c5 f1d1 c5d3 c2d3,30
5N2/p1pqr1pk/1pb2p1p/3p1P1Q/3P4/2P3P1/PP5P/6K1 b - -,h7h8 f8d7 c6d7 h5f3 e7e4 g3g4 d7b5 f3g3 h8h7 g3c7,142
r2qkbnr/pp2pppp/2b5/3pP3/3p1P2/5N2/PPP3PP/RNBQK2R b KQkq -,e7e6 b1d2 d4d3 c2c3 c6b5 d2b3 g8e7 a2a4 b5c4 b3d4,-25
rnb1kb1r/ppppqppp/7n/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -,d7d5 d2d3 d5e4 d3e4 e7e4 f1e2 e4g6 e1h1 f8d6 e2d3,96
8/8/3k4/7R/r6P/5P2/5K2/8 b - -,d6e6 f2g3 e6f6 h5g5 a4a1 g3h2 a1a3 g5g3 a3a4 h4h5,24
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/4P1PP/PPP1NPB1/RNBQK2R b KQkq -,f8e7 e1h1 e8h8 f1e1 d8c7 b2b3 f8d8 c1b2 c5d4 e3d4,-42
4K3/3P4/4k3/8/8/8/3r4/2R5 b - -,b7b5 e1h1 c8b7 b2b3 a8c8 c1b2 d8c7 c2c3 f8e7 b1d2,Mate
Q2R4/2P5/8/8/4k3/8/8/1K6 b - -,b7b5 e1h1 c8b7 b2b3 a8c8 c1b2 d8c7 c2c3 f8e7 b1d2,Mate
r1bqkb1r/pp2p1pp/2np4/2p2p2/7Q/2P2N2/PP1PBPPP/RNB1K2R b KQkq -,e7e5 h4d8 e8d8 e1h1 h7h6 d2d4 c5d4 c3d4 e5e4 f3h4,331
