8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
rn1qkbnr/ppp2pp1/4p2p/3P1b2/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,d8e7 d5e6 e7e6 d4d5 e6f6 e2e4 f5g4 c1e3 g4f3 d1f3,519
rnbqkbnr/1pp1pppp/p7/3p4/2PP1B2/8/PP2PPPP/RN1QKBNR b KQkq -,c8f5 d1b3 b7b5 c4c5 f7f6 g1f3 e7e5 f4g3 g8e7 a2a4,91
rn1qkbnr/1b2pppp/p1p5/1p6/P1pP1B2/2N1PN2/1P3PPP/R2QKB1R b KQkq -,g8f6 f1e2 e7e6 e1h1 b8d7 f4g3 f8e7 f3d2 e8h8 d1c2,-97
rnb1kb1r/pp2pppp/5n2/3q4/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,d5e6 c1e3 a7a6 a1c1 b8d7 d1a4 e6b6 f1c4 e7e6 d4d5,289
rnbqk2r/pp1p1ppp/2P2n2/8/1b6/2N5/PP2PPPP/R1BQKBNR b KQkq -,b8c6 e2e3 e8h8 f1d3 f8e8 g1e2 d7d5 e1h1 c8g4 h2h3,-56
r2qkb1r/ppp2ppp/2np1n2/1B6/3PP1b1/5N2/PP3PPP/RNBQK2R b KQkq -,g4f3 d1f3 a7a6 b5c6 b7c6 e1h1 f8e7 b1c3 e8h8 f1d1,125
r1b1kb1r/ppq1nppp/2n1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq -,e7f5 b1a3 c5d4 a3b5 c7d8 b5d4 f5d4 c3d4 c8d7 c1d2,74
r1bqkbnr/ppp2ppp/2np4/4p3/8/2N2NP1/PPPPPPBP/R1BQK2R b KQkq -,f8e7 d2d4 g8f6 d4d5 c6b8 f3d2 c7c6 d2c4 e8h8 e1h1,50
r1bqkb1r/pp2pppp/5n2/2p1Q3/8/2P5/PP1P1PPP/RNB1KB1R b KQkq -,e7e6 f1b5 c8d7 b1a3 f8e7 e5e2 e8h8 a3c2 d7b5 e2b5,-88
r1bq1rk1/pppp1pp1/2n2n1p/1B2p3/1b2P3/2NP1N2/PPPB1PPP/R2Q1RK1 b - -,b4d6 b5a4 a7a6 c3e2 c6e7 c2c4 c7c5 f3h4 d6c7 f2f4,21
r1bqkb1r/ppp2ppp/2n1pn2/3p2B1/2PP4/1P3N2/P3PPPP/RN1QKB1R b KQkq -,d5c4 b3c4 h7h6 g5c1 f8b4 c1d2 b4d2 d1d2 d8e7 e2e3,-51
r1bqk2r/ppp2ppp/2n1pn2/3p4/3P4/P2BP1P1/1PP2PP1/RN1QK1NR b KQkq -,d8d6 g3g4 e6e5 g4g5 f6g4 d3e2 h7h5 e2g4 c8g4 d1g4,31
r1bqkb1r/ppp3pp/2p2n2/4p3/4N3/3P1N2/PPP2PPP/R1BQK2R b KQkq -,c8g4 h2h3 g4h5 d1e2 f8b4 c2c3 b4d6 c1g5 d8e7 e4g3,46
r1bqk1nr/pppp1pp1/1bn4p/8/2BPP3/5N2/PP1B1PPP/RN1QK2R b KQkq -,g8f6 b1c3 d7d6 d4d5 c6e5 f3e5 d6e5 d1f3 e8h8 e1h1,52
rn1qkbnr/ppp1p1pp/5p2/3p1b2/3P3N/2N5/PPP1PPPP/R1BQKB1R b KQkq -,f5e6 e2e4 d8d7 e4d5 e6d5 c3d5 d7d5 c1e3 b8c6 c2c3,205
6k1/6p1/2q1p1P1/4Pn1Q/8/5RB1/8/7K b - -,f5e6 e2e4 d8d7 e4d5 e6d5 c3d5 d7d5 c1e3 b8c6 c2c3,Mate
r1bqkbnr/ppp2ppp/2n5/3pp3/2PP4/3BP3/PP3PPP/RNBQK1NR b KQkq -,e5d4 e3d4 f8b4 c1d2 d5c4 d3c4 d8d4 d1e2 c8e6 c4e6,-96
r2qkbnr/pppb1ppp/2np4/4p1N1/2B1P3/3P3P/PPP2PP1/RNBQK2R b KQkq -,d8e7 g5f7 c6a5 f7h8 a5c4 d3c4 g8f6 b1c3 e7e6 d1d3,753
rnbqkb1r/pppppp1p/6p1/3nP3/3P1P2/8/PPP3PP/RNBQKBNR b KQkq -,e7e6 g1f3 d5e7 c1e3 b7b6 b1c3 d7d5 e5d6 e7f5 d6c7,132
r1bqk2r/pppp1ppp/2n1pn2/b7/3P4/2PBPN2/PP1N1PPP/R1BQK2R b KQkq -,d7d6 b2b4 a5b6 c1b2 a7a6 d1c2 e6e5 d4e5 c6e5 f3e5,181
r1bqk2r/ppp2ppp/2np1n2/4p3/1bB1P3/2NP1N2/PPPB1PPP/R2Q1RK1 b kq -,a7a6 a2a3 b4c3 d2c3 b7b5 c4b3 e8h8 c3d2 a6a5 a3a4,40
rnbqkbnr/pppp2pp/8/4pp2/1PP5/8/PB1PPPPP/RN1QKBNR b KQkq -,a7a5 b2e5 b8c6 e5b2 a5b4 a2a3 d7d5 c4d5 d8d5 g1f3,82
r2qkbnr/ppp1p1pp/2n2p2/3p1b2/2PP1B2/P3P3/1P3PPP/RN1QKBNR b KQkq -,a7a6 c4d5 d8d5 b1c3 d5d7 d4d5 c6d8 e3e4 f5g4 f2f3,234
rnbqkb1r/pp2pppp/5n2/3P4/8/6P1/PP1P1P1P/RNBQKBNR b KQkq -,d8d5 g1f3 c8g4 f1g2 d5e4 e1f1 e4d3 f1g1 b8c6 h2h3,-95
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/2P1PN2/PP2BPPP/RNBQK2R b KQkq -,c7c5 e1h1 b8c6 b1d2 a7a6 f3h4 f5e4 h4f3 e4g6 f3h4,-30
r1bqkbnr/ppp2ppp/2n5/4P3/8/2N5/PPP1P1PP/R1BQKBNR b KQkq -,c6e5 d1d8 e8d8 c1f4 f8d6 e1a1 c8d7 e2e3 e5g4 f4d6,62
rnbqkb1r/pp2pppp/5n2/2pp4/3P4/2P3P1/PP1NPP1P/R1BQKBNR b KQkq -,b8c6 g1f3 c5d4 c3d4 c8f5 f1g2 e7e6 e1h1 f8d6 d2b3,-90
1n3b1r/2N1k1pp/4pp2/2K1NPB1/3P4/1q6/1P5P/Q4B1R b - -,e7e6 f1g2 b8c6 g1f3 f8e7 e1h1 e8h8 e2e3 b7b6 f3e5,Mate
r1bqk2r/1p2bppp/p2ppn2/2n2P2/3NP3/1BN5/PPP3PP/R1BQ1RK1 b kq -,b7b5 f5e6 f7e6 a2a3 c5b3 c2b3 e8h8 b3b4 c8d7 c1e3,-34
r1bqk2r/ppppnppp/2n5/2b5/3PPP2/5N2/PP4PP/RNBQKB1R b KQkq -,c5b4 b1c3 d7d5 e4e5 e7f5 f1b5 e8h8 b5c6 b7c6 e1h1,55
r2qkbnr/ppp3pp/2n1pp2/3p1b2/2PP1B2/P3PN2/1P3PPP/RN1QKB1R b KQkq -,d8d7 b1c3 g8e7 a1c1 d5c4 f1c4 e7d5 f4g3 h7h5 c3d5,155
1n3b1r/2N1k1pp/4pp2/K1n1NPB1/3P4/1q6/1P5P/Q4B1R b - -,d8d7 b1c3 g8e7 a1c1 d5c4 f1c4 e7d5 f4g3 h7h5 c3d5,Mate
rnbqkb1r/pp2pp1p/2pp1np1/8/5P2/1P2PN2/PBPP2PP/RN1QKB1R b KQkq -,f8g7 b1c3 e8h8 d2d4 b8d7 d1d2 f8e8 e1a1 b7b5 f1d3,-48
4r1k1/pp3pbp/3p2p1/5n2/1PPn4/P4P2/R3BPqP/3QKR2 b - -,f8h6 f1e2 e8h8 e1h1 b7b5 f1e1 b8d7 d2d4 c8b7 c2c4,Mate
6k1/7r/4Q3/6K1/8/8/8/8 b - -,f8h6 f1e2 e8h8 e1h1 b7b5 f1e1 b8d7 d2d4 c8b7 c2c4,Mate
rnbqkb1r/ppp2ppp/4pn2/3p4/3PP2P/2N5/PPP2PP1/R1BQKBNR b KQkq -,f6e4 c3e4 d5e4 g1e2 b8d7 e2g3 f7f5 g3h5 d8e7 f1e2,-89
rnbqkb1r/ppp2ppp/4pn2/6B1/3Pp2P/2N5/PPP2PP1/R2QKBNR b KQkq -,f8b4 g1e2 b8d7 a2a3 h7h6 a3b4 h6g5 h4h5 d8e7 d1c1,-71
r2qkbnr/pp2pppp/2np4/3P4/2P3b1/5N2/PP3PPP/RNBQKB1R b KQkq -,g7g6 d5c6 b7c6 b1c3 f8g7 h2h3 g4d7 f1d3 g8f6 e1h1,380
r1bqkb1r/ppppnppp/8/5NB1/8/8/PPP2PPP/R2QKB1R b KQkq -,f7f6 g5f6 g7f6 d1h5 e7g6 e1a1 c7c6 d1e1 e8f7 f5h4,-153
r5k1/4npb1/pp2p1pp/8/P1p1bPP1/8/1PPN3P/R1B2BK1 b - -,a7a5 g5e7 f8e7 f5g7 e8f8 g7h5 d7d5 d1f3 h8g8 h2h3,Mate
8/2pk4/2n3B1/pQ1pq1Pp/3N2bP/1PK5/2P5/8 b - -,a7a5 g5e7 f8e7 f5g7 e8f8 g7h5 d7d5 d1f3 h8g8 h2h3,Mate
r2qkb1r/pppn1ppp/3p1n2/4p1B1/2B1P3/3P1Q1P/PPP2PP1/RN2K2R b KQkq -,d7c5 g5e3 c7c6 e1h1 f8e7 e3c5 d6c5 a2a4 e7d6 b1d2,75
r1bqkbnr/pp3ppp/3pp3/1B6/3QP3/2N5/PPP2PPP/R1B1K2R b KQkq -,d8d7 c1f4 g8f6 f4d6 f8d6 d4d6 a7a6 b5d7 c8d7 d6g3,642
rnbqkb1r/pp1p1ppp/4pn2/8/2BP4/5N2/PPP2PPP/RNBQK2R b KQkq -,b7b6 e1h1 c8b7 f1e1 b8c6 c2c3 c6e7 c4f1 e7g6 b1d2,42
6k1/2p4p/6p1/2p2p2/p2P3P/P2K1RP1/1Pr1rP1R/8 b - -,b7b6 e1h1 c8b7 f1e1 b8c6 c2c3 c6e7 c4f1 e7g6 b1d2,Mate
r1bqk1nr/pppp2pp/2n2p2/2b1p3/4P2B/2PP1N2/PP3PPP/RN1QKB1R b KQkq -,g8e7 d3d4 e5d4 c3d4 c5b4 b1c3 d7d5 f1d3 d5e4 d3e4,83
8/p2Rr2k/6qp/2pQ4/3b1P2/2P3B1/PP4PN/5K2 b - -,g8e7 d3d4 e5d4 c3d4 c5b4 b1c3 d7d5 f1d3 d5e4 d3e4,Mate
r2qkbnr/ppp1p1pp/2n2p2/1B1pPb2/3P4/P7/1PP2PPP/RNBQK1NR b KQkq -,h7h5 g1f3 e7e6 e1h1 d8d7 c2c3 g8e7 f1e1 e7g6 b2b4,78
3R4/p6k/7p/2pQ4/3b1PnB/2P5/PPq3P1/4NK2 b - -,h7h5 g1f3 e7e6 e1h1 d8d7 c2c3 g8e7 f1e1 e7g6 b2b4,Mate
rn1qk1nr/ppp1ppbp/3p2p1/5b2/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,h7h5 h2h3 g8f6 f3g5 e8h8 e2e4 f5c8 f4e3 b8d7 f1d3,119
rnb1kb1r/pp3ppp/3pp3/q5n1/8/2N5/PPPBNP1P/R2QKB1R b - -,h7h5 h2h3 g8f6 f3g5 e8h8 e2e4 f5c8 f4e3 b8d7 f1d3,Mate
r1b1k2r/ppppqppp/8/4n3/1bP5/1PN3P1/P2BPP1P/R2QKB1R b - -,h7h5 h2h3 g8f6 f3g5 e8h8 e2e4 f5c8 f4e3 b8d7 f1d3,Mate
rnb1kbnr/pppp2pp/5q2/4p1B1/4P3/5N2/PPP2PPP/RN1QKB1R b KQkq -,f6b6 f1c4 h7h6 d1d5 b6e6 d5b5 e6g6 b5e5 g8e7 g5e7,192
6k1/2r3pp/p3pQ2/3p4/8/1Np3R1/P1q2PP1/5K2 b - -,f6b6 f1c4 h7h6 d1d5 b6e6 d5b5 e6g6 b5e5 g8e7 g5e7,Mate
r3k2N/ppp3pp/8/2qPp3/2Bnn1b1/7P/PPPP2P1/RNB2QKR b - -,f6b6 f1c4 h7h6 d1d5 b6e6 d5b5 e6g6 b5e5 g8e7 g5e7,Mate
rnbqkbnr/pp3ppp/8/1Bpp4/8/5NP1/PPPP1P1P/RNBQK2R b KQkq -,d8d7 b5d7 c8d7 e1h1 b8c6 f1e1 f8e7 b2b4 d7g4 b4c5,837
r1bk1b1r/ppp1n3/2p2B2/5p2/4P3/3P4/P1P2PPP/RN2K2R b KQ -,h8h6 f6g5 h6h5 g5f6 d8e8 b1d2 f8h6 e1a1 f5e4 d3e4,-313
3bq1k1/6pp/4p3/ppp1P3/8/2PP1Q2/PP3RPP/6K1 b - -,a5a4 f3a8 e8d7 g2g3 h7h6 a8f3 g8h7 a2a3 d8g5 f3e4,491
r1bqkb1r/pp3ppp/2n2n2/2pP4/8/1B3N2/PP1P1PPP/RNBQK2R b KQkq -,f6d5 e1h1 f8e7 d2d4 c5d4 f3d4 e8h8 b1c3 d5c3 b2c3,12
8/8/8/3k1bQ1/8/8/3K4/8 b - -,f6d5 e1h1 f8e7 d2d4 c5d4 f3d4 e8h8 b1c3 d5c3 b2c3,Mate
8/8/2n2Q2/1K1k4/8/8/8/8 b - -,c6d4 b5b4 d4c6 b4c3 d5c5 f6e6 c5b5 e6f5 b5b6 c3c4,483
rnb1kbnr/ppp2ppp/8/q7/5p2/2NP1N2/PPP3PP/R1BQKB1R b KQkq -,b8c6 c1f4 g8f6 f1e2 f8a3 d1c1 a5b4 b2a3 b4c3 f4d2,-54
r1bqkb1r/pp1pnppp/2n1p3/2p1P3/2B5/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,e7g6 c4e2 b7b6 h2h4 c8b7 h4h5 g6e5 f3e5 c6e5 d2d4,-188
rnb1kbnr/ppp1qpp1/3p3p/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,a7a5 d3d4 c7c6 a2a4 g8f6 d1e2 g7g6 d4e5 d6e5 h2h3,106
r1bqkb1r/pp1p1ppp/2n1p1n1/2p1P3/2B5/2N2N2/PPPPQPPP/R1B1K2R b KQkq -,a7a6 e1h1 d8c7 d2d3 g6e5 f3e5 c7e5 e2e5 c6e5 f2f4,-228
2b5/k1p1R3/p1Qb4/N2P4/1P5p/pK5P/6q1/8 b - -,g2b2 b3c4 b2c2 c4d4 c2d2 d4c4 d2f4 c4c3 d6e7 c6c4,-1208
r2qkbnr/ppp1pppp/2n5/5b2/3P4/3BP3/PP3PPP/RNBQK1NR b KQkq -,f5d7 a2a3 e7e5 d4d5 c6e7 g1f3 e7g6 e1h1 g8f6 e3e4,87
rn1qkbnr/pp3ppp/2p1p1b1/3p4/3P1B2/2NBPN2/PPP2PPP/R2QK2R b KQkq -,d8a5 e1h1 g8f6 d1e2 f8e7 f1c1 e8h8 e3e4 f8c8 a2a4,32
r3r1k1/pbq2ppp/1pnbpn2/2ppN3/3P1P2/2PBP1BP/PP1N2P1/R2Q1RK1 b - -,a8c8 d1f3 e8f8 g3h4 d6e7 h4f6 e7f6 e5g4 c7e7 g4f6,64
rnbqk1nr/ppp2pbp/6p1/3p2B1/3P4/2N2N2/PPP2PPP/R2QKB1R b KQkq -,d8d6 c3b5 d6b6 c2c4 a7a6 d1e2 e8f8 b5c3 g8f6 c4c5,151
4k3/4N3/3KB3/8/8/8/8/8 b - -,d8d6 c3b5 d6b6 c2c4 a7a6 d1e2 e8f8 b5c3 g8f6 c4c5,Mate
rnbqk2r/pp2bppp/2p2n2/3p4/3P4/2NBP3/PP2NPPP/R1BQK2R b KQkq -,h7h6 c1d2 e8h8 e1h1 f8e8 a1c1 e7d6 f2f3 b8a6 a2a3,26
r1b1kbnr/pp3pp1/1qn5/3pp3/7p/1P3N1P/P1P1PPPB/RN1QKB1R b KQkq -,e5e4 f3e5 e4e3 f2e3 g8f6 a2a4 f8c5 a4a5 c6a5 g2g4,-578
rnbqk1nr/pp2ppb1/2pp2p1/6Bp/3PP2P/2N5/PPPQ1PP1/R3KBNR b KQkq -,d8a5 g1f3 g8f6 f1c4 b7b5 c4d3 c8g4 e1h1 e8h8 e4e5,95
rnbqkbnr/pp4pp/2p1pp2/3p4/2PP4/2NBP3/PP3PPP/R1BQK1NR b KQkq -,d8c7 e3e4 d5e4 d3e4 e6e5 g1e2 c8e6 d4d5 e6f7 e2g3,209
rnbq1rk1/ppp2pbp/3p1np1/4p3/4PP2/2NP1NP1/PPP3BP/R1BQK2R b KQ -,b8d7 e1h1 a8b8 f4f5 b7b5 d1e2 a7a5 c3d1 d6d5 d1f2,55
5N2/8/7k/3B1K2/8/8/8/8 b - -,b8d7 e1h1 a8b8 f4f5 b7b5 d1e2 a7a5 c3d1 d6d5 d1f2,Mate
rnbqkbnr/pp3ppp/2pp4/4P3/3Q4/5N2/PPP2PPP/RNB1KB1R b KQkq -,d6e5 d4e5 d8e7 f1c4 b8d7 e5e7 f8e7 e1h1 d7c5 f1e1,66
r1bq1rk1/ppp1ppbp/2np1np1/8/3P1B1P/2NBPN2/PPP2PP1/R2QK2R b KQ -,c6b4 d3c4 c7c5 d4c5 d8c7 e1h1 c7c5 c4b3 b4c6 d1d3,-75
rnbqkbnr/ppp2ppp/8/4p3/8/2N2NP1/PPPP1P1P/R1BQKB1R b KQkq -,g8f6 f3e5 f8c5 f1g2 c5f2 e1f2 d8d4 f2f1 d4e5 d1e1,128
r1bqkbnr/ppp2ppp/2n5/1B2p3/8/2N2NP1/PPPP1P1P/R1BQK2R b KQkq -,d8d6 d1e2 c8d7 e1h1 e8a8 b5c6 d7c6 f3e5 c6e8 e5c4,91
r1bqkbnr/ppp2ppp/2np4/4p3/2B1P1Q1/2N5/PPPP1PPP/R1B1K1NR b KQkq -,c8g4 g1e2 c6a5 c4b3 d8h4 d2d3 f7f6 c1e3 a5b3 a2b3,-1225
r1bqk1nr/ppp2pbp/2np2p1/4p3/8/2PP1NP1/PP2PPBP/RNBQ1RK1 b kq -,g8e7 e2e4 a7a5 a2a4 e8h8 f1e1 g8h8 b1a3 c8g4 h2h3,30
r1b1kb1r/pppp1ppp/2n2q1n/4p1N1/2B1P3/3P4/PPP2PPP/RNBQK2R b KQkq -,d7d6 b1c3 f6d8 g5f3 c8g4 h2h3 g4f3 d1f3 c6d4 f3d1,121
rn1qk2r/ppp2pp1/4pn1p/3p1b2/1bPP1B2/2N1PN1P/PP3PP1/R2QKB1R b KQkq -,a7a6 f1d3 d5c4 d3c4 e8h8 e1h1 b8c6 a2a3 b4d6 f4d6,58
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/4PN2/PPQN1PPP/R1B1KB1R b KQ -,b7b6 b2b3 c7c5 d4c5 e7c5 c4d5 d8d5 c1b2 c8b7 f1e2,-37
r1bqr1k1/ppp3pp/1b3p2/3N2B1/2Bn4/5P2/PPPQ2PP/2KR3R b - -,f6g5 d5b6 c8e6 b6a8 c7c5 c4e6 e8e6 c2c3 d8a8 c3d4,858
rnbqkb1r/pp2pppp/2pp4/8/2BPn3/5N2/PPP2PPP/RNBQ1RK1 b kq -,d6d5 c4d3 c8f5 f3h4 g7g6 h4f5 g6f5 c2c4 f8g7 c1e3,-58
rnbqk2r/1p2ppbp/p2p1np1/2pP4/2P1P3/2N2N1P/PP3PP1/R1BQKB1R b KQkq -,b8d7 f1e2 e8h8 e1h1 b7b6 c1e3 f8e8 a2a4 e7e6 f3d2,157
5k2/8/4K1B1/8/6N1/8/8/8 b - -,b8d7 f1e2 e8h8 e1h1 b7b6 c1e3 f8e8 a2a4 e7e6 f3d2,Mate
r1bqkbnr/pp1ppp1p/2n3p1/8/4P3/2Q2N2/PPP2PPP/RNB1KB1R b KQkq -,c6e5 c3e5 g8f6 e5d4 d8b6 d4b6 a7b6 b1c3 d7d6 c3b5,503
rnbqk1nr/pp3ppp/1bp1p3/2Pp4/1P1P4/P1N2N2/4PPPP/R1BQKB1R b KQkq -,b6c7 e2e4 d5e4 c3e4 g8e7 a3a4 e8h8 f1d3 f7f5 e4d6,83
r2qkbnr/ppp2ppp/2n1p3/5b2/2B2B2/2NP1N2/PPP2PPP/R2QK2R b KQkq -,f8d6 f4d2 g8f6 e1h1 e8h8 h2h3 a7a6 f1e1 h7h6 c3e4,-13
rnbqk1nr/pppp1pbp/6p1/8/2B1P3/2P2N2/PP3PPP/RNBQK2R b KQkq -,a7a6 e4e5 d7d5 e5d6 c7d6 c1f4 d8e7 d1e2 d6d5 c4d5,89
8/5K1k/8/8/2B2N2/8/8/8 b - -,a7a6 e4e5 d7d5 e5d6 c7d6 c1f4 d8e7 d1e2 d6d5 c4d5,Mate
r4k2/pppb1Pp1/2np3p/2bN4/2B2B2/8/PP3QPP/4R2K b - -,c5f2 e1e2 f2h4 d5c7 a8d8 f4d6 h4e7 d6e7 c6e7 e2d2,112
r1bqk1nr/pppp1pbp/6p1/4N3/4P3/2P5/PP3PPP/RNBQKB1R b KQkq -,d7d5 e5f3 c8g4 e4e5 g4f3 d1f3 g7e5 f1d3 g8f6 e1h1,761
rnbqk1nr/ppppp1bp/5pp1/8/3P4/1P2P3/PBP2PPP/RN1QKBNR b KQkq -,c7c6 c2c4 f6f5 h2h4 d7d5 b1c3 g8f6 h4h5 e7e6 f1e2,120
r1bqkb1r/1p2pppp/p1np1n2/2p5/4P3/2PP1N2/PP2BPPP/RNBQ1RK1 b kq -,b7b5 a2a4 b5b4 c3b4 c6b4 e4e5 f6g4 e5d6 e7d6 d3d4,80
rnbqkb1r/ppp2ppp/5n2/3p4/3PpB2/2P3P1/PP2PPBP/RN1QK1NR b KQkq -,f8d6 f4d6 d8d6 e2e3 c7c6 g1e2 a7a5 e1h1 b7b5 a2a4,-88
r1bqk1nr/ppppppbp/2n3p1/8/3PP3/1P3N2/P1P2PPP/RNBQKB1R b KQkq -,a7a6 c1b2 d7d6 f1e2 g8f6 d4d5 c6b8 c2c4 e7e5 d5e6,40
r1bqk2r/ppp2ppp/2n1pn2/1B1p4/1b1P1P2/2N1PN2/PPP3PP/R1BQK2R b KQkq -,e8h8 e1h1 c6e7 b5d3 c7c5 d4c5 b4c5 c3e2 e7f5 e2d4,-56
r1bqk2r/pppp1ppp/2n2n2/1B2p3/4P3/2P2N2/P1PP1PPP/R1BQK2R b KQkq -,f6e4 d1e2 e4d6 b5c6 d7c6 e2e5 d8e7 e5e7 e8e7 e1h1,-36
8/8/4N3/7B/8/5k2/3K4/8 b - -,f3e4 e6g5 e4d4 h5g6 d4c4 g6f7 c4c5 d2c3 c5d6 g5h7,7603
rnbqkbnr/ppp1pp1p/6p1/8/8/2N3P1/PPPP1PBP/R1BQK1NR b KQkq -,g8f6 g1f3 f8g7 d2d4 c8g4 h2h3 g4f3 d1f3 b8c6 c3e2,87
r1b1kbnr/ppq2ppp/2n1p3/2p5/3pPP2/3P1NP1/PPP1N2P/R1BQKB1R b KQkq -,b7b6 f1g2 g8f6 h2h3 f8e7 c1d2 c8b7 e1h1 f6d7 a2a4,6
8/6k1/4Kp2/5P2/8/8/8/8 b - -,b7b6 f1g2 g8f6 h2h3 f8e7 c1d2 c8b7 e1h1 f6d7 a2a4,Mate
rnb1kb1r/ppp2ppp/3p4/3n4/3Pq3/4BN2/PPPQ1PPP/RN2KB1R b KQkq -,e4g6 b1c3 d5e3 f2e3 c7c6 e3e4 g6h6 d2h6 g7h6 e1a1,132
rnbqk1nr/ppp2pbp/3Pp1p1/8/2B5/5N2/PPPP1PPP/RNBQK2R b KQkq -,c7c6 d2d4 d8d6 a2a4 g8f6 b2b3 b8d7 c1a3 d6c7 b1c3,85
rnbq1rk1/1pp2ppp/p2p1n2/2b1p3/2BPP3/2N2N1P/PPP2PP1/R1BQ1RK1 b - -,c5b6 d4e5 d6e5 d1d8 f8d8 f3e5 c8e6 c4e6 f7e6 c1f4,246
rn1qkbnr/pp3ppp/4p3/2ppP3/8/5N2/PPPPQPPP/RNB1K2R b KQkq -,b8c6 d2d3 g8e7 c2c3 e7g6 e1h1 f8e7 d3d4 c5d4 c3d4,-41
8/5B2/8/4N3/8/2K5/8/1k6 b - -,b1a1 e5d3 a1b1 d3e1 b1a1 e1c2 a1b1 f7b3 b1c1 b3a2,7631
8/5B2/8/8/2N5/2K5/8/k7 b - -,b1a1 e5d3 a1b1 d3e1 b1a1 e1c2 a1b1 f7b3 b1c1 b3a2,Mate
8/5B2/8/8/8/2K5/2N5/k7 b - -,b1a1 e5d3 a1b1 d3e1 b1a1 e1c2 a1b1 f7b3 b1c1 b3a2,Mate
r1bqkbnr/pp3ppp/2npp3/8/3NPP2/4B3/PPP3PP/RN1QKB1R b KQkq -,f8e7 b1c3 g8f6 d1f3 c6d4 e3d4 e6e5 f1b5 c8d7 b5d7,75
6B1/8/8/8/8/2K5/2N5/1k6 b - -,f8e7 b1c3 g8f6 d1f3 c6d4 e3d4 e6e5 f1b5 c8d7 b5d7,Mate
r1bqkb1r/pppp1ppp/2n2n2/4p3/P3P3/2NP4/1PP2PPP/R1BQKBNR b KQkq -,d7d5 g1f3 d5d4 c3b5 a7a6 b5a3 f8b4 c1d2 b4d2 d1d2,-97
rnbqkb1r/pppp1ppp/4p3/4P1n1/3P3P/5P2/PPP3P1/RNBQKBNR b KQkq -,f8e7 h4g5 e7g5 g1e2 g5h4 g2g3 d7d6 h1h4 d6e5 d1d3,869
rnb2rk1/pp2ppbp/5np1/2P5/2B5/2N1PN2/PP3PPP/R1BK3R b - -,b8d7 d1e2 d7c5 h1d1 b7b6 e2f1 c8b7 c1d2 f6e4 f3d4,-86
rn1qk2r/pppbppbp/3p1np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,a7a5 b1c3 e8h8 h2h3 f8e8 c1f4 d8c8 g1h2 d7c6 d4d5,102
rnq1k2r/pppbppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,a7a6 c1f4 e8h8 a1c1 d7h3 e2e4 h3g2 g1g2 f6d7 h2h4,122
rnbq1rk1/pppp1ppp/4pb2/4P3/3P4/2N5/PPP2PPP/R2QKBNR b KQ -,b8c6 e5f6 d8f6 g1f3 b7b6 d1d2 c8b7 h2h4 c6e7 f3e5,356
rnbqkb1r/pp2pppp/5n2/2p1N3/2P5/8/PP1P1PPP/RNBQKB1R b KQkq -,d8d6 d1e2 g7g6 b1c3 f8g7 d2d3 e8h8 g2g4 f6d7 e5f3,-160
rnb1k1nr/pppp1ppp/5q2/2b1pP2/4P3/2N5/PPPP2PP/R1BQKBNR b KQkq -,h7h6 g1f3 g8e7 f1c4 a7a6 d1e2 b7b5 c3d5 e7d5 c4d5,67
r1bqk1nr/ppp2ppp/1bnp4/3Np3/1P2P3/P4N2/2PP1PPP/R1BQKB1R b KQkq -,g8f6 d5b6 a7b6 b4b5 c6e7 d2d3 e8h8 f1e2 e7g6 e1h1,-56
rnbqk1nr/pppp1p1p/8/6p1/3PPp2/2P2N2/P1P3PP/R1BQKB1R b KQkq -,d8f6 h2h4 h7h6 e4e5 f6g7 d1d2 f7f6 e5f6 g7f6 d2e2,195
rnb1kb1r/pp2pppp/2p5/3q4/8/1P3N2/P1PP1PPP/R1BQKB1R b KQkq -,b8d7 f1c4 d5e4 c4e2 d7e5 e1h1 c8g4 d2d3 e5f3 e2f3,71
r1bqkbnr/pp1p1ppp/3Pp1n1/2p5/4P2P/5N2/PPP2PP1/RNBQKB1R b KQkq -,g8f6 b1c3 d8b6 h4h5 f6h5 c3b5 h5f6 f3g5 h7h6 b5c7,726
r1bq1rk1/ppp1ppBp/2np1np1/8/3PP3/5P2/PPPQ2PP/RN2KBNR b KQ -,f6e4 f3e4 g8g7 d4d5 e7e5 d5c6 d8h4 e1d1 b7c6 d1c1,700
rnbqkb1r/ppp2ppp/5n2/6B1/2Pp4/3P1N2/PP3PPP/RN1QKB1R b KQkq -,f8e7 f1e2 c7c5 e1h1 e8h8 b1d2 b8c6 f1e1 h7h6 g5f6,-92
