8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
rnbqk2r/ppp2ppp/5n2/2bPp3/2B5/P1N5/1PPP1PPP/R1BQK1NR b KQkq -,c8g4 g1e2 c7c6 d5c6 b8c6 h2h3 g4h5 d2d3 e8h8 e1h1,103
r1bQkb1r/ppp2ppp/2p2n2/8/2P5/8/PP2PPPP/RNB1KB1R b KQkq -,,0
r1bqkbnr/pp1n1pp1/2pp3p/4p3/3PP3/2NB1N2/PPP2PPP/R1BQ1RK1 b kq -,d8b6 c3e2 e5d4 f3d4 g8f6 h2h3 g7g6 a2a4 f8g7 a4a5,87
8/4k3/8/2K5/2B1N3/8/8/8 b - -,e7f8 c5d6 f8g7 d6e5 g7g6 c4d5 g6g7 e5e6 g7h6 e6f6,4932
r1bq1rk1/ppppbppp/2n2n2/4p3/3PP3/2P2N2/PPB2PPP/RNBQK2R b KQ -,f8e8 f3e5 e7f8 e1h1 c6e5 d4e5 e8e5 c1f4 e5e4 c2e4,171
r2qkb1r/pp1b1ppp/2n1pn2/2pp4/2PP4/1PN1PN2/PB3PPP/R2QKB1R b KQkq -,h7h6 d4c5 f8c5 c4d5 e6d5 f1e2 e8h8 e1h1 d7e6 a1c1,75
rnbqkbnr/pp3ppp/4p3/2ppP3/8/2P2P2/PP1P2PP/RNBQKBNR b KQkq -,f7f6 d2d4 c5d4 c3d4 f6e5 d4e5 f8c5 f3f4 b8c6 f1d3,-98
rnbqkb1r/ppp1p1pp/5n2/3p1P2/3P4/5P2/PPP3PP/RNBQKBNR b KQkq -,a7a6 f1d3 c7c5 c2c3 b8c6 g1e2 e7e5 f5e6 c8e6 e1h1,155
rnbqkb1r/pp1p2pp/4pn2/5p2/3P1B2/2P2N2/PP3PPP/RN1QKB1R b KQkq -,b8c6 f1d3 f8e7 h2h3 d7d5 b1d2 e8h8 f3e5 f6e4 e1h1,97
rnbqk2r/p3bppp/1p2pn2/2ppN3/3P1P2/2PBP3/PP4PP/RNBQK2R b KQkq -,e8h8 b1d2 c8a6 d3a6 b8a6 d1e2 d8c8 e1h1 c8b7 b2b3,-45
r2qkbnr/ppp2ppp/2np4/8/2B1Pp2/2N2Q2/PPPP2PP/R1B2RK1 b kq -,c6e5 f3f4 d8f6 f4g3 f6g6 g3g6 h7g6 c4b3 c7c5 c3b5,163
rnbqk1nr/ppp1bppp/3p4/4p3/1P6/P3P3/1BPP1PPP/RN1QKBNR b KQkq -,g8f6 c2c4 e8h8 b1c3 f8e8 g1f3 c7c6 f1e2 e5e4 f3d4,-12
r1bqk2r/pppp1ppp/2n2n2/4p3/1b2P3/P1NP4/1PPQ1PPP/R1B1KBNR b KQkq -,b4c3 d2c3 d7d5 c1g5 d5d4 c3d2 h7h6 g5f6 d8f6 g2g3,-71
rnbqkb1r/pp3ppp/5n2/2Ppp3/1P6/2N2P2/P1P1P1PP/R1BQKBNR b KQkq -,a7a5 e2e4 d5d4 c3a4 a5b4 a4b6 a8a5 b6c8 f8c5 f1d3,-193
r1bqkbnr/3p1ppp/p1n1p3/1pp5/4P3/5N2/PPPPBPPP/RNBQ1RK1 b kq -,g8f6 d2d3 d8c7 c1g5 f8e7 a2a4 b5b4 c2c3 h7h6 g5h4,-48
r1b1k1nr/ppp2ppp/2n5/8/1b2P3/2P2N2/PP3PPP/RNBK1B1R b kq -,b4f8 c1f4 f8c5 f4c7 g8f6 b1d2 c5f2 f1c4 e8h8 d1e2,209
rnbqkb1r/ppp3pp/4pn2/3p1P2/3P1B2/4P3/PPP2P1P/RN1QKBNR b KQkq -,f8d6 g1e2 e6f5 h1g1 e8h8 b1c3 c7c6 f4d6 d8d6 e2f4,90
rnbqkb1r/ppp2ppp/5n2/3pB3/2P5/1P6/P2PPPPP/RN1QKBNR b KQkq -,f8c5 g1f3 d5c4 e2e3 c4b3 d1b3 e8h8 f1e2 b8d7 e5b2,65
rnbqkb1r/pp3ppp/2P1pn2/8/2B5/2N5/PPPP1PPP/R1BQK1NR b KQkq -,f8d6 c6b7 c8b7 g1f3 e8h8 c3b5 d6e7 e1h1 b8c6 d2d3,155
rnbqkbnr/1p3ppp/p3p3/2P5/2B5/4PN2/PP3PPP/RNBQK2R b KQkq -,g8f6 d1d8 e8d8 b2b4 a6a5 f3e5 d8e8 c4b5 c8d7 e5d7,117
r1bqkb1r/pppnnppp/3pp3/8/2PPP3/5N2/PP2BPPP/RNBQK2R b KQkq -,c7c6 e1h1 e7g6 b1c3 f8e7 d1c2 e8h8 c1e3 h7h6 h2h3,119
r2qkb1r/ppp1pppp/2n2n2/3P4/2B1P1b1/5N2/PP3PPP/RNBQK2R b KQkq -,f6e4 d1e2 e7e5 d5c6 f8b4 b1d2 g4f3 g2f3 e4d2 c1d2,467
rn1qk1nr/pbpp1ppp/1p2p3/8/1bPPP3/P1N5/1P3PPP/R1BQKBNR b KQkq -,b4a5 b2b4 g8f6 c1g5 h7h6 g5f6 d8f6 b4a5 b8c6 g1f3,675
r2qkb1r/ppp2ppp/2n1pn2/3p4/3P4/5BP1/PPPNPP1P/R1BQ1RK1 b kq -,g7g6 c2c3 f8h6 f1e1 c6e7 e2e4 h6d2 c1d2 f6e4 f3e4,133
8/4k3/8/8/8/7B/3K4/6N1 b - -,e7d6 d2d3 d6d5 h3g4 d5e5 g4c8 e5f6 d3e4 f6g6 e4e5,216
rnbqkb1r/pppp1p2/5ppp/8/3P4/4PN2/PPP2PPP/RN1QKB1R b KQkq -,d7d6 c2c4 f6f5 b1c3 f8g7 g2g3 b8d7 f1g2 e8h8 e1h1,25
rnbqk2r/pppp1pb1/5ppp/8/2PP4/4PN2/PP3PPP/RN1QKB1R b KQkq -,d7d6 g2g3 c7c6 f1g2 b8d7 b1c3 f6f5 e1h1 e8h8 a1c1,23
1kQ5/3K4/8/8/8/8/8/8 b - -,a7a5 b1c3 f6f5 g2g3 e8h8 f1g2 d7d6 e1h1 b8d7 d1c2,Mate
rn1qkb1r/ppp1pppp/3p1n2/8/3P1B2/2N2P2/PPP1PP1P/R2QKB1R b KQkq -,c7c6 e2e4 g7g6 h2h4 b8d7 d1d2 f8g7 e1a1 d8c7 c1b1,88
rn1qkb1r/pp2pppp/2p2n2/4Q3/3P4/8/PPP2PPP/R1B1KBNR b KQkq -,a7a5 g2g3 e7e6 c2c3 f8d6 e5e2 e8h8 f1g2 f8e8 g1f3,67
