r2qrb1k/pp1n3p/2p3QB/8/2BP2p1/2P5/PP2NP2/2K4R b - -,f8h6 g6h6 e8e7 e2f4 d7f8 h1h5 e7g7 h5f5 b7b5 c4b3,Mate
rnbqkb1r/ppp1pp1p/3p2p1/2n5/2B5/2N2N2/PPPPQPPP/R1B2RK1 b kq -,c7c6 d2d4 c5e6 d4d5 c6d5 c3d5 f8g7 f1e1 b8c6 c2c3,-46
8/1pq5/p3pk2/3p1pp1/2nP4/4PNP1/PP3PK1/3Q4 b - -,c7h7 d1c2 h7e7 b2b3 c4d6 f3e5 d6f7 c2c8 f7e5 d4e5,45
8/8/5k2/1p1p4/1P1P1K2/5p2/5P2/8 b - -,c7h7 d1c2 h7e7 b2b3 c4d6 f3e5 d6f7 c2c8 f7e5 d4e5,Mate
6k1/p4pp1/3q3p/5P2/3pp3/1P2n2P/PN3QP1/7K b - -,d6c5 b2a4 c5c1 f2g1 c1c2 h1h2 e3f5 g1f1 f5e3 f1g1,-622
r1bqkb1r/pp1pnppp/4p3/2p5/2P1P3/5Q2/PPP2PPP/RNB1K1NR b KQkq -,a7a6 a2a4 d7d5 c4d5 e6d5 e4d5 d8d5 b1c3 d5f3 g1f3,-16
r2qr1k1/1pp1bppp/2n2n2/3pN3/p2P2b1/P1N1B1P1/1PQ1PPBP/R4RK1 b - -,a8a5 c3a4 g4e2 f1e1 d8a8 e1e2 a5a4 e5c6 b7c6 a1c1,113
8/5pk1/p3p3/P1NpPPK1/2bP4/8/8/8 b - -,e6f5 g5f5 c4f1 c5b7 f1c4 b7d6 c4d3 f5g5 d3e2 d6e8,512
7Q/p3kp2/1qp1P3/1p6/3P4/2P3P1/PP1r2P1/4R1K1 b - -,f7e6 h8g7 e7d6 g7e5 d6d7 e5e6 d7c7 e6f7 c7c8 e1e8,1147
8/8/6k1/8/7p/6Q1/6K1/8 b - -,h4g3 g2g3 g6g5 g3f3 g5f5 f3g3 f5g5,Mate
4r1k1/5p1p/6p1/2pP4/1p2PP2/3p3P/1P3NP1/4K3 b - -,c5c4 e1d2 e8a8 d2e3 g8f8 f2d1 a8a2 e4e5 a2a5 d5d6,-518
r2qk2r/1p1nbpp1/2pp4/p3P3/4P1Pp/1PN2Q1P/PBPP4/2KR1R2 b kq -,f7f6 d2d4 d6e5 d4e5 d8c7 e5f6 g7f6 e4e5 e8a8 d1d7,317
r1b1k2r/3p1ppp/p3pn2/2q5/1p2P3/P2B1P2/1PPQN1PP/R3K2R b KQkq -,d7d5 a3b4 c5b6 e4d5 f6d5 d3e4 c8b7 e4d5 b7d5 d2d4,155
1Q6/8/4ppk1/3q2p1/1p4Pp/7P/P4P2/6K1 b - -,e6e5 b8b4 d5a2 b4f8 a2f7 f8f7 g6f7 g1f1 f7e6 f1e2,-2
r1bqk1nr/ppp2ppp/2n5/b2pP1N1/5B2/2P5/PP2PPPP/RN1QKB1R b KQkq -,g8e7 g5f3 d5d4 b2b4 a5b6 b4b5 d4c3 d1d8 c6d8 b1c3,60
