8/6Kp/6p1/5p2/5P1k/8/6P1/8 b - -,d7d5 f1e2 g8e7 e4d5 e6d5 d3d4 e8h8 e1h1 c8f5 f3h4,Mate
r3kbnr/ppN1pppp/2N5/1q6/3P4/8/PPP2PPP/R1BbK2R b KQkq -,e8d7 c7b5 b7c6 e1d1 c6b5 a2a4 b5b4 c2c4 a8c8 b2b3,-322
8/8/8/6r1/3P4/3k4/7R/r5BK b - -,e8d7 c7b5 b7c6 e1d1 c6b5 a2a4 b5b4 c2c4 a8c8 b2b3,Mate
r2r2k1/4ppb1/2p3pp/pp2n3/4PB2/PP6/2P1NPPP/3R1RK1 b - -,a5a4 d1d8 a8d8 f4e3 e5g4 b3a4 g4e3 f2e3 d8d2 g1f2,-91
rnb1kb1r/pp1p1ppp/1q2pB2/2pP4/8/8/PPP1PPPP/RN1QKBNR b KQkq -,g7f6 e2e3 b6b2 b1d2 e6d5 g1e2 b8c6 a1b1 b2e5 d2f3,1
r2q1rk1/p2b1pb1/3p2pp/1ppP4/3p4/3P2QP/PPPBNPP1/R3K2R b KQ -,f8e8 g3f3 d8e7 e1f1 d7c8 e2g3 c8b7 h3h4 h6h5 d2f4,-156
2kR4/2p3p1/1p2p3/p1p1Pn1p/P1P2P2/1P3KP1/1B5P/8 b - -,c8b7 g3g4 h5g4 f3g4 c7c6 d8e8 f5d4 g4g5 b6b5 g5g6,717
r2q1rk1/pp2bppp/2npbn2/2p5/2BpPB2/1N1Q1N2/PPP2PPP/R3R1K1 b - -,e6c4 d3c4 f6e4 c4b5 d6d5 b5b7 c6b4 e1e2 e7d6 f4d6,-254
6k1/1R2Bpb1/p2p2pp/2pr4/P4P1N/8/2K3PP/8 b - -,a6a5 h4f3 g8h7 b7c7 g7d4 c7c6 d4e3 c6d6 d5h5 g2g3,403
2r3k1/1R1b1ppp/5n2/p3p3/P1r1P3/4B1PP/1P1R1PB1/6K1 b - -,c4c1 g1h2 d7a4 b7e7 c8e8 e7e5 e8e5 d2d8 e5e8 d8e8,182
rnb1k1nr/pp2ppbp/2p3p1/q2p4/4P3/3P1NP1/PPPN1PBP/R1BQK2R b KQkq -,g8f6 e1h1 d5e4 d3e4 b8d7 d1e2 d7e5 f3e5 a5e5 d2b3,81
7r/5qk1/3b1p2/2pPpP2/1pN1P2P/pB4r1/Q6R/1K5R b - -,h8g8 c4d6 f7d7 d6c4 g7f8 h1d1 g3f3 h2f2 f3h3 d5d6,459
8/8/8/6r1/3P4/3k4/6R1/r5BK b - -,g5h5 g2h2 h5f5 h2g2 f5f7 g2g3 d3e4 h1g2 a1a2 g2h3,-21
3q3r/5kb1/p2p1n2/P1pPP1p1/1pNp1pP1/1P3P2/6K1/2BQR3 b - -,d6e5 c4e5 f7g8 e5c6 d8d7 c6e7 g8f7 d1d3 h8e8 d5d6,153
6r1/pp1b1r1k/2p5/4pP1p/2P1P1pq/P2P2RB/1P5Q/6RK b - -,f7g7 h3f1 h4h2 h1h2 h5h4 g3g2 h7h6 f1e2 g4g3 h2h3,-136
6k1/6p1/4p3/1P2b3/2p5/1p3q2/5p2/1R3K2 b - -,f7g7 h3f1 h4h2 h1h2 h5h4 g3g2 h7h6 f1e2 g4g3 h2h3,Mate
3r2k1/1pp1nppp/p2r4/1q1P4/7P/1PQ1N3/P4PP1/3R2KR b - -,b5d7 g1h2 e7f5 e3f5 d7f5 h1f1 f5h5 g2g3 c7c6 f1e1,-54
r4bnr/pp1kpppp/2N5/1N6/3P4/8/PPP2PPP/R1BbK2R b KQ -,b7c6 e1d1 c6b5 a2a4 b5b4 c2c4 e7e6 a4a5 a8c8 b2b3,-326
k1rr4/p1p5/1p6/8/1N6/8/PP1q4/1K5B b - -,d7c6 c2c4 d1a4 b5c3 a4c2 d4d5 c6d7 c1e3 g8f6 a1c1,Mate
r1r3k1/p4pp1/1p1n3p/3pNp2/P2P1P2/1RP5/2P3PP/R5K1 b - -,d6e4 a4a5 b6a5 c3c4 a5a4 b3b7 f7f6 e5g6 c8c4 g6e7,-68
r4rk1/1bq2pbp/p1n1p1p1/1p2P3/2p2P2/2P1QNP1/PPN3BP/3R1RK1 b - -,a8b8 f3g5 c6e7 g2b7 c7b7 g5e4 f8d8 e3f3 d8d1 f1d1,18
r2qk2r/pp2pp1p/4B1pb/8/3P4/1QN5/PP2KPPP/R1R5 b kq -,e8f8 e6f7 h6c1 a1c1 d8d4 c1e1 f8g7 e2f1 e7e5 f7d5,361
2K5/8/8/8/4k1pp/8/2R4P/8 b - -,e4e3 c8d7 g4g3 d7e6 e3f3 e6f5 g3g2 c2c1 h4h3 f5g5,Mate
8/R7/6pp/3pkp2/7P/P3P3/r4PPK/8 b - -,f5f4 e3f4 e5f4 a7a4 f4e5 h2g3 d5d4 g3f3 d4d3 f3e3,5
2r2rk1/1bpnqpp1/pp5p/3p1B2/3P1N2/4P1P1/PPQ2PP1/3R1RK1 b - -,c7c5 f1e1 f8d8 d4c5 c8c5 c2b1 d7f6 d1d4 c5c4 e1d1,50
rnb1k1nr/pp2ppbp/2p3p1/q7/4P3/5NP1/PPPN1PBP/R1BQK2R b KQkq -,g8f6 e1h1 b8d7 f1e1 f6g4 f3h4 g4f6 d2c4 a5a6 b2b3,83
3r1k2/4ppbp/1B4p1/pp2P3/1n6/1B5P/PP3PP1/4R1K1 b - -,d8b8 b6a5 b4d3 e1e2 d3c1 e2e4 c1b3 a2b3 b8a8 a5c3,52
5rk1/1r1nqppp/p4n2/2pp4/8/1P3NP1/P3PPBP/2RQ1RK1 b - -,f8d8 d1d2 g7g6 d2a5 d8a8 e2e3 b7b5 a5d2 a8d8 c1c2,42
5k2/p6R/8/1pr3P1/2B5/1P3P2/8/2K5 b - -,c5c6 h7a7 b5c4 b3c4 c6c5 c1c2 f8g8 c2d2 c5g5 a7d7,518
r4rk1/4bppp/pqn1bn2/1pp1p3/4P3/2P1BN1P/PPB2PP1/R2QRNK1 b - -,f8d8 e3d2 c5c4 d1e2 h7h6 f3h4 e7c5 e2f3 b5b4 d2h6,-29
6k1/6p1/4p3/1P6/2pb4/1p3q2/5p2/3R1K2 b - -,f8e8 f3g5 a8d8 d1b1 e6d7 c2b3 e8f8 g5f3 b6c7 a2a4,Mate
r1r3k1/p4pp1/1p5p/P2pNp2/3PnP2/1RP5/2P3PP/R5K1 b - -,b6a5 c3c4 a5a4 b3b7 f7f6 e5g6 c8c4 h2h3 a7a5 g6e7,-73
r2qr1k1/p2b1pb1/3Q2pp/1ppP4/3p4/3P3P/PPPBNPP1/R3K2R b KQ -,e8e2 e1e2 d7g4 h3g4 d8d6 e2f1 d6d5 h1h6 c5c4 g4g5,-510
3q3r/5kb1/p4n2/P1pPN1p1/1p1p1pP1/1P3P2/6K1/2BQR3 b - -,f7g8 e5c6 d8d7 c6e7 g8f7 d1d3 h8e8 d5d6 d7d6 d3c4,154
r2q1rk1/pp2bppp/2n1bn2/2Np4/2BpPB2/3Q1N2/PPP2PPP/R3R1K1 b - -,e7c5 e4d5 e6d5 a1d1 d5c4 d3c4 d8d5 c4d3 f8e8 a2a3,-438
r4rk1/pp1nnppp/4p3/2bp4/8/2P1PN2/PP1N1PPP/R1B2RK1 b - -,f8d8 e3e4 f7f6 f1d1 a8c8 g1f1 c5d6 e4d5 e7d5 c3c4,-39
8/2r2ppp/8/3p1R2/2k4P/6P1/3K1P2/8 b - -,c7a7 h4h5 h7h6 f5f4 d5d4 f2f3 a7a2 d2e1 a2a1 e1d2,-283
5k2/p6R/8/2r3P1/2P5/5P2/8/2K5 b - -,f8e8 h7a7 c5g5 c1d2 g5h5 d2e3 h5h2 a7a5 h2c2 e3d3,444
1rn1r1k1/p1p1b1pp/2b2p2/1p6/1P1B1N2/1N1P4/P1P2PPP/2KR3R b - -,e7b4 d4c5 b4c3 c5d4 b5b4 d4c3 b4c3 h1e1 c8b6 e1e6,-42
2k5/1pp2p1p/8/p5K1/P7/1b6/7P/8 b - -,c7c5 g5f6 c8d7 f6f5 b3e6 f5e4 d7d6 e4e3 c5c4 e3d2,-1360
2rr2k1/1bpnqpp1/pp5p/3p1B2/3P1N2/4P1P1/PP2QPP1/3R1RK1 b - -,g7g6 f5h3 a6a5 f1e1 c8a8 h3d7 e7d7 e2c2 a8c8 d1d3,39
r1r3k1/p4pp1/7p/p2pNp2/2PPnP2/1R6/2P3PP/R5K1 b - -,a5a4 a1a4 f7f6 e5d7 c8c4 a4c4 d5c4 b3b7 e4c3 b7c7,-81
r7/6pB/2bk1p2/1pR5/rP1P4/5P2/6PP/1R4K1 b - -,a4a1 b1a1 a8a1 g1f2 a1a4 f2e3 a4b4 h7e4 b4b3 e3f4,61
7R/5p2/P4k2/7p/6p1/6P1/5r1P/2K5 b - -,f2f1 c1b2 f1f2 b2b3 f2f1 a6a7 f1a1 a7a8q a1a8 h8a8,617
r4bnr/N2kpppp/2p5/8/3P4/8/PPP2PPP/R1BbK2R b KQ -,d1c2 c1e3 a8a7 d4d5 a7c7 d5c6 c7c6 b2b4 e7e5 b4b5,-485
r2r2k1/1bq2pbp/p1n1p1p1/1p2P1N1/2p2P2/2P1Q1P1/PPN3BP/3R1RK1 b - -,g7f8 g5e4 f8e7 h2h4 h7h5 g1h2 d8d1 f1d1 a8d8 d1d8,7
2kr1b1r/p2q1ppp/npp2n2/4p3/1P6/P2PBBP1/2PQN2P/R4RK1 b - -,h7h5 d3d4 e5e4 f3g2 h5h4 g3h4 h8h4 e3g5 h4h8 f1f6,-5
2rb1rk1/1R3p1p/p2N1np1/2p1p3/2P1P3/3P1P2/P2B1P1P/4R1K1 b - -,f6e4 d6e4 f7f5 d2h6 f5e4 h6f8 g8f8 e1e4 d8c7 b7a7,545
r1b1kb1r/1p3pp1/p1np1q1p/3Np3/4P3/1N6/PPP1BPPP/R2QK2R b KQkq -,h6h5 d5f6 g7f6 e2c4 h5h4 h1g1 f6f5 e4f5 c6b4 a2a3,603
8/8/1P5p/1R4p1/8/2N3k1/1r6/6K1 b - -,b2b5 c3b5 g3f3 b6b7 f3e2 b7b8q e2d3 b8h2 d3c4 h2h6,1041
2k5/1pp2p1p/5K2/p7/b7/8/7P/8 b - -,b2b5 c3b5 g3f3 b6b7 f3e2 b7b8q e2d3 b8h2 d3c4 h2h6,Mate
r2qkbnr/p4ppp/2b5/4p3/8/8/PPPP1PPP/RNBQ1KNR b kq -,f8c5 d1e2 g8e7 d2d3 e8h8 e2e5 c5d4 e5h5 e7d5 g1e2,-58
2rr2k1/1bpn1pp1/pp5p/3p2q1/3P1NB1/4P1P1/PP2QPP1/3R1RK1 b - -,g5e7 d1d2 c8a8 g4d7 d8d7 f1c1 c7c5 b2b3 a8c8 e2d3,49
r2qk1nr/ppp1bppp/2npb3/4p3/4P3/2N2N1P/PPPPBPP1/R1BQ1RK1 b kq -,g8f6 d2d4 e5d4 f3d4 c6d4 d1d4 c7c6 f2f4 d8b6 c1e3,48
r1b1kbnr/1ppp1ppp/5q2/p7/3QP3/2N1B3/PPP2PPP/R3KB1R b KQkq -,f8b4 e1a1 b4c3 b2c3 f6d4 e3d4 g8f6 f1c4 h7h5 d1d3,108
r4k2/4ppbp/1B2P1p1/pp6/1n6/1B5P/PP3PP1/4R1K1 b - -,a5a4 b3d1 b4a2 d1f3 a8c8 b6e3 a2b4 e6f7 b4c2 e1e2,-250
7Q/1p4k1/p4br1/2pPp3/4P1P1/3P3P/PP6/5RK1 b - -,g7h8 f1f5 h8g7 g1g2 g6g5 g2f3 g7f7 h3h4 g5f5 e4f5,28
r3k2r/p2qbppp/1pn1bn2/2pp2B1/3P4/2N2NPP/PP2PPBK/R2Q1R2 b kq -,c6d4 f3e5 d7c7 g5f6 e7f6 e5g4 a8d8 e2e3 d4f5 g4f6,35
rnbqk1nr/pp2bppp/2p1p3/8/P1pPP3/2N2N2/1P3PPP/R1BQKB1R b KQkq -,g8f6 f1c4 c6c5 d4d5 e6d5 e4d5 e8h8 e1h1 e7d6 c1g5,96
2k5/1pp2pKp/8/p7/8/1b6/7P/8 b - -,g8f6 f1c4 c6c5 d4d5 e6d5 e4d5 e8h8 e1h1 e7d6 c1g5,Mate
r7/6pB/2bk1p2/1pR5/1P1P4/5P2/6PP/R5K1 b - -,a8a1 g1f2 a1a4 f2e3 a4b4 h7e4 b4b3 e3f4 c6e4 f3e4,46
rn2k1nr/pbpp1ppp/8/pQ2p3/2P4q/2PP4/P3PPPP/R3KBNR b KQkq -,b8c6 b5b7 a8b8 b7a6 h4e7 c4c5 e7c5 a6c4 c5c4 d3c4,-289
r2qkb1r/1p2pppp/1np2n2/p3Nb2/P2PP3/2N5/1P3PPP/R1BQKB1R b KQkq -,f5e4 c3e4 f6e4 f1e2 e7e6 e1h1 f8e7 e2d3 e4f6 d3b1,-106
5rk1/1r1nqppp/5n2/2pp4/8/1P2P1P1/5PBP/2RQNRK1 b - -,f6e4 e1d3 d7f6 d1c2 g7g6 f1d1 f8d8 d3c5 d8c8 c5e4,14
4r2k/6pp/5b2/8/p1pp4/B6P/PP3PP1/4RK2 b - -,e8d8 e1e4 h8g8 f1e1 g8f7 e1d2 d8c8 g2g3 c8b8 g3g4,-174
r1b1kb1r/2B2ppp/p1p1pn2/2Pp4/1P1Q4/q1N1P3/P1P2PPP/R3K1NR b KQkq -,a6a5 f2f3 a5b4 c3e4 f6e4 f3e4 f7f6 e4d5 c6d5 c7b6,-178
rn1qk2r/pbpp1ppp/1p2pn2/1P6/1bPP4/2B2N2/P3PPPP/RN1QKB1R b KQkq -,d8e7 d1b3 b4c3 b1c3 a7a6 e2e3 a6b5 c3b5 d7d5 f1e2,-21
r2r2k1/4bppp/pqn1bn2/1pp1p3/4P3/2P1BN1P/PPB2PP1/R1Q1RNK1 b - -,b6c7 e3g5 h7h6 g5f6 e7f6 e1d1 c6e7 f1e3 c5c4 h3h4,-26
r1b3nr/pp1k1Nbp/1qnN1pp1/4p3/2BpP1Q1/8/PPP3PP/R1B2RK1 b - -,d7e7 d6c8 e7f8 c8b6 f6f5 f7h8 f8e8 c4f7 e8f8 b6d7,1462
2k5/1pp2p2/8/p7/6K1/1b5p/7P/8 b - -,d7e7 d6c8 e7f8 c8b6 f6f5 f7h8 f8e8 c4f7 e8f8 b6d7,Mate
8/6pB/2bk1p2/1pR5/1P1P4/5P2/5KPP/r7 b - -,a1a4 f2e3 a4b4 h7e4 b4b3 e3f4 c6e4 f4e4 g7g6 h2h4,48
r5k1/p1qn1ppp/2pb2n1/1p6/3p1P2/1PNP2PP/2PQB3/3R1RK1 b - -,d4c3 d2c3 b5b4 c3c4 g6e7 e2f3 d7f6 d1e1 a8f8 g1g2,-369
r4k2/4p1bp/1B2P1p1/pp3p2/1n6/1B5P/PP3PP1/3R2K1 b - -,g7b2 b6c5 b4c6 d1d7 a8c8 a2a4 b5a4 b3a4 b2c3 a4c6,-30
r1b1r1k1/p4pbp/2Q3p1/q2n4/8/1P2PB2/PB3PPP/3R1RK1 b - -,c8e6 b2g7 a8c8 f3d5 c8c6 d5c6 e8c8 g7f6 a5a6 c6f3,12
1r3rk1/p3pp1p/6pQ/q2p1b2/7P/3B1P2/PPP3P1/1K1R3R b - -,f7f6 d3f5 g6f5 d1d3 a5c5 h6d2 e7e6 h1e1 b8b6 g2g4,92
8/4ppk1/4q1p1/3pP2r/p1pR1B2/P1Pb1PQP/1P4P1/6K1 b - -,e6b6 g3f2 e7e6 f4e3 b6b8 d4g4 g7g8 e3f4 d3f5 g4h4,100
8/5p2/P4k2/7R/6p1/6P1/r6P/2K5 b - -,,0
2k5/1pp2p2/4b3/p7/8/5K1p/7P/8 b - -,f6g7 h5g5 g7h6 g5g4 a2a6 g4h4 h6g6 c1d2 a6a2 d2e3,Mate
6r1/pp1b3k/2p2r2/4pP1p/2P1P1p1/P2P2R1/1P5K/5BR1 b - -,c6c5 f1e2 f6b6 b2b4 b6a6 b4c5 a6a3 d3d4 a3a2 g3g2,-121
r2qk2r/ppp1nppp/3p2n1/4PbB1/2BP4/2P5/P1P3PP/R2Q1RK1 b kq -,d8d7 c4f7 e8f7 g2g4 f7g8 g4f5 e7f5 d1e2 a8f8 e5e6,-289
rnbqkb1r/pp4pp/2p1pn2/3p1p2/1BPP4/1Q3N2/PP2PPPP/RN2KB1R b KQkq -,d5c4 b3a3 f8b4 a3b4 b7b5 a2a4 f6d5 b4d2 e8h8 e2e3,-114
rnbq2k1/1p3p2/p2p2pB/2pP4/P3r3/5NPP/1b2PPB1/R2QR1K1 b - -,b2h8 a1a3 b8d7 h6g5 d8f8 g5d2 e4b4 a4a5 b7b5 d2b4,54
2rr1nk1/1bp3p1/pp5p/3p1pq1/3P1NP1/4PB2/PP2QPP1/3R1RK1 b - -,b7c6 g4f5 c6b5 e2c2 b5f1 d1f1 c7c6 g2g3 a6a5 g1g2,132
7r/6k1/3b1p2/2pPpP1q/1pN1P2P/pB6/Q6R/1K6 b - -,d6b8 a2f2 g7h7 h2g2 h5f7 d5d6 h8g8 c4a5 g8g2 f2g2,525
8/2p1k3/5p2/p7/6PP/6K1/r7/8 b - -,d6b8 a2f2 g7h7 h2g2 h5f7 d5d6 h8g8 c4a5 g8g2 f2g2,Mate
r5k1/p1qn1ppp/2pb2n1/1p6/5P2/1PQP2PP/2P1B3/3R1RK1 b - -,b5b4 c3d2 g6e7 d3d4 d7f6 d1e1 a7a5 e2c4 e7d5 g1g2,-355
r1bqkb1r/1p3pp1/p1np3p/3Np3/4P1B1/1N6/PPP2PPP/R2QK2R b KQkq -,g7g6 g4c8 a8c8 d1d3 f8g7 e1a1 h6h5 c1b1 b7b5 g2g3,128
r3r1k1/p4pBp/2Q1b1p1/q2n4/8/1P2PB2/P4PPP/3R1RK1 b - -,a8c8 f3d5 c8c6 d5c6 e8c8 g7f6 a5a6 c6f3 e6b3 a2b3,6
r1bqkb1r/pp2pppp/2n5/3p4/4n3/2PB1N1P/PP1P1PP1/RNBQ1RK1 b kq -,c8f5 d3c2 e4d6 d2d3 e7e6 b1d2 f8e7 f1e1 e8h8 d2b3,-1
k1rr4/p1p5/1p6/3B4/1N6/8/PP6/1K6 b - -,c7c6 d5c6 c8c6 b4c6 d8d6 c6e5 a8b7 b1c2 d6h6 c2b3,Mate
3k4/8/4Q3/3pP3/3P2P1/2q2PK1/8/8 b - -,c3d4 e6d6 d8c8 e5e6 d4g1 g3h4 g1a1 d6d5 c8c7 d5c5,778
1r5k/6pp/5b2/8/p1pp4/B6P/PP3PP1/2R2K2 b - -,b8c8 f1e2 d4d3 e2d1 h8g8 f2f4 g8f7 d1d2 f7e6 g2g4,-245
7k/1R4R1/2p4P/3b1p2/6P1/5PK1/r2p4/8 b - -,d4d3 c1c4 h7h6 f1e1 f6b2 a3d6 b8b6 d6c7 b6e6 e1d2,Mate
r1bqkb1r/ppp2ppp/5n2/3pn3/5P2/2N1P3/PPPB2PP/R2QKBNR b KQkq -,e5c6 g1f3 f8c5 c3a4 c5d6 f1d3 e8h8 e1h1 a7a6 a1c1,-71
r4rk1/4bppp/pqn1bn2/1pp1p3/4P3/2P2NNP/PPB2PP1/R1BQR1K1 b - -,g7g6 d1d2 g8h8 d2e3 a8d8 f3g5 e6c8 a2a4 b5b4 e3e2,23
6r1/pp1b3k/5r2/2p1pP1p/2P1P1p1/P2P4/1P4RK/5BR1 b - -,h7h6 f1e2 f6b6 e2d1 b6d6 d1e2 a7a5 h2g3 b7b5 g1c1,-150
r1bq1rk1/1pp3pp/2np1p2/p3p3/P1P3PP/2PPP3/1B3PB1/R2QK2R b KQ -,f6f5 g4g5 f5f4 b2c1 c8f5 a1b1 a8b8 b1b2 d8d7 h4h5,-59
rnbqk1nr/pp4pp/2p2p2/b2pp3/3P4/2P1PNB1/PP1N1PPP/R2QKB1R b KQkq -,e5e4 b2b4 a5c7 f3g1 g8e7 c3c4 c8e6 a1c1 c7d6 d1b3,5
8/2r2ppp/4p3/3p1P2/7P/1k4P1/3K1P2/4R3 b - -,e6f5 e1b1 b3a4 d2e3 c7c4 b1b7 c4e4 e3d3 f5f4 b7f7,-4
r2q1rk1/pp2bppp/2n2n2/2NB4/3pPBb1/3Q1N2/PPP2PPP/R3R1K1 b - -,e7c5 d5c6 b7c6 f3e5 g4e6 f4g5 h7h6 g5h4 g7g5 h4g3,-304
r1b1N1nr/ppk2Nbp/1qn2pp1/4p3/2BpP1Q1/8/PPP3PP/R1B2RK1 b - -,c7b8 g4g3 b6c5 c4d5 g8e7 e8g7 e7d5 e4d5 h8f8 f1f6,481
3r2k1/1pQ2ppp/p7/3r4/q6P/1P2N3/P4PP1/5K1R b - -,a4d4 f1g1 d5c5 c7g3 f7f5 g3h3 d4e5 g2g3 f5f4 g3f4,-507
8/2k2p2/4b3/ppp5/8/2K4p/7P/8 b - -,a4a5 c7a5 d5a5 a2a4 b7b5 g2g3 b5a4 b3a4 a5a4 f1g2,Mate
1r3rk1/p3pp1p/6pQ/3p1b2/7P/1PqB1P2/P1P3P1/1K1R3R b - -,f5e6 h4h5 c3g7 h6d2 b8b7 h5g6 f7g6 h1h4 g7e5 f3f4,192
k1r5/p1p5/1p6/3N4/8/8/PP6/1K6 b - -,a8b8 b1c2 c8h8 b2b3 h8h2 c2b1 b8b7 d5e7 h2h5 b1c2,-495
r2qkb1r/pbpp1ppp/2p5/8/4n3/5N2/PPPPQPPP/RNB1K2R b KQkq -,d8e7 e1h1 e4g5 e2e7 f8e7 f3g5 e7g5 d2d3 g5e7 c1d2,-31
r1b1k1nr/ppp2pp1/3p1q2/2b1n2p/3NPP2/2P1B1PP/PP6/RN1QKB1R b KQkq -,f6g6 f4e5 d6e5 d1f3 e5d4 c3d4 c5d6 e3f2 g8e7 b1c3,40
2b3k1/pq3pp1/5n1p/4p3/1r2P2Q/P1Nr1PP1/1P4KP/R1B1R3 b - -,b4b2 c1b2 b7b2 c3e2 d3d2 g3g4 c8a6 a1b1 b2a2 b1a1,-249
8/8/3p2pk/2r5/1p5p/1B3RbP/P5P1/6K1 b - -,c5e5 f3f1 h6g5 f1d1 e5e2 g1f1 e2f2 f1g1 f2b2 d1f1,-118
r1bqk1nr/ppp2pbp/3p2p1/3PP3/2PnP3/5N2/PP4PP/RNBQKB1R b KQkq -,d4f3 d1f3 g7e5 b1c3 d8h4 g2g3 h4f6 f3d3 h7h5 h2h3,-19
2r3k1/4Rppp/5n2/p3p3/b1r1P3/4B1PP/1P1R1PB1/6K1 b - -,a4c6 e7e5 c6e4 e5a5 e4g2 g1g2 c4b4 a5a6 h7h5 a6b6,141
rn4k1/1p1bR1pp/p2q4/3P4/2BQ4/8/PPP2PPP/6K1 b - -,d6g6 d5d6 g8h8 d4d5 b8c6 e7d7 a8f8 d7b7 g6f6 b7f7,615
r2r1bk1/2q1np1p/p3p1p1/1p2P1N1/2pN1P2/2P3P1/PP4QP/3R1RK1 b - -,,0
2r4k/6pp/5b2/8/pBpp4/7P/PP3PP1/2R2K2 b - -,d4d3 b4a3 h8g8 g2g4 c8e8 a3b4 e8e4 c1e1 e4e1 f1e1,-475
8/5p2/2k1b3/ppp5/8/7p/1K5P/8 b - -,h7h5 f1e1 h8g8 g2g3 h5h4 g3h4 f6h4 e1e2 h4g5 c1g1,Mate
r1bq1rk1/3nppbp/p2p1np1/1pp5/Q2P1B2/2P1PN1P/PP1NBPP1/R4RK1 b - -,b5a4 d4c5 d7c5 b2b4 c5e6 f3d4 f6d5 d4e6 c8e6 d2e4,-738
4r1k1/1pq1r1p1/1pN1pn1p/1Q6/8/2N5/PP2RPPP/4R1K1 b - -,b7c6 b5b3 f6d5 g2g3 c7d6 a2a3 g8h8 e2e5 e8f8 b3d1,56
8/6pk/4p3/1Pb5/8/1pp2q2/5p2/2R2K2 b - -,b7c6 b5b3 f6d5 g2g3 c7d6 a2a3 g8h8 e2e5 e8f8 b3d1,Mate
8/2r2ppp/4p3/3p4/5P1P/1k4P1/3K1P2/1R6 b - -,b3c4 b1c1 c4d4 c1c7 e6e5 f4e5 d4e5 c7f7 g7g6 f7h7,781
2r5/5p2/3Pp1kp/8/2p1P3/7P/6P1/2R4K b - -,,0
1rn1r1k1/p1p1b1pp/2b2p2/1p6/1P1B1N2/1N1P4/P1P2PPP/1R3RK1 b - -,e7b4 d4c5 b4c5 b3c5 c8b6 f2f3 a7a5 f4e6 b6d5 a2a3,-15
r2q1rk1/ppp1nppp/3p2n1/4PRB1/2BP4/2P5/P1P3PP/R2Q2K1 b - -,d8e8 f5f1 d6e5 d1h5 g8h8 f1f3 e7g8 a1f1 f7f6 f3h3,36
5Rrk/1pR5/1n3n2/1p3N1p/4PN2/7P/rP3PP1/6K1 b - -,f6d7 f4g6 h8h7 f8g8 h7g8 e4e5 g8f7 g6f4 a2b2 c7b7,577
r1q1kb1r/ppp2ppp/2n1pn2/3p1b2/2PP1B2/1Q2PN2/PP2BPPP/RN2K2R b KQkq -,c6b4 b1a3 d5c4 e2c4 b4d5 e1h1 d5f4 e3f4 f8e7 a3c2,-10
8/5p2/4b3/pppk4/8/2K4p/7P/8 b - -,c6b4 b1a3 d5c4 e2c4 b4d5 e1h1 d5f4 e3f4 f8e7 a3c2,Mate
rn2k1nr/1bqpbppp/p3p3/4P3/Np1N4/3B4/PPP2PPP/R1BQR1K1 b kq -,h7h5 c2c3 b8c6 d4f3 d7d6 c1f4 d6e5 f3e5 c6e5 e1e5,91
r2qkb1r/5ppp/p1p1p3/3pPn2/8/4B3/PPP1QPPP/RN3RK1 b - -,d8b8 e3c1 f5d4 e2d1 b8e5 f1e1 e5f6 c2c3 d4f5 d1a4,-50
r1Bqkb1r/5pp1/p1np3p/1p1Np3/4P3/1N6/PPP2PPP/R2QK2R b KQkq -,c6a5 b3a5 a8c8 b2b4 d8h4 d1f3 f8e7 c2c3 g7g6 a2a4,609
r5k1/2qn1ppp/2pb2n1/pp6/3P1P2/1PQ3PP/2P1B3/3R1RK1 b - -,g6e7 c3f3 b5b4 e2c4 d7b6 c4d3 e7d5 h3h4 c7d7 g1g2,-339
r2q1rk1/pp3ppp/5n2/2bBN3/1n1pPBb1/2PQ4/PP3PPP/R3R1K1 b - -,b4d3 e5d3 f6d5 e4d5 c5b6 c3d4 d8d5 a1c1 d5d4 c1c3,-635
r1b3nr/pp1k1Nbp/1qnN2p1/4pP2/2Bp2Q1/8/PPP3PP/R1B2RK1 b - -,h7h5 g4g6 g7f6 d6b5 d4d3 g1h1 c6d4 b5d4 b6d4 c2d3,635
2kr1b1r/p2q1ppp/npp2n2/8/1P2p3/P2PB1P1/2PQN1BP/R4RK1 b - -,a6c7 a1d1 f6g4 d3e4 d7d2 e3d2 c6c5 c2c3 h7h5 f1f7,70
rnbqk2r/ppp1p1bp/3p2p1/3P1p2/2P1n3/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,b8d7 c3e4 f5e4 f3g5 d7f6 g5e4 f6e4 g2e4 c8h3 f2f3,114
8/6pk/4p3/1Pb5/8/1p3q2/2p2p2/R4K2 b - -,b8d7 c3e4 f5e4 f3g5 d7f6 g5e4 f6e4 g2e4 c8h3 f2f3,Mate
8/5p2/4b3/ppp5/4k3/7p/2K4P/8 b - -,b8d7 c3e4 f5e4 f3g5 d7f6 g5e4 f6e4 g2e4 c8h3 f2f3,Mate
1r5k/3r2p1/1pRppn1p/p7/P2PP3/5NNP/1P3PP1/6K1 b - -,d7d8 c6c7 b6b5 a4b5 b8b5 c7a7 h8h7 b2b3 d6d5 e4d5,-158
8/1p4N1/pbp5/4k1pp/5pP1/3KP2P/PP3P2/8 b - -,b6c5 g4h5 c5f8 e3f4 g5f4 h5h6 a6a5 b2b3 b7b5 h3h4,210
