8/8/4k3/2N5/3K4/2Q5/8/8 b - -,d8a5 h1g1 h7h5 g4g5 g8e7 c1e3 d6d5 d1d2 e7g6 a2a3,Mate
8/4k3/8/1B6/3Q4/4K3/8/8 b - -,f2d1 e3d2 b8b6 a6a5 f6d6 d2c1 d1b2 b1d2 e5e4 a1b1,Mate
4B2k/8/8/7Q/8/4K3/8/8 b - -,f2d1 e3d2 b8b6 a6a5 f6d6 d2c1 d1b2 b1d2 e5e4 a1b1,Mate
rn1qkb1r/pp2pppp/5n2/3p1b2/2PP2P1/2N2P2/PP5P/R1BQKBNR b KQkq -,e7e5 g4f5 e5d4 c3d5 f6d5 c4d5 d8h4 e1d2 f8e7 d2c2,371
5k2/8/7p/8/7B/8/8/7K b - -,f8f7 h1g2 f7e6 g2h3 e6e5 h3g4 e5e6 g4h5 e6d7 h4f6,9
rnbqkb1r/ppp1nppp/3pp3/4P3/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq -,d6e5 d4e5 d8d1 e1d1 c8d7 c3b5 e7d5 f1c4 b8a6 g1f3,-85
r1bqk2r/pp3ppp/2nppn2/3p4/3P4/3BPN2/PPP2PPP/RN1Q1RK1 b kq -,e6e5 d3b5 e5e4 f3d2 e8h8 b5e2 a8b8 a2a4 c8e6 b2b3,-33
rn1qkb1r/pbppp1pp/1p3n2/8/3PN3/3B4/PPP1QPPP/R1B1K1NR b KQkq -,d8c8 g1f3 e7e6 f3g5 f6e4 d3e4 b7e4 e2e4 d7d5 e4e2,236
r3kbnr/ppp2ppp/2n5/4p3/4P1b1/2P1BN2/PP3PPP/RN1K1B1R b kq -,g7g6 b1d2 f8h6 e3h6 g8h6 f1b5 f7f6 b5c6 b7c6 d1c2,67
r1bqkb1r/pp1ppppp/2n5/3nP3/2PN4/8/PP3PPP/RNBQKB1R b KQkq -,d8a5 c1d2 d5b4 d4c6 d7c6 d2c3 a5b6 a2a3 b4a6 b2b4,150
r1bqkb1r/ppp3pp/2n2n2/3p4/8/1P3N2/PBP1PPPP/RN1QKB1R b KQkq -,f6e4 e2e3 f8b4 c2c3 d8f6 f1b5 e4c3 b2c3 b4c3 b1c3,81
8/1k1B4/8/8/1Q6/4K3/8/8 b - -,f6e4 e2e3 f8b4 c2c3 d8f6 f1b5 e4c3 b2c3 b4c3 b1c3,Mate
8/8/8/8/4k3/8/2r5/3K4 b - -,f6e4 e2e3 f8b4 c2c3 d8f6 f1b5 e4c3 b2c3 b4c3 b1c3,Mate
8/8/8/8/8/3k4/2r5/4K3 b - -,f6e4 e2e3 f8b4 c2c3 d8f6 f1b5 e4c3 b2c3 b4c3 b1c3,Mate
rnbqkbnr/p1pp1p1p/1p2p1p1/8/2PPP3/5N2/PP3PPP/RNBQKB1R b KQkq -,h7h6 b1c3 f8g7 c1e3 d7d6 d1d2 c8b7 d4d5 g8f6 h2h3,111
r1bqkbnr/ppp2ppp/2n1p3/3p4/2PP4/1P2P3/P4PPP/RNBQKBNR b KQkq -,b7b6 c1b2 g8f6 b1d2 c8b7 a1c1 c6b8 g1f3 b8d7 f1d3,42
8/8/8/8/8/4k3/3r4/4K3 b - -,b7b6 c1b2 g8f6 b1d2 c8b7 a1c1 c6b8 g1f3 b8d7 f1d3,Mate
8/4k3/2N5/8/3Q4/4K3/8/8 b - -,b7b6 c1b2 g8f6 b1d2 c8b7 a1c1 c6b8 g1f3 b8d7 f1d3,Mate
rn2kb1r/1bqp1ppp/p3pn2/1p6/3NPP2/2NB4/PPP1Q1PP/R1B2RK1 b kq -,f8c5 c1e3 c7b6 g1h1 c5d4 e3d4 b6d4 e4e5 f6d5 c3e4,-493
rnbqkb1r/pp3ppp/2p1pn2/1P1p4/8/4PN2/PBPP1PPP/RN1QKB1R b KQkq -,a7a6 a2a4 c8d7 b5c6 b8c6 c2c4 d5c4 f1c4 f8e7 e1h1,-10
r1bq1rk1/ppp2ppp/1b1p1n2/n2P4/1P2P3/3B1N2/P4PPP/RNBQ1RK1 b - -,a5c4 d3c4 f6e4 d1c2 f7f5 c1b2 a7a5 b4b5 c8d7 b1d2,679
rnbqkb1r/pppppp1p/5np1/8/3PP3/6P1/PPP2P1P/RNBQKBNR b KQkq -,f6e4 f1g2 d7d5 b1d2 e4f6 g1f3 f8g7 e1h1 e8h8 f1e1,-98
rnbqkb1r/pp3ppp/4pn2/3p4/3P4/5NB1/PPP2PPP/RN1QKB1R b KQkq -,f8e7 c2c3 f6h5 b1d2 b8c6 f1d3 g7g6 b2b4 e8h8 e1h1,17
r1bqk2r/ppp1bppp/2nppn2/8/3P1B2/2NBPN2/PPP2PPP/R2QK2R b KQkq -,e8h8 a2a3 a7a6 h2h3 b7b5 e1h1 c8b7 d1e2 f6d7 f1d1,62
r1bqk2r/pp1nbppp/3ppn2/1Bp5/4PP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,d8b6 f4f5 a7a6 b5c4 d7e5 f3e5 d6e5 d1f3 b6d6 c1e3,121
r1bqkb1r/pp2pppp/2n5/2pN4/8/5NP1/PPPP1P1P/R1BQKB1R b KQkq -,g7g6 d5c3 f8g7 f1g2 e8h8 e1h1 c8f5 d2d3 c5c4 d3c4,746
r2qkbnr/ppp2ppp/2n5/4P3/2PpP3/5Q1P/PP3PP1/RNB1KB1R b KQkq -,a7a5 f3g3 f7f6 e5e6 d8e7 b1a3 e7e6 a3b5 e6e4 f1e2,50
8/2Q2k2/r7/2K5/8/8/8/8 b - -,f7g6 c5d5 a6f6 c7g3 g6f7 g3g4 f6a6 g4h5 f7f8 h5f3,643
rnbqkb1r/pp1p1ppp/4pn2/8/3N4/2N3P1/PPP1PP1P/R1BQKB1R b KQkq -,d7d5 f1g2 f8b4 d1d3 e8h8 a2a3 b4c5 d4b3 b7b6 b3c5,-40
rnbqk2r/ppp2ppp/3p1n2/2b1P3/4P3/3P1N2/PPP3PP/RNBQKB1R b KQkq -,f6g4 d3d4 d6e5 d4c5 d8d1 e1d1 g4f2 d1e1 f2h1 b1c3,416
2kr1b1r/pp3ppp/2n5/5b2/2P5/4B3/PP1N1PPP/R1K2B1R b - -,c6b4 g2g4 f5g6 h2h4 h7h6 h4h5 g6h7 a2a3 b4c2 a1a2,-202
rnbqk2r/ppp2ppp/3bpn2/8/2pP4/5NP1/PP1BPPBP/RN1Q1RK1 b kq -,b8c6 d1c2 a7a6 c2c4 e6e5 d4e5 c6e5 f3e5 d6e5 c4c2,77
rnbqkbnr/2p2pp1/p2p3p/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQ1RK1 b kq -,b8d7 d1e2 g8f6 d2d4 c8b7 f1d1 f6e4 a2a4 b5a4 b3c2,84
rnbqk2r/ppp1bppp/3p1n2/8/4PB2/3P1N1P/PPP3P1/RN1QKB1R b KQkq -,c7c5 b1c3 c8e6 g2g4 b8c6 f1g2 d6d5 e1h1 e8h8 a2a3,-36
8/8/6k1/8/5Q2/6K1/2b5/8 b - -,f6h5 f4e3 h5g3 h1g1 c7c5 d1d2 b8c6 b1c3 e8h8 e1a1,Mate
8/8/6k1/8/5Q1K/1b6/8/8 b - -,b3e6 f4g5 g6f7 g5e5 f7e7 h4g5 e7d7 g5f6 e6g8 e5g5,6088
rnbqkb1r/pppppppp/8/8/2PPP1n1/8/PP3PPP/RNBQKBNR b KQkq -,d7d5 c4d5 c7c6 b1c3 e7e5 d5e6 c8e6 g1f3 g4f6 c1f4,297
rnb1kb1r/ppp1pppp/8/8/2P5/5B2/PP1P1PqP/R1BQK1NR b KQkq -,g2f3 g1f3 b8c6 d2d4 c8g4 h1g1 g4f3 d1f3 g7g6 c1e3,730
rnbq1rk1/pppp1pbp/4pnp1/8/2BP4/2N1PN2/PPP2PPP/R1BQ1RK1 b - -,d7d6 e3e4 d6d5 c4d3 f6e4 c3e4 d5e4 d3e4 b8d7 c1g5,43
rn2kb1r/1bqp1pPp/p3p3/8/3N1P2/2pB4/PPP1Q1PP/R1B1K2R b KQkq -,b7f3 g7h8q f3e2 d4e2 c3b2 c1b2 c7c5 b2d4 c5a5 e1f1,1161
