8/8/2k5/1p1B1p2/1P6/7p/8/7K b - -,b5a5 c3b2 f5g4 b2c2 g4h5 c2d2 a5b6 d2c3 h5d1 c3b4,Mate
8/p3Rpk1/1r5p/6p1/5bb1/Q7/P5K1/8 b - -,,0
5rk1/5ppp/p7/1pr5/2P2P2/3pP1RP/P5P1/3R2K1 b - -,b5c4 e3e4 f8d8 g3e3 c5a5 a2a4 a5a4 d1d2 g8f8 e4e5,-460
r1bq1rk1/1p1pppbp/4nnp1/p7/1P6/P4NP1/1BPNPPBP/R2Q1RK1 b - -,h7h5 c2c4 d7d6 h2h3 c8d7 f1e1 a5b4 a3b4 b7b5 e2e4,12
3r4/p3k1pp/8/3PK3/1RB5/8/P5bP/8 b - -,d8e8 b4b7 e7f8 e5d6 a7a5 b7a7 h7h5 d6c5 e8c8 c5d4,398
8/6k1/8/8/8/5p2/r7/2R2K2 b - -,,0
r2q1rk1/1b2bppp/4pB2/p1pp4/N3P3/1P1B4/P1P1QPPP/3R1RK1 b - -,e7f6 a4c5 a8a7 e4d5 e6d5 c5b7 a7b7 c2c4 g7g6 c4d5,155
r2qkbnr/pppb1ppp/2n5/1B1pp3/P2PP3/5N2/1PP2PPP/RNBQK2R b KQkq -,d5e4 f3e5 c6e5 d4e5 a7a6 b5c4 d8e7 d1d4 f7f6 c4g8,17
7r/b5k1/p1r1pqp1/1p1p1pNp/3P1Pn1/P1PQ2NR/1P1B2K1/7R b - -,f6f8 h1e1 f8c8 g3h1 a7b8 d3e2 h8e8 h1f2 c6b6 f2d3,276
1r5r/3knppp/p2N2b1/8/8/5N2/PP3PPP/3RR1K1 b - -,e7c6 d6f7 d7c7 f7h8 b8h8 f3e5 c6e5 e1e5 c7c6 h2h4,591
2r2k1r/b2b1ppp/pq2p1n1/1p1pP1N1/8/2PB1QB1/PP3PPP/2R1R1K1 b - -,d7e8 h2h4 f8g8 h4h5 g6f8 f3g4 h7h6 g5f3 f8d7 g3h4,214
r4rk1/pb1q1pbp/1p2pnp1/3pB3/3P4/1QN3P1/PP2PPBP/R4RK1 b - -,f6e4 g2e4 d5e4 f1d1 f8d8 a2a4 b7d5 c3d5 d7d5 b3d5,-9
r1bqkbnr/ppp3pp/2n2p2/1B1p4/4pP2/1PN1P3/PBPP2PP/R2QK1NR b KQkq -,c8f5 d1h5 g7g6 h5h4 d8d6 e1a1 e8a8 g2g4 f5d7 d2d3,46
r1b2rk1/ppqnppbp/6p1/8/3PR3/3B1N2/PP3PPP/R1BQ2K1 b - -,f8e8 c1f4 c7d8 e4e1 d7f6 d3c4 f6d5 d1d2 d5f4 d2f4,23
rnbq1rk1/pp2ppbp/3p1np1/2p3N1/2BPP3/1QP5/PP3PPP/RNB1K2R b KQ -,e7e6 e4e5 f6d5 e5d6 c5d4 g5f3 d5b6 f3d4 d8d6 c1e3,-92
r1bq1k1r/pppp4/2n2P1p/1B6/7p/2P2N2/P1P1Q1PP/R4RK1 b - -,d7d6 f3h4 c6e5 e2h5 c8g4 h4g6 f8g8 h5h4 h8h7 g6e5,727
8/p4pp1/1k1b3p/1P1K1P1P/6P1/8/8/8 b - -,d7d6 f3h4 c6e5 e2h5 c8g4 h4g6 f8g8 h5h4 h8h7 g6e5,Mate
r1r3k1/pb1q1pbp/1p2pnp1/3pB3/3P4/1QN3P1/PP2PPBP/2R2RK1 b - -,c8c6 f1d1 a8c8 e2e3 b7a6 d1d2 h7h5 b3d1 f6g4 e5f4,-17
r1bq1rk1/ppp2ppp/2n5/2bnp3/2B3P1/3P1N1P/PPP1QP2/RNB1K2R b KQ -,b7b5 c4b5 c8b7 e1h1 c6d4 f3d4 e5d4 e2f3 f7f5 b1d2,-140
rnbqk2r/pp3ppp/2pbpn2/3p4/5P2/1P3NP1/P1PPP1BP/RNBQ1RK1 b kq -,b7b5 c2c4 c8a6 f3e5 e8h8 d2d4 d5c4 b3c4 b5c4 b1c3,-13
r1b2rk1/pp3ppp/3P4/8/8/1P6/P1P2PPP/RN2R1K1 b - -,f8d8 b1c3 c8f5 c3b5 a7a6 b5c7 a8b8 c7d5 f5c2 a1c1,268
rnbq1rk1/p1p1ppbp/1p1p1np1/8/P2PP3/2N2N2/1PP1BPPP/R1BQ1RK1 b - -,c7c6 f1e1 a7a5 c1f4 b8a6 d1d2 a6b4 a1d1 d6d5 e4e5,71
1r3rk1/2q1bnpp/p1bpQp2/3N4/Np3P1P/1P6/PBP3P1/1K1R3R b - -,c6d5 e6d5 c7b7 d5d3 f7h6 h1g1 h6g4 g1e1 f8f7 b2d4,113
4rrk1/pppq2p1/7p/5P2/3pP1QP/6P1/PPP5/4RRK1 b - -,h6h5 g4h5 e8e5 h5e2 b7b5 f1f4 c7c5 g1g2 a7a5 b2b3,246
5b1r/5kpp/p4p2/4pb2/1nBP4/PP2P3/5PPP/RN2NRK1 b - -,f7e8 a3b4 e5d4 e3d4 f5b1 a1b1 f8b4 c4a6 e8f8 g1h1,785
8/Q3Rpk1/1r2b2p/6p1/5b2/8/P5K1/8 b - -,,0
rnbqk2r/pppp2bp/5np1/4ppB1/2P1P3/P1NP4/1P3PPP/R2QKBNR b KQkq -,b8a6 e4f5 g6f5 f2f4 d7d6 f1e2 e8h8 g1f3 a6c5 f3e5,37
r3rbk1/1p1n1pp1/1q2p2p/p1p1P3/Pn1P3P/2N2NP1/1P2QPK1/2BR3R b - -,b6c6 h4h5 e8d8 h1h4 d7b6 d4c5 b6a4 c3a4 c6a4 d1d6,-22
2kr2nr/ppq3p1/5p2/2p1nR2/P1PpP2B/6P1/1PP3BP/R2Q2K1 b - -,c8b8 a4a5 a7a6 d1e1 g7g5 h4g5 f6g5 b2b4 c5b4 e1b4,-391
rnbq1rk1/pp2ppbp/3p1np1/2p5/2P1PN2/2N3P1/PP1P1PBP/R1BQK2R b KQ -,b8c6 e1h1 a8b8 a2a4 c8g4 f4e2 f6e8 g1h1 e8c7 f2f3,-62
r1r3k1/p2q1pbp/1p2pnp1/3pB3/2bP4/Q1N3P1/PPR1PPBP/5RK1 b - -,g7f8 a3a4 d7a4 c3a4 f6g4 f1c1 g4e5 d4e5 a8b8 a4c3,-33
8/8/8/R7/3k1K2/5p2/4bP2/8 b - -,d4c3 a5a3 c3d2 a3f3 e2c4 f3e3 c4g8 e3e7 g8a2 f4e5,9605
1R6/p2rk1pp/8/3PK3/2B5/8/P5bP/8 b - -,h7h5 b8g8 g2d5 c4d5 g7g5 g8g7 e7d8 g7d7 d8d7 d5f7,546
r1bqr1k1/ppp2ppp/2n5/2bnp3/2B3P1/2NP1N1P/PPP1QP2/R1B1K2R b KQ -,c6d4 e2d1 c5b4 c1d2 d5b6 c4b3 a7a5 e1h1 a5a4 f3d4,-165
rn3rk1/1bq1npbp/p3p1p1/1pp3N1/4pP2/3P2P1/PPP1NBBP/R2QR1K1 b - -,e4d3 d1d3 c5c4 d3a3 b7g2 g1g2 c7b7 a3f3 b7f3 g2f3,-278
1r3rk1/p1p1n1pp/Q1N1q3/1B1p4/8/2N1P3/P1bB1PPP/5RK1 b - -,e7c6 a6c6 e6d6 c6d6 c7d6 b5c6 d5d4 c6d5 g8h8 e3d4,342
r1bq1bkr/p5p1/2p1pn1p/2P5/2B5/8/PPP2PPP/R1BQ1RK1 b - -,d8d1 f1d1 g8f7 c1e3 f8e7 e3d4 a7a5 d1e1 h8d8 c2c3,-268
r1br2k1/pp3ppp/3P4/8/8/1PN5/P1P2PPP/R3R1K1 b - -,c8f5 c3b5 a7a6 b5c7 a8b8 c7d5 g8f8 d5e3 f5e6 a1d1,269
r1r2bk1/p2q1p1p/1p2pnp1/3pB3/Q1bP4/2N3P1/PPR1PPBP/5RK1 b - -,d7a4 c3a4 f6d7 f1c1 d7e5 d4e5 a8b8 a4c3 f8h6 e2e3,-25
r4rk1/ppp1qp2/3p1p1p/2b1pN2/4P3/3P4/PPP2PPP/R2Q1RK1 b - -,f8b8 f5e7 g8f8 e7f5 f8e8 d1h5 b8d8 g1h1 a7a5 c2c3,882
8/Q3Rpk1/4b2p/6p1/5b2/8/Pr6/6K1 b - -,,0
8/6k1/8/8/8/8/r4p2/1R3K2 b - -,,0
5bk1/4qppp/8/1R6/1Pr5/4P3/3Q1PP1/6K1 b - -,e7c7 f2f4 c4c2 d2d3 c7c6 d3d5 c6c3 d5f3 c3e1 g1h2,-418
2kr2nr/ppq5/8/2p1n1R1/P1PpP3/6P1/1PP3BP/R2Q2K1 b - -,g8h6 a4a5 a7a6 d1e2 c8b8 h2h3 h6f7 g5f5 d8e8 f5h5,-387
4R3/6k1/3K4/r6P/6P1/8/8/8 b - -,a5a2 e8e7 g7f6 e7e6 f6g5 e6g6 g5f4 d6e6 a2a7 e6f6,618
r1b2rk1/p1q2ppp/3bp3/1p1pN2Q/2pPnB2/2P1P3/PPB2PPP/R3K2R b KQ -,f7f6 f2f3 f6e5 d4e5 d6c5 f3e4 d5d4 c3d4 c5d4 e3d4,54
rnbqk2r/ppp3bp/3p1np1/4pPB1/2P5/P1NP4/1P3PPP/R2QKBNR b KQkq -,h7h6 g5f6 d8f6 c3d5 f6d8 f5g6 e8h8 f1e2 b8c6 g1f3,115
2r1bk1r/b4ppp/pq2N1n1/1p1pP3/8/2PB1QB1/PP3PPP/2R1R1K1 b - -,b6e6 d3f5 e6c6 f5c8 c6c8 e5e6 f8g8 f3d5 g6e7 d5e4,181
rnbq1rk1/pp3ppp/2pbpn2/3p4/5P2/1P3NP1/PBPPP1BP/RN1Q1RK1 b - -,b8d7 a2a4 b7b5 f3e5 d8c7 e5d7 c8d7 e2e3 b5b4 b2f6,-21
r1bq1r1k/pp3pp1/2n1pn1p/b1Pp4/1PP4B/P1N1PN2/2Q2PPP/R3KB1R b KQ -,d5d4 e3d4 c6d4 f3d4 d8d4 h4f6 d4f6 b4a5 c8d7 f1e2,404
r1r2bk1/p2q1p1p/4p1p1/Qp1pB3/2bP2n1/1PN3P1/P1R1PPBP/5RK1 b - -,b5b4 b3c4 c8c4 e2e4 g4e5 e4d5 e5g4 h2h3 d7d8 a5d8,-76
rn1qkb1r/pp1b1p1p/3p1np1/2pP4/8/2N2N1P/PP2PPP1/R1BQKB1R b KQkq -,f8g7 c1f4 d8e7 e2e3 e8h8 f1d3 d7c8 e1h1 b8d7 a2a4,72
r1b2rk1/pp1n1ppp/4p3/1BqpP3/3N4/P1N5/1PP1QPPP/R4RK1 b - -,c5b6 e2e3 a7a6 b5d3 f7f6 e5f6 d7f6 d4f3 b6e3 f2e3,516
8/pp3k2/6p1/7p/1Pp5/P1P1b1P1/1K5P/RN5r b - -,h1h2 b1d2 h2d2 b2b1 f7e6 b4b5 e6f5 a3a4 d2d1 b1a2,-1200
r4rk1/1bq1b2n/p2pN3/1p2n1p1/4P1P1/P1N2B2/1PP2B2/R2QR1K1 b - -,c7b8 e6f8 b8f8 e1e3 h7f6 f2g3 f8h6 d1e2 e5f3 e3f3,169
rn2kb1r/ppq1ppp1/2p2n1p/3p1b2/3P4/PQP1PN1P/1P3PP1/RNB1KB1R b KQkq -,e7e6 c3c4 a7a5 f1d3 a5a4 b3c3 f5d3 c3d3 c7a5 b1d2,-33
b1r3k1/2pr1pp1/5q2/PP2p2p/2Q1P3/2N2N1P/1P3PP1/R4RK1 b - -,g7g5 c4e2 c8d8 f1d1 d7d4 a5a6 g5g4 h3g4 f6g7 g4g5,617
8/4Rpk1/4b2p/6p1/3Q1b2/8/r7/6K1 b - -,,0
2kr1br1/5p1p/pqbpPp2/1p6/4P3/2N5/PPP3PP/1K1RQB1R b - -,g8g7 e6f7 c8b8 c3d5 c6d5 d1d5 g7f7 f1d3 d8e8 h1f1,254
5rk1/4p2p/3p2p1/3P1b2/1pNb4/1P6/5PPP/2B2RK1 b - -,f5d3 c4e3 d3f1 g1f1 d4e3 c1e3 f8f5 e3d2 f5d5 d2b4,-504
5r1k/7p/pp3p2/4P3/5q2/7P/P3K1P1/B7 b - -,f5e4 c4e3 f8a8 f1d1 d4e3 c1e3 e4c2 d1e1 c2b3 e3d2,Mate
r1q2rk1/p1pp1ppp/np2p3/6N1/2PP3P/6P1/PP2PPK1/R2QR3 b - -,c8b7 e2e4 h7h6 g5f3 a8e8 h4h5 d7d6 a1c1 c7c5 d4d5,42
8/8/1R6/4k3/3rB3/8/4K3/r7 b - -,d4e4 e2f2 a1a2 f2f3 a2a3 f3f2 e4d4 b6b2 e5f4 b2c2,-9605
2r1bk1r/b4ppp/p3q1n1/1p1pPB2/8/2P2QB1/PP3PPP/2R1R1K1 b - -,e6c6 f5c8 c6c8 e5e6 f8g8 f3d5 g6e7 d5e4 f7f5 e4h4,192
5k1r/b7/p1r1pqp1/1p1p1pNp/3P1Pn1/P1PQ2NR/1P1B2K1/4R3 b - -,a7b8 d3e2 f8e7 g3h1 e7d7 h1f2 f6e7 f2d3 d7c8 g2f1,303
6k1/1pp1rpp1/3p2q1/p1bP1b1p/2P5/PP3BP1/1B1Q1P1P/4R1K1 b - -,g8f8 e1e7 f8e7 b3b4 c5a7 d2e2 e7f8 f3h5 g6h7 h2h4,99
r1bq1rk1/pp1n1ppp/2pbpn2/3pB3/5P2/1P3NP1/P1PPP1BP/RN1Q1RK1 b - -,d6e5 f3e5 d7e5 f4e5 f6g4 e2e3 d8g5 c2c4 b7b6 f1e1,-148
r1r5/p3k1bp/1p2ppp1/1nPb4/8/P1BP2P1/3NPPBP/2R2RK1 b - -,d5g2 g1g2 b6c5 c3b2 b5d4 b2d4 c5d4 c1c8 a8c8 f1b1,78
8/p4pp1/3K3p/1k3P1P/6P1/8/8/8 b - -,f7f6 d6e7 a7a5 e7f7 a5a4 f7g7 a4a3 g7h6 a3a2 h6g6,-747
2k5/1pp2p2/p2p3p/3b1N2/1P4p1/5pP1/P4Q1P/4rB1K b - -,a7a6 g4g5 f7f6 g5h6 g7h6 d6e6 a6a5 e6f6 a5a4 f6g6,Mate
1r3rk1/p1p3pp/Q1B1q3/3p4/8/2N1P3/P1bB1PPP/5RK1 b - -,g8h8 f1c1 e6g6 a6a3 g6c6 c1c2 c6f6 f2f3 f6g6 c2b2,283
1rbq1r1k/p1pnbp2/1p2p1p1/6pP/3PB1P1/5N2/PPPQ1P2/2KR3R b - -,h8g7 d2c3 f8h8 h5g6 f7g6 h1h8 d8h8 f3e5 d7e5 d4e5,-129
2kr1br1/7p/pqbppp2/1p6/4P2Q/2N5/PPP3PP/1K1R1B1R b - -,g8g7 f1d3 b6c5 h1f1 f8e7 c3e2 c6d7 e2f4 d8g8 a2a3,57
r1bq1rk1/ppp2pbp/2np1np1/4p1B1/2P5/2NP1NP1/PP1QPPBP/R3K2R b KQ -,c8g4 h2h3 g4f3 g2f3 a8b8 h3h4 c6d4 h4h5 c7c6 f3g2,42
8/1p1n1b2/p4k2/5P2/2PN1KP1/P4B1r/8/7R b - -,h3h1 g4g5 f6g7 f3h1 f7c4 h1b7 a6a5 b7e4 d7c5 f5f6,497
4QN2/p5pk/1p3b1p/4pn2/4q3/2P3P1/PP1r1B1P/5RK1 b - -,,0
2q1bk1r/b4ppp/p3P1n1/1p1p4/8/2P2QB1/PP3PPP/2R1R1K1 b - -,f8g8 f3d5 g6e7 d5e4 f7f5 e4h4 e7g6 h4g5 f5f4 g3f4,171
k7/2K5/P1R5/3p4/8/8/8/1r6 b - -,,0
8/2b5/p1q3n1/2k1p1Q1/3p4/P6P/2P2PP1/2R1R1K1 b - -,c6d6 c1b1 c5c6 g5g4 g6f4 g2g3 f4d5 h3h4 c6c5 h4h5,607
5r2/pp3p2/3k4/7R/1P6/P6P/6P1/6K1 b - -,f8d8 h5a5 a7a6 b4b5 a6b5 a5b5 d8d7 a3a4 d7c7 a4a5,181
r1q2rk1/pp3pp1/1np3p1/3nP3/4N3/1Q2B2P/PP3PP1/1R3R1K b - -,c8f5 e4d6 f5e5 d6b7 f8b8 b7c5 d5e3 b3e3 e5e3 f2e3,-23
r3qrk1/p3p1bp/1p1p2p1/n1pP1bN1/2P4N/1P4P1/P2B1PBP/4QRK1 b - -,a5b7 h4f5 f8f5 g5e6 f5e5 g2e4 e5e6 d5e6 a8b8 f2f4,178
8/3k1pp1/p1r2p1p/8/3B1PP1/b1P4P/P1PK4/1R6 b - -,a3e7 f4f5 e7d6 d2d3 c6c8 b1b6 c8c6 d3e4 c6b6 d4b6,239
r1b2rk1/ppqn1ppp/2pbpn2/3pB3/3P1P2/1P3NP1/P1P1P1BP/RN1Q1RK1 b - -,b7b5 a2a4 b5b4 c2c4 b4c3 b1c3 c8a6 a1c1 f6g4 e5d6,-27
1rbq1rk1/n1p1ppbp/3p2p1/3P4/1p1P4/5NPP/PP2QPB1/R1BR2K1 b - -,a7b5 c1e3 c8f5 f3e1 h7h5 e1c2 d8d7 g1h2 b4b3 a2b3,18
5R2/8/8/4k3/3rB3/8/4K3/r7 b - -,e5e4 f8e8 e4f4 e8f8 f4g3 e2e3 d4g4 f8h8 g3g2 e3d2,-20000
8/8/4p1kp/6p1/4Qb2/8/r7/6K1 b - -,,0
8/4Kpp1/7p/pk3P1P/6P1/8/8/8 b - -,f7f6 e7f7 a5a4 f7g7 a4a3 g7h6 a3a2 h6g6 a2a1q h5h6,-9605
r1b2bkr/p5p1/2p1pn1p/2P5/2B5/8/PPP2PPP/R1BR2K1 b - -,f6d5 c4b3 f8c5 c2c4 d5e7 d1d8 g8h7 b3c2 e7f5 d8d1,-272
1r1q1r1k/p3b1pp/Bp2b3/3p4/3NPp1P/PP6/2Q2PP1/R2R2K1 b - -,e6c8 a6c8 b8c8 c2e2 e7f6 e4e5 f8e8 d4f3 f6h4 e2b5,86
r2r2k1/pp3ppp/3P4/1N3b2/8/1P6/P1P2PPP/R3R1K1 b - -,a7a6 b5c7 a8b8 c7d5 g8f8 d5e3 f5e6 a1d1 b7b5 d1d4,249
rn2nrk1/Npq1ppbp/1B4p1/4P3/6b1/P2B1N2/2P1Q1PP/1R3RK1 b - -,c7c3 b1b3 g4f3 e2f3 c3e5 f3b7 e8f6 b3b5 e5d6 b7a8,345
r2q1rk1/1bpnbNpp/pp2pn2/8/3PN3/3B4/PPP1QPPP/R1B2RK1 b - -,f8f7 e4g5 d7f8 c2c3 c7c5 c1e3 d8c7 g5f7 g8f7 d4c5,-100
2rr1bk1/1bq2ppp/4p3/pp1nP1P1/2np1P1P/P2N4/1PPBQ1B1/3R1NRK b - -,c4b2 d3b2 c7c2 e2g4 c2b2 h4h5 d8e8 h1h2 g7g6 f1g3,-273
8/8/8/8/8/3k4/r4p2/1R3K2 b - -,,0
b1r3k1/p4pp1/1n2q2p/1BN1r3/4p2P/2R1P3/PPQ2PP1/2R3K1 b - -,e6e7 b5a6 c8c6 c5a4 c6c3 a4c3 e7h4 a6e2 e5f5 g2g3,106
8/8/4pk1p/6p1/3Q1b2/8/r7/6K1 b - -,,0
r2k3r/pp3ppp/n2bbn2/3pN3/3PqP2/2PB4/PP4PP/R1BQ1RK1 b - -,g7g6 d3e4 f6e4 c3c4 a6b4 a2a3 b4c6 c1e3 c6e7 d1b3,433
1rb2rk1/p1q1ppbp/2pp1np1/6B1/2B1P3/1PN2Q2/P1P2PPP/3R1RK1 b - -,c8g4 f3g3 g4d1 f1d1 c7a5 g5d2 a5a3 d2g5 a3c5 c3a4,-197
rnb2rk1/pppp2pp/4pq2/5p2/1b1P4/P1N2N2/1PPQPPPP/R3KB1R b KQ -,b4e7 e2e4 f5e4 c3e4 f6f4 d2f4 f8f4 e4d2 d7d5 g2g3,12
r5k1/1bN1b2n/p2p4/1p4p1/4P1P1/P1N2r2/1PP2B2/R3R1K1 b - -,f3f4 c7a8 f4g4 g1h2 b7a8 c3d5 a8d5 e4d5 g8f7 a1d1,200
r1bq1r1k/ppb2pp1/2n1pn1p/1PPp4/2P4B/P1N1PN2/2Q2PPP/R3KB1R b KQ -,g7g5 h4g3 c6e7 f1e2 d5c4 a1d1 c8d7 d1d4 a7a6 b5b6,225
6Nr/7p/1kp2p2/p1b5/2B2P2/2n1PK2/5P1P/R7 b - -,a5a4 g8f6 c5b4 a1c1 h8d8 f6h7 b6c5 c4e6 c5b5 f4f5,119
r6r/p4k1p/6pQ/1p1pp3/1n1pP3/KPq2P1B/b1PN4/2R3NR b - -,a2b1 d2b1 b4c2 c1c2 c3c2 h6d2 c2b1 h1h2 a8b8 d2c2,-503
6k1/8/4K3/6rP/5RP1/8/8/8 b - -,g8g7 f4c4 g7h6 e6f6 g5g8 f6e5 h6g5 c4c6 g8e8 c6e6,684
1rbq1rk1/1p2ppb1/3p1npp/pPn5/P1P5/1N3NP1/1B2PPBP/R2Q1RK1 b - -,d8c7 b3c5 c7c5 a1c1 c8e6 b2d4 c5b4 c4c5 f8c8 c5d6,39
k7/2K5/P7/3p4/8/8/2R5/1r6 b - -,,0
r2q4/1Q5p/p2k3N/1p3P2/5p2/P7/1PP3BP/6K1 b - -,d8d7 h6f7 d6e7 f5f6 e7f6 b7d7 a8g8 f7e5 g8g2 g1g2,1085
r1bqkb1r/1pp1ppp1/n4n2/pN1p3p/3P1B2/3BP3/PPP2PPP/R2QK1NR b KQkq -,f6e4 g1e2 e4f6 a2a3 c7c6 b5c3 g7g6 f2f3 a6c7 d1d2,115
8/3kn1pp/8/8/8/2K5/PP6/5B2 b - -,,0
8/2p5/8/1k4p1/1P1P2K1/8/8/8 b - -,h7h5 c3d3 d7d6 d3e4 g7g5 f1e2 h5h4 e2f1 d6c5 a2a3,Mate
2k5/1pp2p2/p2p3p/3b1N2/1P4p1/5pP1/P6P/5Q1K b - -,h7h5 c3d3 d7d6 d3e4 g7g5 f1e2 h5h4 e2f1 d6c5 a2a3,Mate
rn1qk2r/pp1b1pbp/3p1np1/2pP4/4P3/2NB3P/PP1N1PP1/R1BQK2R b KQkq -,d8e7 e1h1 e8h8 f1e1 b8a6 d2f3 f8e8 c1f4 a6c7 d3f1,158
8/8/8/8/8/8/r2k1K2/1R6 b - -,,0
b1r3k1/p4pp1/1n5p/2N1r3/4p2P/2R1P3/qPQ1BPP1/2R3K1 b - -,e5e7 e2g4 c8c7 c1d1 e7e8 c2e2 a2a5 c5e4 c7c3 e4c3,200
r2q1rk1/1b2bp1p/4pp2/p1pp4/N3P1Q1/1P1B4/P1P2PPP/3R1RK1 b - -,g8h8 e4d5 f8g8 g4h3 f6f5 f1e1 g8g6 d3c4 d8c7 g2g3,108
r1bq1r1k/ppb2pp1/2n1pn1p/2PP4/1P5B/P1N1PN2/2Q2PPP/R3KB1R b KQ -,c6b4 a3b4 e6d5 f1e2 c8g4 f3d4 g4e2 c3e2 h8g8 e1h1,549
2kr3r/pppq1pp1/2n1p2n/3pP2p/3PbP2/P1Q1BNPP/1PP1B3/2KR2R1 b - -,e4f3 e2f3 h6f5 e3f2 f5e7 f3e2 c8b8 d1d3 b8a8 c1b1,92
r3k1nr/ppq2pp1/2n1b3/2p1p1Bp/P1NpP3/3P2P1/1PP2PBP/R2Q1RK1 b kq -,f7f6 g5d2 h5h4 b2b3 h4g3 f2g3 e8a8 g2f3 c7d7 f1f2,-103
r2r2k1/1pN2ppp/p2P4/5b2/8/1P6/P1P2PPP/R3R1K1 b - -,a8b8 c7d5 g8f8 d5e3 f5e6 a1d1 b7b5 d1d4 b8c8 f2f4,271
r1bqk2r/p3npb1/2ppp3/2p4p/4PPp1/1N1P4/PPPB2PP/RN1Q1RK1 b kq -,e7g6 f4f5 g6e5 d2c3 e8h8 d1e1 d8g5 e1f2 e6f5 e4f5,50
r2qk2r/1pp1n1pp/1p2p3/4P3/4p3/P5P1/1PP2PBP/R1B2QK1 b kq -,e8h8 g2e4 d8d4 e4b7 a8d8 c1g5 d8d7 c2c3 d4e5 h2h4,-47
r2q1rk1/ppp2pbp/2npbnp1/4p1B1/2P4P/2NP1NP1/PP1QPPB1/R3K2R b KQ -,d8d7 g5f6 g7f6 f3g5 h7h5 g5e6 d7e6 g2h3 e6e7 g3g4,79
8/3kn1p1/8/7p/2K5/8/PP6/5B2 b - -,,0
8/pp3k2/6p1/7p/PPp5/2P1b1P1/2K4P/RN5r b - -,h1h2 c2d1 f7e6 a4a5 e6f5 a5a6 b7b6 b1a3 h2h1 d1c2,-695
6Nr/7p/1kp1B3/p1b2p2/5P2/2n1PK2/5P1P/R7 b - -,b6b5 a1g1 a5a4 e6f5 c5d6 f5e6 a4a3 f4f5 c6c5 f5f6,55
r4rk1/1bp2ppp/p7/1p1P4/8/1BP3q1/PP6/RNBQR2K b - -,a8e8 e1e2 b7c8 b1d2 c8g4 d1g1 g3g1 h1g1 e8e2 b3c2,-266
4k2r/6pp/p4p2/4p3/1b1P4/1P1BP3/5PPP/RN3RK1 b - -,e8f7 a1a6 h8d8 d3c4 f7f8 d4e5 d8c8 e5f6 g7f6 g1h1,847
rn1q1rk1/pp1b1pbp/3p1np1/2pP4/4P3/2NB3P/PP1N1PP1/R1BQ1RK1 b - -,f6e8 f1e1 d7c8 a2a4 b8d7 f2f4 e8c7 d2f3 b7b6 d3c4,142
r2q1rk1/p1p3pp/3b1n2/2ppNb2/3PpP2/2P4P/PP4P1/RNBQ1RK1 b - -,d8c8 b1a3 f5e6 a3c2 c5d4 c3d4 a7a5 b2b3 f6d7 c1e3,-33
7r/5p1p/1kp4N/p1b5/2B2P2/2n1PK2/5P1P/R7 b - -,f7f5 h6f5 a5a4 f5g3 a4a3 g3e4 c3e4 f3e4 c5e7 a1a2,94
r1b2rk1/4bppp/p7/npp1P3/6n1/2N2N1P/PPB2PP1/R1BR2K1 b - -,g4h6 c3d5 e7d8 c1e3 c8b7 e3c5 f8e8 b2b4 a5c4 c2e4,224
r1b3k1/pp2b1p1/2p5/3p1qp1/3P4/2N5/PPPBQ1PP/R5K1 b - -,f5e6 e2e6 c8e6 a1e1 g8f7 c3d1 e6f5 c2c3 a7a5 d1e3,-16
k7/2K5/P7/2Rp4/1r6/8/8/8 b - -,,0
2rq1rk1/R2n1ppp/4p3/2pb4/5B2/6PB/1Q2PP1P/3R2K1 b - -,d7f6 f2f3 c8a8 a7c7 a8a2 b2a2 d5a2 d1d8 f8d8 c7c5,12
1rbq1rk1/n1p1ppbp/3p1np1/1p6/3PP3/2N2NPP/PP2QPB1/R1BR2K1 b - -,c7c6 e4e5 f6d5 c3d5 c6d5 c1f4 c8f5 a1c1 d8b6 e5d6,108
2k5/1pp2p2/p2p3p/3b1N2/1P4p1/6P1/P4pQP/7K b - -,c7c6 e4e5 f6d5 c3d5 c6d5 c1f4 c8f5 a1c1 d8b6 e5d6,Mate
rn2nrk1/Np1qppbp/1B4p1/4P3/2B3b1/P4N2/2P1Q1PP/1R3RK1 b - -,g8h8 h2h3 g4f3 f1f3 e8c7 b1d1 d7a4 a7b5 c7b5 c4b5,138
r1bqkb1r/1pp1ppp1/n4n2/pN1p3p/2PP1B2/4P3/PP3PPP/R2QKBNR b KQkq -,e7e6 b5c3 d5c4 g1f3 f6d5 f1c4 d5f4 e3f4 c7c6 e1h1,101
r4rk1/pp3pp1/1np3p1/2BnPq2/4N3/1Q5P/PP3PP1/1R3R1K b - -,f5e4 b1e1 e4a4 b3a4 b6a4 c5f8 g8f8 e1c1 g6g5 f1d1,-348
8/4n1p1/3k4/7p/P1K5/8/1P6/5B2 b - -,,0
b1r5/p4ppk/1n5p/4r3/4p2P/1NR1P3/qPQ1BPP1/2R3K1 b - -,a8d5 c3c8 b6c8 c2c3 e5e8 e2b5 e8g8 b3c5 a7a5 c1d1,241
1k6/pp6/2p5/b5Np/4BP2/4PK2/1n1r1P1P/7R b - -,a5b4 h2h4 b2d3 e4d3 d2d3 f4f5 a7a5 f5f6 d3d6 f6f7,76
