6B1/8/1q6/8/1k6/8/1B6/1K6 b - -,f7h5 g4c4 b5b8 f2f5 h7h6 b4b5 h5e8 c4a4 g5d8 f5e5,Mate
r2q1rk1/pb2bpp1/1pn1pn1p/8/2BP3B/P1N2N2/1P3PPP/2RQ1RK1 b - -,f6h5 h4g3 e7f6 d4d5 c6a5 c4a2 h5g3 h2g3 f6c3 c1c3,-18
r3kb1r/ppqb2pp/4p2n/2p1P3/2Pp1P2/3B4/PP4PP/RNBQ1RK1 b kq -,e8a8 b1d2 d7c6 d2e4 h6f5 d1e2 h7h6 f1f2 c8b8 c1d2,23
rn1q1rk1/ppp1bppp/3pbn2/4p1B1/4P2P/2NP1N2/PPP1BPP1/R2QK2R b KQ -,b8d7 d3d4 c7c6 g5f6 e7f6 d1d2 d8c7 e1a1 b7b5 d4e5,-41
r2qkbnr/pp3ppp/2n1p3/3pP3/2pP4/P1P2Q1P/1P1N1PP1/R1B1KB1R b KQkq -,b7b5 f1e2 g8e7 e2d1 e7f5 e1h1 a7a5 b2b3 c4b3 d2b3,77
r3qrk1/3nbpp1/b1n1p2p/p1ppP3/1p3B1P/3P1NP1/PPP2PBN/R2QR1K1 b - -,a5a4 h2g4 a8b8 d1c1 h6h5 g4h2 a4a3 b2b3 b8b6 c1d1,7
r5k1/5pp1/7p/p1qP4/1pP4P/1Q4P1/5P2/R5K1 b - -,g8h8 h4h5 f7f5 g1g2 f5f4 g3g4 c5d6 b3d1 d6e5 c4c5,-27
r2qk2r/pp1n1ppp/2pb1n2/3p4/2PPp3/4P2P/PP2BPP1/RNBQ1RK1 b kq -,d5c4 b1d2 d6c7 d2c4 e8h8 d1c2 d8e7 b2b4 f6d5 c1d2,-13
8/8/8/p1p1kp2/2P5/3K1B1P/1P4P1/8 b - -,d5c4 b1d2 d6c7 d2c4 e8h8 d1c2 d8e7 b2b4 f6d5 c1d2,Mate
r1R3k1/4bppp/1n1p4/1p1P1BP1/p6P/qP3Q2/P1P2P2/1K1R4 b - -,e7f8 c8a8 b6c4 f5h7 g8h7 f3f5 h7g8 a8f8 g8f8 f5c8,1040
8/2k5/1R1p1p1p/Pp1PpP2/4n3/7P/2P2PP1/7K b - -,e4f2 h1g1 f2e4 b6b5 e4c3 b5b3 c3d5 a5a6 c7c8 a6a7,881
r6r/pppk2pp/2np1p2/2bNpb1q/2B5/3PB3/PPPQ1PPP/R3R1K1 b - -,h8e8 b2b4 c5e3 f2e3 c6e7 b4b5 h5g5 d2a5 e8c8 a5b4,-23
8/8/4bk2/8/5p2/6pR/1P4K1/8 b - -,c5b6 a2a4 b6e3 e1e3 h5h6 a4a5 f5e6 c2c3 c6d8 a5a6,Mate
2r4k/6pp/p7/1p6/1P6/P3qP2/1Q4PP/3R1K2 b - -,h8g8 b2a2 g8f8 a2b1 g7g6 b1d3 e3d3 d1d3 f8e7 f1f2,60
3rk3/1p4bp/p1bq2p1/3p1p2/8/1B3NP1/PP1Q1PP1/4R1K1 b - -,e8d7 f3d4 g7d4 d2d4 d7c7 b3d1 d6f8 b2b4 d8d6 e1e5,-8
rnb1kb1r/pp2nppp/1qp1p3/3p4/3PP3/2N2PN1/PPP3PP/R1BQKB1R b KQkq -,e7g6 h2h4 h7h5 f3f4 f8e7 g3h5 d5e4 f1e2 g6h4 c3e4,46
7N/p1k3R1/2p5/1p2n1P1/8/1P3P2/PP5P/6K1 b - -,c7c8 g5g6 e5g6 g7g6 c6c5 g1h1 c8d7 g6g1 a7a5 h8f7,1060
r4rk1/pp1b1pp1/1q2p2p/1Nn5/2P5/Q5P1/P3PPBP/1RR3K1 b - -,e6e5 b5c3 b6c7 c1d1 f8b8 h2h4 d7e8 c3b5 e8b5 b1b5,128
8/8/5k2/8/5p2/6pK/1P6/8 b - -,e6e5 b5c3 b6c7 c1d1 f8b8 h2h4 d7e8 c3b5 e8b5 b1b5,Mate
8/2k5/1R1p1p1p/Pp1PpP2/8/7P/2P2nP1/6K1 b - -,f2e4 b6b5 e4c3 b5b3 c3e2 g1f2 e2f4 a5a6 f4d5 a6a7,999
r4rk1/pp1n1pbp/2p2np1/4p3/4P3/2N1BBPP/PPP2P2/R2R2K1 b - -,f8b8 g3g4 h7h6 h3h4 d7f8 c3a4 f8e6 a4c5 e6d4 e3d4,50
R7/bP4pk/8/N6p/p7/5b2/1PP5/1K6 b - -,f3d5 a8a7 d5b7 a7b7 h7h6 a5c4 g7g6 b1a2 a4a3 b2a3,634
r3k2r/p2bppbp/1pN3pn/2pNP3/8/7P/PPP2PP1/R1BR2K1 b kq -,h6f5 d5c7 e8f8 d1d7 a8c8 c6a7 c8e8 a7c6 f5d4 c6d4,627
rn2k2r/ppp1bppp/1q2pn2/8/3P1B2/2N2P2/PPPQBP1P/2KR3R b kq -,,0
r1r2b2/p4p1R/1pp1k3/1PPpPp2/P2P4/2K2P2/5B2/7R b - -,a7a5 h1h6 f8h6 h7h6 e6d7 e5e6 f7e6 h6h7 d7e8 c5b6,178
8/8/8/5k2/5p2/1P4pK/8/8 b - -,a7a5 h1h6 f8h6 h7h6 e6d7 e5e6 f7e6 h6h7 d7e8 c5b6,Mate
6r1/1R4P1/5p2/p3p3/1k1pP3/1P4P1/5PK1/8 b - -,b4a3 f2f4 a3b2 f4f5 g8d8 g2f2 d4d3 f2e1 b2c3 b7f7,388
