8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
5qk1/4p2p/6p1/2pPp3/p1Pb3P/P5P1/1rB1QPK1/5R2 b - -,f8f5 c2f5 b2e2 f5d7 e2a2 d7a4 e5e4 g2h3 d4f2 a4d1,-109
rnbqkbnr/1p4pp/p1p2p2/3p4/3P1B2/2N2N1P/PP2PPP1/R2QKB1R b KQkq -,f8d6 f4d6 d8d6 e2e4 b8d7 f1d3 g8e7 e1h1 d7f8 f3h4,79
8/5pn1/3k2p1/1p4P1/3PPP2/3N1K2/8/8 b - -,g7e8 f3e3 e8c7 d4d5 c7e8 e3d4 d6c7 d4c5 c7d7 e4e5,393
R5k1/8/6K1/6B1/8/8/8/5r2 b - -,f1f8 a8a7 f8f2 a7e7 f2f3 e7g7 g8f8 g7c7 f8g8 c7c8,12
r2q1rk1/pbp2ppp/1pn1pn2/3pN3/3P2P1/2PBP3/PP3PP1/RN1QK2R b KQ -,c6e5 d4e5 f6e4 f2f3 f7f5 f3e4 d8g5 e4f5 g5e3 d3e2,92
r7/1p4qk/7p/p4bp1/3rpp2/P1Q5/1P2BPPP/2R2RK1 b - -,d4d5 c3b3 d5d2 b3b6 a8f8 c1c7 f8f7 c7f7 g7f7 e2h5,-75
2r1rbk1/1bqn1ppp/pp1ppn2/8/P2P4/2PBNN1P/1P3PPB/2RQR1K1 b - -,c7b8 d1e2 b8a8 c1d1 c8d8 e2f1 g7g6 f3d2 e6e5 b2b4,50
r4rk1/p3qpbp/1p1p4/2pP1bp1/2P1P3/Q1P2PP1/P5BP/1R1R2K1 b - -,f5d7 d1e1 e7e5 a3c1 e5f6 e4e5 d6e5 a2a4 a8b8 g3g4,-462
1r3r1k/pb4pp/1p6/2pB1p2/8/P1P1P2P/1P1R1PP1/3R2K1 b - -,g7g6 d5b7 b8b7 g2g3 f8f7 d2d5 a7a5 g1g2 h8g7 a3a4,286
3r4/p4k1R/1p3p2/5P2/3r4/3P4/PP4KP/8 b - -,f7g8 h7a7 d4d3 a7e7 d8c8 e7e2 g8f7 h2h4 d3d5 e2e4,-506
8/P6k/8/1K6/1R6/5p1P/8/1r6 b - -,b1a1 b4h4 h7g6 h4g4 g6h7 b5b6 f3f2 g4f4 a1b1 b6c6,Mate
8/8/8/3Q1k2/K7/7P/8/5q2 b - -,,0
4k3/4P3/5p1P/5Nn1/K5P1/8/1P6/8 b - -,e8d7 a4a5 d7e6 e7e8q e6d5 b2b4 d5c4 b4b5 g5f3 h6h7,9605
rn1q1rk1/pb2ppbp/1p3np1/2pp4/3P1P2/2PBPN2/PP1BQ1PP/RN3RK1 b - -,f6e4 d2e1 b8d7 f3e5 d7f6 a2a4 e4d6 b1d2 f6e4 a4a5,-32
rnbr2k1/1p3pbp/p2p1np1/4P2q/4P3/1BN2N1P/PP1B1PP1/R2QR1K1 b - -,f6d7 b3f7 g8f7 g2g4 h5h3 f3g5 f7f8 g5h3 d7e5 f2f3,492
3Q4/8/8/k7/1q6/b4B2/2r2PPP/R5K1 b - -,a5a4 d8d1 b4d2 d1c2 d2c2 f3d1 c2d1 a1d1 a3e7 g2g3,866
8/8/P5k1/1K6/1R5P/5p2/8/5r2 b - -,,0
rn1qkb1r/pb1p1ppp/1p2pn2/2P5/2PP4/P1N5/4PPPP/R1BQKBNR b KQkq -,b6c5 d4d5 e6d5 c4d5 f8d6 g1f3 d6c7 a1b1 c7a5 b1b7,30
r2qkb1r/pppbnppp/2n1p3/1B1p4/3P1P2/4PN2/PPP3PP/RNBQ1RK1 b kq -,c6e5 b5d7 e5d7 c2c4 c7c6 b1c3 e7f5 d1b3 a8b8 b3c2,27
8/4k3/8/3K1Pp1/6P1/8/1b6/8 b - -,,0
rn1qkb1r/pbpp1p1p/1p2pnp1/3P4/2P5/3BPN2/PP3PPP/RNBQK2R b KQkq -,e6d5 c4d5 f8b4 e1f1 b7d5 e3e4 d5e6 e4e5 f6h5 d1a4,-31
r1b1qrk1/pp2p2p/2p2bp1/8/3PB3/5NP1/PPPQP2P/R3R1K1 b - -,a7a5 c2c3 a5a4 e1f1 g8g7 b2b4 a4b3 a2b3 c8h3 a1a8,81
6k1/p2r2pp/1p3p2/1N3b2/1R6/P4P2/1P3KPP/8 b - -,d7d2 f2e3 d2g2 b5a7 g2h2 b4b6 h7h5 a3a4 h5h4 a7c6,-6
2k3r1/1p6/p1p1Rb2/P4p2/3r1p1p/5B1P/1PP2PP1/R1K5 b - -,f6d8 c2c3 d4d7 c1c2 g8g7 b2b4 d7e7 e6d6 g7h7 a1d1,32
1nr2rk1/pb1q1ppp/1p2p3/1P1pP3/3P4/P2BBP2/3Q2PP/R1R3K1 b - -,c8c1 a1c1 f8c8 e3g5 a7a6 a3a4 c8c1 d2c1 a6b5 a4b5,181
8/7k/PK6/8/5R2/7P/5p2/2r5 b - -,,0
8/8/8/8/kq6/b2Q1B2/2r2PPP/R5K1 b - -,b4b3 d3c2 b3c2 f3d1 c2d1 a1d1 a3e7 g2g3 a4b3 h2h4,987
r1bq1rk1/ppp1n2p/2nb1pp1/3p4/5P2/1PNBP3/PBP2QPP/R3K1NR b KQ -,a7a6 e1a1 b7b5 g1f3 c8e6 e3e4 c6b4 a2a3 b4d3 d1d3,85
1r3r1k/p5pp/1p6/2pR1p2/8/P1P1P2P/1P3PP1/3R2K1 b - -,h8g8 d5d7 a7a5 g2g3 f8f7 g1g2 b8b7 d7d8 f7f8 d8d6,347
r4B1k/1b4b1/p4n1p/1p2pBpP/P3Pp2/1NPp4/1P4P1/R4R1K b - -,b7e4 f8g7 h8g7 f5e4 f6e4 a4b5 a8a7 b5a6 e4g3 h1g1,345
2kr4/1p1rb3/p1p1R3/P7/R4p1p/5B1P/1PP2PP1/2K5 b - -,c8c7 a4c4 d8f8 c2c3 f8f7 b2b4 e7d8 c1c2 d7e7 e6e4,185
8/3kP3/5p1P/1K3Nn1/6P1/8/1P6/8 b - -,c8c7 a4c4 d8f8 c2c3 f8f7 b2b4 e7d8 c1c2 d7e7 e6e4,Mate
8/8/P7/1K3pk1/3R4/7P/8/r7 b - -,a1e1 d4a4 e1b1 b5a5 b1b8 a6a7 b8a8 a5b6 f5f4 b6b7,544
8/P7/1KB5/8/1k2P3/8/8/2q5 b - -,,0
