8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
8/6k1/8/8/7P/1K6/8/8 b - -,,0
2r2q1k/2p3p1/p3R2p/1p2Q3/8/2P2P1P/PP4PK/8 b - -,c8b8 e6h6 h8g8 e5d5 f8f7 h6h8 g8h8 d5f7 b8d8 f7c7,747
r1bq1rk1/1pp2ppp/p2p1n2/n1bBp3/P3P3/3P1N2/1PPN1PPP/R1BQ1RK1 b - -,h7h6 c2c3 c5a7 b2b4 a5c6 d5b3 c6e7 f1e1 e7g6 d2f1,6
8/p5RR/1p1P4/3bbpk1/8/8/PP1n2PP/K7 b - -,g5f6 d6d7 e5c7 d7d8q c7d8 g7d7 f6g6 d7d8 d5e4 h7a7,547
r3kb1r/pbppqppp/2p5/3nP3/8/6P1/PPP1QPBP/RNB1K2R b KQkq -,g7g6 c2c4 d5b6 e1h1 f8g7 c1f4 e8h8 f1e1 f8e8 b1d2,29
r1b1k2r/pp2bppp/1q3n2/3p4/5B2/2P2N1P/PPQ2PP1/RN2K2R b KQkq -,b6a6 f3d4 f6e4 c2e2 a6g6 e2f3 g6b6 f3e2 e8h8 e1h1,-41
7r/1k3n2/p3p3/P1R3N1/8/2P5/1P6/2K5 b - -,f7g5 c5g5 b7c6 c1c2 h8h2 c2b3 h2h6 c3c4 h6h7 g5g6,256
4K2k/6p1/p6p/P7/8/6qP/8/1Q6 b - -,g3h3 e8d8 h3e6 b1b6 e6f6 d8c8 h6h5 c8b8 h5h4 b6c5,-214
2r2q2/2p3pk/R6p/1p2Q3/8/2P2P1P/PP4PK/8 b - -,f8f7 a6e6 c8d8 h3h4 f7f8 a2a3 c7c5 e6e7 h7h8 h2g3,441
8/8/3K1k2/8/8/7P/8/8 b - -,,0
rnQb2k1/3r4/p2p4/1p1PpR2/1P2Ppq1/3N4/5B2/2R2K2 b - -,,0
8/P6k/2K5/8/5R2/1r3p1P/8/8 b - -,b3c3 c6b5 c3a3 b5b6 a3b3 b6c5 b3a3,Mate
2bk3r/4p1bp/5np1/4B3/2p5/8/PP1N1PPP/R4RK1 b - -,d8e8 f1e1 c8a6 d2e4 h8f8 e4g5 f6h5 e5g7 h5g7 g5e6,535
3r2k1/1b3ppp/p7/P7/B2p4/P4P2/1R4PP/6K1 b - -,b7d5 a4c2 d5c4 b2b4 c4e6 c2d3 g7g6 b4b6 d8d5 b6a6,7
r1bq1rk1/pp2b1pp/4p3/2ppnp2/3n3P/2PP2PB/PP3P1N/RNBQ1RK1 b - -,d4c6 f2f4 e5f7 h2f3 d8d6 h3g2 c8d7 f1e1 a8e8 b1a3,-178
3rkb2/pp3pp1/b1p5/2n4r/2N1P1Np/1P3P2/PBK3PP/R6R b - -,c5e6 a2a4 h4h3 g2g3 a6c4 b3c4 h5a5 h1d1 d8d1 c2d1,-101
8/7p/2Bp4/2p3rP/2Pb1k2/P4p2/2K2p2/5R2 b - -,g5g1 c6f3 g1f1 f3e2 f1g1 h5h6 f2f1q e2f1 g1f1 c2b3,-3440
3rr1k1/pp3pp1/5n2/4pq1p/1PPp3P/3P1PP1/P1NQR1K1/4R3 b - -,b7b5 c4b5 d8d6 a2a4 d6e6 c2a3 f6d5 a3c4 d5c3 e2f2,-53
r3r1k1/ppp1qpp1/2n2n1p/b4b2/2N5/P2PPN2/1B2BPPP/R2Q1RK1 b - -,a5b6 a1c1 a8d8 d1c2 a7a6 c2b1 f5c8 c4b6 c7b6 b2a1,83
r4rk1/1p1q2p1/1p1p1n1p/4p3/1P2P3/2N4P/2P2PP1/R2QR1K1 b - -,a8a1 d1a1 f8c8 a1a2 d7f7 a2a3 f7c4 e1e3 g8h7 a3b3,12
r3kbnr/ppp1pppp/2n5/7b/P3P1P1/5P2/1PP4P/RNBK1BNR b kq -,f7f5 g4h5 e8a8 b1d2 f5e4 f3e4 g8f6 g1f3 f6e4 d1e2,325
3rr1k1/pp2qpp1/5n1p/3Pb3/8/1PNQ4/PB3PPP/2R2RK1 b - -,b7b5 a2a3 b5b4 a3b4 e7b4 c3a2 b4b6 b2e5 d8d5 e5c7,-9
1qrr2k1/pb1nppbp/1ppp1np1/4P3/2PP4/1PN2NP1/PBQ2PBP/3RR1K1 b - -,f6e8 e5e6 f7e6 e1e6 g7f6 h2h4 e8g7 e6e1 d8f8 g2h3,217
6k1/3b1p1p/B7/8/4P3/r7/5PPP/3R2K1 b - -,a3a6 f2f3 d7e6 h2h4 g8g7 g1h2 g7f6 d1d8 a6a5 h2g3,-41
r1b1k1nr/1pppqppp/p1n5/b7/2BpP3/BQP2N2/P4PPP/RN3RK1 b kq -,a5b4 a3b4 c6b4 c3b4 b7b5 c4d3 c8b7 b1d2 g8f6 e4e5,412
4R3/kpb5/p1p2r2/P7/3R1pBN/1P1b3P/K4PP1/2r5 b - -,f6d6 d4d6 c1c2 a2a1 c7d6 g4f5 d3f5 h4f5 d6b4 e8e4,-141
r1bq1rk1/p1pnbppp/1p2pn2/3pN3/2PP4/2B3P1/PP2PPBP/RN1Q1RK1 b - -,d8e8 b1d2 c8b7 b2b4 d7e5 d4e5 f6d7 c4d5 b7d5 g2d5,35
r3k2r/ppp5/2n2n1p/2bp2p1/8/6B1/PPP1BPPP/RN2K2R b KQkq -,e8a8 b1d2 h8e8 e1d1 h6h5 f2f4 g5f4 g3f4 c6d4 e2d3,-96
5R2/6p1/8/ppk2p2/2pb1P2/8/2K5/8 b - -,d4f6 f8e8 a5a4 c2b1 c5b4 b1c2 a4a3 e8e5 c4c3 e5e8,-1066
r1bqkb1r/ppp1ppp1/2np1n2/1B5p/3PP3/5NP1/PPP2P1P/RNBQK2R b KQkq -,e7e5 d4e5 f6e4 d1d5 e4c5 f3g5 d8d7 g5f7 d7f7 b5c6,69
r1b2rk1/pp2bppp/1q3n2/3p4/5B2/2P2N1P/PPQ2PP1/RN3RK1 b - -,f6e4 b1d2 b6g6 d2e4 d5e4 f3e5 g6f5 f4h2 e7d6 e5g4,-30
r1bqk2r/1pn2pp1/2pb1p2/p7/3P1N1p/2PB3P/PPQ2PP1/R1B2RK1 b kq -,c7d5 f4d5 c6d5 b2b3 c8d7 f1e1 e8f8 c3c4 d8c8 c4c5,52
6B1/p3k2p/1pP5/5KP1/P2P2Pb/7P/8/8 b - -,e7d6 g8h7 h4f2 d4d5 a7a6 f5g6 f2g3 g6h6 g3f4 h7b1,878
6k1/1R5p/1n4p1/3p1p2/3P4/1r2PB1P/5PP1/6K1 b - -,b3b4 h3h4 g8h8 g1h2 h7h6 g2g4 f5g4 f3g4 g6g5 h4g5,392
r2qr1k1/pp1Bbpp1/5n1p/2np4/8/2N1PP2/PPQ1NBPP/R4RK1 b - -,d5d4 d7e8 d4d3 e8f7 g8f7 c2d1 d3e2 d1e2 d8d3 a1d1,553
r4rk1/pp1qnpbp/2n1b1p1/2p1p3/8/P1NPN1PP/1P2PPBK/1RBQ1R2 b - -,b7b6 b2b4 c5b4 a3b4 a8c8 c3e4 c6d4 e4g5 e6d5 e3d5,-50
4r1k1/6pp/pq1p1p2/1p3P2/4NQ1P/3BrN2/PPP3K1/8 b - -,g8h8 b2b4 e8e7 a2a3 h7h6 e4g3 h8g8 g3e4 g8h7 e4g3,-32
8/8/1p6/p6P/2k3R1/2P4r/3K4/8 b - -,,0
4r2k/p4Rp1/7p/P3q3/5Q2/7P/6PK/8 b - -,a7a6 f7f5 e5f4 f5f4 e8e5 f4a4 h8h7 h3h4 h7g6 h2h3,-4
8/6p1/8/pp3R2/1kpb1P2/8/2K5/8 b - -,a5a4 f5f8 a4a3 f8a8 c4c3 c2d3 d4c5 f4f5 b4b3 a8h8,-919
2r2q1k/4R1p1/2p4p/1p2Q3/8/2P2P1P/PP4PK/8 b - -,f8g8 f3f4 c6c5 f4f5 c8f8 e7e6 g8f7 e6h6 h8g8 h6g6,491
5k1r/pp2q2p/n3pnp1/8/2Q5/5N2/PP3PPP/R3R1K1 b - -,f8g7 f3g5 h8a8 g5e6 g7h8 c4c3 h8g8 a1d1 f6e8 a2a3,582
3r4/1b3pkp/1p2n1p1/p1p1P3/4pN2/1PB1P3/P4PPP/2R2K2 b - -,g7f8 f1e1 f8e7 c1d1 d8d1 e1d1 e6g7 g2g4 g7e6 f4e6,-60
8/4K1k1/8/8/8/7P/8/8 b - -,,0
1r2r3/p1pbk1p1/4p1pp/4P3/1n2B3/8/PPP2PPP/R1B1R1K1 b - -,e8d8 c1e3 b4c6 e4g6 c6e5 e3c5 e7f6 c5d4 f6g6 d4e5,302
3Q4/7P/8/8/6K1/2p2P2/2P1k3/8 b - -,e8d8 c1e3 b4c6 e4g6 c6e5 e3c5 e7f6 c5d4 f6g6 d4e5,Mate
K7/P7/6k1/8/5R1P/8/1r3p2/8 b - -,,0
1R6/3R4/6p1/P7/7p/3k3P/6PK/8 b - -,g6h5 f4f2 b2f2 a8b7 f2a2 b7b8 h5h4 b8b7 a2a1 a7a8q,Mate
b1R5/r3kppp/8/2NpP3/5P2/6P1/6PK/8 b - -,d5d4 g3g4 a8d5 f4f5 f7f6 e5e6 a7a8 c8a8 d5a8 c5b3,-5
rnb1r1k1/pp2qpbp/2p3p1/3n4/3NP3/2N2P2/PPQ1BBPP/R4RK1 b - -,d5b4 c2d2 e8d8 a1d1 b8a6 d2c1 c6c5 d4b5 c8e6 f3f4,63
5rk1/1p1q2p1/1p1p1n1p/4p3/1P2P3/2N4P/2P2PP1/Q3R1K1 b - -,f8c8 a1a2 d7f7 a2b2 f7c4 e1e3 c8c6 b2a3 g8h7 a3b3,6
4r1k1/7p/pp1p2pb/2pPn3/P4P1q/N4P1b/1P1QN1BK/R4R2 b - -,e5g4 f3g4 e8e2 d2e2 h3g4 h2g1 g4e2 f1f2 e2d3 a1d1,-522
1qrr2k1/pb1nppbp/1pp2np1/4P3/2P5/1PN2NP1/PBQ2PBP/3RR1K1 b - -,f6e8 e5e6 f7e6 e1e6 d7c5 e6e7 d8d1 c2d1 g7f6 e7e3,256
2r5/3k1pp1/4p3/1p1n3p/p2R3P/P1P3P1/1P2KP2/4B3 b - -,d7d6 f2f4 f7f6 e2f3 e6e5 d4e4 d5b6 f4e5 f6e5 e4b4,-81
8/p5p1/7p/PK2k3/8/6PP/8/8 b - -,h6h5 b5a6 e5d6 a6a7 d6c5 a7b7 c5d4 b7b6 g7g5 a5a6,844
r3r1k1/1p3pbp/p2Q1np1/q1p1n3/2P1P3/1PN1B1Pb/P3NPB1/2R2RK1 b - -,a8d8 d6c5 a5c5 e3c5 h3g2 g1g2 e5d3 c5b6 d3c1 f1c1,-195
8/6p1/8/1p5R/pkpb1P2/8/2K5/8 b - -,a4a3 c2b1 c4c3 h5h3 b4b3 b1c1 a3a2 c1d1 a2a1q d1e2,-9605
r1b2rk1/pp2bppp/1q6/3p4/4nB2/2P2N1P/PPQN1PP1/R4RK1 b - -,b6g6 f3e5 g6f6 f4h2 c8f5 d2e4 d5e4 a1e1 a8e8 c2a4,-19
1k1r4/1pb2b2/p1p2r2/P7/R4pBp/5N1P/1PP1RPP1/2K5 b - -,f7d5 e2e7 f6h6 f3e5 c7d6 e7d7 d8d7 e5d7 b8c7 f2f3,58
4r2k/p5p1/7p/P7/5R2/7P/6PK/8 b - -,e8e5 f4a4 a7a6 h3h4 h6h5 a4a3 h8h7 a3a4 e5c5 a4a3,-1
8/P6k/K7/8/5R2/1r3p1P/8/8 b - -,b3a3 a6b6 a3b3 b6c5 b3a3 f4h4 h7g6 c5b6 f3f2 h4f4,Mate
rn1qk1nr/pp3ppp/2p1b3/3p4/1b1P4/P1N2N2/1PP1QPPP/R1B1KB1R b KQkq -,b4c3 b2c3 g8f6 e2e3 e8h8 f1d3 f8e8 e1h1 b8d7 a3a4,-10
r3r3/1p3pkn/p2Rb3/8/2PQ4/2N3qP/PP2B3/5K1R b - -,f7f6 d6e6 e8e6 h1g1 g3g1 d4g1 g7h8 g1d4 a8e8 e2d3,595
7k/8/5K2/8/8/7P/8/8 b - -,,0
r3kb1r/pp1npppp/2p2n2/7b/4P1P1/5P2/PPP1B2P/RNBKN2R b kq -,f6e4 f3e4 h5g6 b1c3 e8a8 c1e3 d7f6 e1d3 f6e4 c3e4,296
r1bq1rk1/pp2b1pp/2n1p3/2ppnp2/7P/2PP2PB/PP2QP1N/RNB2RK1 b - -,e5f7 f2f4 e6e5 f4e5 f7e5 h3g2 d5d4 h2f3 e7f6 b1a3,-210
r2qrbk1/pp3pp1/2b2n1p/3pn3/3N4/1QN1B1P1/PP2PPBP/2RR2K1 b - -,a7a5 b3c2 d8d7 d4c6 b7c6 e3d4 d7g4 e2e4 g4h5 e4d5,99
4K1k1/6p1/p2q3p/P7/8/7P/2Q5/8 b - -,d6e5 e8d7 e5a5 c2c4 g8h8 c4e4 a5b6 e4e8 h8h7 e8e4,-292
8/p5p1/K6p/P7/4k3/6PP/8/8 b - -,e4d5 a6a7 d5c6 g3g4 c6c7 h3h4 g7g5 h4g5 h6g5 a5a6,864
4R3/3R4/6p1/P7/4k2p/7P/6PK/8 b - -,e4d5 a6a7 d5c6 g3g4 c6c7 h3h4 g7g5 h4g5 h6g5 a5a6,Mate
8/5pk1/R5p1/7p/7P/p4KP1/5P2/r7 b - -,g7f8 a6a8 f8e7 f3f4 f7f6 a8a6 a1a2 f4f3 e7f7 f3e4,-6
r1b1k1nr/1pp1qppp/p1np4/b7/2BpP3/BQP2N2/P4PPP/RN2R1K1 b kq -,b7b5 e4e5 b5c4 b3c4 e7d7 e5d6 e8d8 f3e5 c6e5 e1e5,139
r1bq1rk1/1pp2ppp/p1np1n2/2bBp3/P3P3/1N1P1N2/1PP2PPP/R1BQ1RK1 b - -,f6d5 e4d5 c6b4 b3c5 d6c5 f3e5 d8d5 e5c4 b7b6 c4e3,-23
6k1/2p2pnp/8/3P2q1/3BQ3/3P4/PP3K2/8 b - -,g5d2 f2f3 d2d1 f3g2 d1d2 g2h3 d2h6 h3g3 g8f8 a2a4,185
2krr3/ppp5/2n2n1p/2bp2p1/8/6B1/PPPNBPPP/R4RK1 b - -,e8e2 a1d1 f6h5 c2c3 a7a5 d2b3 c5a7 d1d2 d8e8 d2d5,-588
8/K5p1/7p/P7/8/5kPP/8/8 b - -,f3e2 a5a6 e2f3 a7b6 f3g2 a6a7 g2h2 a7a8q h2g1 a8a1,1295
2b1k2r/4p1bp/5np1/4B3/2N5/8/PP3PPP/R4RK1 b - -,c8a6 a1c1 e8f7 f1e1 h8d8 c4e3 g7h6 c1d1 d8c8 e5f6,538
rnb1r1k1/pp2qpbp/2p3p1/8/3NP3/2P2P2/P1Q1BBPP/R4RK1 b - -,b8d7 a2a4 d7c5 f1e1 c8d7 e2c4 g7e5 a1d1 a8d8 g2g3,43
2bB3b/2P2k2/p3N1p1/1p6/1P3PP1/P1P1R3/5K2/8 b - -,h8f6 e6c5 f6h8 e3e7 f7f8 c5d7 f8g8 e7e8 g8f7 e8f8,1131
K7/P7/8/7k/7P/8/1r3R2/8 b - -,,0
7k/p5p1/7p/P3r3/R7/7P/6PK/8 b - -,a7a6 h3h4 h6h5 a4a3 h8h7 h2g3 e5b5 g3f4 b5b2 f4g3,-1
4r3/4N2p/1p6/p4pk1/2Pp4/BP1P2qP/P7/5Q1K b - -,e8f8 f1g2 g3g2 h1g2 f8e8 g2g3 f5f4 g3f3 h7h6 a3d6,333
rnbqk2r/ppp2ppp/3p1n2/2b1p3/2BPP3/5P2/PPP1N1PP/RNBQK2R b KQkq -,e5d4 e2d4 d6d5 e4d5 e8h8 e1h1 f6d5 g1h1 d5b6 d4b3,-71
8/8/1p4R1/p6P/8/1kP4r/3K4/8 b - -,,0
r1b2rk1/pp3ppp/1qB5/2Np1n2/8/5N2/PPP2PPP/R2QR1K1 b - -,h7h6 c6b7 c8b7 c5d7 b6g6 d7f8 a8f8 d1d3 g6f6 a1d1,375
r1b1k2r/pp1nqp1p/2p2p2/4P3/2N1P3/5B2/P4PPP/R2Q1RK1 b kq -,e8h8 e5f6 e7f6 f3e2 f8d8 d1c2 d7c5 a1d1 d8d1 f1d1,102
5k2/ppR3p1/6P1/7P/2Ppb2r/PP6/8/2K5 b - -,h4h5 c7f7 f8e8 f7f4 h5e5 f4f7 e5e7 f7f4 d4d3 f4f2,-556
6k1/3K2p1/p6p/P3q3/8/7P/2Q5/8 b - -,e5a5 c2c4 g8h8 c4e4 a5b6 e4a8 h8h7 a8e4 b6g6 e4d5,-321
3r1k2/1b5p/1p2p1p1/p1p1P3/4p3/1PB1P3/P3KPPP/2R5 b - -,f8e7 a2a3 d8d3 b3b4 c5b4 a3b4 a5a4 c3d4 b7a6 e2e1,-70
3r1b2/3Bnb2/p4k2/1p1pB1p1/1PqP4/P3R3/5PP1/3Q2K1 b - -,f8e7 a2a3 d8d3 b3b4 c5b4 a3b4 a5a4 c3d4 b7a6 e2e1,Mate
3r1rk1/p3ppbp/6p1/2p5/4P3/7P/PPP1R1P1/R1B3K1 b - -,d8d1 g1h2 f8d8 e4e5 d8d5 c2c4 d5e5 c1f4 e5e2 a1d1,-361
r1bqkb1r/ppp1ppp1/2np1n2/7p/3PP3/2N2NP1/PPP2P1P/R1BQKB1R b KQkq -,e7e6 f1g2 f8e7 c1e3 f6g4 e3d2 e6e5 d4d5 c6d4 f3d4,114
8/5pk1/6p1/R6p/7P/p4KP1/5P2/r7 b - -,g7f8 a5a8 f8e7 f3f4 f7f6 a8a6 a1a2 f4f3 e7f7 f3e4,-3
3r2k1/5ppp/p7/P7/1Rbp4/P4P2/2B3PP/6K1 b - -,,0
1qrrn1k1/pb1nppbp/1pp1P1p1/8/2P5/1PN2NP1/PBQ2PBP/3RR1K1 b - -,f7e6 e1e6 d7c5 e6e7 d8d1 c2d1 g7f6 e7e3 e8g7 b3b4,264
8/K5p1/P6p/8/8/6kP/8/8 b - -,f7e6 e1e6 d7c5 e6e7 d8d1 c2d1 g7f6 e7e3 e8g7 b3b4,Mate
r4k1r/pbpp1R1p/1p1n3B/3P1p2/4n2N/2P5/P4PPP/3R2K1 b - -,f8f7 c3c4 a8e8 f2f3 e4f6 h6f4 d6c4 h4f5 h7h5 d1d4,-642
R5k1/1p3pp1/7p/5P2/P2b4/r5PK/7P/8 b - -,g8h7 a8c8 a3a4 c8c7 b7b5 c7f7 a4a2 f7b7 a2b2 h3g4,-558
8/8/8/8/4k3/8/1Q6/2K5 b - -,g8h7 a8c8 a3a4 c8c7 b7b5 c7f7 a4a2 f7b7 a2b2 h3g4,Mate
8/PK6/8/7k/7P/8/5r2/8 b - -,,0
r1bqkb1r/ppppn2p/2n2pp1/4pP2/4P1P1/2N2N2/PPPP3P/R1BQKB1R b KQkq -,d7d5 d2d4 d5e4 c3e4 f8g7 f1d3 g6f5 g4f5 c8f5 d4e5,-57
8/8/8/8/8/1kb5/2r5/5KR1 b - -,,0
2br1rk1/2q3bp/p3p1p1/npp1N3/3PpPP1/P1P1B3/1P2N1QP/3RR1K1 b - -,c8b7 e2g3 g7e5 f4e5 c5d4 c3d4 f8f3 g2e2 c7e7,-89
r7/pp3kpp/5p2/4P3/8/8/PP4PP/4R1K1 b - -,a8e8 g1f2 e8e5 e1c1 e5e6 c1c7 e6e7 c7c8 g7g5 g2g3,-114
3r1b2/3Bnb2/p5k1/1p1pB1p1/1PqP4/P3R3/5PP1/1Q4K1 b - -,a8e8 g1f2 e8e5 e1c1 e5e6 c1c7 e6e7 c7c8 g7g5 g2g3,Mate
r4rk1/pp2ppbp/2q3p1/5b2/7P/4BP2/PPPQ2P1/2KR1B1R b - -,a8d8 d2e2 d8c8 d1d2 c6a4 c1d1 g7b2 g2g4 f5c2 d1e1,-485
r4rk1/pp2bppp/1q6/3p1b2/4n3/2P1BN1P/PPQN1PP1/R4RK1 b - -,b6g6 d2e4 d5e4 f3e5 g6e6 e3d4 e7d6 c2b3 f8e8 b3e6,-64
r3r3/1p3pkn/p2Rb3/8/2P5/2N3qP/PP1QB3/5KR1 b - -,b6g6 d2e4 d5e4 f3e5 g6e6 e3d4 e7d6 c2b3 f8e8 b3e6,Mate
1qrrn1k1/pb1np1bp/1pp1R1p1/8/2P5/1PN2NP1/PBQ2PBP/3R2K1 b - -,d7c5 e6e7 d8d1 c2d1 g7f6 e7e3 e8g7 b3b4 g7f5 e3e2,273
r4k1r/pbpp3R/1p1n3B/3P1p2/4n2N/2P5/P4PPP/3R2K1 b - -,f8g8 h7g7 g8f8 h4g6 f8e8 g6h8 f5f4 h6f4 d6f5 g7g8,596
r2r2k1/ppbbqpp1/1np1pn1p/4N3/3P3P/1P3NP1/PBQ1PPB1/2RR2K1 b - -,a7a5 e2e4 a5a4 f3e1 d7e8 e1d3 f6d7 e5g4 c7d6 g4e3,98
3r1rk1/1bq3bp/p3p1p1/npp1N3/3PpPP1/P1P1B1Q1/1P2N2P/3RR1K1 b - -,g7e5 d4e5 a5c4 d1d8 f8d8 f4f5 c7e5 f5g6 h7g6 g3h4,-150
8/5p2/5kp1/R6p/7P/p5P1/5PK1/r7 b - -,f6e6 f2f3 a1a2 g2h3 f7f5 g3g4 f5g4 f3g4 h5g4 h3g3,-48
8/p7/6k1/1R6/1P5P/1r4PK/8/8 b - -,b3b1 h3g4 g6h6 b5b7 b1b3 g4h3 a7a5 b7b6 h6h5 b6b5,446
8/P1K5/8/7k/7P/8/1r6/8 b - -,,0
3r1b2/3Bnb2/p6k/1p1pB1p1/1PqP4/P6R/5PP1/1Q4K1 b - -,b2a2 c7b8 h5g4 b8b7 a2b2 b7a8 g4h4,Mate
8/6p1/8/1p5R/1kpb1P2/p7/8/1K6 b - -,b2a2 c7b8 h5g4 b8b7 a2b2 b7a8 g4h4,Mate
r1bq1rk1/pp4pp/2nbp3/2p1np1P/2Pp4/3P2PB/PP2QP1N/RNB2RK1 b - -,c6b4 c1d2 e5d3 h3g2 h7h6 b2b3 e6e5 a2a3 b4c6 g2d5,-260
2rr2k1/pbq1npbp/1p2p1p1/4P3/8/1Q1BR1NP/PP1B1PP1/4R1K1 b - -,c7b8 h3h4 d8d4 d2b4 d4b4 b3b4 e7d5 b4d4 d5e3 d4e3,-152
r3kb1r/pp1npppp/2p2nb1/8/4P1PP/5P2/PPP1B3/RNBKN2R b kq -,d7c5 h4h5 f6g4 f3g4 a8d8 c1d2 g6e4 h1h3 h7h6 e1d3,201
5k2/pp3Rp1/6P1/7P/2P1b2r/PP1p4/8/2K5 b - -,f8e8 c1d2 h4h5 f7f2 e4g6 b3b4 e8e7 a3a4 h5f5 f2g2,-579
4r3/pp3kpp/5P2/8/8/8/PP4PP/4R1K1 b - -,e8e1 g1f2 e1b1 f6g7 b1b2 f2g3 b2a2 g7g8q f7g8 g3f3,-762
8/8/5kpp/5p2/1b2PP2/p4K1P/P1B5/8 b - -,,0
8/8/8/5k2/8/2Q5/8/2K5 b - -,b4c5 c2b3 c5b6 b3a4 b6d8 a4d7 d8e7 d7c8 e7b4 f3e3,Mate
r1bqkb1r/1pp2pp1/p1np1n1p/4p3/2BPP3/1P3N2/P1P2PPP/RNBQ1RK1 b kq -,c8g4 d4d5 c6d4 c4e2 d4e2 d1e2 f8e7 b1d2 e8h8 f1e1,-32
6k1/ppp5/2np1b2/4p3/4P3/2PP2p1/PP2K1Pq/RN6 b - -,c8g4 d4d5 c6d4 c4e2 d4e2 d1e2 f8e7 b1d2 e8h8 f1e1,Mate
r1b2k1r/pp2qp1p/2pN1p2/4n2B/4P3/8/P4PPP/R2Q1RK1 b - -,h8g8 d6c8 a8c8 f2f4 e5g6 d1e2 c8d8 a1e1 c6c5 e2e3,-61
5rk1/3b2pp/2p2p2/1p2Q3/r2pPR2/PN1P2P1/2P4P/R5K1 b - -,a4a8 e5c5 a8c8 b3d4 h7h6 a1b1 f8d8 g3g4 g8h7 b1a1,714
5rk1/p3ppbp/6p1/2p5/4P3/7P/PPP1R1PK/R1Br4 b - -,f8d8 e4e5 d8d5 c2c4 d5e5 c1f4 e5e2 a1d1 g7d4 d1d2,-361
8/8/R7/8/5k1P/7K/p7/1r6 b - -,g7e5 g2g3 f8d8 h2g2 f7f6 h3h4 g8f7 a1b1 h7h5 e2e3,Mate
8/1pp5/1p1p1k1P/1P1P2p1/2P1K3/8/P7/8 b - -,g5g4 e4f4 f6g6 f4g4 g6h6 g4f5 h6h5 f5e6 h5g5 e6d7,Mate
8/6p1/8/1p3P1R/k1pb4/p7/8/1K6 b - -,g5g4 e4f4 f6g6 f4g4 g6h6 g4f5 h6h5 f5e6 h5g5 e6d7,Mate
8/PK6/8/7k/7P/8/r7/8 b - -,,0
2r2rk1/pp2bpp1/4p2p/1q1pPP2/3P2Q1/1N6/PP4PP/R4RK1 b - -,h6h5 g4h5 e6f5 h5f5 g7g6 f5f2 g8g7 a1c1 c8c4 h2h4,94
8/8/1R6/p6r/8/1kP5/3K4/8 b - -,,0
3r1rk1/1bq3bp/p3p1p1/np2N3/3PpPP1/P3B1Q1/1P2N2P/3RR1K1 b - -,g7e5 d4e5 d8d3 d1c1 a5c4 b2b3 d3b3 e2d4 b3e3 g3e3,-115
8/2rkb2p/3p4/3P4/p7/K1P2R2/1P5P/8 b - -,c7c4 f3h3 e7h4 h3f3 h7h6 b2b4 a4b3 a3b3 c4g4 c3c4,-367
2rr2k1/pbq1npbp/1p2p1p1/4P3/8/1Q1B2NP/PP1BRPP1/4R1K1 b - -,e7c6 d2e3 g7e5 d3e4 c6d4 e3d4 e5d4 e4b7 c7b7 g3e4,-234
8/5B2/6K1/5PP1/8/2r3b1/8/3k4 b - -,g3f4 g6f6 c3c6 f7e6 f4c1 g5g6 c6c7 e6d5 c7a7 f6e6,-68
rnb1r1k1/p3qpbp/1p4p1/2p5/4P3/2P2P2/P1QNBBPP/R4RK1 b - -,e7f6 a1c1 c8a6 d2c4 f6e6 c4e3 a6e2 c2e2 b8c6 f1e1,27
r1b2rk1/p4ppp/1qp5/3p1n2/N7/5N2/PPP2PPP/R2QR1K1 b - -,b6a5 c2c3 f5d6 b2b4 a5c7 d1d4 d6b5 d4d2 h7h6 a4c5,65
3r1rk1/1RQb2pp/p2Np3/3pP3/2p1p3/2P1P3/q4PPP/5RK1 b - -,h7h6 b7a7 a2a4 h2h4 a6a5 g1h2 g8h7 d6f7 d8a8 c7d7,293
8/6p1/8/5P2/kppb3R/p7/8/1K6 b - -,d4b2 b1c2 b4b3 c2d2 a4b4 h4e4 a3a2 e4e7 b2f6 e7b7,-1588
3r2k1/p7/2p3pp/8/3rNRB1/8/Pq4PP/6QK b - -,g8g7 h2h4 h6h5 g4f3 d8d7 g1e1 d7e7 h1h2 b2b8 g2g3,61
r1bqk2r/1p2p1bp/p2p1np1/2pPn3/P3PP2/2N1B2P/1PP1B3/R2QK1NR b KQkq -,e5f7 g1f3 f6h5 h1g1 d8b6 d1c1 b6b4 f3d2 g7d4 c3a2,32
3r1rk1/1bq4p/p3p1p1/np2P3/3Pp1P1/P3B1Q1/1P2N2P/3RR1K1 b - -,f8f3 g3h4 f3e3 e2f4 e3e1 d1e1 d8e8 h4f6 a5c6 e1e4,-346
r4rk1/pp2bppp/6q1/3pNb2/4n3/2P1B2P/PPQN1PP1/R4RK1 b - -,g6e6 e5d3 e4f2 e3f2 e6g6 d3f4 f5c2 f4g6 h7g6 f1c1,-95
r1bqk2r/4ppbp/p1pp1np1/8/Q1P1P3/2NB4/PP3PPP/R1B2RK1 b kq -,c8d7 c4c5 e8h8 c1f4 f6h5 f4e3 h5f6 h2h3 d6d5 e4e5,35
r2q1rk1/1b1pbppp/p3pn2/1pp2P2/4P3/3PBNNP/PPP3P1/R2Q1RK1 b - -,e6e5 c2c4 b5c4 d3c4 f6e4 g3e4 b7e4 f3e5 d8c7 e5g4,-14
