r1bq1rk1/2p1npbp/1p1p2p1/P2Pp2n/1BP1P3/2N2N2/4BPPP/R2Q1RK1 b - -,d8d7 a5b6 a8a1 d1a1 h5f4 e2d1 c7b6 a1a3 c8b7 a3a4,214
8/6k1/4K3/8/3N4/3B4/8/8 b - -,g7h6 e6f6 h6h5 d3e2 h5h6 d4f5 h6h7 e2b5 h7h8 f6f7,7390
rn1qkbnr/pp1bpppp/8/1Bpp4/P2P4/4P3/1PP2PPP/RNBQK1NR b KQkq -,a7a6 b5e2 c5d4 e3d4 d7f5 g1f3 b8c6 e1h1 e7e6 c1f4,-41
r1b1r1k1/ppqn1pbp/5np1/3p4/3BP3/1P1B1P1P/P2N2PN/R1Q2RK1 b - -,c7f4 c1c3 d7f8 d3b5 e8e7 h2g4 c8g4 f3g4 f6e4 d2e4,-102
rnbqkbnr/pp4pp/3pp3/2p5/2P5/2N5/PP2PPPP/R1BQKBNR b KQkq -,g8e7 g2g3 d6d5 c4d5 e7d5 g1f3 f8e7 d1b3 b8c6 f1g2,108
rnbqk2r/ppp1ppbp/3p1np1/8/4PP2/3P1N1P/PPP3P1/RNBQKB1R b KQkq -,f6h5 h1g1 h5g3 e1f2 g3f1 g1f1 c7c5 b1c3 e8h8 f2g1,-52
rn1qk1nr/pp3ppp/4p3/3pPb2/1b1P4/2NB4/PP3PPP/R1BQK1NR b KQkq -,b8c6 d3f5 e6f5 g1e2 g8e7 h2h4 e8h8 h4h5 h7h6 e1h1,110
rn1qkbnr/pp2pppp/2p3b1/4N3/3Pp1P1/2N4P/PPP2P2/R1BQKB1R b KQkq -,g8h6 h3h4 f7f6 h4h5 g6f7 e5f7 h6f7 f1c4 e7e5 d1e2,223
1k3r1r/1pp2pp1/p1p5/2Q5/4N2q/2Pp1Pp1/PP4P1/R1B1RK2 b - -,,0
rnbqkbnr/ppp2ppp/8/4p3/3p4/1P1PP3/PBP2PPP/RN1QKBNR b KQkq -,f8c5 g1f3 b8c6 e3d4 e5d4 f1e2 g8f6 e1h1 e8h8 f1e1,-98
