r1b1kbnr/pppp1ppp/2n1p3/6B1/3Pq2P/5N2/PPP1BPP1/RN1QK2R b KQkq -,h7h6 b1c3 f8b4 g5d2 b4c3 b2c3 d7d6 h4h5 e6e5 e1h1,-70
r3kbnr/pppb1p1p/3p2p1/3Pp3/2PnP2q/2N1BPN1/PP4PP/R2QKB1R b KQkq -,f8g7 c3e2 d4e2 f1e2 h4e7 a1c1 b7b6 b2b4 a7a5 a2a3,39
2br2k1/pp3pp1/1bpr4/7p/3N4/PN2RBP1/1P5P/3R2K1 b - -,c6c5 d1e1 c5d4 e3e8 g8h7 b3d2 d4d3 g1g2 h5h4 b2b4,-371
rn1qk2r/pppbppbp/3p1np1/6B1/3PP3/2N2N2/PPPQ1PPP/R3KB1R b KQkq -,h7h6 g5f4 g6g5 f4g3 f6h5 e1a1 e7e6 f1e2 h5g3 h2g3,44
8/5ppk/4n1p1/3p2P1/3P1PP1/2P2K2/3Q4/1q2R3 b - -,b1b5 f4f5 e6f8 f3g2 g6f5 g4f5 b5b3 d2d3 h7g8 d3f3,383
rn1qkbnr/pbp1p1pp/1p3P2/3p4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,e7f6 f1d3 d8e7 c1e3 e7d7 e1h1 f8d6 b1c3 a7a6 f3h4,77
rnbqkbnr/pp1p2pp/2p2p2/4p3/4PP2/3P1N2/PPP3PP/RNBQKB1R b KQkq -,d7d5 e4d5 c6d5 f4e5 b8c6 d3d4 f6e5 f1b5 c8g4 e1h1,46
r1bqr1k1/ppn5/2p1p1Qp/3nP3/2B5/8/PPP2PPP/R3R1K1 b - -,d7d5 e4d5 c6d5 f4e5 b8c6 d3d4 f6e5 f1b5 c8g4 e1h1,Mate
r1bqrk2/ppn5/2p1p2Q/3nP3/2B5/8/PPP2PPP/R3R1K1 b - -,d7d5 e4d5 c6d5 f4e5 b8c6 d3d4 f6e5 f1b5 c8g4 e1h1,Mate
r1bqr3/ppn2k1Q/2p1p3/3nP3/2B5/8/PPP2PPP/R3R1K1 b - -,d7d5 e4d5 c6d5 f4e5 b8c6 d3d4 f6e5 f1b5 c8g4 e1h1,Mate
