6k1/8/6K1/3N4/8/8/8/1B6 b - -,a8b8 a2a4 f8e8 c1e3 d8e7 b2b3 a7a6 a5c4 e6c4 b3c4,Mate
r3r1k1/2pb3p/p5p1/2p3q1/4N3/PPP1n1N1/6PP/R1Q1R1K1 b - -,e8e4 c1d2 e4e7 g3f1 a8e8 e1e3 e7e3 a1e1 e3e5 e1e5,-419
r2qkb1r/pbpn1ppp/1p2pn2/8/4P3/5NP1/PPPNQPBP/R1B1K2R b KQkq -,f6g4 e1h1 g4e5 a2a4 d8c8 f3e5 d7e5 f1d1 f8d6 b2b4,58
4Rrk1/p2Q1pp1/2p4p/1p1p4/1P1P4/2P2P1P/P2q2P1/6K1 b - -,,0
6r1/2p5/1pk5/p1p1r1p1/P6p/6PP/1PPR3K/8 b - -,h4g3 h2g2 c6b7 g2g3 e5e3 g3g4 g8h8 d2h2 h8h4 g4g5,-725
r3k2r/1b2bppp/pq3n2/2ppP3/Q4B2/2N2P2/PPP3PP/2KR1B1R b kq -,b7c6 e5f6 c6a4 c3d5 b6f6 d5f6 e7f6 f4d6 e8d7 d6c5,409
r1bqkb1r/p4ppp/1pnppn2/2p5/2B1PP2/P1NP1N2/1PP3PP/R1BQK2R b KQkq -,a8b8 e1h1 f8e7 e4e5 f6g4 f3g5 h7h5 e5d6 d8d6 c3b5,36
rnb1kb1r/ppq2ppp/4pn2/2Pp4/1P6/4BN1P/P1P1PPP1/RN1QKB1R b KQkq -,a7a5 c2c3 a5b4 c3b4 b7b6 b1d2 b6c5 e3c5 f8c5 b4c5,-36
r1r3k1/pb3pp1/4pn1p/2P1N3/8/8/P3BPPP/R1R3K1 b - -,,0
r1bqk2r/1ppp1ppp/p4n2/2b1N3/B1PnP3/3P4/PP3PPP/RNBQK2R b KQkq -,b7b5 a4b3 b5c4 b3c4 d7d5 e4d5 e8h8 e1h1 f8e8 c1f4,-28
r3k2r/pqp3pp/3bpn2/3pNb2/3P1B2/1P6/P1P2PPP/RN1Q1RK1 b kq -,h7h6 b1c3 c7c5 c3e2 b7c7 e5d3 d6f4 e2f4 e8h8 c2c3,90
8/8/2k5/4K3/8/8/8/3Q3b b - -,h7h6 b1c3 c7c5 c3e2 b7c7 e5d3 d6f4 e2f4 e8h8 c2c3,Mate
r3rnk1/p2bqpb1/2p2np1/2Pp3p/Q2Pp3/2N1P2P/P2NBPPB/2R1R1K1 b - -,g6g5 c1b1 e7e6 b1b7 g5g4 h3g4 f6g4 h2d6 a8d8 e1b1,106
r2q1bk1/1p1nrpp1/p3pB1Q/3pP3/P2P4/6RP/1P3PP1/R5K1 b - -,d7f6 e5f6 g7g6 f6e7 d8e7 h6d2 e7h4 g3b3 f8g7 a1d1,244
r5k1/4rppp/1q6/pb1p4/Np1P2P1/1P2P2P/PPRQ4/1KR5 b - -,b6a6 a4c5 a6h6 c5d3 h6h3 d3f4 h3f3 c2c5 e7e3 c5b5,-15
r3kbnr/pppqpppp/3p4/5b2/3P4/PP1PP3/1B3PPP/RN1QK1NR b KQkq -,d6d5 b1c3 e7e6 e3e4 f5g6 h2h4 h7h5 g1f3 f7f6 e1h1,-31
8/8/2k5/4K3/8/8/2Q3b1/8 b - -,e7e6 e3e4 f5g6 b1d2 d6d5 g1e2 f8d6 b3b4 a7a5 b2c3,Mate
r1bq1rk1/pp1nppb1/3p1Bpp/2p5/3PP3/2N2N1P/PPPQ1PP1/2KR1B1R b - -,e7f6 d2f4 c5d4 f3d4 d7b6 g2g4 d6d5 h3h4 c8d7 e4d5,81
2r1rn1k/pb4qp/1p3N2/8/3P4/P2B4/5RPP/2BQ2K1 b - -,c8c1 d1c1 e8c8 c1e3 f8g6 d3g6 g7g6 d4d5 g6f7 h2h4,435
r4rk1/1b2bppp/pq3n2/2p1B3/8/1QN2P2/PPP3PP/2KR1B1R b - -,b6b3 a2b3 f8e8 f1c4 f6g4 e5f4 g7g5 f3g4 g5f4 c4d5,243
r2qkb1r/pbp2ppp/1p2pn2/2n5/4P3/5NP1/PPPNQPBP/R1B2RK1 b kq -,d8c8 e4e5 f6d7 a2a4 a7a5 b2b3 d7b8 c1a3 f8e7 c2c3,66
r2qrbk1/ppp2ppp/2pnb3/4N3/2PP1B2/8/PP1N1PPP/R2QR1K1 b - -,d6f5 d2b3 f7f6 e5f3 e6c4 e1e8 d8e8 d1c2 e8e6 b3c5,-142
r3r1k1/1b2bppp/p4n2/2p5/5B2/1PN2P2/1PP3PP/2KR1B1R b - -,a8d8 f1c4 h7h6 h1e1 d8d1 e1d1 g7g5 f4e3 e7f8 e3d2,234
3rr1k1/1b3ppp/p2b4/2p4n/4B3/1PN2P2/1PPB2PP/2KR3R b - -,b7e4 c3e4 d6f8 h1e1 f7f5 e4f2 g8f7 c2c4 e8e1 d1e1,200
r3r1k1/p2bqpbn/2p2np1/2Pp3p/Q2Pp3/2N1P2P/P2NBPPB/1R2R1K1 b - -,g6g5 b1b7 h5h4 e1b1 e7e6 b7a7 a8a7 a4a7 g5g4 h3g4,191
r4Bk1/1bqnpp1p/p2p2p1/1ppP4/2P5/1P1Q1NP1/P2n1PBP/R4RK1 b - -,d2c4 b3c4 a8f8 f3d2 e7e6 a1e1 d7b6 d5e6 b7g2 e6e7,410
