7r/3KP1k1/8/8/8/8/8/R7 b - -,g8f6 h2h4 g5g6 b1c3 g6c2 c4b3 c2g6 h4h5 g6g4 f3g4,Mate
rnbq1rk1/ppp1ppbp/3p1np1/8/3P1B2/2N2NP1/PPP1PPBP/R2QK2R b KQ -,c7c6 e1h1 c8f5 f3h4 f5c8 e2e4 d8b6 a1b1 b6c7 d4d5,38
r1bq1rk1/pppnppbp/3p1np1/8/3PPB2/2N2NP1/PPP2PBP/R2QK2R b KQ -,h7h6 d1c1 g8h7 e1h1 c7c5 e4e5 f6e8 e5d6 e8d6 d4c5,62
rn1qkb1r/ppp1pppp/3p1n2/5b2/3P1B2/5N2/PPPNPPPP/R2QKB1R b KQkq -,b8c6 e2e3 e7e6 c2c4 f8e7 f1e2 e8h8 h2h3 d8d7 e1h1,60
r1bq1rk1/ppp1ppbp/n2p1np1/8/2PPP3/P1N1BN2/1P3PPP/R2QKB1R b KQ -,c8g4 f1e2 c7c5 d4d5 a6c7 e1h1 e7e6 h2h3 g4f3 e2f3,97
r2qk2r/ppp2ppp/2npbn2/2b1p1B1/2B1P3/2NP1N2/PPPQ1PPP/R3K2R b KQkq -,e6c4 g5f6 d8f6 d3c4 c5b4 a2a3 b4c3 d2c3 e8h8 c3e3,-64
rnbqk2r/pp2bppp/2p1pn2/8/2BPP3/2N2N2/PP3PPP/R1BQ1RK1 b kq -,a7a5 d1e2 e8h8 c4d3 b8d7 f1d1 f8e8 c1d2 d7f8 e4e5,226
rnbqkb1r/pp1p1ppp/2p2n2/4p3/4P3/3PBN2/PPP2PPP/RN1QKB1R b KQkq -,f6g4 e3g5 f8e7 g5e7 d8e7 b1d2 e8h8 f1e2 d7d5 c2c3,-17
8/8/3k4/8/8/3B1N2/8/4K3 b - -,d6e6 e1f2 e6d7 d3f1 d7c8 f3d4 c8c7 f2e3 c7d6 e3e4,15265
8/8/8/2k1N3/8/3B4/8/4K3 b - -,c5d4 e1d2 d4e5 d2e3 e5d6 d3g6 d6e5 g6e4 e5f6 e4c6,7
r1b2rk1/pp1n1p1p/3q2p1/3pb3/4P1N1/1P1B3P/P2N2P1/2RQ1R1K b - -,e5g7 e4d5 f7f5 d2c4 d6g3 f1f3 g3h4 g4h2 d7f6 a2a4,-112
