rn2kbnr/pp3ppp/1q2p3/2pp1b2/3P1B2/1QP1P3/PP1N1PPP/R3KBNR b KQkq -,b8d7 b3b6 a7b6 f1b5 g8e7 g1e2 e7c6 f2f3 c6a7 b5d7,29
r1bqk2r/pppp2bp/2n1pnp1/5p2/3P1B2/2PBPN2/PP1N1PPP/R2QK2R b KQkq -,a7a5 d1e2 d7d6 e3e4 d8e7 f4g3 e8h8 e4e5 f6h5 d2c4,69
rnbqkb1r/pp3ppp/2p2n2/3pP3/2P5/6P1/PP2PPBP/RNBQK1NR b KQkq -,f6g8 c4d5 c6d5 d1d5 d8d5 g2d5 b8c6 g1f3 g8e7 d5e4,447
r1bqkbnr/pp1p1ppp/4p3/2p5/3NP3/2N5/PPPPBPPP/R1BQK2R b KQkq -,f8e7 d4b3 d7d5 d2d4 d5e4 d4c5 d8d1 e2d1 f7f5 d1h5,545
r1bqkbnr/pp1p1ppp/4p3/1N6/3pP3/8/PPPPBPPP/R1BQK2R b KQkq -,d8b6 c2c3 d4c3 e1h1 g8f6 b5c3 f8e7 a2a4 e8h8 a4a5,124
8/8/8/4N3/4B3/4K3/1k6/8 b - -,b2b3 e3d4 b3b2 e5c4 b2c1 e4g6 c1d1 c4a5 d1c1 a5b3,15414
rnb1kb1r/ppp1pppp/8/3qP3/4p3/3P4/PPP1QPPP/R1B1KBNR b KQkq -,e4d3 e2d3 d5e5 f1e2 e5d6 d3b3 e7e5 g1f3 f8e7 e1h1,-111
r1bqkbnr/pp1p1ppp/2n1p3/8/8/2NQ1N2/PPP1PPPP/R1B1KB1R b KQkq -,f7f5 c1f4 a7a6 e1a1 d7d5 g2g4 f5g4 e2e4 d8f6 d3e3,-31
r1bqk2r/pppp1ppp/2n3n1/2bQP3/2B5/4PN2/PPP2PPP/RNB1K2R b KQkq -,c5b4 c2c3 e8h8 c3b4 d7d6 c4e2 c8e6 d5d2 d6e5 d2d8,735
rnbqk2r/1pp2ppp/4pn2/p2p4/1bPP4/P1N2N2/1P1BPPPP/R2QKB1R b KQkq -,b8a6 a3b4 a5b4 c3a2 c7c5 e2e3 f6e4 a2c1 e8h8 f1d3,603
rnbqk2r/1pp2ppp/4pn2/p2p4/2PP4/P1B2N2/1P2PPPP/R2QKB1R b KQkq -,b8d7 e2e3 e8h8 c4d5 e6d5 f1d3 f6e4 e1h1 b7b6 a1c1,56
r1b1rk2/pp1n1ppQ/3bpq2/8/3pN3/2P5/PP3PPP/R1B1R1K1 b - -,d4c3 e4d6 e8d8 b2c3 b7b6 c1g5 f6g5 h7h8 f8e7 h8d8,582
r1b1rk2/pp1n1ppQ/3bp3/4q3/3PN3/8/PP3PPP/R1B1R1K1 b - -,e5f5 h7h8 f8e7 h8e8 e7e8 e4d6 e8f8 d6f5 e6f5 b2b3,609
rnb2r1k/pp3ppB/4pP2/3p4/3p3Q/2N4N/PPP2PP1/R3K2R b KQ -,e5f5 h7h8 f8e7 h8e8 e7e8 e4d6 e8f8 d6f5 e6f5 b2b3,Mate
r1b1rk2/pp1n1pp1/4p3/8/3PN3/8/PP3PPK/R1B1R3 b - -,d7b6 b2b3 e8d8 c1a3 f8g8 a1c1 c8d7 a3e7 d8c8 f2f3,-35
r1b1rk2/pp1n1pp1/3bp3/8/3PN3/8/PP3PPQ/R1B1R1K1 b - -,d7b6 e4d6 c8d7 h2h5 f8e7 d6f5 e7d8 f5g7 f7f6 g7e8,1484
r1bqk2r/pppp1pp1/2n2b1p/4p3/4P3/3P1N2/PPP1BPPP/RN1Q1RK1 b kq -,e8h8 c2c4 d7d6 b1c3 c6e7 h2h3 c7c6 f3h2 e7g6 e2g4,-55
