FEN Position,Line of Moves,Evaluation Score
rn1q1rk1/p1ppbppp/bp2pn2/8/2PP4/1PN2NP1/P2BPP1P/R2QKB1R w KQ -,e2e4 d7d5 c4d5 e6d5 f1a6 b8a6 e4e5 f6e4 d1e2 e4c3,33
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,d5c4 g2g3 f6d5 f1g2 f8e7 a2a4 a7a5 f3e5 b8d7 e5c4,-56
rnbqkb1r/pp1ppppp/8/2p5/3Pn2B/8/PPP1PPPP/RN1QKBNR w KQkq -,g1f3 d8b6 b1c3 e4c3 b2c3 b6b2 h4g5 b2c3 g5d2 c3a3,-63
1brq1rk1/pp1bnppp/4p3/3n4/3PN3/P2B1N2/1P3PPP/R1BQR1K1 w - -,c1d2 h7h6 e4c3 d5f4 d3e4 d7c6 e4c6 c8c6 d2f4 b8f4,-61
r1bq1rk1/p4pp1/2p2n1p/3p4/Nb5B/3B4/PPP2PPP/R2Q1RK1 b - -,f8e8 c2c4 c8e6 c4d5 d8d5 d1c2 a8d8 f1d1 d5a5 a4c3,-23
rnbqk1r1/ppp2pP1/4p3/3p2p1/1b1P4/2NQ4/PPP2PPP/R3KBNR b KQq -,b4c3 d3c3 g8g7 e1a1 b8c6 f1b5 c8d7 g1f3 d8e7 b5c6,107
r1bq1rk1/pppp1ppp/2n2n2/4p3/3PP3/2N1PN2/PPP3PP/R2QKB1R b KQ -,e5d4 e3d4 f8e8 f1e2 f6e4 c3e4 e8e4 e1h1 d7d5 c2c3,-98
rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq -,b8c6 f1e2 d7d5 e1h1 a7a6 f1e1 f8d6 f4d6 d8d6 d4c5,23
rnbqkbnr/pp1p1ppp/4p3/2p5/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq -,f2f4 d7d5 c4d5 e6d5 e4d5 g8f6 f1b5 b8d7 d1e2 d8e7,-39
rn1qkb1r/pp2pppp/5n2/3p4/2PP2b1/5N2/PP3PPP/RNBQKB1R w KQkq -,c4d5 f6d5 h2h3 g4f3 d1f3 b8c6 f1b5 e7e6 e1h1 a7a6,27
8/8/1k1K4/8/8/8/8/2R5 b - -,f1e2 d5c4 e1h1 e7e6 b1c3 f8e7 e2c4 e8h8 d4d5 d8c7,Mate
rnbqk2r/1p2bppp/p2ppn2/8/2BNP3/2N5/PPP2PPP/R1BQ1RK1 w kq -,d1f3 e8h8 c4b3 b8d7 f3g3 d7c5 c1h6 f6e8 h6e3 e7h4,-3
8/8/3K4/1k6/8/8/8/2R5 w - -,d1f3 e8h8 c4b3 b8d7 f3g3 d7c5 c1h6 f6e8 h6e3 e7h4,Mate
r1bqkbnr/pp2pppp/2n5/8/2Bp4/4PN2/PP3PPP/RNBQK2R w KQkq -,f3d4 c8d7 d4f3 g8f6 e1h1 a7a6 a2a3 d7f5 b2b4 e7e6,56
rnbq1rk1/pp2ppbp/5np1/2pp4/2PP4/1PN1PN2/P4PPP/R1BQKB1R w KQ -,c1b2 c5d4 e3d4 c8g4 f1e2 b8c6 c4d5 f6d5 c3d5 d8d5,-61
r1b1k2r/ppppqppp/2n5/4n3/1bP2B2/4PN2/PP1N1PPP/R2QKB1R w KQkq -,f3e5 c6e5 f1e2 e8h8 e1h1 a7a5 a2a3 b4d2 d1d2 d7d6,66
rn1qkb1r/pp2pppp/5n2/3P4/3P2b1/5N2/PP3PPP/RNBQKB1R b KQkq -,d8d5 b1c3 g4f3 g2f3 d5d6 d1b3 d6b6 b3b6 a7b6 f1b5,124
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKBR1 b Qkq -,b7b5 g2g4 c8b7 f1g2 g7g6 a2a3 h7h5 c1g5 b8d7 g4h5,-29
r1bqk2r/pppp1ppp/2n2n2/8/1b1NP3/2N2P2/PPP3PP/R1BQKB1R b KQkq -,d7d6 f1b5 c8d7 c1g5 b4c3 b2c3 h7h6 g5h4 e8h8 a1b1,39
r1bqk2r/pppp1ppp/2n2n2/2b5/2B1P3/2N2N2/PP3PPP/R1BQK2R w KQkq -,e4e5 f6g4 c4f7 e8f7 f3g5 f7f8 d1g4 c6e5 g4g3 d7d6,150
r1bqkbnr/pp1ppppp/2n5/2p5/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq -,f2f4 g7g6 b1c3 f8g7 d2d3 a7a6 g1f3 d7d6 f1e2 e7e6,-44
rnb1k1r1/ppp2pP1/4pq2/3p2pQ/1b1P4/2N5/PPP2PPP/R3KBNR w KQq -,g1e2 f6g7 e1a1 b8c6 h2h4 g8h8 h5g4 f7f5 g4g3 f5f4,-103
rnbqk1r1/ppp2pP1/4p3/3p2p1/1b1P3P/2N5/PPP2PP1/R2QKBNR b KQq -,g8g7 h4g5 d8g5 g1f3 g5f6 h1h8 b4f8 d1e2 c7c6 h8h4,64
r1bqkb1r/ppp1pppp/2n5/1B6/3P4/2P5/P1P2PPP/R1BQK1NR b KQkq -,d8d5 a1b1 d5g2 d1f3 g2f3 g1f3 c8d7 b5d3 e8a8 d4d5,-107
rnbqkbnr/pppp1ppp/8/8/3Np3/4P3/PPPP1PPP/RNBQKB1R b KQkq -,d7d5 d2d3 g8f6 d3e4 d5e4 b1c3 a7a6 d4e2 d8d1 c3d1,-51
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e3 f8e7 c4d5 f6d5 f4g3 b7b6 f1d3 c8b7 e1h1 c6c5,56
r1bqk2r/pppp1ppp/2n2n2/2b3B1/2B1P3/2N2N2/PP3PPP/R2QK2R b KQkq -,c5d6 e1h1 e8h8 f1e1 h7h6 g5h4 g7g5 h4g5 h6g5 e4e5,72
r1bqkbnr/pp1ppppp/2n5/2p5/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq -,b7b6 g2g3 g7g6 f1g2 d7d6 g1e2 f8g7 e1h1 c8b7 d2d3,32
r2qkb1r/ppp2pp1/2np1n1p/4p3/2B1PP2/2NP1b1P/PPP3P1/R1BQK2R w KQkq -,c3e2 f3g2 h1h2 g2f3 c4b5 f6d7 b5c6 b7c6 d1d2 d8h4,-687
r1bq1rk1/pppp1ppp/2n2n2/8/1b1NP3/2N2P2/PPP3PP/R1BQKB1R w KQ -,a2a3 b4c3 b2c3 d7d5 d4c6 b7c6 c1g5 h7h6 g5h4 f8e8,-87
8/8/3K4/2R5/k7/8/8/8 w - -,a2a3 b4c3 b2c3 d7d5 d4c6 b7c6 c1g5 h7h6 g5h4 f8e8,Mate
8/3k4/8/8/5N2/2Q1K3/8/8 w - -,a2a3 b4c3 b2c3 d7d5 d4c6 b7c6 c1g5 h7h6 g5h4 f8e8,Mate
rnbqkbnr/ppp2ppp/8/3p4/3Np3/4P3/PPPP1PPP/RNBQKB1R w KQkq -,b1c3 f7f5 d2d3 g8f6 g2g3 c7c5 d4e2 b8c6 f1g2 f8d6,-88
r1bqkbnr/pp2pppp/2np4/2p5/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq -,a2a3 g8f6 d2d3 g7g6 g2g3 c8g4 f2f3 g4d7 f1g2 f8g7,-19
r1bqk2r/ppp2ppp/2p2n2/8/4P3/2P5/P1P2PPP/R1BQKB1R w KQkq -,d1d8 e8d8 f1d3 h8e8 f2f3 c8e6 a2a4 a7a5 e1f2 f6d7,96
8/8/2k5/8/5N2/Q3K3/8/8 w - -,f2f3 d8d1 e1d1 c8e6 d1e1 f6d7 c1e3 f7f6 h2h4 a7a5,Mate
r1bqkb1r/pp2pp1p/2n2np1/3p4/2PP4/1QN5/PP3PPP/R1B1KBNR w KQkq -,c3d5 c6d4 b3d3 e7e5 c1g5 f8e7 d5e7 d8e7 e1a1 h7h6,-139
rnbqk1r1/ppp2pP1/4p3/3p3Q/1b1P3p/2N5/PPP2PP1/R3KBNR b KQq -,b4e7 h5h7 e8d7 g1f3 e7f6 h1h4 g8g7 h7h6 d7e7 h4h5,188
r1bq1rk1/pppp1ppp/2n2n2/6B1/1b1NP3/2N2P2/PPP3PP/R2QKB1R b KQ -,h7h6 g5h4 d7d5 d4c6 b7c6 f1e2 g7g5 h4f2 d5e4 e1h1,-81
8/8/8/2RK4/8/1k6/8/8 w - -,d7d6 d4c6 b7c6 f1d3 d6d5 e1h1 f8e8 g1h1 b4c3 b2c3,Mate
r1b1kbnr/pp3ppp/2n1p3/3pP3/3p4/2P1BN2/Pq1N1PPP/R2QKB1R w KQkq -,e3f4 d4c3 a1b1 b2a2 b1a1 a2b2 a1b1 c3d2 f4d2 b2a3,-684
1k1r3r/1pp2pp1/p1p5/2Q5/7q/2Pp1Pp1/PP1N2P1/R1B1RK2 b - -,e3f4 d4c3 a1b1 b2a2 b1a1 a2b2 a1b1 c3d2 f4d2 b2a3,Mate
r1b1kb1r/p1ppqppp/2p5/3nP3/8/8/PPP1QPPP/RNB1KB1R w KQkq -,e2e4 g7g6 f1c4 d5b6 c4d3 f8g7 e1h1 e8h8 f1e1 f8e8,-72
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQR1K1 b - -,c7c6 d4d5 d7c5 d1c2 c6d5 c4d5 d8c7 e2f1 c8d7 a2a4,89
rnbqkb1r/pp1ppppp/8/2p3B1/3Pn2P/8/PPP1PPP1/RN1QKBNR w KQkq -,g1h3 d7d5 b1c3 d8a5 g5d2 e4d2 d1d2 c5d4 d2d4 e7e6,-112
r1bq1rk1/pppp1ppp/2n2n2/2b1p1N1/2B1P3/3P4/PPP2PPP/RNBQK2R w KQ -,a2a3 c6e7 c4b3 c7c6 b1c3 e7g6 e1h1 c5b6 c1e3 d7d5,-72
rn1qkb1r/pp3ppp/2p1pn2/3p4/4P3/2NP1Q1P/PPPB1PP1/R3KB1R b KQkq -,h7h5 f1e2 b8d7 f3e3 d8b6 e4d5 b6e3 f2e3 e6d5 e1a1,44
r1b1kbnr/pppp1ppp/2n5/4P3/5q2/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,h1g1 c6e5 e2e3 f4f6 d1d5 e5f3 g2f3 c7c6 d5d3 d7d5,-821
rnb1k1r1/ppp2pq1/4p3/3p4/1b1P3Q/2N5/PPP2PP1/R3KBNR w KQq -,e1a1 b4e7 h4h2 e7d6 h2h3 c7c6 h3e3 b8d7 g1f3 d7f6,-42
8/8/3K4/8/2R5/k7/8/8 w - -,e1a1 b4e7 h4h2 e7d6 h2h3 c7c6 h3e3 b8d7 g1f3 d7f6,Mate
rn1qkb1r/pp3ppp/2p1pn2/3p4/4P3/2NP1Q1P/PPP2PP1/R1B1KB1R w KQkq -,f1e2 b8d7 e1h1 f8c5 f3g3 e8h8 c1f4 f6e8 a1d1 c5d4,23
r1bqkb1r/pp1n1ppp/2n1p3/3pP3/8/2N2N2/PPPQ1PPP/R1B1KB1R w KQkq -,d2g5 d8g5 c1g5 d7e5 f3e5 c6e5 c3b5 e8d7 g5f4 f7f6,-144
r1bqk1nr/pp1pppbp/2n3p1/2p5/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,d4d5 c6a5 b1c3 d7d6 e3e4 g8f6 a2a3 a7a6 b2b4 c5b4,84
rnbqkb1r/pp1ppppp/8/2P3B1/4n2P/8/PPP1PPP1/RN1QKBNR b KQkq -,d7d5 b1d2 e4c5 e2e4 d5e4 b2b4 c5e6 d2e4 d8c7 g1f3,-46
rn1qkb1r/pp3ppp/2p1pn2/3pP3/8/2NP1Q1P/PPP2PP1/R1B1KB1R b KQkq -,f8e7 e5f6 e7f6 g2g3 e8h8 f1g2 a7a5 e1h1 b8d7 c3e2,330
rnbqkb1r/4pppp/p2p1n2/1p6/3NP1P1/2N5/PPP2P1P/R1BQKBR1 b Qkq -,b5b4 c3d5 e7e6 d5f6 d8f6 g1g3 f6d8 d1d2 e6e5 d4f5,78
rn1qkb1r/pp1n1ppp/2p1p3/3pP3/8/2NP1Q1P/PPP2PP1/R1B1KB1R w KQkq -,f3f4 c6c5 f4g3 b8c6 f2f4 c6d4 g3f2 g7g5 h3h4 g5h4,-114
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQR1K1 w - -,d4d5 c6d5 c4d5 a7a5 d1c2 b7b6 c1e3 f6g4 e3d2 d7c5,104
r1bqkbnr/ppp1pppp/2np4/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -,g8f6 b1c3 g7g6 d4d5 c6b8 e2e4 f8g7 f1e2 e8h8 e1h1,114
8/3n2pp/p1r1pk2/5p2/R1NP1K1P/4PPP1/8/8 b - -,c6c4 a4c4 e6e5 d4e5 d7e5 g3g4 e5c4 g4g5 f6e6 e3e4,-1683
8/8/8/2K5/2R5/1k6/8/8 w - -,f6e7 g3g4 f5g4 f3g4 h7h6 c4e5 d7e5 f4e5 c6b6 e5f4,Mate
rnbqkbnr/p1pppppp/8/1p6/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq -,g8f6 c4b5 e7e5 g1f3 e5e4 f3d4 c8b7 b1c3 a7a6 d1b3,146
rnb1kb1r/pp1ppppp/8/q1P3B1/4n2P/8/PPP1PPP1/RN1QKBNR w KQkq -,b2b4 a5b4 c2c3 b4b2 b1d2 e4c3 d1c1 b2c1 a1c1 c3a2,-244
8/8/3k4/Q7/5N2/4K3/8/8 w - -,b2b4 a5b4 c2c3 b4b2 b1d2 e4c3 d1c1 b2c1 a1c1 c3a2,Mate
r1bqkbnr/ppp2ppp/2np4/4p3/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -,d4d5 c6b8 e2e4 b7b6 c1g5 f8e7 g5e3 c8g4 b1d2 a7a5,91
rnb1kb1r/pp1ppppp/8/q1P3B1/4n2P/8/PPPNPPP1/R2QKBNR b KQkq -,e7e6 c2c3 e4g5 h4g5 a5c5 g1f3 b8c6 e2e3 h7h6 g5h6,96
3r4/1p1b2kp/1n2B1p1/p5N1/Pq6/8/1P4PP/R6K w - -,a1g1 d7c6 g5f3 d8e8 e6h3 b6a4 b2b3 a4b6 g1f1 b4b3,-1427
8/3n2pp/p3pk2/5p2/R1rP1K1P/4PPP1/8/8 w - -,a4a5 e6e5 a5e5 d7e5 e3e4 c4d4 h4h5 f5e4 f4e3 e5f3,-5835
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N2N2/PP3PPP/R1BQRBK1 b - -,a7a6 d4d5 c6d5 c4d5 a6a5 c1g5 h7h6 g5h4 g6g5 h4g3,114
r1bqkb1r/pppp1pp1/2n2n1p/8/2BpP3/5N2/PPP2PPP/RNBQR1K1 b kq -,f6h7 c2c3 d4d3 e4e5 f8e7 c4d3 e8h8 d3c2 f8e8 c1f4,171
rnb1k2r/ppq1nppp/4p3/2ppP3/3P3P/P1P5/2P2PP1/R1BQKBNR w KQkq -,a1b1 b8c6 g1f3 h7h6 h4h5 c5c4 g2g4 c8d7 f1e2 e8a8,47
rnbqkbnr/p1p1pppp/8/3p4/2B5/4P3/PP1P1PPP/RNBQK1NR w KQkq -,c4d3 e7e5 d3e2 f8d6 g1f3 g8f6 d2d3 e8h8 e1h1 b8c6,-83
rnb1kb1r/pp1ppppp/8/q1P3P1/8/8/PPPNPPP1/R2QKBNR b KQkq -,h7h6 g5g6 f7f6 h1h5 e7e6 e2e3 f8e7 g1e2 f6f5 g2g4,166
8/3n2pp/p3pk2/5p2/2RP1K1P/4PPP1/8/8 b - -,e6e5 d4e5 d7e5 c4c6 e5c6 g3g4 a6a5 g4g5 f6f7 h4h5,-855
r1bqkb1r/ppp2pp1/2np1n1p/8/2BpP3/5N2/PPP2PPP/RNBQR1K1 w kq -,f3d4 c8d7 d4c6 d7c6 d1f3 d8d7 b1c3 f8e7 h2h3 e8h8,96
4r2k/7p/pp2rPp1/2pbP3/3pR3/2P5/P5PP/2B3K1 w - -,f6f7 e8f8 e4e2 d4c3 a2a4 f8f7 h2h4 h8g7 e2e3 c3c2,-895
2r3k1/2r2Pb1/3p4/pq2p2p/1p1BP3/1B3P2/PPPQ4/1K1R4 b - -,g8f8 d4e3 d6d5 e4d5 a5a4 d5d6 a4b3 d6c7 f8f7 e3b6,Mate
rnbq1rk1/ppp2pbp/3p1np1/3Pp3/2P1P3/2N1B3/PP2BPPP/R2QK1NR b KQ -,f6e8 g2g4 b8a6 h2h4 f7f5 e4f5 g6f5 g4f5 c8f5 h4h5,121
r1bqkbnr/ppp1nppp/3p4/3Pp3/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq -,b1c3 f7f5 e2e4 g8f6 e4f5 e7f5 h2h3 e5e4 f3d4 g7g6,102
5r1k/5P1p/pp2r1p1/2pbP3/3pR3/2P5/P5PP/2B3K1 w - -,e4e2 d4c3 e2e3 f8f7 e3c3 e6e5 c1e3 h8g8 h2h3 e5e8,-633
rnb1kb1r/pp1ppppp/8/2q3P1/8/8/PPPNPPP1/R2QKBNR w KQkq -,a2a3 c5g5 g1f3 g5a5 b2b4 a5c7 d1b1 h7h6 b1b2 d7d6,-119
r1bqkbnr/ppp1nppp/3p4/3Pp3/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,h7h6 e2e4 f7f5 e4f5 c8f5 h2h3 g8f6 c1e3 d8d7 g2g4,144
2r2k2/2r2Pb1/3p4/pq2p2p/1p1BP3/1B3P2/PPPQ4/1K1R4 w - -,d4e3 d6d5 e4d5 a5a4 d5d6 a4b3 d6c7 f8f7 e3b6 b3c2,708
8/2k5/8/1Q6/5N2/4K3/8/8 w - -,d4g1 b5a6 b3a4 c7f7 d2d5 f7f6 g1e3 a6a8 d5d2 c8c7,Mate
rnbq1rk1/1pp2pbp/3p1np1/p2Pp3/2P1P3/2N1B3/PP2BPPP/R2QK1NR w KQ -,h2h4 h7h5 f2f3 b8d7 g1h3 d7c5 d1d2 c7c6 h3f2 a5a4,95
rnb1kb1r/pp2pppp/2p2n2/q3N3/3P4/2N5/PPP2PPP/R1BQKB1R b KQkq -,a5d8 f1c4 e7e6 e1h1 f8e7 a2a4 e8h8 a4a5 b8d7 f1e1,130
r2r2k1/2q2ppp/8/pp1RP3/8/1pP1Q3/1P3PPP/3R2K1 w - -,a5d8 f1c4 e7e6 e1h1 f8e7 a2a4 e8h8 a4a5 b8d7 f1e1,Mate
4Br1k/1b2b1pp/2P4q/p3p3/2Qpp3/5P2/PP4PP/2RR2K1 b - -,b7a6 c4a6 e4f3 a6f1 e7d6 c6c7 e5e4 g2g3 d6c7 c1c7,387
rnbqk2r/1p2bppp/p2ppn2/6B1/2BNP3/2N5/PPP2PPP/R2QK2R w KQkq -,g5c1 b7b5 c4d3 c8b7 a2a3 b8d7 e1h1 e8h8 d1e2 h7h6,-94
rn2kb1r/pp3ppp/1q2pn2/2p5/3pP1P1/3P1Q1P/PPPBNP2/2KR1B1R b kq -,f6d7 f3g3 b8c6 h3h4 e8a8 f2f4 c5c4 d3c4 h7h5 g4g5,52
rnbqkbnr/p1pppppp/8/8/2B5/4P3/PP1P1PPP/RNBQK1NR b KQkq -,b8c6 g1f3 e7e6 e3e4 c6a5 c4e2 c8b7 b1c3 g8f6 e4e5,66
r1bqkb1r/pppp1pp1/2n2n1p/4p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,d8e7 d3d4 c6d4 f3d4 e7c5 d1e2 c5d4 b1c3 c7c6 c1e3,122
8/3k4/Q7/8/5N2/4K3/8/8 w - -,d8e7 d3d4 c6d4 f3d4 e7c5 d1e2 c5d4 b1c3 c7c6 c1e3,Mate
rn2kb1r/pp2pppp/2p1bn2/q3N3/3P4/2NB4/PPP2PPP/R1BQK2R b KQkq -,f6d7 e1h1 d7e5 d4e5 b8d7 f2f4 g7g6 c3e4 e6d5 c1d2,143
r3kb1r/pp1n1ppp/1qn1p3/2p3P1/3pP3/3P1Q1P/PPPBNP2/2KR1B1R w kq -,e2g1 a7a5 c1b1 a5a4 h3h4 f8d6 f3h3 a4a3 b2b3 c5c4,-47
rnbqkbnr/pp2pppp/2p5/3P4/2P5/8/PP1P1PPP/RNBQKBNR b KQkq -,g8h6 b1c3 g7g6 d2d4 f8g7 g1f3 c6d5 c4d5 e8h8 h2h3,144
r1bqkb1r/pp3ppp/2nppn2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq -,d1d2 a7a6 e1a1 c8d7 c1b1 c6d4 d2d4 f8e7 f2f3 d8c7,42
4r1qk/7p/pp2rPpR/2pbP3/3pR3/2P5/P5PP/2B3K1 w - -,f6f7 g8f7 e4f4 f7g7 h2h3 g7h6 c3d4 h6h5 f4g4 h5f5,-1943
rnbqkb1r/pp2nppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq -,g1f3 b8c6 b1a3 c8d7 a3c2 a7a5 h2h4 c5d4 c3d4 d8b6,41
2r2k2/2r2Pb1/3p4/pq2p2p/1p2P3/1B2BP2/PPPQ4/1K1R4 b - -,c8d8 e3h6 c7f7 h6g7 f7g7 d2h6 d8d7 d1g1 f8e7 h6g7,965
3k4/8/1pnr2p1/pBp2p1p/P4P1P/2P1R1P1/1P2K3/8 w - -,e3d3 d8c7 d3d6 c7d6 e2d3 c6e7 b5e8 d6d5 e8f7 d5d6,477
8/4k3/1Q6/8/5N2/4K3/8/8 w - -,e2f1 c6e7 f1e2 d6f6 e3d3 d8c8 d3d7 f6e6 e2d2 e7c6,Mate
4r2k/5p1p/pp2rPq1/2pbP1Q1/3pR3/2P5/P5PP/2B3K1 w - -,g5g6 f7g6 f6f7 e8f8 e4e1 d4c3 e1e3 f8f7 h2h4 f7e7,-911
4Br1k/1b2b1pp/2P4q/p3p3/2Qp4/5p2/PP4PP/2RR2K1 w - -,g2g3 h6e3 g1h1 f3f2 h2h3 e3g3 c4b3 g3f4 c6b7 f4e4,-898
rnb1k2r/pppnqppp/4p3/3pP3/3P4/2N5/PPP2PPP/R2QKBNR w KQkq -,f2f4 a7a6 d1g4 g7g6 a2a3 c7c5 d4c5 b8c6 h2h4 c6d4,45
r1b1k2r/ppp2pp1/2nqpn1p/3p4/3P4/2P1PN1P/PP3PP1/RN1QKB1R w KQkq -,b1d2 a7a6 f1e2 e6e5 d4e5 c6e5 d1c2 e8h8 e1h1 e5f3,25
2r2k2/2r2Pb1/8/pq1pp2p/1p2P3/1B2BP2/PPPQ4/1K1R4 w - -,e4d5 a5a4 d5d6 a4b3 d6c7 f8f7 e3b6 g7f6 a2b3 b5c6,922
r1bq1bk1/pp4r1/3p1nn1/P2Pp1pp/1P2Pp2/2N2P1P/3BBNP1/2RQ1RK1 b - -,c8d7 c3b5 d7e8 g1h1 g6h4 d2e1 b7b6 a5b6 a7b6 c1c3,-29
8/5k2/2Q5/8/5N2/4K3/8/8 w - -,g6h4 d2e1 b7b6 a5a6 b6b5 c3b5 c8a6 b5a3 a6c8 a3c4,Mate
r1bqkb1r/pp3ppp/2nppn2/2p5/4P3/2PP1N2/PP2BPPP/RNBQK2R w KQkq -,b1d2 d6d5 e1h1 f8d6 f1e1 e8h8 e2f1 d8c7 d1e2 f6d7,-6
8/8/8/6k1/3K4/8/4Q3/8 w - -,b1d2 d6d5 e1h1 f8d6 f1e1 e8h8 e2f1 d8c7 d1e2 f6d7,Mate
rnbqkb1r/pp3ppp/2p2p2/8/8/5N1P/PPPP1PP1/R1BQKB1R b KQkq -,c8e6 d2d4 f8d6 f1d3 e8h8 c2c4 f8e8 e1h1 b8a6 a2a3,58
1k6/1pp2pp1/p1p5/8/8/2Pp1PN1/PP4q1/R1B1K3 b - -,g2g3 e1f1 g3f3 f1g1 f3d1 g1f2 d3d2 c1d2 d1a1 f2e2,-4793
r1bq1bkn/pp4r1/3p1n2/PN1Pp1pp/1P2Pp2/5P1P/3BBNP1/2RQ1RK1 b - -,c8d7 b5c7 a8c8 c7e6 d7e6 d5e6 c8c1 d1c1 g7c7 c1b1,66
r1bqkb1r/pp1p1ppp/2n1pn2/8/4P3/2N2N2/PPPQ1PPP/R1B1KB1R b KQkq -,d8b6 e4e5 f6g4 c3b5 a7a6 b5d6 f8d6 e5d6 g4f6 f1d3,39
r1bqkb1r/pp2pppp/2np1n2/2p5/4P3/2PP1N2/PP2BPPP/RNBQK2R b KQkq -,d8b6 e1h1 e7e5 c3c4 f8e7 f3e1 e8h8 e1c2 c8d7 b1c3,17
8/6k1/3Q4/8/5N2/4K3/8/8 w - -,d8b6 e1h1 e7e5 c3c4 f8e7 f3e1 e8h8 e1c2 c8d7 b1c3,Mate
r1bq1bkn/pp4r1/3p1n2/PN1Pp2p/1P2PpP1/7P/3BBNP1/2RQ1RK1 b - -,h5h4 e2d3 a7a6 b5c3 b7b5 c3b1 h8f7 d2e1 f7g5 b1d2,182
8/6k1/4K3/8/8/5Q2/8/8 b - -,h5h4 e2d3 a7a6 b5c3 b7b5 c3b1 h8f7 d2e1 f7g5 b1d2,Mate
8/8/4K1k1/8/8/5Q2/8/8 w - -,h5h4 e2d3 a7a6 b5c3 b7b5 c3b1 h8f7 d2e1 f7g5 b1d2,Mate
r1bq1bkn/1p4r1/p2p1n2/PN1Pp3/1P2PpP1/8/3BBNP1/2RQ1RK1 w - -,c1c8 a8c8 b5a3 h8f7 a3c4 f7g5 d2e1 f8e7 d1b1 g8h8,-287
8/8/8/4p3/4k3/8/4K3/8 b - -,,0
rnbqkb1r/pp2pppp/8/3n4/8/5N2/PP1P1PPP/RNBQKB1R w KQkq -,f1e2 b8c6 e1h1 g7g6 b1c3 f8g7 e2c4 d5b6 c4b3 d8d3,-36
8/8/8/8/2k5/7R/8/4K3 b - -,f1e2 b8c6 e1h1 g7g6 b1c3 f8g7 e2c4 d5b6 c4b3 d8d3,Mate
r1bqkbnr/ppp1n1pp/3p4/3Ppp2/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,h7h6 e4f5 c8f5 h2h3 g8f6 d1b3 f6d7 f1e2 f5h7 b3b7,155
8/2k1r3/5Q2/3K4/8/8/8/8 b - -,h7h6 e4f5 c8f5 h2h3 g8f6 d1b3 f6d7 f1e2 f5h7 b3b7,Mate
8/8/8/8/3kp3/8/3K4/8 w - -,d2e2 e4e3 e2e1 d4d3 e1d1 d3e4 d1e2,Mate
r2qkbnr/pppb1ppp/2np4/1B2p3/3PP3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,f7f6 c1e3 d8c8 b5e2 g8e7 d1d2 d7g4 e1a1 e5d4 f3d4,187
r1bqkb1r/pp3ppp/2n1pn2/2pp4/2PP4/1QN1P3/PP3PPP/R1B1KBNR w KQkq -,b3d1 c5d4 e3d4 f8b4 g1f3 e8h8 f1d3 d5c4 d3c4 b7b6,-101
r1bqkb1r/ppp1n1pp/3p1n2/3Ppp2/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1d3 g7g6 h2h4 f8g7 h4h5 g6h5 c1g5 e8h8 g5f6 f8f6,97
r1bqk2r/pp2bppp/2n1pn2/2pp4/2PP4/1QN1PN2/PP3PPP/R1B1KB1R w KQkq -,b3d1 e8h8 d4c5 e7c5 a2a3 a7a6 b2b4 c5d6 c4d5 c6e5,-82
3q1bkn/1p1b2r1/pN1p1n2/P2Pp3/1P2PpP1/8/4BNP1/2BQ1RK1 b - -,d7e8 c1d2 h8f7 d1c2 f7g5 f1c1 g7h7 e2f1 d8e7 f1d3,-163
rnbqk2r/ppp2pp1/4pn1p/3pP3/1b1P4/2N1B3/PPP2PPP/R2QKBNR b KQkq -,b8c6 e5f6 d8f6 d1f3 f6e7 g1e2 e8h8 e1a1 f8d8 f3g3,661
